layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,182.60299895286747,4.635967399398764,0.07243699061560568,7.330984926269943,0.11454663947296786,2.525149636428076,0.039455463069188686,16.027889420359674,10,64,0.5294628030450352,55,7,10,18,28,0.109375,0.15625,0.28125,0.4375,1,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,182.60299895286747,4.635967399398764,0.07243699061560568,7.330984926269943,0.11454663947296786,2.525149636428076,0.039455463069188686,16.027889420359674,10,64,0.5294628030450352,55,7,10,18,28,0.109375,0.15625,0.28125,0.4375,2,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,182.60299895286747,4.635967399398764,0.07243699061560568,7.330984926269943,0.11454663947296786,2.525149636428076,0.039455463069188686,16.027889420359674,10,64,0.5294628030450352,55,7,10,18,28,0.109375,0.15625,0.28125,0.4375,5,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,207.2762961700177,5.016638595222098,0.07838497805034528,7.857206102615772,0.12276884535337143,2.646652454463144,0.041353944600986625,15.84010852864266,10,64,0.5235106476998259,56,7,10,19,29,0.109375,0.15625,0.296875,0.453125,10,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,202.53541994324434,4.599062290978687,0.07186034829654199,7.461773622428769,0.11659021285044951,2.449481284331508,0.038273145067679815,15.843841680950584,10,64,0.5217282326719426,56,7,10,19,29,0.109375,0.15625,0.296875,0.453125,25,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,193.99012358036907,4.699606441953342,0.07343135065552096,7.635966261855868,0.11931197284149794,2.487199557894869,0.03886249309210733,15.796108152682766,10,64,0.5214663419959215,56,7,11,19,30,0.109375,0.171875,0.296875,0.46875,50,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,191.68509883446362,4.692357748228032,0.073318089816063,7.652099679250585,0.1195640574882904,2.4835059504104384,0.0388047804751631,15.768923076840956,10,64,0.5206018788713428,56,7,11,19,30,0.109375,0.171875,0.296875,0.46875,100,timm:resnet34.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,186.06381882514972,4.471574320518909,0.06986834875810795,7.362509625803855,0.11503921290318524,2.3956095088881018,0.03743139857637659,15.743000403068063,10,64,0.51928788038329,56,7,10,19,30,0.109375,0.15625,0.296875,0.46875,250,timm:resnet34.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0836221887174187,7.64131545847008,0.119395554038595,14.483878770576409,0.2263106057902564,3.280358946979579,0.05125560854655592,8.739288743845812,10,64,0.2334282122460083,54,17,23,36,48,0.265625,0.359375,0.5625,0.75,1,timm:resnet34.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0836221887174187,7.64131545847008,0.119395554038595,14.483878770576409,0.2263106057902564,3.280358946979579,0.05125560854655592,8.739288743845812,10,64,0.2334282122460083,54,17,23,36,48,0.265625,0.359375,0.5625,0.75,2,timm:resnet34.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0836221887174187,7.64131545847008,0.119395554038595,14.483878770576409,0.2263106057902564,3.280358946979579,0.05125560854655592,8.739288743845812,10,64,0.2334282122460083,54,17,23,36,48,0.265625,0.359375,0.5625,0.75,5,timm:resnet34.tv_in1k
