layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1778.9386599537445,1.6396490145125906,0.025619515851759228,2.6859916150691454,0.0419686189854554,1.2908342889966558,0.020169285765572746,6.02322682720524,10,64,0.921621212225334,62,4,5,12,24,0.0625,0.078125,0.1875,0.375,1,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1778.9386599537445,1.6396490145125906,0.025619515851759228,2.6859916150691454,0.0419686189854554,1.2908342889966558,0.020169285765572746,6.02322682720524,10,64,0.921621212225334,62,4,5,12,24,0.0625,0.078125,0.1875,0.375,2,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1778.9386599537445,1.6396490145125906,0.025619515851759228,2.6859916150691454,0.0419686189854554,1.2908342889966558,0.020169285765572746,6.02322682720524,10,64,0.921621212225334,62,4,5,12,24,0.0625,0.078125,0.1875,0.375,5,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,1893.2511079823219,1.6642232025530213,0.026003487539890957,2.813632333797009,0.04396300521557826,1.2996235808798557,0.020306618451247746,7.020807578740176,10,64,0.5122602356560563,62,4,6,13,25,0.0625,0.09375,0.203125,0.390625,10,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,1923.235635520488,1.6042058414702596,0.025065716272972806,2.6703533837245894,0.04172427162069671,1.2743816865130704,0.019912213851766725,6.942257794810162,10,64,0.519844809152944,62,4,6,12,25,0.0625,0.09375,0.1875,0.390625,25,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,1853.1971360017533,1.597460033320887,0.02496031302063886,2.6647066327188846,0.04163604113623257,1.2713041761703685,0.019864127752662008,6.872441883490957,10,64,0.5194871511524566,62,4,6,13,25,0.0625,0.09375,0.203125,0.390625,50,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,1839.7851249281953,1.5666838506563556,0.024479435166505557,2.591368464664515,0.04049013226038305,1.2583647684165893,0.019661949506509208,6.853462688587945,10,64,0.5141291286238705,62,4,6,12,25,0.0625,0.09375,0.1875,0.390625,100,timm:resnext50_32x4d.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,1837.8037993924356,1.5542977650921799,0.02428590257956531,2.5517043473787173,0.03987038042779246,1.2532221851774425,0.01958159664339754,7.964685176233985,10,64,0.43846519339449574,62,4,5,12,25,0.0625,0.078125,0.1875,0.390625,250,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,258.91347289598616,1.3248918205180058,0.02070143469559384,2.145683822174656,0.033526309721479,1.1524171989890155,0.018006518734203367,4.430905645876519,10,64,0.24562084000730622,62,3,6,22,45,0.046875,0.09375,0.34375,0.703125,1,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,258.91347289598616,1.3248918205180058,0.02070143469559384,2.145683822174656,0.033526309721479,1.1524171989890155,0.018006518734203367,4.430905645876519,10,64,0.24562084000730622,62,3,6,22,45,0.046875,0.09375,0.34375,0.703125,2,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,258.91347289598616,1.3248918205180058,0.02070143469559384,2.145683822174656,0.033526309721479,1.1524171989890155,0.018006518734203367,4.430905645876519,10,64,0.24562084000730622,62,3,6,22,45,0.046875,0.09375,0.34375,0.703125,5,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,266.8579143730772,1.4003216452363823,0.021880025706818473,2.428722384398822,0.037948787256231596,1.185304451257454,0.01852038205089772,4.2184657222197,10,64,0.21875313993099688,62,3,9,27,49,0.046875,0.140625,0.421875,0.765625,10,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,272.1304992769635,1.3816477481763028,0.02158824606525473,2.350815889209173,0.036731498268893326,1.1774248104230673,0.018397262662860427,3.976674072354748,10,64,0.2123154101411453,62,3,8,27,50,0.046875,0.125,0.421875,0.78125,25,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,262.74842737196667,1.3804349801244302,0.021569296564444222,2.3479869832017983,0.0366872966125281,1.176959670737431,0.01838999485527236,4.020698625905377,10,64,0.19527461650732458,62,3,8,27,50,0.046875,0.125,0.421875,0.78125,50,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,261.53525159497116,1.3677741530691445,0.021371471141705383,2.3199514050591765,0.03624924070404963,1.1712901615666809,0.01830140877447939,3.946988842965653,10,64,0.1948833906649602,62,3,8,28,51,0.046875,0.125,0.4375,0.796875,100,timm:resnext50_32x4d.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,259.54338112845227,1.3536478193805175,0.021150747177820586,2.268152937490043,0.03543988964828192,1.1651355943554738,0.018205243661804277,2.502223594839705,10,64,0.8319772561178316,62,3,8,27,50,0.046875,0.125,0.421875,0.78125,250,timm:resnext50_32x4d.a1_in1k
