layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,1848.8080695995466,1.558611587927207,0.02435330606136261,2.552401328261303,0.03988127075408286,1.2552435163737476,0.019613179943339807,6.94129667178727,10,64,0.4799637713134969,62,4,5,12,25,0.0625,0.078125,0.1875,0.390625,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],1600.0,True,0.0625,0.078125,0.1875,0.390625,1.0,6400.0,445.94263226110394,1.3306867282686863,0.020791980129198223,1.6329865121509761,0.025515414252359002,1.1624053777062882,0.018162584026660752,9.306522426078928,10.0,64.0,0.878152878522261,53.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,258.02119480890144,1.3523951006902237,0.021131173448284746,2.268204218737072,0.03544069091776675,1.1645033298785443,0.018195364529352255,3.9775410147439825,10,64,0.19960820099570564,62,3,8,27,50,0.046875,0.125,0.421875,0.78125,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,63.45625226020521,1.2595031944676613,0.01967973741355721,1.606764936679391,0.025105702135615485,1.1261419087365363,0.01759596732400838,5.739934096199829,10.0,64.0,0.4812138429854106,62.0,2.0,2.0,4.0,9.0,0.03125,0.03125,0.0625,0.140625,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,3876.721342556487,2.9046923212479765,0.022692908759749816,5.114755320583717,0.039959025942060286,1.8470989901073813,0.014430460860213917,21.77160998790296,10,128,0.5307208219357875,76,7,9,20,34,0.0546875,0.0703125,0.15625,0.265625,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],800.0,True,0.109375,0.140625,0.3125,0.53125,0.5,6400.0,973.7501691355457,2.4007675906576433,0.01875599680201284,3.4085630743108526,0.026629399018053536,1.6700715358094302,0.013047433873511174,22.712748443193195,10.0,128.0,0.5342215064618147,75.0,3.0,4.0,8.0,15.0,0.0234375,0.03125,0.0625,0.1171875,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,146.90309123433565,10.692670820899133,0.08353649078827448,18.230566119581447,0.14242629780923005,4.6442617712332686,0.03628329508775991,19.63002980651541,10,128,0.3534860057107434,89,19,27,45,68,0.1484375,0.2109375,0.3515625,0.53125,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,33.8571031682455,5.364299585288481,0.041908590510066256,7.519015638357635,0.05874230967466902,3.256882053783976,0.025444391045187312,16.3412443734424,10.0,128.0,0.38248502336651435,89.0,7.0,9.0,19.0,44.0,0.0546875,0.0703125,0.1484375,0.34375,50.0,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,102400,493.30918479220304,12.840644814411318,0.10031753761258842,26.915982692402913,0.21028111478439776,4.904695515745443,0.038317933716761274,5.639904793858505,10,128,0.21986030613234353,118,33,47,76,100,0.2578125,0.3671875,0.59375,0.78125,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],800.0,True,0.2578125,0.3671875,0.59375,0.78125,1.0,6400.0,99.48636741736082,5.277898896306973,0.04123358512739823,7.522634806996097,0.058770584429657005,3.29808908584681,0.025766320983178204,8.45750377347999,10.0,128.0,0.41218576739258606,118.0,7.0,9.0,18.0,34.0,0.0546875,0.0703125,0.140625,0.265625,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,268.61789992804324,1.5749239707540135,0.01230409352151573,3.599368621698902,0.02812006735702267,1.2564651019091986,0.009816133608665614,5.138733345869481,10,128,0.17316331775526073,118,11,24,69,107,0.0859375,0.1875,0.5390625,0.8359375,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,65.89615996432293,1.1893899649404245,0.009292109101097066,1.6121221988719272,0.012594704678686931,1.0913640391017494,0.008526281555482417,5.687473921044072,10.0,128.0,0.29230319265077453,118.0,1.0,3.0,10.0,32.0,0.0078125,0.0234375,0.078125,0.25,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,16586.083289275226,1.1205952930176843,0.0043773253633503295,1.5026704706731164,0.005869806526066861,1.0586654183511124,0.004135411790434033,13.94236381078057,10,256,0.44572799861440415,161,1,3,22,61,0.00390625,0.01171875,0.0859375,0.23828125,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],400.0,True,0.0078125,0.0234375,0.171875,0.4765625,0.5,6400.0,4528.133177855003,1.0429474084770336,0.0040740133143634125,1.1607126008568636,0.004534033597097123,1.0212839020618003,0.0039893902424289075,13.656309183808055,10.0,256.0,0.43605976652724,161.0,1.0,1.0,4.0,14.0,0.00390625,0.00390625,0.015625,0.0546875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10413.724686363626,1.5012257178737705,0.005864162960444416,2.3370720756598264,0.009129187795546197,1.2367066760938559,0.0048308854534916245,17.836902459799223,10,256,0.5525092770448462,132,2,5,16,37,0.0078125,0.01953125,0.0625,0.14453125,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],400.0,True,0.03125,0.078125,0.25,0.578125,0.25,6400.0,2751.2739564988647,1.3613068083524313,0.005317604720126685,1.8282004423772913,0.007141407978036294,1.1754108771951017,0.004591448739043366,16.218892687007937,10.0,256.0,0.5359750600333862,133.0,2.0,2.0,6.0,13.0,0.0078125,0.0078125,0.0234375,0.05078125,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,80.75703582524454,24.6656813189175,0.09635031765202148,49.94760657438203,0.1951078381811798,8.042512733678256,0.03141606536593069,7.948660935470094,10,256,0.21321192928381372,205,62,95,155,191,0.2421875,0.37109375,0.60546875,0.74609375,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,12.771091573220852,8.358723433752466,0.03265126341309557,13.654120881744193,0.053336409694313254,4.4650795329464925,0.017441716925572236,9.756091994662118,10.0,256.0,0.2689909481326245,205.0,13.0,20.0,51.0,124.0,0.05078125,0.078125,0.19921875,0.484375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,80.87161141359213,24.65340456463308,0.09630236158059798,49.94960349945073,0.19511563866972942,8.01191232326436,0.031296532512751406,7.966585647807359,10,256,0.2137202955740255,205,62,95,155,191,0.2421875,0.37109375,0.60546875,0.74609375,timm:resnext50_32x4d.a1_in1k,timm/resnext50_32x4d.a1_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,12.771091573220852,8.358723433752466,0.03265126341309557,13.654120881744193,0.053336409694313254,4.4650795329464925,0.017441716925572236,9.756091994662118,10.0,256.0,0.2689909481326245,205.0,13.0,20.0,51.0,124.0,0.05078125,0.078125,0.19921875,0.484375,25.0,False
