layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,123.5883032431108,2.8006220229496677,0.04375971910858856,5.108239516886161,0.07981624245134626,1.7609698924139026,0.027515154568967227,6.045008119576788,10,64,0.9039872983483335,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,1,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,123.5883032431108,2.8006220229496677,0.04375971910858856,5.108239516886161,0.07981624245134626,1.7609698924139026,0.027515154568967227,6.045008119576788,10,64,0.9039872983483335,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,2,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,123.5883032431108,2.8006220229496677,0.04375971910858856,5.108239516886161,0.07981624245134626,1.7609698924139026,0.027515154568967227,6.045008119576788,10,64,0.9039872983483335,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,5,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,134.21921165685146,2.92062476536063,0.045634761958759845,5.560009515735741,0.08687514868337096,1.7872933624200542,0.027926458787813347,5.881751287188052,10,64,0.9044502100610207,64,7,10,20,33,0.109375,0.15625,0.3125,0.515625,10,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,132.74853649422278,2.757030187274511,0.04307859667616423,5.266908603486721,0.08229544692948002,1.724110552969991,0.02693922739015611,5.812317040604565,10,64,0.9004865039554265,64,7,10,20,33,0.109375,0.15625,0.3125,0.515625,25,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,127.38003723503518,2.734961620666253,0.0427337753229102,5.276615422203714,0.08244711597193304,1.711791025417167,0.026746734772143236,5.7537376650591066,10,64,0.8979550002897037,64,7,10,20,33,0.109375,0.15625,0.3125,0.515625,50,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,124.88738792781498,2.6407455104046313,0.041261648600072365,5.119616729452694,0.07999401139769835,1.677145202291943,0.02620539378581161,5.718779628216039,10,64,0.8989733388639696,64,7,10,20,33,0.109375,0.15625,0.3125,0.515625,100,timm:resnext50_32x4d.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,124.1997276925568,2.598798984393681,0.04060623413115127,5.000890658103038,0.07813891653285997,1.6628288165121987,0.025981700258003105,5.7118505599425236,10,64,0.89762371013959,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,250,timm:resnext50_32x4d.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,86.52173685420979,2.971262305006806,0.04642597351573134,6.901708347132466,0.10783919292394478,1.770999267742876,0.02767186355848244,3.1466725014851256,10,64,0.9132353447614661,64,11,17,34,53,0.171875,0.265625,0.53125,0.828125,1,timm:resnext50_32x4d.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,86.52173685420979,2.971262305006806,0.04642597351573134,6.901708347132466,0.10783919292394478,1.770999267742876,0.02767186355848244,3.1466725014851256,10,64,0.9132353447614661,64,11,17,34,53,0.171875,0.265625,0.53125,0.828125,2,timm:resnext50_32x4d.gluon_in1k
