layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,124.95663481130734,2.6082508878191275,0.04075392012217387,4.976009911182088,0.07775015486222013,1.6692882709248236,0.02608262923320037,5.700235122442829,10,64,0.8959486177607726,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],1600.0,True,0.09375,0.15625,0.3125,0.515625,1.0,6400.0,29.896847438784214,2.005339972514139,0.031333437070533425,2.356471722246801,0.036819870660106266,1.5234675437236473,0.02380418037068199,8.427933073775405,10.0,64.0,0.9730667737275883,54.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,85.94330430053941,3.0525631063187935,0.04769629853623115,7.662862664146543,0.11973222912728973,1.7848999577617604,0.027889061840027506,2.6947062856697994,10,64,0.8820211824838919,64,13,21,40,57,0.203125,0.328125,0.625,0.890625,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,17.25302831202381,1.8134182144178024,0.028334659600278162,2.487723343096727,0.03887067723588636,1.3875645231400044,0.02168069567406257,4.472987550471873,10.0,64.0,0.9648240878500162,64.0,3.0,3.0,6.0,15.0,0.046875,0.046875,0.09375,0.234375,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,106.59654938531844,3.6599832197702042,0.02859361890445472,5.63883403662494,0.04405339091113234,2.3138931169388135,0.01807728997608448,14.161975891064492,10,128,0.4846702215991896,89,5,9,17,30,0.0390625,0.0703125,0.1328125,0.234375,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],800.0,True,0.078125,0.140625,0.265625,0.46875,0.5,6400.0,27.52413379918181,3.048855913194617,0.023819186821832945,3.8549339463662644,0.03011667145598644,2.1574289322938967,0.016854913533546068,11.533435457493225,10.0,128.0,0.6017388706867093,90.0,3.0,4.0,8.0,13.0,0.0234375,0.03125,0.0625,0.1015625,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,35.803913820507944,8.274038332182823,0.0646409244701783,15.435162946398249,0.12058721051873632,4.2392485953667975,0.033119129651303106,7.410254119697448,10,128,0.2189497320179331,118,16,26,53,86,0.125,0.203125,0.4140625,0.671875,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,6.909956507238193,4.079943852622892,0.03187456134861635,6.118466632614371,0.047800520567299776,2.950749036217784,0.023052726845451437,5.295256949649595,10.0,128.0,0.3295010369352158,118.0,6.0,9.0,21.0,53.0,0.046875,0.0703125,0.1640625,0.4140625,50.0,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,102400,11.558319368493482,6.951051031705486,0.05430508618519911,16.66289185116682,0.13017884258724077,2.8915610494522435,0.022590320698845652,4.747672861167305,10,128,0.26589703704474255,122,21,31,61,96,0.1640625,0.2421875,0.4765625,0.75,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],800.0,True,0.1640625,0.2421875,0.4765625,0.75,1.0,6400.0,1.492113653346783,1.6461862742216287,0.012860830267356474,2.6327744911339073,0.02056855071198365,1.30119060675645,0.010165551615284766,5.770743566243263,10.0,128.0,0.5466968596535355,122.0,3.0,5.0,14.0,32.0,0.0234375,0.0390625,0.109375,0.25,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,56.74238235595135,2.714138389673996,0.021204206169328093,9.272464206667479,0.07244112661458968,1.658161038656605,0.012954383114504727,3.81244181397824,10,128,0.17935598166899647,122,26,45,84,110,0.203125,0.3515625,0.65625,0.859375,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,11.150875295860313,1.2744537126377284,0.009956669629982253,1.8832504409809927,0.014712894070164005,1.1308157245832275,0.008834497848306465,4.652277120692874,10.0,128.0,0.30098925577753355,122.0,2.0,4.0,15.0,48.0,0.015625,0.03125,0.1171875,0.375,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,143.96991316684407,1.1912884113954219,0.004653470357013367,1.724546821503866,0.006736511021499476,1.0917948017288295,0.00426482344425324,10.504514537202983,10,256,0.4902210197832536,175,1,5,19,43,0.00390625,0.01953125,0.07421875,0.16796875,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],400.0,True,0.0078125,0.0390625,0.1484375,0.3359375,0.5,6400.0,38.79484233034587,1.0325694667668717,0.0040334744795580925,1.1211664791278908,0.0043795565590933234,1.0161858710651828,0.00396947605884837,9.608889911785544,10.0,256.0,0.4919455761092614,176.0,1.0,1.0,2.0,12.0,0.00390625,0.00390625,0.0078125,0.046875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,392.2677388419354,1.5028286315958428,0.005870424342171261,2.4236786527701226,0.009467494737383291,1.2330880773086172,0.004816750301986786,12.519343130537395,10,256,0.5646004067173125,146,3,5,14,31,0.01171875,0.01953125,0.0546875,0.12109375,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],400.0,True,0.046875,0.078125,0.21875,0.484375,0.25,6400.0,107.21675319081398,1.4411650121761534,0.005629550828813099,2.041759055164667,0.00797562130923698,1.2082981629234597,0.0047199146989197645,11.578259923677717,10.0,256.0,0.5356881970219792,147.0,2.0,3.0,6.0,12.0,0.0078125,0.01171875,0.0234375,0.046875,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,78.95929314172501,25.598860627941413,0.09999554932789614,46.839011219672024,0.18296488757684384,10.863163054423806,0.04243423068134299,5.080266720768184,10,256,0.21311032714934375,235,51,80,152,205,0.19921875,0.3125,0.59375,0.80078125,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,11.393476137331058,6.842009464884937,0.026726599472206784,11.953391445888144,0.04669293533550056,3.4004327203879035,0.013282940314015248,5.655654584244999,10.0,256.0,0.2691372343341971,235.0,11.0,18.0,47.0,118.0,0.04296875,0.0703125,0.18359375,0.4609375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,79.08052335388426,25.561531812805864,0.0998497336437729,46.7923430978096,0.18278259022581875,10.815255916309798,0.04224709342308515,5.102173083010993,10,256,0.18474859113172393,235,51,80,152,205,0.19921875,0.3125,0.59375,0.80078125,timm:resnext50_32x4d.gluon_in1k,timm/resnext50_32x4d.gluon_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,11.393476137331058,6.842009464884937,0.026726599472206784,11.953391445888144,0.04669293533550056,3.4004327203879035,0.013282940314015248,5.655654584244999,10.0,256.0,0.2691372343341971,235.0,11.0,18.0,47.0,118.0,0.04296875,0.0703125,0.18359375,0.4609375,25.0,False
