layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,880.1188318360807,2.8245147873830225,0.04413304355285973,4.907932025545399,0.07668643789914686,1.789245885404332,0.027956966959442688,6.110420711815847,10,64,0.9311948703369618,64,6,8,17,29,0.09375,0.125,0.265625,0.453125,1,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,880.1188318360807,2.8245147873830225,0.04413304355285973,4.907932025545399,0.07668643789914686,1.789245885404332,0.027956966959442688,6.110420711815847,10,64,0.9311948703369618,64,6,8,17,29,0.09375,0.125,0.265625,0.453125,2,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,880.1188318360807,2.8245147873830225,0.04413304355285973,4.907932025545399,0.07668643789914686,1.789245885404332,0.027956966959442688,6.110420711815847,10,64,0.9311948703369618,64,6,8,17,29,0.09375,0.125,0.265625,0.453125,5,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,958.772730350552,2.9681199018292386,0.04637687346608185,5.349380589596741,0.08358407171244908,1.8207145941062652,0.028448665532910394,5.977340742851823,10,64,0.9245344719212287,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,10,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,949.374746886911,2.815092231508174,0.04398581611731522,5.085044319507784,0.07945381749230912,1.7595570382351498,0.027493078722424215,5.892202342729708,10,64,0.9236231149528922,64,6,9,18,30,0.09375,0.140625,0.28125,0.46875,25,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,911.3285513847578,2.794773084589182,0.04366832944670597,5.099176312630847,0.07967462988485699,1.7468032972669678,0.027293801519796372,5.841198280875536,10,64,0.9232877217315185,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,50,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,890.0789238470427,2.6876861600273045,0.04199509625042663,4.94132530265742,0.07720820785402219,1.705480323300159,0.026648130051564984,5.809064557433032,10,64,0.9222800165792714,64,6,9,19,31,0.09375,0.140625,0.296875,0.484375,100,timm:resnext50_32x4d.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,886.7648451923699,2.6533295616250445,0.04145827440039132,4.835082626880997,0.07554816604501557,1.694455603625823,0.026475868806653483,5.794838951904517,10,64,0.9219876012793661,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,250,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,272.2903059569357,3.060352932002704,0.04781801456254225,7.334060708822439,0.11459469857535061,1.798974692168321,0.028108979565130015,2.944554169881693,10,64,0.8357217476613821,64,12,20,38,56,0.1875,0.3125,0.59375,0.875,1,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,272.2903059569357,3.060352932002704,0.04781801456254225,7.334060708822439,0.11459469857535061,1.798974692168321,0.028108979565130015,2.944554169881693,10,64,0.8357217476613821,64,12,20,38,56,0.1875,0.3125,0.59375,0.875,2,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,272.2903059569357,3.060352932002704,0.04781801456254225,7.334060708822439,0.11459469857535061,1.798974692168321,0.028108979565130015,2.944554169881693,10,64,0.8357217476613821,64,12,20,38,56,0.1875,0.3125,0.59375,0.875,5,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,293.4458654924587,3.5170044172320596,0.05495319401925093,8.943128071460485,0.13973637611657008,1.9314148303764243,0.03017835672463163,2.662368467731494,10,64,0.8183390292281674,64,15,23,43,58,0.234375,0.359375,0.671875,0.90625,10,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,289.9915733823982,3.2857889288223925,0.05134045201284988,8.404008878994665,0.13131263873429164,1.8589838723663052,0.02904662300572352,2.508942735094289,10,64,0.8071918646816807,64,14,23,43,58,0.21875,0.359375,0.671875,0.90625,25,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,279.28239109393377,3.272912317130905,0.05113925495517039,8.431825990423578,0.1317472811003684,1.8538320612178838,0.028966125956529434,2.476095937971118,10,64,0.803017879368453,64,15,23,44,58,0.234375,0.359375,0.6875,0.90625,50,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,277.32869917412756,3.235130613423392,0.0505489158347405,8.38666582614308,0.13104165353348562,1.8411420827587865,0.02876784504310604,2.427489929001366,10,64,0.7965154455228783,64,15,24,45,59,0.234375,0.375,0.703125,0.921875,100,timm:resnext50_32x4d.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,271.9615042831979,3.1331229760741843,0.04895504650115913,8.114339926324872,0.12678656134882613,1.8089548620664018,0.028264919719787528,2.411352562943951,10,64,0.7954115569872336,64,15,23,44,59,0.234375,0.359375,0.6875,0.921875,250,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,512,2775.7270171352966,4.543290492655115,0.035494456973868084,6.937157188857704,0.05419654053795081,2.70901621954613,0.02116418921520414,9.189560157735604,10,128,0.7384894279929235,96,6,10,19,34,0.046875,0.078125,0.1484375,0.265625,1,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,512,2775.7270171352966,4.543290492655115,0.035494456973868084,6.937157188857704,0.05419654053795081,2.70901621954613,0.02116418921520414,9.189560157735604,10,128,0.7384894279929235,96,6,10,19,34,0.046875,0.078125,0.1484375,0.265625,2,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,1024,3069.860724674476,4.724816749701588,0.03691263085704365,7.193024773488891,0.05619550604288196,2.8567713416873084,0.022318526106932097,8.761901356965895,10,128,0.8246902702422707,96,7,10,20,36,0.0546875,0.078125,0.15625,0.28125,5,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,1536,3171.0468587485893,4.5909895903462505,0.03586710617458008,7.02750113651837,0.054902352629049765,2.7228563400564054,0.021272315156690667,9.404454680212393,10,128,0.7308395620496351,96,7,10,20,36,0.0546875,0.078125,0.15625,0.28125,10,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,3584,3033.675269186948,4.839506756057847,0.03780864653170193,7.3784726020389355,0.057644317203429184,2.896519084570541,0.02262905534820735,9.70326858950969,10,128,0.7226425534681974,96,7,10,21,37,0.0546875,0.078125,0.1640625,0.2890625,25,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,6656,2961.0235401310033,4.674309552498693,0.03651804337889604,7.245178796102228,0.056602959344548655,2.772821514044044,0.021662668078469095,9.25064497014512,10,128,0.797683116408153,95,7,10,20,37,0.0546875,0.078125,0.15625,0.2890625,50,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,12800,2875.607263932115,4.5739262996351,0.03573379921589922,7.11601245694365,0.05559384731987226,2.7113126797052334,0.021182130310197136,9.452285279819563,10,128,0.7846446684720171,94,7,10,20,37,0.0546875,0.078125,0.15625,0.2890625,100,timm:resnext50_32x4d.tv2_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,32256,2830.198803917127,4.570701605264608,0.03570860629112975,7.144987067378226,0.05582021146389239,2.6840022770590495,0.020968767789523824,9.667490829546061,10,128,0.7734801628925152,93,7,10,20,37,0.0546875,0.078125,0.15625,0.2890625,250,timm:resnext50_32x4d.tv2_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,512,125.42216075983069,8.02164896697394,0.0626691325544839,15.352317898596397,0.11993998358278435,3.9413756730191922,0.03079199744546244,3.474986096043461,10,128,0.39654404412219,127,18,29,59,97,0.140625,0.2265625,0.4609375,0.7578125,1,timm:resnext50_32x4d.tv2_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,512,125.42216075983069,8.02164896697394,0.0626691325544839,15.352317898596397,0.11993998358278435,3.9413756730191922,0.03079199744546244,3.474986096043461,10,128,0.39654404412219,127,18,29,59,97,0.140625,0.2265625,0.4609375,0.7578125,2,timm:resnext50_32x4d.tv2_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,1024,131.84968139705285,8.590511615321095,0.06711337199469605,16.730637675307115,0.13070810683833683,4.066939752174911,0.031772966813866495,2.82126853612141,10,128,0.9164306055225518,127,20,32,64,102,0.15625,0.25,0.5,0.796875,5,timm:resnext50_32x4d.tv2_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,1536,133.2038957262706,8.22655962743193,0.06426999708931196,16.234708557927377,0.12683366060880763,3.847095217110212,0.03005543138367353,3.243738793065546,10,128,0.3550150232884728,127,19,31,65,103,0.1484375,0.2421875,0.5078125,0.8046875,10,timm:resnext50_32x4d.tv2_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,3584,126.7424285232738,8.51798223956214,0.06654673624657922,16.843366824078696,0.13158880331311482,4.011753596721821,0.031341824974389226,2.7055727015392157,10,128,0.9168202263325507,127,20,33,67,104,0.15625,0.2578125,0.5234375,0.8125,25,timm:resnext50_32x4d.tv2_in1k
