layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,891.9038633853901,2.657831566552124,0.04152861822737694,4.804399412360051,0.0750687408181258,1.699550710063545,0.02655547984474289,5.7968544156926605,10,64,0.9210486390442804,64,6,9,18,30,0.09375,0.140625,0.28125,0.46875,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],1600.0,True,0.09375,0.140625,0.28125,0.46875,1.0,6400.0,228.2138983971157,2.2438163935884323,0.035059631149819255,2.557137994847828,0.039955281169497314,1.662906119750684,0.025982908121104438,8.049879324791787,10.0,64.0,0.9818375003837244,55.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,270.67701433851096,3.1368246274514675,0.04901288480392918,8.108498950332967,0.1266952960989526,1.8102720615417318,0.02828550096158956,2.421177055322949,10,64,0.7912593719381249,64,14,23,44,59,0.21875,0.359375,0.6875,0.921875,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,54.93227240071642,1.893203104844268,0.029581298513191686,2.6922605687434094,0.04206657138661577,1.4214110566648175,0.022209547760387773,4.664077236518508,10.0,64.0,0.9341926206474722,64.0,3.0,3.0,8.0,20.0,0.046875,0.046875,0.125,0.3125,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,2888.6402521448113,4.566893608293575,0.035678856314793554,7.1071567428470885,0.05552466205349288,2.6961766309898545,0.021063879929608238,10.033172287630359,10,128,0.7611526862283522,93,7,10,20,37,0.0546875,0.078125,0.15625,0.2890625,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],800.0,True,0.109375,0.15625,0.3125,0.578125,0.5,6400.0,803.6389826362605,3.972533523609373,0.031035418153198227,4.858784984188047,0.037959257688969114,2.6668809359791528,0.02083500731233713,10.131651109041282,10.0,128.0,0.808990046126526,96.0,4.0,5.0,8.0,16.0,0.03125,0.0390625,0.0625,0.125,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,122.94473070505762,8.637991221724977,0.06748430641972639,17.187151258481006,0.13427461920688286,4.044330097679774,0.031596328888123235,2.6775449067871437,10,128,0.9183873036787822,127,20,33,68,105,0.15625,0.2578125,0.53125,0.8203125,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,30.101659716295927,5.30673309546744,0.04145885230833937,7.481447513317448,0.058448808697792565,3.439983961174064,0.026874874696672376,3.4456739497032567,10.0,128.0,0.9580905211655675,127.0,6.0,9.0,22.0,58.0,0.046875,0.0703125,0.171875,0.453125,50.0,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,102400,257.44555913389115,9.257560985271093,0.07232469519743041,21.114277513565163,0.16495529307472784,3.4778302142413033,0.027170548548760182,2.694505948145016,10,128,0.9416293069135805,128,25,38,72,109,0.1953125,0.296875,0.5625,0.8515625,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],800.0,True,0.1953125,0.296875,0.5625,0.8515625,1.0,6400.0,31.919562840480463,2.17026642440531,0.016955206440666483,3.9063185277765378,0.0305181134982542,1.5065319552610508,0.01176978090047696,4.5346552848044395,10.0,128.0,0.9368307235974915,128.0,5.0,7.0,15.0,40.0,0.0390625,0.0546875,0.1171875,0.3125,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,176.14557328265914,4.597007805628932,0.03591412348147603,18.864568097306716,0.14737943826020872,2.1781350837320166,0.01701668034165638,1.721164302139295,10,128,0.9255009427744412,128,45,66,102,123,0.3515625,0.515625,0.796875,0.9609375,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,29.347286256700585,1.5814494705338145,0.012355073988545425,2.8658787617309205,0.022389677826022816,1.2636967590459272,0.009872630930046306,3.1097460788488522,10.0,128.0,0.9688389888184737,128.0,4.0,8.0,24.0,65.0,0.03125,0.0625,0.1875,0.5078125,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,3220.1896314152195,1.2583638279925413,0.0049154837030958645,2.044872835428313,0.007987784513391848,1.1221857704333746,0.00438353816575537,7.397588342178967,10,256,0.7265854769324568,191,2,9,31,67,0.0078125,0.03515625,0.12109375,0.26171875,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],400.0,True,0.015625,0.0703125,0.2421875,0.5234375,0.5,6400.0,851.2234941960559,1.056288735249096,0.004126127872066781,1.2060841264612376,0.0047112661189892095,1.0278250466930872,0.004014941588644872,6.70544351459117,10.0,256.0,0.83947588205641,190.0,1.0,1.0,5.0,19.0,0.00390625,0.00390625,0.01953125,0.07421875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,8418.359346491474,1.3970220219402463,0.005457117273204087,2.1994475199341967,0.008591591874742956,1.1867379033942802,0.004635694935133907,8.69701473463762,10,256,0.8788584015306742,158,2,6,18,38,0.0078125,0.0234375,0.0703125,0.1484375,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],400.0,True,0.03125,0.09375,0.28125,0.59375,0.25,6400.0,2263.9931465039213,1.2796732262466595,0.0049987235400260135,1.7199349945819578,0.0067184960725857725,1.1348961494268226,0.004433188083698526,7.935078830972071,10.0,256.0,0.9249915821035818,157.0,2.0,3.0,6.0,14.0,0.0078125,0.01171875,0.0234375,0.0546875,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,168.43694474017462,35.76574773415862,0.13970995208655712,68.72280455515947,0.2684484552935917,13.31803439467386,0.05202357185419477,1.9428631229490618,10,256,0.31380713016850126,255,80,123,205,246,0.3125,0.48046875,0.80078125,0.9609375,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,18.19877069949886,9.866406487642967,0.03854065034235534,16.945715457304846,0.06619420100509706,4.432427007473222,0.017314167997942272,2.801315028240417,10.0,256.0,0.9797871785277602,255.0,15.0,26.0,66.0,161.0,0.05859375,0.1015625,0.2578125,0.62890625,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,168.7923022169762,35.73313270694303,0.13958254963649622,68.68503502585878,0.26830091806976086,13.340983232017019,0.05211321575006648,1.7293492074811043,10,256,0.9561415037808204,255,80,123,205,246,0.3125,0.48046875,0.80078125,0.9609375,timm:resnext50_32x4d.tv2_in1k,timm/resnext50_32x4d.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,18.19877069949886,9.866406487642967,0.03854065034235534,16.945715457304846,0.06619420100509706,4.432427007473222,0.017314167997942272,2.801315028240417,10.0,256.0,0.9797871785277602,255.0,15.0,26.0,66.0,161.0,0.05859375,0.1015625,0.2578125,0.62890625,25.0,False
