layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,187.2174173941146,3.6353944866400454,0.05680303885375071,5.712002431443772,0.08925003799130894,2.2129969966239815,0.03457807807224971,9.192399619187347,10,64,0.4741686789095789,62,6,8,16,27,0.09375,0.125,0.25,0.421875,1,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,187.2174173941146,3.6353944866400454,0.05680303885375071,5.712002431443772,0.08925003799130894,2.2129969966239815,0.03457807807224971,9.192399619187347,10,64,0.4741686789095789,62,6,8,16,27,0.09375,0.125,0.25,0.421875,2,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,187.2174173941146,3.6353944866400454,0.05680303885375071,5.712002431443772,0.08925003799130894,2.2129969966239815,0.03457807807224971,9.192399619187347,10,64,0.4741686789095789,62,6,8,16,27,0.09375,0.125,0.25,0.421875,5,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,201.9167105736545,3.828592968931491,0.05982176513955455,6.206609128913304,0.09697826763927038,2.214281159747719,0.03459814312105811,7.8864566606777435,10,64,0.5343800490810606,62,6,9,17,29,0.09375,0.140625,0.265625,0.453125,10,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,197.50010922450954,3.6993258437610614,0.057801966308766585,6.032736826953424,0.09426151292114725,2.1494145485407774,0.03358460232094965,8.915170973931968,10,64,0.4679641853210593,62,6,9,17,28,0.09375,0.140625,0.265625,0.4375,25,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,188.3098999236231,3.681951925306662,0.057530498832916596,6.086072019281382,0.0950948753012716,2.1194820496859403,0.03311690702634282,7.749089795494477,10,64,0.5249822174045664,62,6,9,17,29,0.09375,0.140625,0.265625,0.453125,50,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,182.86791233197118,3.550267973189998,0.05547293708109372,5.939997276061415,0.0928124574384596,2.066575000091484,0.03229023437642944,7.728075120771019,10,64,0.521856241022398,62,6,9,17,29,0.09375,0.140625,0.265625,0.453125,100,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,182.1348449368164,3.5063955253687786,0.054787430083887166,5.830640729486978,0.09110376139823403,2.054067350531753,0.03209480235205864,9.131463915034479,10,64,0.42071374738900735,62,6,9,17,29,0.09375,0.140625,0.265625,0.453125,250,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.18789202055061,7.4234773573563055,0.11599183370869227,13.795494168860078,0.2155545963884387,3.493882256467228,0.05459191025730044,5.207651821407016,10,64,0.2696506577257728,62,16,23,39,52,0.25,0.359375,0.609375,0.8125,1,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.18789202055061,7.4234773573563055,0.11599183370869227,13.795494168860078,0.2155545963884387,3.493882256467228,0.05459191025730044,5.207651821407016,10,64,0.2696506577257728,62,16,23,39,52,0.25,0.359375,0.609375,0.8125,2,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.18789202055061,7.4234773573563055,0.11599183370869227,13.795494168860078,0.2155545963884387,3.493882256467228,0.05459191025730044,5.207651821407016,10,64,0.2696506577257728,62,16,23,39,52,0.25,0.359375,0.609375,0.8125,5,timm:resnext50_32x4d.tv_in1k
