layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,183.71283085730744,3.5150580049224005,0.05492278132691251,5.78461238913792,0.09038456858028,2.0704001010559394,0.03235000157899905,8.908854808817354,10,64,0.4493414914663656,62,6,8,17,28,0.09375,0.125,0.265625,0.4375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],1600.0,True,0.09375,0.125,0.265625,0.4375,1.0,6400.0,46.00490078730863,2.48415677383425,0.03881494959116016,2.69753826166651,0.04214903533853922,1.9117957091625386,0.029871807955664666,9.383802194215871,10.0,64.0,0.5349145501241732,49.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.1749260880885,8.47328654032197,0.13239510219253078,16.319519854140584,0.2549924977209466,3.548614325883639,0.05544709884193186,5.004017968207381,10,64,0.23299157086074895,62,19,28,43,54,0.296875,0.4375,0.671875,0.84375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.3966434176625922,3.3769312063623866,0.05276455009941229,4.295075658147965,0.06711055715856196,2.4742581391419094,0.038660283424092334,7.08446113844555,10.0,64.0,0.2967013344883974,62.0,3.0,5.0,11.0,27.0,0.046875,0.078125,0.171875,0.421875,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,5.810575048934195,5.358350362419968,0.041862112206406,7.571262819894111,0.05915049078042274,2.962448570135704,0.02314412945418519,17.755097964749982,10,128,0.6256016287818001,74,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,0.109375,0.140625,0.234375,0.46875,0.5,6400.0,1.6370547293823416,4.135432860457371,0.03230806922232321,4.86650917270327,0.0380196029117443,3.0887918458715484,0.024131186295871472,16.962956672586298,10.0,128.0,0.6521363192832312,75.0,4.0,5.0,8.0,13.0,0.03125,0.0390625,0.0625,0.1015625,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,0.829286258499646,9.335413365117185,0.07293291691497801,15.721948377468266,0.12282772169897083,4.860425278784877,0.03797207249050685,18.41976113846065,10,128,0.37882914425508785,90,15,26,50,74,0.1171875,0.203125,0.390625,0.578125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.2155296545758701,5.217339421036164,0.04076046422684503,7.113072449677995,0.05557087851310934,3.4612876845307534,0.02704131003539651,16.66825436429103,10.0,128.0,0.3658082128474073,90.0,6.0,9.0,19.0,47.0,0.046875,0.0703125,0.1484375,0.3671875,50.0,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,102400,0.3715546327661331,15.10981965331419,0.11804546604151711,23.607068167325274,0.1844302200572287,6.8274849003591385,0.05333972578405577,6.439785272179069,10,128,0.25840109078983997,116,22,32,62,96,0.171875,0.25,0.484375,0.75,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,0.171875,0.25,0.484375,0.75,1.0,6400.0,0.03221301830687188,2.9668674808453996,0.023178652194104685,4.725005644688163,0.03691410659912627,1.984992240365161,0.01550775187785282,9.272512725014055,10.0,128.0,0.3737372313988617,116.0,6.0,8.0,16.0,37.0,0.046875,0.0625,0.125,0.2890625,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,1.7155347293110366,24.75672180028625,0.19341188906473633,43.27963743972405,0.33812216749784413,8.053017395721314,0.06291419840407277,4.779802671386434,10,128,0.16691709420158385,116,47,65,95,112,0.3671875,0.5078125,0.7421875,0.875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.16187385625304782,4.1209313253598285,0.03219477597937366,7.58179157654241,0.05923274669173758,2.560858269152559,0.020006705227754367,6.349832129430545,10.0,128.0,0.24973059007827658,116.0,9.0,14.0,36.0,76.0,0.0703125,0.109375,0.28125,0.59375,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,2.346536740704449,3.9017116455165772,0.01524106111529913,9.951827938159532,0.03887432788343567,2.0376087522996085,0.007959409188670346,11.43956125267418,10,256,0.6108538563462955,161,15,21,37,69,0.05859375,0.08203125,0.14453125,0.26953125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],400.0,True,0.1171875,0.1640625,0.2890625,0.5390625,0.5,6400.0,0.4019942222371435,1.3687728866057995,0.0053467690883039045,2.0862019613575353,0.008149226411552872,1.1737095495865109,0.004584802928072308,10.95638535849219,10.0,256.0,0.6320835055591472,165.0,2.0,5.0,12.0,28.0,0.0078125,0.01953125,0.046875,0.109375,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,5.912814052575042,4.122705585352054,0.01610431869278146,7.090870929331268,0.027698714567700265,2.4251776733260946,0.009473350286430057,13.556381305947694,10,256,0.7609479068864873,135,8,12,21,37,0.03125,0.046875,0.08203125,0.14453125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],400.0,True,0.125,0.1875,0.328125,0.578125,0.25,6400.0,1.386303928577624,3.15046000369961,0.012306484389451602,4.480947893898172,0.017503702710539734,2.0744657816118517,0.008103381959421296,12.416188243040644,10.0,256.0,0.7666785836993009,136.0,4.0,6.0,10.0,19.0,0.015625,0.0234375,0.0390625,0.07421875,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,4.181061576003405,27.650237979296843,0.1080087421066283,51.58739342189847,0.2015132555542909,9.924793046930494,0.038768722839572244,6.3733551760854645,10,256,0.19370679973163585,216,56,89,158,203,0.21875,0.34765625,0.6171875,0.79296875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,0.464286381040181,7.70210778018531,0.030086358516348867,13.820530092148061,0.053986445672453365,3.466188267968978,0.01353979792175382,8.08314020092748,10.0,256.0,0.2519388665748532,216.0,13.0,22.0,54.0,128.0,0.05078125,0.0859375,0.2109375,0.5,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,4.184885107105649,27.574082939136314,0.10771126148100123,51.48773346907107,0.20112395886355885,9.91958550421867,0.03874838087585418,6.951491152716014,10,256,0.19360017993398748,216,56,89,158,203,0.21875,0.34765625,0.6171875,0.79296875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,0.464286381040181,7.70210778018531,0.030086358516348867,13.820530092148061,0.053986445672453365,3.466188267968978,0.01353979792175382,8.08314020092748,10.0,256.0,0.2519388665748532,216.0,13.0,22.0,54.0,128.0,0.05078125,0.0859375,0.2109375,0.5,25.0,False
layer1.1.conv1,conv,10,128,1,False,128.0,0,56.0,56.0,102400,2.1975325082583597,8.979065379290097,0.07014894827570388,14.355241045496546,0.11215032066794177,4.592484657215911,0.0358787863844993,12.42196109677267,10,128,0.5092893819663042,103,14,20,37,67,0.109375,0.15625,0.2890625,0.5234375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,0.109375,0.15625,0.2890625,0.5234375,1.0,6400.0,0.23923499727827255,3.0308926424278884,0.023678848768967878,5.498762936579613,0.04295908544202823,1.837522960833572,0.01435564813151228,12.662342841243957,10.0,128.0,0.5263737868222104,102.0,7.0,9.0,18.0,40.0,0.0546875,0.0703125,0.140625,0.3125,50.0,True
layer1.1.act1,act,11,128,1,False,,0,56.0,56.0,102400,0.9281850265283567,16.81403112143411,0.13135961813620398,28.13587150408787,0.21981149612568648,8.386479382947165,0.06551937017927473,8.975583983924576,10,128,0.17062173674257042,99,30,46,78,96,0.234375,0.359375,0.609375,0.75,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.0814930290866645,6.276143086772481,0.04903236786541001,10.763689224747921,0.08409132206834313,3.074373220451065,0.024018540784773945,14.748153931390625,10.0,128.0,0.2780414547533615,99.0,10.0,15.0,38.0,76.0,0.078125,0.1171875,0.296875,0.59375,50.0,True
