layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,321.63003086214854,2.6578427348153815,0.08305758546298067,3.429076577453562,0.10715864304542382,2.0442425976776475,0.06388258117742648,9.998975694598345,10,32,0.9914750310451893,28,3,5,7,9,0.09375,0.15625,0.21875,0.28125,1,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,321.63003086214854,2.6578427348153815,0.08305758546298067,3.429076577453562,0.10715864304542382,2.0442425976776475,0.06388258117742648,9.998975694598345,10,32,0.9914750310451893,28,3,5,7,9,0.09375,0.15625,0.21875,0.28125,2,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,321.63003086214854,2.6578427348153815,0.08305758546298067,3.429076577453562,0.10715864304542382,2.0442425976776475,0.06388258117742648,9.998975694598345,10,32,0.9914750310451893,28,3,5,7,9,0.09375,0.15625,0.21875,0.28125,5,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,321.63003086214854,2.6578427348153815,0.08305758546298067,3.429076577453562,0.10715864304542382,2.0442425976776475,0.06388258117742648,9.998975694598345,10,32,0.9914750310451893,28,3,5,7,9,0.09375,0.15625,0.21875,0.28125,10,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,343.82222975169924,2.736908964417092,0.08552840513803413,3.601792897792138,0.11255602805600431,1.9601502421520154,0.06125469506725048,10.151679443427575,10,32,0.9897579120723928,29,3,5,7,9,0.09375,0.15625,0.21875,0.28125,25,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,348.8481257292501,2.7269996280272064,0.0852187383758502,3.599647874233106,0.11248899606978456,1.9318936424533748,0.06037167632666796,17.326468093460328,10,32,0.4061600016802358,29,3,5,7,9,0.09375,0.15625,0.21875,0.28125,50,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,330.21716830205145,2.7316314897288976,0.08536348405402805,3.629010535391186,0.11340657923097457,1.9065548881896095,0.0595798402559253,17.68257694996278,10,32,0.3962725368077563,29,3,5,7,9,0.09375,0.15625,0.21875,0.28125,100,timm:tf_efficientnet_b0.aa_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,319.5544330573805,2.640025857425126,0.08250080804453519,3.5440594079350145,0.1107518564979692,1.8418133941143664,0.05755666856607395,10.908489657785081,10,32,0.9789671728547303,29,3,5,7,9,0.09375,0.15625,0.21875,0.28125,250,timm:tf_efficientnet_b0.aa_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,294.7182534943888,3.6533061347421385,0.11416581671069183,4.811105707819147,0.15034705336934834,2.3170428163628003,0.07240758801133751,13.165110711527804,10,32,0.4033055221657411,31,4,5,9,15,0.125,0.15625,0.28125,0.46875,1,timm:tf_efficientnet_b0.aa_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,294.7182534943888,3.6533061347421385,0.11416581671069183,4.811105707819147,0.15034705336934834,2.3170428163628003,0.07240758801133751,13.165110711527804,10,32,0.4033055221657411,31,4,5,9,15,0.125,0.15625,0.28125,0.46875,2,timm:tf_efficientnet_b0.aa_in1k
