layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,319.44959416933125,2.6784030724237353,0.08370009601324173,3.555735503739534,0.11111673449186044,1.8852206938560896,0.0589131466830028,18.669477569446023,10,32,0.4149910446538747,29,3,5,7,9,0.09375,0.15625,0.21875,0.28125,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],3200.0,True,0.1111111111111111,0.18518518518518517,0.25925925925925924,0.3333333333333333,0.84375,6400.0,100.27547584407729,2.569696225636611,0.0803030070511441,2.7347983900809285,0.08546244969002902,2.101136497109187,0.0656605155346621,19.11705876349782,10.0,32.0,0.331038171365874,24.0,3.0,3.0,3.0,3.0,0.09375,0.09375,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,270.29267088228517,4.266953629531533,0.1333423009228604,5.517968632357798,0.17243651976118118,2.855269538298222,0.08922717307181943,13.281701435892609,10,32,0.4095606387612549,31,5,6,11,16,0.15625,0.1875,0.34375,0.5,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,99.74281249542967,3.3259092132521912,0.10393466291413098,3.8610398750029296,0.12065749609384155,2.2765142647297276,0.07114107077280399,12.810640706846687,10.0,32.0,0.4488586597925449,31.0,4.0,4.0,5.0,7.0,0.125,0.125,0.15625,0.21875,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,441.1625334311914,7.7227868782909095,0.24133708994659092,9.493938526718583,0.29668557895995573,5.2350149837741435,0.16359421824294199,13.401874548501912,10,32,0.36101501351051757,31,8,10,14,19,0.25,0.3125,0.4375,0.59375,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],3200.0,True,0.25,0.3125,0.4375,0.59375,1.0,6400.0,59.75925442678673,2.5681284288160775,0.08025401340050242,3.0005701551399566,0.09376781734812364,1.889518999626059,0.059047468738314346,9.309306101983411,10.0,32.0,0.7942178863076079,31.0,3.0,3.0,5.0,9.0,0.09375,0.09375,0.15625,0.28125,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,93.75771175149768,10.592462797374104,0.33101446241794075,14.979437489162517,0.46810742153632867,5.7096100406095225,0.17842531376904758,8.949052784109245,10,32,0.16399021910820522,31,14,19,26,31,0.4375,0.59375,0.8125,0.96875,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,12.564644851282395,3.703166427755226,0.11572395086735081,5.318170537671341,0.1661928293022294,2.3128521380649607,0.07227662931453002,6.475088003521478,10.0,32.0,0.9707999036507552,31.0,5.0,7.0,11.0,17.0,0.15625,0.21875,0.34375,0.53125,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,7.405884085116166,2.6575479836258693,0.33219349795323366,3.3988906949818967,0.4248613368727371,1.8823407474486857,0.23529259343108572,,10,8,,8,3,4,5,7,0.375,0.5,0.625,0.875,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],800.0,True,0.375,0.5,0.625,0.875,1.0,6400.0,7.405884085116166,2.6575479836258693,0.33219349795323366,3.3988906949818967,0.4248613368727371,1.8823407474486857,0.23529259343108572,,10.0,8.0,,8.0,3.0,4.0,5.0,7.0,0.375,0.5,0.625,0.875,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,0.019352629817899758,3.6351803775830946,0.45439754719788683,4.642150103595172,0.5802687629493966,2.2751721915322896,0.2843965239415362,,10,8,,8,4,5,7,8,0.5,0.625,0.875,1.0,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.019352629817899758,3.6351803775830946,0.45439754719788683,4.642150103595172,0.5802687629493966,2.2751721915322896,0.2843965239415362,,10.0,8.0,,8.0,4.0,5.0,7.0,8.0,0.5,0.625,0.875,1.0,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.12008980994536043,1.850589725127171,0.057830928910224094,2.339559512303153,0.07311123475947354,1.4318247848926164,0.044744524527894264,5.5796911954231865,10,32,0.8834409550652432,20,2,3,4,5,0.0625,0.09375,0.125,0.15625,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],200.0,True,0.25,0.375,0.5,0.625,0.25,6400.0,0.12008980994536043,1.850589725127171,0.057830928910224094,2.339559512303153,0.07311123475947354,1.4318247848926164,0.044744524527894264,5.5796911954231865,10.0,32.0,0.8834409550652432,20.0,2.0,3.0,4.0,5.0,0.0625,0.09375,0.125,0.15625,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,97.83250711773715,6.736973159654133,0.42106082247838333,9.203201053995766,0.5752000658747354,3.8593550540929513,0.24120969088080946,,10,16,,16,9,12,15,16,0.5625,0.75,0.9375,1.0,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],6400.0,True,0.5625,0.75,0.9375,1.0,1.0,6400.0,9.983131919563137,3.1890823203767473,0.1993176450235467,3.769436982279524,0.23558981139247026,2.4379087194464146,0.15236929496540091,,10.0,16.0,,16.0,3.0,4.0,6.0,9.0,0.1875,0.25,0.375,0.5625,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,419.5037337975466,8.974324564611976,0.5608952852882485,11.437900815517917,0.7148688009698698,5.265526641547595,0.3290954150967247,,10,16,,16,11,13,16,16,0.6875,0.8125,1.0,1.0,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,29.348607936001812,3.6714281340273813,0.22946425837671133,4.485166141364305,0.28032288383526904,2.5401627854254,0.1587601740890875,,10.0,16.0,,16.0,4.0,5.0,6.0,11.0,0.25,0.3125,0.375,0.6875,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,6606.6367511997105,5.646229637782945,0.05881489206023901,8.245352121114571,0.08588908459494345,3.402997053407298,0.03544788597299269,11.50127682476915,10,96,0.7146131236975826,53,9,11,15,16,0.09375,0.11458333333333333,0.15625,0.16666666666666666,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1066.6666666666667,True,0.5625,0.6875,0.9375,1.0,0.16666666666666666,6400.0,409.8304640183384,2.7666858736240365,0.028819644516917046,3.6342196640601134,0.03785645483395952,1.9008286668190173,0.019800298612698098,11.374729993059658,10.0,96.0,0.8538497306839818,53.0,3.0,4.0,7.0,10.0,0.03125,0.041666666666666664,0.07291666666666667,0.10416666666666667,66.66666666666667,True
blocks.1.0.bn1.act,act,10,96,1,False,,0,112.0,112.0,102400,357.1389697874588,8.617926705611405,0.0897700698501188,13.132448385076552,0.1367963373445474,4.6899088474322905,0.048853217160753026,5.905807757388026,10,96,0.9272688503498151,96,13,17,28,44,0.13541666666666666,0.17708333333333334,0.2916666666666667,0.4583333333333333,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,37.137344246516214,3.4441952658716244,0.03587703401949609,4.877758127752879,0.05080998049742583,2.204329875523014,0.022961769536698064,6.863888032110218,10.0,96.0,0.9178520257403475,96.0,4.0,6.0,11.0,23.0,0.041666666666666664,0.0625,0.11458333333333333,0.23958333333333334,66.66666666666667,True
blocks.1.0.conv_dw,conv,11,96,96,True,96.0,0,56.0,56.0,102400,684.9942927339972,10.472244060330098,0.10908587562843852,16.391118536375732,0.1707408180872472,5.9133850166502855,0.06159776059010714,3.875221187026868,10,96,0.8497372088332616,96,17,24,45,68,0.17708333333333334,0.25,0.46875,0.7083333333333334,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1066.6666666666667,True,0.17708333333333334,0.25,0.46875,0.7083333333333334,1.0,6400.0,104.40843225250535,4.230248689552792,0.044065090516174917,5.55218144830654,0.0578352234198598,2.8991852723928484,0.030199846587425503,6.551376092626812,10.0,96.0,0.9341767458975938,96.0,5.0,7.0,12.0,22.0,0.052083333333333336,0.07291666666666667,0.125,0.22916666666666666,66.66666666666667,True
blocks.1.0.bn2.act,act,12,96,1,False,,0,56.0,56.0,102400,1211.9941987683799,23.839776971055276,0.24833101011515912,40.642274108806596,0.42335702196673536,8.02457154759987,0.0835892869541653,2.085150612457774,10,96,0.8409001492805798,96,44,56,76,91,0.4583333333333333,0.5833333333333334,0.7916666666666666,0.9479166666666666,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,77.82120035385101,3.1084777242691244,0.03237997629447004,6.304797756635449,0.06567497663161927,1.8389174242224522,0.019155389835650544,2.9370468373724137,10.0,96.0,0.9899799220419552,96.0,8.0,11.0,28.0,65.0,0.08333333333333333,0.11458333333333333,0.2916666666666667,0.6770833333333334,66.66666666666667,True
blocks.1.0.se.conv_reduce,conv_gap,13,4,1,False,4.0,0,1.0,1.0,6400,2.527219330995339,1.4954119960989223,0.37385299902473057,1.8381012600351376,0.4595253150087844,1.249096874784047,0.31227421869601174,,10,4,,4,2,2,3,4,0.5,0.5,0.75,1.0,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1600.0,True,0.5,0.5,0.75,1.0,1.0,6400.0,2.527219330995339,1.4954119960989223,0.37385299902473057,1.8381012600351376,0.4595253150087844,1.249096874784047,0.31227421869601174,,10.0,4.0,,4.0,2.0,2.0,3.0,4.0,0.5,0.5,0.75,1.0,1600.0,True
blocks.1.0.se.act1,act,14,4,1,False,,0,1.0,1.0,6400,0.00624228791759222,1.3109867793003422,0.32774669482508556,1.5347762648567582,0.38369406621418956,1.1575427798056115,0.28938569495140287,,10,4,,4,2,2,2,3,0.5,0.5,0.5,0.75,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.00624228791759222,1.3109867793003422,0.32774669482508556,1.5347762648567582,0.38369406621418956,1.1575427798056115,0.28938569495140287,,10.0,4.0,,4.0,2.0,2.0,2.0,3.0,0.5,0.5,0.5,0.75,1600.0,True
blocks.1.0.se.conv_expand,conv_gap,15,96,1,False,4.0,0,1.0,1.0,6400,0.03381001022701273,1.034720000921811,0.01077833334293553,1.0911292474837804,0.01136592966128938,1.0173626580581936,0.010597527688106184,3.5814760979337312,10,96,0.7178099687463433,50,1,1,2,2,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.020833333333333332,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],66.66666666666667,True,0.25,0.25,0.5,0.5,0.041666666666666664,6400.0,0.03381001022701273,1.034720000921811,0.01077833334293553,1.0911292474837804,0.01136592966128938,1.0173626580581936,0.010597527688106184,3.5814760979337312,10.0,96.0,0.7178099687463433,50.0,1.0,1.0,2.0,2.0,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.020833333333333332,66.66666666666667,True
blocks.1.0.conv_pwl,conv,16,24,1,False,24.0,0,56.0,56.0,102400,1172.811021270962,8.362142276599016,0.34842259485829236,12.768070689860537,0.5320029454108557,3.6807635244370265,0.15336514685154276,3.1223491660212614,10,24,0.8879489789938007,24,13,16,21,24,0.5416666666666666,0.6666666666666666,0.875,1.0,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],4266.666666666667,True,0.5416666666666666,0.6666666666666666,0.875,1.0,1.0,6400.0,201.75090457204334,4.1478560680232555,0.17282733616763565,6.616732131387658,0.2756971721411524,2.296043148767603,0.09566846453198347,6.2443846435231745,10.0,24.0,0.8706471878383646,24.0,7.0,9.0,14.0,20.0,0.2916666666666667,0.375,0.5833333333333334,0.8333333333333334,266.6666666666667,True
blocks.1.0,block,17,24,1,False,,0,56.0,56.0,102400,1002.493240631747,10.519592907720947,0.43831637115503946,14.495331299589523,0.6039721374828968,4.761373067205427,0.19839054446689278,3.2380717615271317,10,24,0.8227671794464273,24,14,17,21,23,0.5833333333333334,0.7083333333333334,0.875,0.9583333333333334,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,146.35109069812063,4.888643534424617,0.20369348060102568,7.692945410228289,0.3205393920928454,2.6103520016653223,0.1087646667360551,6.372049014423405,10.0,24.0,0.8522996662090763,24.0,8.0,10.0,16.0,20.0,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.8333333333333334,266.6666666666667,True
blocks.1.1.conv_pw,conv,18,144,1,False,24.0,0,56.0,56.0,102400,12084.486023047297,4.5810685645089695,0.0318129761424234,8.325356099303226,0.05781497291182796,2.3419975514062927,0.016263871884765923,11.953448999136208,10,144,0.6994818221504585,81,9,13,19,23,0.0625,0.09027777777777778,0.13194444444444445,0.1597222222222222,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],711.1111111111111,True,0.375,0.5416666666666666,0.7916666666666666,0.9583333333333334,0.16666666666666666,6400.0,2433.151765514558,2.648423812637297,0.018391832032203452,4.375366411874436,0.03038448897135025,1.72074749933193,0.011949635412027293,11.632019864403512,10.0,144.0,0.6955534519038726,81.0,5.0,7.0,12.0,17.0,0.034722222222222224,0.04861111111111111,0.08333333333333333,0.11805555555555555,44.44444444444444,False
blocks.1.1.bn1.act,act,19,144,1,False,,0,56.0,56.0,102400,126.44338531205048,9.761156744485485,0.06778581072559364,14.816220364786245,0.10289041919990448,4.835075655903151,0.03357691427710521,5.374878301128951,10,144,0.5878329841776009,142,13,19,39,69,0.09027777777777778,0.13194444444444445,0.2708333333333333,0.4791666666666667,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,22.97444162400065,4.984484491497333,0.03461447563539814,7.383395401215946,0.05127357917511074,3.0260763390989145,0.02101441902152024,5.974748586671297,10.0,144.0,0.6550538068046741,142.0,7.0,10.0,18.0,39.0,0.04861111111111111,0.06944444444444445,0.125,0.2708333333333333,44.44444444444444,False
blocks.1.1.conv_dw,conv,20,144,144,True,144.0,0,56.0,56.0,102400,76.82533257920446,6.157020981944205,0.04275709015239031,16.951795846195335,0.1177208044874676,2.634090296408782,0.018292293725060985,4.534388149513961,10,144,0.37626006033360404,142,26,36,62,95,0.18055555555555555,0.25,0.4305555555555556,0.6597222222222222,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],711.1111111111111,True,0.18055555555555555,0.25,0.4305555555555556,0.6597222222222222,1.0,6400.0,11.47593403325399,2.4751429548509623,0.01718849274202057,4.14311342063358,0.028771620976622083,1.6502359588025937,0.011459971936129123,5.986237862975845,10.0,144.0,0.6472901876693934,142.0,5.0,7.0,14.0,30.0,0.034722222222222224,0.04861111111111111,0.09722222222222222,0.20833333333333334,44.44444444444444,False
blocks.1.1.bn2.act,act,21,144,1,False,,0,56.0,56.0,102400,148.6676485952266,35.23453966536916,0.2446843032317303,63.70713190434317,0.44241063822460536,9.854109455054234,0.06843131566009884,2.1297768303378737,10,144,0.1674976237124547,142,69,89,120,138,0.4791666666666667,0.6180555555555556,0.8333333333333334,0.9583333333333334,timm:tf_efficientnet_b0.aa_in1k,timm/tf_efficientnet_b0.aa_in1k,imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,16.268503832258805,5.922898609244939,0.04113124034197874,10.859124592493016,0.07541058744786816,3.1241000868034083,0.021695139491690336,3.4145832604362236,10.0,144.0,0.3707814194470507,142.0,11.0,19.0,46.0,98.0,0.0763888888888889,0.13194444444444445,0.3194444444444444,0.6805555555555556,44.44444444444444,False
