layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,2932.986516253694,1.1267376747443052,0.03521055233575954,1.3284938663861265,0.041515433324566454,1.062588462287903,0.03320588944649697,11.962084581632814,10,32,0.9695223658046515,26,1,2,4,6,0.03125,0.0625,0.125,0.1875,1,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,2932.986516253694,1.1267376747443052,0.03521055233575954,1.3284938663861265,0.041515433324566454,1.062588462287903,0.03320588944649697,11.962084581632814,10,32,0.9695223658046515,26,1,2,4,6,0.03125,0.0625,0.125,0.1875,2,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,2932.986516253694,1.1267376747443052,0.03521055233575954,1.3284938663861265,0.041515433324566454,1.062588462287903,0.03320588944649697,11.962084581632814,10,32,0.9695223658046515,26,1,2,4,6,0.03125,0.0625,0.125,0.1875,5,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,2932.986516253694,1.1267376747443052,0.03521055233575954,1.3284938663861265,0.041515433324566454,1.062588462287903,0.03320588944649697,11.962084581632814,10,32,0.9695223658046515,26,1,2,4,6,0.03125,0.0625,0.125,0.1875,10,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,3184.6351249419877,1.1187139792876497,0.03495981185273905,1.3224914324363213,0.04132785726363504,1.0584825621070673,0.03307758006584585,12.900278652562369,10,32,0.9439966274822819,26,1,2,4,6,0.03125,0.0625,0.125,0.1875,25,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,3296.0149337506873,1.112372892625359,0.03476165289454247,1.3094499097393797,0.040920309679355615,1.055371561310852,0.03298036129096413,12.17585947120627,10,32,0.9433465973054725,27,1,2,4,6,0.03125,0.0625,0.125,0.1875,50,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,3144.2839146781616,1.1086332140500408,0.034644787939063774,1.303049659819799,0.040720301869368716,1.0535158170047307,0.032922369281397836,13.013798542176412,10,32,0.9438287515354805,27,1,2,4,7,0.03125,0.0625,0.125,0.21875,100,timm:tf_efficientnet_b0.ap_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,3139.2631483018504,1.1007519028618222,0.034398496964431945,1.2841857935847945,0.04013080604952483,1.0496840654731883,0.03280262704603713,12.19657008124782,10,32,0.9647819186374182,27,1,1,4,6,0.03125,0.03125,0.125,0.1875,250,timm:tf_efficientnet_b0.ap_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,885.6359363556375,2.7913804824134147,0.08723064007541921,4.102012740034881,0.12818789812609002,1.8589570754831368,0.058092408608848026,6.439583329959222,10,32,0.8785711296479227,32,4,6,9,17,0.125,0.1875,0.28125,0.53125,1,timm:tf_efficientnet_b0.ap_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,885.6359363556375,2.7913804824134147,0.08723064007541921,4.102012740034881,0.12818789812609002,1.8589570754831368,0.058092408608848026,6.439583329959222,10,32,0.8785711296479227,32,4,6,9,17,0.125,0.1875,0.28125,0.53125,2,timm:tf_efficientnet_b0.ap_in1k
