layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,3073.8961420391943,1.1066214575711513,0.03458192054909848,1.296007083477142,0.04050022135866069,1.0525677908897033,0.03289274346530323,13.161171849838214,10,32,0.9814483342637943,27,1,1,4,6,0.03125,0.03125,0.125,0.1875,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],3200.0,True,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.2222222222222222,0.84375,6400.0,789.038386733063,1.1549815644023222,0.03609317388757257,1.3422352098509092,0.04194485030784091,1.0767952966977876,0.03364985302180586,9.624663970378023,10.0,32.0,0.8083396820725623,23.0,1.0,2.0,3.0,3.0,0.03125,0.0625,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,789.1750916035537,3.3345681789419874,0.10420525559193711,4.752030166126409,0.14850094269145028,2.173280073832254,0.06791500230725794,6.078994825450516,10,32,0.8960494186518407,32,5,6,10,18,0.15625,0.1875,0.3125,0.5625,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,256.3233519246387,2.187937386870422,0.06837304333970069,2.970213201820363,0.09281916255688634,1.5736713314438735,0.04917722910762105,9.551120167454986,10.0,32.0,0.9400249562044627,32.0,3.0,4.0,6.0,12.0,0.09375,0.125,0.1875,0.375,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,504.7880023162103,6.347285871617755,0.19835268348805485,9.078808243625172,0.2837127576132866,3.8786159049113134,0.12120674702847854,5.572791785703804,10,32,0.9423359275702847,32,9,11,16,25,0.28125,0.34375,0.5,0.78125,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],3200.0,True,0.28125,0.34375,0.5,0.78125,1.0,6400.0,81.47523839875895,1.8441026583737985,0.0576282080741812,2.7486723057356346,0.08589600955423858,1.3858180382610579,0.04330681369565806,9.780247385451503,10.0,32.0,0.8932791005318572,32.0,3.0,4.0,6.0,12.0,0.09375,0.125,0.1875,0.375,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,210.75790618126052,6.820088310761473,0.21312775971129602,10.589175846253383,0.3309117451954182,3.2376256956631244,0.10117580298947264,3.8284535731445475,10,32,0.9466596989235746,32,10,13,21,29,0.3125,0.40625,0.65625,0.90625,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,34.20237742743262,3.3884676464879666,0.10588961395274896,4.823142399889804,0.15072319999655637,2.140081932883171,0.0668775604025991,7.384195116976742,10.0,32.0,0.9342206436685263,32.0,4.0,6.0,10.0,18.0,0.125,0.1875,0.3125,0.5625,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,19.10469988418196,3.001660598151832,0.375207574768979,4.013549246398348,0.5016936557997935,1.947467115964966,0.24343338949562074,,10,8,,8,4,5,7,8,0.5,0.625,0.875,1.0,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],800.0,True,0.5,0.625,0.875,1.0,1.0,6400.0,19.10469988418196,3.001660598151832,0.375207574768979,4.013549246398348,0.5016936557997935,1.947467115964966,0.24343338949562074,,10.0,8.0,,8.0,4.0,5.0,7.0,8.0,0.5,0.625,0.875,1.0,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,0.20545755845393018,1.6567574907954985,0.2070946863494373,2.336724655224867,0.2920905819031084,1.3110877241595769,0.1638859655199471,,10,8,,8,3,3,6,8,0.375,0.375,0.75,1.0,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.20545755845393018,1.6567574907954985,0.2070946863494373,2.336724655224867,0.2920905819031084,1.3110877241595769,0.1638859655199471,,10.0,8.0,,8.0,3.0,3.0,6.0,8.0,0.375,0.375,0.75,1.0,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.9680411328689202,1.799109212637915,0.05622216289493484,2.4510013784215507,0.07659379307567346,1.3850285244373108,0.043282141388665964,5.377469190326031,10,32,0.7062545818303263,21,3,3,5,7,0.09375,0.09375,0.15625,0.21875,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],200.0,True,0.375,0.375,0.625,0.875,0.25,6400.0,0.9680411328689202,1.799109212637915,0.05622216289493484,2.4510013784215507,0.07659379307567346,1.3850285244373108,0.043282141388665964,5.377469190326031,10.0,32.0,0.7062545818303263,21.0,3.0,3.0,5.0,7.0,0.09375,0.09375,0.15625,0.21875,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,57.397664110421005,3.631846909392562,0.22699043183703513,5.6589402882115385,0.35368376801322116,2.105722252855984,0.131607640803499,,10,16,,16,5,8,13,16,0.3125,0.5,0.8125,1.0,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],6400.0,True,0.3125,0.5,0.8125,1.0,1.0,6400.0,11.490723765770255,2.7469800331463414,0.17168625207164634,3.6034736120658075,0.22521710075411297,1.8400784471200131,0.11500490294500082,,10.0,16.0,,16.0,3.0,5.0,6.0,9.0,0.1875,0.3125,0.375,0.5625,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,1514.7538423075553,4.7582621039477075,0.2973913814967317,7.182417760593142,0.4489011100370714,2.685977115099593,0.16787356969372455,,10,16,,16,8,11,14,16,0.5,0.6875,0.875,1.0,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,301.3063465947686,3.3567853928332023,0.20979908705207514,4.046922550381219,0.2529326593988262,2.414881522613636,0.15093009516335226,,10.0,16.0,,16.0,4.0,5.0,6.0,11.0,0.25,0.3125,0.375,0.6875,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,9734.69524167119,5.256418227253486,0.054754356533890484,6.772578484225678,0.07054769254401748,3.4015947764072325,0.035433278920908674,11.646805020190703,10,96,0.7462308726868038,52,6,8,13,16,0.0625,0.08333333333333333,0.13541666666666666,0.16666666666666666,timm:tf_efficientnet_b0.ap_in1k,timm/tf_efficientnet_b0.ap_in1k,imagenet_val[6400],1066.6666666666667,True,0.375,0.5,0.8125,1.0,0.16666666666666666,6400.0,1541.0543231966515,3.335400946653991,0.03474375986097907,4.032060429517743,0.04200062947414315,2.3775856051180613,0.024766516719979804,10.519371434444292,10.0,96.0,0.8452950580356009,55.0,4.0,4.0,6.0,10.0,0.041666666666666664,0.041666666666666664,0.0625,0.10416666666666667,66.66666666666667,True
