layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,227.08614057755682,2.6285824149838377,0.08214320046824493,3.505994998736019,0.1095623437105006,1.8750627796240047,0.05859571186325015,10.479766713034437,10,32,0.9894857129323718,29,4,5,7,8,0.125,0.15625,0.21875,0.25,1,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,227.08614057755682,2.6285824149838377,0.08214320046824493,3.505994998736019,0.1095623437105006,1.8750627796240047,0.05859571186325015,10.479766713034437,10,32,0.9894857129323718,29,4,5,7,8,0.125,0.15625,0.21875,0.25,2,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,227.08614057755682,2.6285824149838377,0.08214320046824493,3.505994998736019,0.1095623437105006,1.8750627796240047,0.05859571186325015,10.479766713034437,10,32,0.9894857129323718,29,4,5,7,8,0.125,0.15625,0.21875,0.25,5,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,227.08614057755682,2.6285824149838377,0.08214320046824493,3.505994998736019,0.1095623437105006,1.8750627796240047,0.05859571186325015,10.479766713034437,10,32,0.9894857129323718,29,4,5,7,8,0.125,0.15625,0.21875,0.25,10,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,243.19187746205492,2.662329762613698,0.08319780508167807,3.6486000204334954,0.11401875063854673,1.8260182976344448,0.0570630718010764,11.593832205520245,10,32,0.9642306677105422,29,4,5,7,9,0.125,0.15625,0.21875,0.28125,25,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,247.16847190646334,2.6119924159027557,0.08162476299696111,3.621219005108167,0.11316309390963022,1.784449597905633,0.05576404993455103,11.599719995421095,10,32,0.9817991389254338,29,4,5,7,8,0.125,0.15625,0.21875,0.25,50,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,233.11871049235546,2.598319694544513,0.08119749045451603,3.634356011314408,0.11357362535357525,1.763767217238148,0.055117725538692125,12.44912223934249,10,32,0.954291549729189,29,4,5,7,8,0.125,0.15625,0.21875,0.25,100,timm:tf_efficientnet_b0.in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,226.69299111927813,2.495441302732745,0.07798254071039828,3.524111868522281,0.11012849589132129,1.7080260700358822,0.05337581468862132,12.242197104595194,10,32,0.9677651975352216,28,4,5,7,8,0.125,0.15625,0.21875,0.25,250,timm:tf_efficientnet_b0.in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,110.91401097114311,4.230264985158629,0.13219578078620717,5.455019746170419,0.1704693670678256,3.0872633884979868,0.09647698089056209,8.981175224219037,10,32,0.7954309420904493,32,5,7,10,16,0.15625,0.21875,0.3125,0.5,1,timm:tf_efficientnet_b0.in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,110.91401097114311,4.230264985158629,0.13219578078620717,5.455019746170419,0.1704693670678256,3.0872633884979868,0.09647698089056209,8.981175224219037,10,32,0.7954309420904493,32,5,7,10,16,0.15625,0.21875,0.3125,0.5,2,timm:tf_efficientnet_b0.in1k
