layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,225.58897859640265,2.54134364130749,0.07941698879085907,3.550177346443716,0.11094304207636613,1.741184727270033,0.05441202272718853,13.182714841995773,10,32,0.9442378674859905,29,4,5,7,8,0.125,0.15625,0.21875,0.25,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],3200.0,True,0.14814814814814814,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.84375,6400.0,63.673343027972734,2.3563077527435246,0.07363461727323514,2.558713769994506,0.07995980531232831,1.9291320934467744,0.0602853779202117,7.692717451072599,10.0,32.0,0.9745072368515036,23.0,2.0,3.0,3.0,3.0,0.0625,0.09375,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,104.77788104694693,4.531282816937171,0.1416025880292866,5.956065014632804,0.18612703170727513,2.9257178943980966,0.09142868419994052,8.669219296652221,10,32,0.7993174570889459,32,5,7,11,18,0.15625,0.21875,0.34375,0.5625,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,21.942013745920363,2.6068688040623096,0.08146465012694717,3.27495551920111,0.10234235997503469,2.102857003077445,0.06571428134617016,9.640357578904325,10.0,32.0,0.783577514920157,32.0,3.0,4.0,6.0,11.0,0.09375,0.125,0.1875,0.34375,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,454.98507419572735,1.8632044243882135,0.05822513826213167,3.116651018956644,0.09739534434239512,1.3891751239100565,0.043411722622189265,7.298887396477938,10,32,0.927162247549913,32,4,6,13,19,0.125,0.1875,0.40625,0.59375,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],3200.0,True,0.125,0.1875,0.40625,0.59375,1.0,6400.0,8.641030738898126,2.4882451504549867,0.07775766095171834,3.5846103700125975,0.11201907406289367,1.680582447501592,0.05251820148442475,8.929524153413995,10.0,32.0,0.7020764456628845,32.0,4.0,5.0,7.0,11.0,0.125,0.15625,0.21875,0.34375,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,95.4203100536202,10.491775238629756,0.3278679762071799,14.60661788449381,0.45645680889043155,5.703800807200154,0.1782437752250048,3.2989980838874273,10,32,0.9100508405008741,32,14,18,25,30,0.4375,0.5625,0.78125,0.9375,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,4.50531663858615,5.2015349638215636,0.16254796761942386,7.020628514692193,0.21939464108413104,3.31919397087049,0.10372481158970281,5.135479419913128,10.0,32.0,0.9611563173218001,32.0,6.0,9.0,15.0,23.0,0.1875,0.28125,0.46875,0.71875,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,4.553254572870526,3.1622562598901647,0.3952820324862706,3.9190562938624596,0.48988203673280745,2.1353966909261612,0.26692458636577016,,10,8,,8,4,4,6,8,0.5,0.5,0.75,1.0,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],800.0,True,0.5,0.5,0.75,1.0,1.0,6400.0,4.553254572870526,3.1622562598901647,0.3952820324862706,3.9190562938624596,0.48988203673280745,2.1353966909261612,0.26692458636577016,,10.0,8.0,,8.0,4.0,4.0,6.0,8.0,0.5,0.5,0.75,1.0,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,0.0190543123989907,3.898402521010255,0.48730031512628186,4.686707379878701,0.5858384224848376,2.671720935969831,0.3339651169962289,,10,8,,8,4,5,7,8,0.5,0.625,0.875,1.0,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.0190543123989907,3.898402521010255,0.48730031512628186,4.686707379878701,0.5858384224848376,2.671720935969831,0.3339651169962289,,10.0,8.0,,8.0,4.0,5.0,7.0,8.0,0.5,0.625,0.875,1.0,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.1169645823241587,1.9077971460343548,0.05961866081357359,2.510154627230554,0.07844233210095482,1.449337308894247,0.04529179090294522,7.5476150246758085,10,32,0.9492825381576104,21,3,3,5,7,0.09375,0.09375,0.15625,0.21875,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],200.0,True,0.375,0.375,0.625,0.875,0.25,6400.0,0.1169645823241587,1.9077971460343548,0.05961866081357359,2.510154627230554,0.07844233210095482,1.449337308894247,0.04529179090294522,7.5476150246758085,10.0,32.0,0.9492825381576104,21.0,3.0,3.0,5.0,7.0,0.09375,0.09375,0.15625,0.21875,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,68.7061456812274,6.056278777396255,0.3785174235872659,8.799624848605914,0.5499765530378696,3.329978025044517,0.2081236265652823,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],6400.0,True,0.625,0.75,0.9375,1.0,1.0,6400.0,6.211386910466674,2.1771419262460716,0.13607137039037948,2.9009795094740864,0.1813112193421304,1.5682606625059488,0.0980162914066218,,10.0,16.0,,16.0,3.0,3.0,6.0,11.0,0.1875,0.1875,0.375,0.6875,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,508.6787126829106,10.042152278437516,0.6276345174023448,12.150473660490599,0.7594046037806624,5.455677302634609,0.34097983141466304,,10,16,,16,11,13,15,16,0.6875,0.8125,0.9375,1.0,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,31.467097584272434,2.740006920769986,0.17125043254812414,3.6639572978062205,0.22899733111288878,1.8526279764682372,0.11578924852926482,,10.0,16.0,,16.0,3.0,4.0,8.0,13.0,0.1875,0.25,0.5,0.8125,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,5845.35403030268,6.4682699448356065,0.0673778119253709,9.126111572890478,0.09506366221760915,3.4359374919455417,0.03579101554109939,11.935536119745736,10,96,0.7147327931600265,52,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,timm:tf_efficientnet_b0.in1k,timm/tf_efficientnet_b0.in1k,imagenet_val[6400],1066.6666666666667,True,0.5625,0.6875,0.875,1.0,0.16666666666666666,6400.0,245.3301161509626,3.4430363370266153,0.035864961844027245,4.122711087927988,0.04294490716591654,2.6522725245535814,0.02762783879743314,11.564278208765801,10.0,96.0,0.7938561185873397,55.0,3.0,4.0,8.0,13.0,0.03125,0.041666666666666664,0.08333333333333333,0.13541666666666666,66.66666666666667,True
