layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,88.60065066721745,1.7420371247318138,0.10887732029573836,2.390969168230678,0.14943557301441737,1.360793442133888,0.085049590133368,,10,16,,15,2,4,6,8,0.125,0.25,0.375,0.5,1,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,88.60065066721745,1.7420371247318138,0.10887732029573836,2.390969168230678,0.14943557301441737,1.360793442133888,0.085049590133368,,10,16,,15,2,4,6,8,0.125,0.25,0.375,0.5,2,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,88.60065066721745,1.7420371247318138,0.10887732029573836,2.390969168230678,0.14943557301441737,1.360793442133888,0.085049590133368,,10,16,,15,2,4,6,8,0.125,0.25,0.375,0.5,5,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,88.60065066721745,1.7420371247318138,0.10887732029573836,2.390969168230678,0.14943557301441737,1.360793442133888,0.085049590133368,,10,16,,15,2,4,6,8,0.125,0.25,0.375,0.5,10,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,88.60065066721745,1.7420371247318138,0.10887732029573836,2.390969168230678,0.14943557301441737,1.360793442133888,0.085049590133368,,10,16,,15,2,4,6,8,0.125,0.25,0.375,0.5,25,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,1024,96.18897189259414,1.7802614711746325,0.11126634194841453,2.49520574560753,0.15595035910047061,1.3714924514666003,0.08571827821666252,,10,16,,16,3,4,6,8,0.1875,0.25,0.375,0.5,50,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,2048,98.80955341536247,1.6399281593528614,0.10249550995955384,2.29633352350127,0.14352084521882938,1.3042505689653836,0.08151566056033648,,10,16,,16,2,3,6,8,0.125,0.1875,0.375,0.5,100,timm:tf_mobilenetv3_large_100.in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,4096,93.41183240695459,1.6375597963059327,0.1023474872691208,2.30296639739533,0.14393539983720813,1.3023067854086015,0.08139417408803759,,10,16,,16,2,3,6,8,0.125,0.1875,0.375,0.5,250,timm:tf_mobilenetv3_large_100.in1k
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2820.4650408974358,1.9607571085747,0.12254731928591875,2.8249337778348864,0.1765583611146804,1.4387835913454297,0.08992397445908935,,10,16,,16,3,4,5,9,0.1875,0.25,0.3125,0.5625,1,timm:tf_mobilenetv3_large_100.in1k
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2820.4650408974358,1.9607571085747,0.12254731928591875,2.8249337778348864,0.1765583611146804,1.4387835913454297,0.08992397445908935,,10,16,,16,3,4,5,9,0.1875,0.25,0.3125,0.5625,2,timm:tf_mobilenetv3_large_100.in1k
