layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,102400,92.39867628257609,1.6526183761814948,0.10328864851134342,2.316293849394462,0.14476836558715386,1.3101826474542182,0.08188641546588864,,10,16,,16,2,3,6,8,0.125,0.1875,0.375,0.5,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,0.125,0.1875,0.375,0.5,1.0,6400.0,25.749291691569773,1.915371689282203,0.11971073058013769,2.2654879829581804,0.14159299893488628,1.4751520255754578,0.09219700159846611,,10.0,16.0,,14.0,2.0,3.0,3.0,3.0,0.125,0.1875,0.1875,0.1875,400.0,True
bn1.act,act,1,16,1,False,,0,112.0,112.0,102400,3171.6453570580616,1.831657969254781,0.11447862307842381,2.6652177255240934,0.16657610784525584,1.381719078910956,0.08635744243193474,,10,16,,16,3,4,5,9,0.1875,0.25,0.3125,0.5625,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,758.5294904883325,1.6492121401556588,0.10307575875972867,2.2436088746686207,0.1402255546667888,1.306895841956705,0.08168099012229406,,10.0,16.0,,16.0,3.0,3.0,4.0,6.0,0.1875,0.1875,0.25,0.375,400.0,True
blocks.0.0.conv_dw,conv,2,16,16,True,16.0,0,112.0,112.0,102400,1928760.595748896,1.3253625387557488,0.0828351586722343,1.7628324073976067,0.11017702546235042,1.1567954847581947,0.07229971779738717,,10,16,,16,2,3,5,10,0.125,0.1875,0.3125,0.625,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,0.125,0.1875,0.3125,0.625,1.0,6400.0,470329.96895227727,1.000447808914824,0.0625279880571765,1.0024126905026838,0.06265079315641774,1.0002238877347605,0.06251399298342253,,10.0,16.0,,16.0,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,400.0,True
blocks.0.0.bn1.act,act,3,16,1,False,,0,112.0,112.0,102400,452.47843063077767,7.649709653544473,0.4781068533465296,10.427475096350888,0.6517171935219305,3.899326097415794,0.24370788108848712,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,8.652157715592546,2.694660466473343,0.16841627915458393,3.607605177803196,0.22547532361269976,2.016330469569614,0.12602065434810086,,10.0,16.0,,16.0,4.0,5.0,9.0,14.0,0.25,0.3125,0.5625,0.875,400.0,True
blocks.0.0.conv_pw,conv,4,16,1,False,16.0,0,112.0,112.0,102400,983.6605917502031,4.792374559424514,0.29952340996403215,7.1255651208894655,0.4453478200555916,2.7362629243306085,0.17101643277066303,,10,16,,16,8,10,12,13,0.5,0.625,0.75,0.8125,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,0.5,0.625,0.75,0.8125,1.0,6400.0,13.616587122839508,2.4094806687954002,0.15059254179971251,2.9964534524403263,0.1872783407775204,2.0096843516795477,0.12560527197997173,,10.0,16.0,,16.0,2.0,3.0,8.0,12.0,0.125,0.1875,0.5,0.75,400.0,True
blocks.0.0,block,5,16,1,False,,0,112.0,112.0,102400,13004.153739650805,6.496015254722594,0.4060009534201621,9.491390951087675,0.5932119344429797,3.266906784984089,0.20418167406150556,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,370.2440666045009,3.8461368715014057,0.24038355446883786,4.873891860644808,0.3046182412903005,2.5413011953929647,0.1588313247120603,,10.0,16.0,,16.0,4.0,5.0,9.0,14.0,0.25,0.3125,0.5625,0.875,400.0,True
blocks.1.0.conv_pw,conv,6,64,1,False,16.0,0,112.0,112.0,102400,96758.56359334606,3.8561488291603188,0.06025232545562998,6.032431919619709,0.09425674874405796,2.3297676788169834,0.036402619981515366,17.416694694638526,10,64,0.8065205306875839,36,7,10,13,15,0.109375,0.15625,0.203125,0.234375,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],1600.0,True,0.4375,0.625,0.8125,0.9375,0.25,6400.0,2866.221598089056,3.0393449223299784,0.04748976441140591,3.8910669792993273,0.06079792155155199,2.043069616332211,0.0319229627551908,15.850854984033933,10.0,64.0,0.8501517893878574,40.0,4.0,4.0,7.0,12.0,0.0625,0.0625,0.109375,0.1875,100.0,True
blocks.1.0.bn1.act,act,7,64,1,False,,0,112.0,112.0,102400,1938.87662469193,7.695936155654632,0.12024900243210362,12.034452976931572,0.1880383277645558,3.8310567954435544,0.05986026242880554,4.977563498360069,10,64,0.9194724343747198,64,12,16,25,41,0.1875,0.25,0.390625,0.640625,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,98.24826887246655,4.578976607849373,0.07154650949764646,6.79578314224248,0.10618411159753875,2.567431986425294,0.04011612478789522,6.615626568573224,10.0,64.0,0.9344916191711151,64.0,6.0,8.0,15.0,24.0,0.09375,0.125,0.234375,0.375,100.0,True
blocks.1.0.conv_dw,conv,8,64,64,True,64.0,0,56.0,56.0,102400,293601.92021274497,7.623475769694357,0.11911680890147433,14.512117030878349,0.2267518286074742,3.5987095605878006,0.056229836884184384,3.2065847280550064,10,64,0.8680101701967744,64,17,24,41,55,0.265625,0.375,0.640625,0.859375,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],1600.0,True,0.265625,0.375,0.640625,0.859375,1.0,6400.0,22865.345748676616,2.797900471608001,0.043717194868875014,5.087806705041621,0.07949697976627533,1.7354105741245256,0.027115790220695712,6.62630700908129,10.0,64.0,0.9494458136833217,64.0,7.0,8.0,14.0,25.0,0.109375,0.125,0.21875,0.390625,100.0,True
blocks.1.0.bn2.act,act,9,64,1,False,,0,56.0,56.0,102400,2999.4902437076644,8.546367695345122,0.13353699523976753,19.93384446981116,0.31146631984079937,3.3714497059231032,0.05267890165504849,2.035426037150238,10,64,0.864195433667498,64,28,37,52,61,0.4375,0.578125,0.8125,0.953125,timm:tf_mobilenetv3_large_100.in1k,timm/tf_mobilenetv3_large_100.in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,454.37181045283506,3.1276827446853432,0.04887004288570849,4.613421269710554,0.07208470733922741,1.9958317266238301,0.031184870728497346,3.1856851488792985,10.0,64.0,0.9807824956376646,64.0,4.0,6.0,13.0,35.0,0.0625,0.09375,0.203125,0.546875,100.0,True
