layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,52.173501879854776,4.943932275518813,0.07724894180498146,5.73072085415629,0.08954251334619204,3.949294167081182,0.06170772136064347,9.833507335893744,10,64,0.9467399717154252,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,1,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,52.173501879854776,4.943932275518813,0.07724894180498146,5.73072085415629,0.08954251334619204,3.949294167081182,0.06170772136064347,9.833507335893744,10,64,0.9467399717154252,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,2,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,52.173501879854776,4.943932275518813,0.07724894180498146,5.73072085415629,0.08954251334619204,3.949294167081182,0.06170772136064347,9.833507335893744,10,64,0.9467399717154252,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,5,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,55.35691746410677,5.158709505318189,0.0806048360205967,6.0012565919275955,0.09376963424886868,3.7887272445391145,0.059198863195923664,10.135865345200019,10,64,0.9538113072029171,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,10,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,2048,54.989804344486494,5.210804251039858,0.08141881642249778,6.079092350275173,0.09498581797304957,3.765179145689415,0.05883092415139711,10.620999122966275,10,64,0.963612298528,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,25,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,3584,53.636592775144436,5.207998997605335,0.08137498433758336,6.102834863790616,0.09535679474672837,3.837190279290876,0.059956098113919935,10.795875442970695,10,64,0.9648385585964517,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,50,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,6656,51.21671065013325,5.178762122662538,0.08091815816660215,6.120965071730999,0.09564007924579686,3.6966970239890737,0.05776089099982928,11.168564518719434,10,64,0.9667471547508066,44,5,6,9,12,0.078125,0.09375,0.140625,0.1875,100,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,16384,49.600419509030395,5.162766827705465,0.08066823168289788,6.076894561918945,0.09495147752998352,3.65302386611506,0.05707849790804781,12.067779278544226,10,64,0.9803952221575901,43,5,6,9,12,0.078125,0.09375,0.140625,0.1875,250,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,512,13.14760957445417,7.952662937936784,0.12426035840526226,12.236053999222266,0.1911883437378479,4.272664396669208,0.06676038119795638,2.9085889601145283,10,64,0.9865077946540248,64,11,16,34,56,0.171875,0.25,0.53125,0.875,1,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,512,13.14760957445417,7.952662937936784,0.12426035840526226,12.236053999222266,0.1911883437378479,4.272664396669208,0.06676038119795638,2.9085889601145283,10,64,0.9865077946540248,64,11,16,34,56,0.171875,0.25,0.53125,0.875,2,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,512,13.14760957445417,7.952662937936784,0.12426035840526226,12.236053999222266,0.1911883437378479,4.272664396669208,0.06676038119795638,2.9085889601145283,10,64,0.9865077946540248,64,11,16,34,56,0.171875,0.25,0.53125,0.875,5,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,1024,16.773252529458283,8.388946381217595,0.13107728720652492,13.011904401025454,0.20331100626602272,4.699601422297046,0.07343127222339134,2.815427676467537,10,64,0.988370393801771,64,12,17,36,57,0.1875,0.265625,0.5625,0.890625,10,timm:vgg16.tv_in1k
