layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,102400,50.443194690232005,5.153568928957746,0.08052451451496478,6.062669960596696,0.09472921813432338,3.721831716247626,0.058153620566369156,13.05288434994649,10,64,0.9855436719122445,43,5,6,9,12,0.078125,0.09375,0.140625,0.1875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],1600.0,True,0.18518518518518517,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.421875,6400.0,9.12146225353944,2.8254779539995742,0.04414809303124335,2.916901404993471,0.045576584453022984,2.2594806941281234,0.03530438584575193,8.020107570124004,10.0,64.0,0.8909185241510611,38.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
features.1,act,1,64,1,False,,0,224.0,224.0,102400,16.190041726338173,8.66200555784508,0.13534383684132936,13.47356176579876,0.21052440259060562,4.663643517203833,0.07286942995630989,2.6930906144757296,10,64,0.9923342920637214,64,13,18,38,58,0.203125,0.28125,0.59375,0.90625,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,2.1796982814328443,4.824532235606046,0.07538331618134447,6.624823275158761,0.10351286367435564,3.019112990429089,0.04717364047545452,3.716416331148213,10.0,64.0,0.9513640870478299,64.0,6.0,8.0,13.0,34.0,0.09375,0.125,0.203125,0.53125,100.0,True
features.2,conv,2,64,1,False,64.0,0,224.0,224.0,102400,291.8138998951728,9.528141094883265,0.14887720460755102,13.615507308553765,0.21274230169615257,5.479006937923589,0.08560948340505607,4.167651844266952,10,64,0.9800317170266729,64,12,17,27,46,0.1875,0.265625,0.421875,0.71875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],1600.0,True,0.1875,0.265625,0.421875,0.71875,1.0,6400.0,30.61082903333271,2.9448763755720546,0.04601369336831335,3.8725419376966004,0.06050846777650938,2.2054789952413323,0.03446060930064582,5.934128224914753,10.0,64.0,0.9653430862113879,64.0,4.0,5.0,7.0,16.0,0.0625,0.078125,0.109375,0.25,100.0,True
features.3,act,3,64,1,False,,0,224.0,224.0,102400,81.62329388884991,18.16301498548344,0.28379710914817874,27.17219917388382,0.42456561209193466,9.870701643429388,0.1542297131785842,2.0318100042992233,10,64,0.9806945308329664,64,26,37,55,63,0.40625,0.578125,0.859375,0.984375,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,10.751985241696525,4.641895434616198,0.0725296161658781,6.70147196074891,0.10471049938670172,2.7973246602378685,0.043708197816216696,3.8653561262914,10.0,64.0,0.9619607513454919,64.0,6.0,9.0,19.0,38.0,0.09375,0.140625,0.296875,0.59375,100.0,True
features.5,conv,4,128,1,False,128.0,0,112.0,112.0,102400,1885.693937967152,10.364065683563553,0.08096926315284025,19.779975635587178,0.15453105965302483,4.130447558259158,0.032269121548899674,3.104331057853472,10,128,0.9657610420436538,128,22,30,58,100,0.171875,0.234375,0.453125,0.78125,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],800.0,True,0.171875,0.234375,0.453125,0.78125,1.0,6400.0,206.36987768258524,2.3083565155347157,0.018034035277614966,4.075533257769546,0.03184010357632458,1.5562954189955014,0.012158557960902355,6.165402875364716,10.0,128.0,0.9526751156538517,128.0,5.0,7.0,12.0,23.0,0.0390625,0.0546875,0.09375,0.1796875,50.0,True
features.6,act,5,128,1,False,,0,112.0,112.0,102400,292.44200379100073,36.76046613382779,0.2871911416705296,61.76649563093574,0.48255074711668544,12.22986720631531,0.09554583754933836,1.362261169409012,10,128,0.9689699485159871,128,70,91,117,127,0.546875,0.7109375,0.9140625,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,15.68749398513339,4.83104052280667,0.03774250408442711,9.807240748539567,0.07661906834796536,2.4562157662849486,0.01918918567410116,2.396094824536032,10.0,128.0,0.9860981118704458,128.0,10.0,19.0,52.0,104.0,0.078125,0.1484375,0.40625,0.8125,50.0,True
features.7,conv,6,128,1,False,128.0,0,112.0,112.0,102400,2810.4499579316216,25.10891311719644,0.1961633837280972,38.07072142147257,0.29742751110525445,11.439607525821707,0.08937193379548208,2.4479140354159106,10,128,0.9764275845224766,128,35,50,88,120,0.2734375,0.390625,0.6875,0.9375,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],800.0,True,0.2734375,0.390625,0.6875,0.9375,1.0,6400.0,117.04166322868359,4.514825222532582,0.035272072051035795,7.8690583616047105,0.0614770184500368,2.3880714396556413,0.018656808122309698,4.137931973953983,10.0,128.0,0.9424791498438769,128.0,8.0,11.0,24.0,55.0,0.0625,0.0859375,0.1875,0.4296875,50.0,True
features.8,act,7,128,1,False,,0,112.0,112.0,102400,605.2059863388033,50.86119948557709,0.397353120981071,76.9121604560868,0.6008762535631781,17.381983128759433,0.13579674319343307,1.1503508054748197,10,128,0.9825270866715847,128,81,100,121,127,0.6328125,0.78125,0.9453125,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,28.200350864076462,7.252434041194382,0.05665964094683111,14.28393963625853,0.11159327840826977,3.2208708841411258,0.025163053782352545,2.6134777039618187,10.0,128.0,0.9861288866861281,128.0,15.0,25.0,58.0,106.0,0.1171875,0.1953125,0.453125,0.828125,50.0,True
features.10,conv,8,256,1,False,256.0,0,56.0,56.0,102400,13159.72651643729,24.162856013312844,0.0943861563020033,47.44745442202358,0.18534161883602962,7.436294958621347,0.029048027182114636,2.4290371938983024,10,256,0.960768973148585,256,50,75,144,224,0.1953125,0.29296875,0.5625,0.875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],400.0,True,0.1953125,0.29296875,0.5625,0.875,1.0,6400.0,1207.5406108392724,7.22768323517945,0.028233137637419727,12.096216344780261,0.047250845096797896,3.3605156986303704,0.013127014447774884,5.200026499182233,10.0,256.0,0.9505117556658808,256.0,12.0,17.0,30.0,63.0,0.046875,0.06640625,0.1171875,0.24609375,25.0,False
features.11,act,9,256,1,False,,0,56.0,56.0,102400,2404.8140791713513,63.80368414241978,0.24923314118132728,122.0694351764115,0.47683373115785743,15.670906671961294,0.061214479187348805,1.1219177067404917,10,256,0.9834424307403209,256,150,192,239,254,0.5859375,0.75,0.93359375,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,139.25085495645527,9.418535129921846,0.03679115285125721,20.977040432664342,0.08194156419009509,3.896136358277567,0.015219282649521746,2.1020266437149027,10.0,256.0,0.9912546739223448,256.0,25.0,47.0,127.0,225.0,0.09765625,0.18359375,0.49609375,0.87890625,25.0,False
