layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,102400,37.21270787713252,4.684089145247958,0.07318889289449934,5.101768709670726,0.07971513608860509,3.6231623546074845,0.056611911790741945,22.337501483868415,10,64,0.8737142683359516,34,5,5,6,8,0.078125,0.078125,0.09375,0.125,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],1600.0,True,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.421875,6400.0,6.319335191506991,2.8599987370086546,0.04468748026576023,2.9363168574511036,0.045879950897673494,2.320186243355123,0.036252910052423794,17.516746098867443,10.0,64.0,0.8243952505665333,28.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
features.2,act,1,64,1,False,,0,224.0,224.0,102400,1.2863983355638244,6.33576913260365,0.09899639269693203,9.19783474749579,0.14371616792962172,3.1723581134584444,0.049568095522788194,32.377336872795276,10,64,0.38472258802561543,43,9,11,15,24,0.140625,0.171875,0.234375,0.375,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.10911043071595476,4.621506456594011,0.07221103838428142,6.151674479731802,0.0961199137458094,3.030310864580316,0.047348607259067435,30.485403671620567,10.0,64.0,0.39792270066738533,43.0,5.0,7.0,13.0,24.0,0.078125,0.109375,0.203125,0.375,100.0,True
features.3,conv,2,64,1,False,64.0,0,224.0,224.0,102400,16.031023727520196,9.569792090563535,0.14952800141505523,12.827264016842266,0.2004260002631604,6.017051395381443,0.09401642805283504,6.47164311992907,10,64,0.43859871303591635,63,11,14,24,41,0.171875,0.21875,0.375,0.640625,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],1600.0,True,0.171875,0.21875,0.375,0.640625,1.0,6400.0,1.732704390732415,2.8743326983834616,0.04491144841224159,3.5740545660965246,0.0558446025952582,2.171731748351369,0.03393330856799014,10.002188079891445,10.0,64.0,0.7055147309808069,62.0,3.0,4.0,6.0,13.0,0.046875,0.0625,0.09375,0.203125,100.0,True
features.5,act,3,64,1,False,,0,224.0,224.0,102400,1.926774725557893,15.804152394244294,0.2469398811600671,24.201363444831003,0.3781463038254844,8.691632764751313,0.13580676194923927,5.629081261408216,10,64,0.16598574967520918,62,25,33,48,60,0.390625,0.515625,0.75,0.9375,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.27528241124112934,3.709904187292184,0.05796725292644037,5.483813708995829,0.08568458920305982,2.680401630196891,0.04188127547182642,7.149405061937822,10.0,64.0,0.24970185819794177,62.0,5.0,7.0,18.0,37.0,0.078125,0.109375,0.28125,0.578125,100.0,True
features.7,conv,4,128,1,False,128.0,0,112.0,112.0,102400,23.660595588765826,11.9313784004031,0.09321389375314922,21.06358497966883,0.16455925765366272,4.810909667600395,0.037585231778128086,8.68239106100509,10,128,0.47814071184605045,118,22,30,51,83,0.171875,0.234375,0.3984375,0.6484375,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],800.0,True,0.171875,0.234375,0.3984375,0.6484375,1.0,6400.0,2.630891933656665,3.145709642458122,0.024575856581704077,5.154364234299626,0.04026847058046583,1.889222660926305,0.014759552038486758,11.365530240577074,10.0,128.0,0.6077233564006073,109.0,6.0,7.0,12.0,22.0,0.046875,0.0546875,0.09375,0.171875,50.0,True
features.9,act,5,128,1,False,,0,112.0,112.0,102400,1.8830155659830439,37.08423970010775,0.2897206226570918,53.75987040632924,0.4199989875494472,16.123215958037516,0.1259626246721681,9.335452948855146,10,128,0.1880755352303014,105,53,67,89,101,0.4140625,0.5234375,0.6953125,0.7890625,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.073865343425672,6.627892224373764,0.05178040800292003,12.643119667573796,0.09877437240292028,3.0700704167252955,0.02398492513066637,13.219908041146716,10.0,128.0,0.2506578330079722,105.0,13.0,22.0,49.0,89.0,0.1015625,0.171875,0.3828125,0.6953125,50.0,True
features.10,conv,6,128,1,False,128.0,0,112.0,112.0,102400,12.378967944938005,26.598186493131692,0.20779833197759134,40.71932451951735,0.3181197228087293,11.350444148992974,0.08867534491400761,4.379803998205469,10,128,0.27553871417700015,125,38,51,82,114,0.296875,0.3984375,0.640625,0.890625,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],800.0,True,0.296875,0.3984375,0.640625,0.890625,1.0,6400.0,0.6285052732679688,3.98775661549976,0.031154348558591876,7.010896682633037,0.0547726303330706,2.176849401780679,0.017006635951411556,6.441912194654516,10.0,128.0,0.4650530110665154,123.0,7.0,10.0,19.0,43.0,0.0546875,0.078125,0.1484375,0.3359375,50.0,True
features.12,act,7,128,1,False,,0,112.0,112.0,102400,3.0571913043474517,50.50735393706281,0.3945887026333032,74.55498566112544,0.5824608254775425,18.590326226532405,0.1452369236447844,3.450056062929637,10,128,0.1139491324330365,123,76,94,115,122,0.59375,0.734375,0.8984375,0.953125,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.16206025366031762,8.125375381463636,0.06347949516768465,14.363862321778976,0.11221767438889825,3.6532021135748987,0.028540641512303896,5.541504684191932,10.0,128.0,0.21502831054601867,123.0,15.0,22.0,50.0,97.0,0.1171875,0.171875,0.390625,0.7578125,50.0,True
features.14,conv,8,256,1,False,256.0,0,56.0,56.0,102400,35.53788503815963,31.321741212269934,0.12235055161042943,56.39008847046024,0.22027378308773532,9.56211088213164,0.037351995633326716,3.703203027611071,10,256,0.3324741785189018,252,57,80,143,214,0.22265625,0.3125,0.55859375,0.8359375,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],400.0,True,0.22265625,0.3125,0.55859375,0.8359375,1.0,6400.0,3.0762727091985425,8.49640274752124,0.03318907323250484,14.243586448740217,0.05563900956539147,3.6382094818703345,0.014211755788555994,6.375953100406732,10.0,256.0,0.6015038825524088,247.0,14.0,19.0,32.0,61.0,0.0546875,0.07421875,0.125,0.23828125,25.0,False
features.16,act,9,256,1,False,,0,56.0,56.0,102400,3.4906813589996544,80.03553322959715,0.31263880167811386,129.91087509103957,0.5074643558243733,25.485377670282602,0.09955225652454142,2.147144426103249,10,256,0.11605625092137972,247,141,179,226,242,0.55078125,0.69921875,0.8828125,0.9453125,timm:vgg16_bn.tv_in1k,timm/vgg16_bn.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,0.17385569019559122,14.100272603873131,0.05507918985887942,27.718237728143794,0.1082743661255617,5.806339721707092,0.022681014537918327,3.307167660933396,10.0,256.0,0.20868642318817132,247.0,31.0,54.0,129.0,216.0,0.12109375,0.2109375,0.50390625,0.84375,25.0,False
