layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1868.891539213475,2.9678657772427086,0.04637290276941732,5.536172779392201,0.08650269967800314,1.796151981335907,0.028064874708373547,6.351205244625128,10,64,0.9381366989628577,64,7,10,17,29,0.109375,0.15625,0.265625,0.453125,1,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1868.891539213475,2.9678657772427086,0.04637290276941732,5.536172779392201,0.08650269967800314,1.796151981335907,0.028064874708373547,6.351205244625128,10,64,0.9381366989628577,64,7,10,17,29,0.109375,0.15625,0.265625,0.453125,2,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,1868.891539213475,2.9678657772427086,0.04637290276941732,5.536172779392201,0.08650269967800314,1.796151981335907,0.028064874708373547,6.351205244625128,10,64,0.9381366989628577,64,7,10,17,29,0.109375,0.15625,0.265625,0.453125,5,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2094.82550794914,3.222395560071456,0.0503499306261165,6.020554748866982,0.0940711679510466,1.8906894754240375,0.029542023053500586,6.201420464441253,10,64,0.9322017516824687,64,7,11,18,31,0.109375,0.171875,0.28125,0.484375,10,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,2081.62929656278,3.0394090218031184,0.047490765965673726,5.690455155872743,0.08891336181051161,1.825554659014557,0.028524291547102454,6.148856245437846,10,64,0.9315238154101906,64,7,10,18,30,0.109375,0.15625,0.28125,0.46875,25,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,2019.74823272186,3.042898262616195,0.04754528535337805,5.685419579124398,0.08883468092381872,1.8295107693976576,0.0285861057718384,6.090202107360939,10,64,0.9313991123307194,64,7,10,18,30,0.109375,0.15625,0.28125,0.46875,50,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,1972.3267000618362,2.9287881337274766,0.04576231458949182,5.548184050717577,0.08669037579246214,1.7833416149980654,0.027864712734344772,6.061560964966056,10,64,0.9299382514557655,64,7,10,18,31,0.109375,0.15625,0.28125,0.484375,100,timm:wide_resnet50_2.racm_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,1958.475887315396,2.876381940497152,0.044943467820268,5.41431879628936,0.08459873119202126,1.7660365506223556,0.027594321103474307,6.057444799793256,10,64,0.9298553862867818,64,7,10,18,30,0.109375,0.15625,0.28125,0.46875,250,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,931.7698956692985,3.3816053751646367,0.05283758398694745,7.963113646962356,0.1244236507337868,1.8978294776796705,0.02965358558874485,3.5860668001792586,10,64,0.7245207429048346,64,12,18,35,53,0.1875,0.28125,0.546875,0.828125,1,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,931.7698956692985,3.3816053751646367,0.05283758398694745,7.963113646962356,0.1244236507337868,1.8978294776796705,0.02965358558874485,3.5860668001792586,10,64,0.7245207429048346,64,12,18,35,53,0.1875,0.28125,0.546875,0.828125,2,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,931.7698956692985,3.3816053751646367,0.05283758398694745,7.963113646962356,0.1244236507337868,1.8978294776796705,0.02965358558874485,3.5860668001792586,10,64,0.7245207429048346,64,12,18,35,53,0.1875,0.28125,0.546875,0.828125,5,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,1024.2539654516042,4.005711045309794,0.06258923508296553,9.700966061052268,0.1515775947039417,2.083164918528843,0.03254945185201317,3.1328517835193512,10,64,0.7703554643878714,64,14,21,40,56,0.21875,0.328125,0.625,0.875,10,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,1015.0693645891715,3.7419265017979715,0.058467601590593304,9.119951497104044,0.14249924214225068,2.0073468525673026,0.0313647945713641,2.884994228150822,10,64,0.8168497954636658,64,14,21,41,56,0.21875,0.328125,0.640625,0.875,25,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,980.2406565562924,3.7312221978929903,0.05830034684207797,9.091753075509704,0.14205864180483913,2.0064615057306865,0.031350961027041976,2.795044724309437,10,64,0.8359662290535897,64,14,21,41,57,0.21875,0.328125,0.640625,0.890625,50,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,967.4768553588508,3.657269412155088,0.05714483456492325,9.031001508737944,0.14110939857403038,1.9796638473157262,0.030932247614308222,2.7321731570457253,10,64,0.8336803515720006,64,14,21,42,57,0.21875,0.328125,0.65625,0.890625,100,timm:wide_resnet50_2.racm_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,949.005859015187,3.5459084384771904,0.0554048193512061,8.748283247998918,0.1366919257499831,1.9459001570801193,0.030404689954376864,2.739278925541822,10,64,0.8411241948793626,64,13,21,41,57,0.203125,0.328125,0.640625,0.890625,250,timm:wide_resnet50_2.racm_in1k
