layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,1963.074958461491,2.8697511927686503,0.04483986238701016,5.389483580321051,0.08421068094251642,1.7636360603351262,0.027556813442736347,6.0406084214704485,10,64,0.9294815127419588,64,6,10,18,30,0.09375,0.15625,0.28125,0.46875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],1600.0,True,0.09375,0.15625,0.28125,0.46875,1.0,6400.0,451.7262322353261,2.109808132140824,0.03296575206470038,2.458692306487788,0.03841706728887169,1.5758028807193871,0.024621920011240424,8.266330350674236,10.0,64.0,0.9833921473478017,55.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,946.0929186109145,3.5605702155703134,0.05563390961828615,8.792896490672208,0.13738900766675324,1.9486901739803562,0.030448283968443065,2.7837377396647955,10,64,0.8366513708077323,64,13,21,41,56,0.203125,0.328125,0.640625,0.875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,185.44969479237494,2.0185366463934824,0.03153963509989816,2.680408754559448,0.04188138678999138,1.4966031038156298,0.023384423497119215,4.2824061346828035,10.0,64.0,0.9052048014851032,64.0,3.0,3.0,5.0,17.0,0.046875,0.046875,0.078125,0.265625,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,18777.024340679694,4.584118604726733,0.0358134265994276,7.710494249237204,0.060238236322165656,2.9463706267012424,0.023018520521103456,10.1466063546729,10,128,0.7723075548433133,95,9,12,22,40,0.0703125,0.09375,0.171875,0.3125,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,0.140625,0.1875,0.34375,0.625,0.5,6400.0,3819.4558666571547,2.7680059565051227,0.02162504653519627,3.7859928175923323,0.029578068887440096,2.132231725425879,0.01665806035488968,9.482720884194237,10.0,128.0,0.8525044464084498,95.0,4.0,5.0,9.0,19.0,0.03125,0.0390625,0.0703125,0.1484375,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,252.96296308947225,7.43676941192591,0.058099761030671174,20.14256030577677,0.157363752388881,3.035932349847136,0.02371822148318075,2.1410278758572265,10,128,0.7899962004130171,128,31,51,91,116,0.2421875,0.3984375,0.7109375,0.90625,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,44.776198574596805,3.134830518145358,0.02449086342301061,5.814013300630443,0.04542197891117534,1.9270496726220865,0.01505507556736005,2.8539679397795967,10.0,128.0,0.9548453546338754,128.0,7.0,11.0,30.0,78.0,0.0546875,0.0859375,0.234375,0.609375,50.0,True
layer1.0.conv2,conv,4,128,1,False,128.0,0,56.0,56.0,102400,12681.502085579556,4.7245786449001566,0.03691077066328247,11.308771479903328,0.08834977718674475,2.3340387478894122,0.018234677717886033,3.0120964744660887,10,128,0.9495352694602235,128,16,25,54,95,0.125,0.1953125,0.421875,0.7421875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,0.125,0.1953125,0.421875,0.7421875,1.0,6400.0,2209.0511607935814,1.8607963779208503,0.014537471702506643,3.1653044123272913,0.024728940721306963,1.387992076905639,0.010843688100825305,4.7286562580625136,10.0,128.0,0.9731000325689299,128.0,4.0,7.0,13.0,31.0,0.03125,0.0546875,0.1015625,0.2421875,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,542.6228075067695,2.323467384567295,0.01815208894193199,7.430499749944239,0.05805077929643937,1.5308239179092384,0.011959561858665925,2.119308600182061,10,128,0.9175934872405166,128,24,40,82,115,0.1875,0.3125,0.640625,0.8984375,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,115.97840575983034,1.2940333296636988,0.010109635387997647,2.006734804256466,0.01567761565825364,1.1389216466190601,0.008897825364211407,2.77791979692635,10.0,128.0,0.9781608960257387,128.0,2.0,5.0,17.0,60.0,0.015625,0.0390625,0.1328125,0.46875,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,23201.354957784384,1.125630269286864,0.004396993239401813,1.5007809975945603,0.005862425771853751,1.0610740420846168,0.004144820476893034,10.624125910716979,10,256,0.5245781735334143,173,1,3,18,44,0.00390625,0.01171875,0.0703125,0.171875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,0.0078125,0.0234375,0.140625,0.34375,0.5,6400.0,6330.431533273242,1.031287450818405,0.004028466604759394,1.1213106273561473,0.00438011963810995,1.0155437808342744,0.0039669678938838845,9.763107380827794,10.0,256.0,0.5344041347162765,170.0,1.0,1.0,3.0,14.0,0.00390625,0.00390625,0.01171875,0.0546875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,70119.80700560511,1.4075937693041316,0.005498413161344264,2.296147980585876,0.008969328049163578,1.1899692324673525,0.004648317314325596,12.406860514080932,10,256,0.6342976012413297,145,3,6,19,37,0.01171875,0.0234375,0.07421875,0.14453125,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,0.046875,0.09375,0.296875,0.578125,0.25,6400.0,18882.806341365005,1.3128334552153442,0.005128255684434938,1.8245036098523313,0.007126967225985669,1.149179030563079,0.004488980588137027,11.655699175518928,10.0,256.0,0.5958809098889015,144.0,2.0,3.0,6.0,16.0,0.0078125,0.01171875,0.0234375,0.0625,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,728.9103128777107,36.795314751934704,0.14373169824974494,62.12240830669141,0.24266565744801333,16.393099925958943,0.06403554658577712,5.674471562961762,10,256,0.2210878237305003,228,65,96,157,200,0.25390625,0.375,0.61328125,0.78125,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,76.90259740217239,11.653236671000679,0.0455204557460964,19.544562693241257,0.07634594802047366,5.793223968368277,0.022629781126438583,6.740446139463321,10.0,256.0,0.23386475944319718,228.0,18.0,30.0,71.0,148.0,0.0703125,0.1171875,0.27734375,0.578125,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,730.4284295100089,36.78474360940951,0.1436904047242559,62.108383678812345,0.24261087374536072,16.41529707290001,0.06412225419101567,6.095971616465725,10,256,0.2032972990224502,228,65,96,157,200,0.25390625,0.375,0.61328125,0.78125,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,76.90259740217239,11.653236671000679,0.0455204557460964,19.544562693241257,0.07634594802047366,5.793223968368277,0.022629781126438583,6.740446139463321,10.0,256.0,0.23386475944319718,228.0,18.0,30.0,71.0,148.0,0.0703125,0.1171875,0.27734375,0.578125,25.0,False
layer1.1.conv1,conv,10,128,1,False,128.0,0,56.0,56.0,102400,3463.5044664207653,11.76232921495106,0.09189319699180516,18.624481621700497,0.14550376266953513,6.510107193038935,0.05086021244561668,3.5103557657209996,10,128,0.9426583517949044,128,18,27,50,88,0.140625,0.2109375,0.390625,0.6875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,0.140625,0.2109375,0.390625,0.6875,1.0,6400.0,232.89496329991698,4.563477963384447,0.03565217158894099,8.669097528926205,0.06772732444473598,2.368547016913912,0.018504273569639938,3.9106810888425154,10.0,128.0,0.9537460198752228,128.0,9.0,14.0,30.0,64.0,0.0703125,0.109375,0.234375,0.5,50.0,True
layer1.1.act1,act,11,128,1,False,,0,56.0,56.0,102400,196.34657913269618,31.623655213579525,0.24705980635609004,55.280698041800235,0.43188045345156434,14.175660592960853,0.11074734838250666,1.4558616399477362,10,128,0.8963804972673296,128,64,85,114,124,0.5,0.6640625,0.890625,0.96875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,9.575084537016723,9.912459036423758,0.07744108622206061,16.97902797026026,0.13264865601765827,5.612791079390433,0.04384993030773776,2.3697066970533047,10.0,128.0,0.987296536787427,128.0,17.0,28.0,68.0,113.0,0.1328125,0.21875,0.53125,0.8828125,50.0,True
layer1.1.conv2,conv,12,128,1,False,128.0,0,56.0,56.0,102400,4098.918384255025,20.173232218307476,0.15760337670552715,35.60516201370085,0.2781653282320379,8.575339225427852,0.0669948376986551,2.204094837336416,10,128,0.9697490213083497,128,38,54,93,122,0.296875,0.421875,0.7265625,0.953125,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,0.296875,0.421875,0.7265625,0.953125,1.0,6400.0,85.49183898044981,5.91534009199647,0.04621359446872242,10.583999567501596,0.08268749662110622,2.7874860677662907,0.021777234904424146,3.517811869696374,10.0,128.0,0.9516421445942409,128.0,10.0,15.0,35.0,73.0,0.078125,0.1171875,0.2734375,0.5703125,50.0,True
layer1.1.act2,act,13,128,1,False,,0,56.0,56.0,102400,508.7351810639612,51.72967898765242,0.40413811709103453,76.73740702906792,0.5995109924145932,19.66150593011126,0.15360551507899423,1.2285780611900217,10,128,0.9333393669459565,128,79,98,119,127,0.6171875,0.765625,0.9296875,0.9921875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,11.486415546966846,8.749737322360073,0.06835732283093807,16.474306367918107,0.1287055184993602,3.7866935425667227,0.02958354330130252,2.400011966072225,10.0,128.0,0.9890124609605992,128.0,17.0,29.0,66.0,113.0,0.1328125,0.2265625,0.515625,0.8828125,50.0,True
layer1.1.conv3,conv,14,256,1,False,128.0,0,56.0,56.0,102400,2093.3100812004595,23.96411969340298,0.0936098425523554,38.2890359716164,0.14956654676412656,8.366595333271896,0.03268201302059334,9.173324783719963,10,256,0.641877364838934,186,37,48,75,107,0.14453125,0.1875,0.29296875,0.41796875,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,0.2890625,0.375,0.5859375,0.8359375,0.5,6400.0,84.49355100248647,6.140261067145848,0.023985394793538468,11.05327319984498,0.043176848436894455,2.896098500213598,0.011312884766459367,9.180797023889811,10.0,256.0,0.7556392587196596,188.0,11.0,17.0,35.0,62.0,0.04296875,0.06640625,0.13671875,0.2421875,25.0,False
layer1.1.act3,act,15,256,1,False,,0,56.0,56.0,102400,1005.6927982454172,57.764703112723744,0.22564337153407713,96.37014630477098,0.37644588400301165,19.843020706802676,0.07751179963594795,1.9044969685059798,10,256,0.826852104503313,256,100,137,200,239,0.390625,0.53515625,0.78125,0.93359375,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,83.08637314418233,13.156097718434397,0.051391006712634364,23.03329359887966,0.08997380312062367,6.240898717334459,0.02437851061458773,2.765168659929112,10.0,256.0,0.8986753241980201,256.0,23.0,38.0,94.0,189.0,0.08984375,0.1484375,0.3671875,0.73828125,25.0,False
layer1.1,block,16,256,1,False,,0,56.0,56.0,102400,998.9073766678516,57.74058662595894,0.2255491665076521,96.26790113582972,0.37604648881183483,19.99281330457156,0.07809692697098265,1.90376803104448,10,256,0.8314454292715988,256,100,137,199,239,0.390625,0.53515625,0.77734375,0.93359375,timm:wide_resnet50_2.racm_in1k,timm/wide_resnet50_2.racm_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,83.08637314418233,13.156097718434397,0.051391006712634364,23.03329359887966,0.08997380312062367,6.240898717334459,0.02437851061458773,2.765168659929112,10.0,256.0,0.8986753241980201,256.0,23.0,38.0,94.0,189.0,0.08984375,0.1484375,0.3671875,0.73828125,25.0,False
