layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,766.8862112384952,3.002474804232334,0.04691366881613022,5.849544851386639,0.09139913830291624,1.8024650193680862,0.028163515927626347,6.28086029052526,10,64,0.9042911154724964,64,7,11,20,33,0.109375,0.171875,0.3125,0.515625,1,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,766.8862112384952,3.002474804232334,0.04691366881613022,5.849544851386639,0.09139913830291624,1.8024650193680862,0.028163515927626347,6.28086029052526,10,64,0.9042911154724964,64,7,11,20,33,0.109375,0.171875,0.3125,0.515625,2,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,766.8862112384952,3.002474804232334,0.04691366881613022,5.849544851386639,0.09139913830291624,1.8024650193680862,0.028163515927626347,6.28086029052526,10,64,0.9042911154724964,64,7,11,20,33,0.109375,0.171875,0.3125,0.515625,5,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,851.4027317488078,3.224903618149111,0.05038911903357986,6.433998988218214,0.10053123419090959,1.8715744274594455,0.029243350429053835,6.052868518045615,10,64,0.9073282616465814,64,8,12,21,34,0.125,0.1875,0.328125,0.53125,10,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,842.475693728676,3.036132169548506,0.04743956514919541,6.075390273611534,0.09492797302518022,1.8059331587394494,0.028217705605303896,5.987620896276105,10,64,0.9060717503104545,64,8,12,21,34,0.125,0.1875,0.328125,0.53125,25,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,813.436462338897,3.0367983841830393,0.04744997475285999,6.087294966899063,0.09511398385779786,1.8059836709595825,0.028218494858743476,5.9206360247893555,10,64,0.9042469435185148,64,8,12,21,34,0.125,0.1875,0.328125,0.53125,50,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,796.6133643449548,2.932348326111651,0.04581794259549455,5.933960912515289,0.09271813925805139,1.7683819401316208,0.027630967814556574,5.900779162158065,10,64,0.9036134137277169,64,8,12,21,34,0.125,0.1875,0.328125,0.53125,100,timm:wide_resnet50_2.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,790.2067262096896,2.8722206144331754,0.044878447100518366,5.776832839215782,0.09026301311274659,1.74858122745646,0.02732158167900719,5.896013230015745,10,64,0.9024977190618462,64,8,11,21,34,0.125,0.171875,0.328125,0.53125,250,timm:wide_resnet50_2.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,287.00263316384036,2.9670094232111386,0.04635952223767404,7.507495702863842,0.11730462035724754,1.755376026732279,0.02742775041769186,2.8401572432775994,10,64,0.8251974630769523,64,13,20,40,57,0.203125,0.3125,0.625,0.890625,1,timm:wide_resnet50_2.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,287.00263316384036,2.9670094232111386,0.04635952223767404,7.507495702863842,0.11730462035724754,1.755376026732279,0.02742775041769186,2.8401572432775994,10,64,0.8251974630769523,64,13,20,40,57,0.203125,0.3125,0.625,0.890625,2,timm:wide_resnet50_2.tv2_in1k
