layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,791.0483373847784,2.8692554510556505,0.04483211642274454,5.747084406206438,0.0897981938469756,1.7484596564352717,0.02731968213180112,5.88882328084209,10,64,0.9030050189434584,64,8,11,21,34,0.125,0.171875,0.328125,0.53125,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],1600.0,True,0.125,0.171875,0.328125,0.53125,1.0,6400.0,164.64906955800151,1.82793027167722,0.028561410494956564,2.236928259366094,0.03495200405259522,1.406756934090742,0.021980577095167843,8.461459185481486,10.0,64.0,0.9880797135372578,57.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,290.1007974423834,3.144530869086893,0.049133294829482706,8.525655351807698,0.13321336487199528,1.8060106724179215,0.028218916756530023,2.42651544057377,10,64,0.808773740119268,64,16,25,46,59,0.25,0.390625,0.71875,0.921875,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,53.26713434824081,1.6041503385415063,0.025064849039711037,2.2956766247779745,0.03586994726215585,1.2854371643632285,0.020084955693175446,4.673829229181835,10.0,64.0,0.9123197081824349,64.0,3.0,3.0,7.0,19.0,0.046875,0.046875,0.109375,0.296875,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,2533.177146743707,3.5989287286149834,0.028116630692304558,6.026284996813312,0.047080351537604,2.3869451693551165,0.018648009135586847,10.359073591459694,10,128,0.7276582108888145,95,7,11,24,42,0.0546875,0.0859375,0.1875,0.328125,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],800.0,True,0.109375,0.171875,0.375,0.65625,0.5,6400.0,565.0478989982568,2.390152519953623,0.01867306656213768,3.118412282457029,0.02436259595669554,1.8883920016575642,0.01475306251294972,9.892423930096486,10.0,128.0,0.761052932443338,94.0,3.0,4.0,8.0,17.0,0.0234375,0.03125,0.0625,0.1328125,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,47.49191429134183,6.45133433138285,0.05040104946392852,18.31631153022452,0.14309618382987907,2.8215437725048966,0.022043310722694505,2.5272140283203144,10,128,0.21840704857241466,125,32,51,91,116,0.25,0.3984375,0.7109375,0.90625,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,9.235003613064752,3.0781024639134134,0.024047675499323542,5.413527458691148,0.0422931832710246,1.9600093812284682,0.015312573290847408,3.8704702854555513,10.0,128.0,0.26327189345111524,125.0,6.0,10.0,27.0,75.0,0.046875,0.078125,0.2109375,0.5859375,50.0,True
layer1.0.conv2,conv,4,128,1,False,128.0,0,56.0,56.0,102400,1232.9606805040353,3.227793508417002,0.025217136784507828,7.835619679888599,0.06121577874912968,1.8555662211198274,0.014496611102498651,3.606828966151439,10,128,0.6350371258119644,128,12,20,47,86,0.09375,0.15625,0.3671875,0.671875,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],800.0,True,0.09375,0.15625,0.3671875,0.671875,1.0,6400.0,251.52842013152343,1.66230530256022,0.012986760176251718,2.722382117412485,0.02126861029228504,1.3032158795094744,0.010181374058667769,5.3645173428735315,10.0,128.0,0.8028197410408142,126.0,3.0,6.0,12.0,26.0,0.0234375,0.046875,0.09375,0.203125,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,129.6307280714704,1.5868059767453762,0.012396921693323251,3.722770512558024,0.029084144629359564,1.2610501784658605,0.009851954519264535,3.90722741428931,10,128,0.2014812400998267,124,13,28,66,102,0.1015625,0.21875,0.515625,0.796875,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,31.8258276500659,1.1806659927586645,0.009223953068427066,1.6182781294427229,0.012642797886271272,1.0871910902739712,0.0084936803927654,4.866045697597728,10.0,128.0,0.2761864752815727,125.0,1.0,3.0,12.0,43.0,0.0078125,0.0234375,0.09375,0.3359375,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,3228.3189647935983,1.0545358786406733,0.00411928077594013,1.22690146826583,0.004792583860413398,1.026930554806859,0.004011447479714293,7.970796237205818,10,256,0.6337504083570218,181,1,1,9,35,0.00390625,0.00390625,0.03515625,0.13671875,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],400.0,True,0.0078125,0.0078125,0.0703125,0.2734375,0.5,6400.0,902.4392001040867,1.0169643095056957,0.003972516834006624,1.0696044445643678,0.004178142361579562,1.0084530523050765,0.003939269735566705,7.659496268982465,10.0,256.0,0.5799597093166695,180.0,1.0,1.0,1.0,10.0,0.00390625,0.00390625,0.00390625,0.0390625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,12012.290370423198,1.4493728662721903,0.005661612758875743,2.450627329414243,0.009572763005524386,1.207668096490862,0.004717453501917429,10.59663882551284,10,256,0.6797043389567792,151,3,7,20,40,0.01171875,0.02734375,0.078125,0.15625,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],400.0,True,0.046875,0.109375,0.3125,0.625,0.25,6400.0,3225.211430204426,1.3409931220058076,0.005238254382835186,1.8774243515720208,0.007333688873328206,1.1620964040912731,0.004539439078481536,8.933181465743688,10.0,256.0,0.749388228164679,152.0,2.0,3.0,6.0,15.0,0.0078125,0.01171875,0.0234375,0.05859375,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,171.8666669946378,32.26822449307882,0.12604775192608914,58.935668610123436,0.23021745550829467,13.167430965954312,0.05143527721075903,3.731818133595976,10,256,0.18836151220883046,241,67,101,172,218,0.26171875,0.39453125,0.671875,0.8515625,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,24.614414635492682,7.70032307455307,0.03007938700997293,13.708536269512305,0.05354896980278244,3.811226549598984,0.014887603709371032,4.746658560592929,10.0,256.0,0.27510902183199104,241.0,13.0,22.0,59.0,138.0,0.05078125,0.0859375,0.23046875,0.5390625,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,172.11409899398427,32.24563326339359,0.12595950493513122,58.93635901222108,0.2302201523914886,13.096135862985376,0.051156780714786625,3.6893247150013826,10,256,0.19097644659429613,241,67,101,172,218,0.26171875,0.39453125,0.671875,0.8515625,timm:wide_resnet50_2.tv2_in1k,timm/wide_resnet50_2.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,24.614414635492682,7.70032307455307,0.03007938700997293,13.708536269512305,0.05354896980278244,3.811226549598984,0.014887603709371032,4.746658560592929,10.0,256.0,0.27510902183199104,241.0,13.0,22.0,59.0,138.0,0.05078125,0.0859375,0.23046875,0.5390625,25.0,False
