layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.66053828707877,3.6845468964668426,0.057571045257294416,6.007847104584991,0.09387261100914049,2.1565394315176256,0.0336959286174629,6.560602245032418,10,64,0.9312004160550773,63,6,9,17,28,0.09375,0.140625,0.265625,0.4375,1,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.66053828707877,3.6845468964668426,0.057571045257294416,6.007847104584991,0.09387261100914049,2.1565394315176256,0.0336959286174629,6.560602245032418,10,64,0.9312004160550773,63,6,9,17,28,0.09375,0.140625,0.265625,0.4375,2,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.66053828707877,3.6845468964668426,0.057571045257294416,6.007847104584991,0.09387261100914049,2.1565394315176256,0.0336959286174629,6.560602245032418,10,64,0.9312004160550773,63,6,9,17,28,0.09375,0.140625,0.265625,0.4375,5,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,187.70171971080575,3.9038285750444532,0.06099732148506958,6.522238528722686,0.10190997701129197,2.1951216065837325,0.03429877510287082,7.7133764334960695,10,64,0.5246036359104733,63,7,10,18,29,0.109375,0.15625,0.28125,0.453125,10,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,184.87375750888484,3.744967251410222,0.05851511330328472,6.304084469253444,0.09850131983208506,2.12419626426106,0.033190566629079064,7.621878735207344,10,64,0.5233589576975464,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,25,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,177.0002697760525,3.723972679610534,0.05818707311891459,6.34268065819897,0.0991043852843589,2.1031079742136476,0.032861062097088244,7.520031408019484,10,64,0.5366437695451869,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,50,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,172.2110047622243,3.5917103641863117,0.05612047444041112,6.199913773441346,0.09687365271002103,2.0507670124897,0.03204323457015156,7.513385340771998,10,64,0.5274087270346564,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,100,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,171.2331024886555,3.541539002288089,0.05533654691075139,6.07596009295982,0.09493687645249718,2.035557049252846,0.03180557889457572,7.563917192098008,10,64,0.5063134170984841,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,250,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.3024153266167695,7.050337427860031,0.11016152231031298,14.466612529809563,0.22604082077827442,3.066684426570872,0.047916944165169874,2.9787292005587824,10,64,0.8582992789295902,63,18,25,42,55,0.28125,0.390625,0.65625,0.859375,1,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.3024153266167695,7.050337427860031,0.11016152231031298,14.466612529809563,0.22604082077827442,3.066684426570872,0.047916944165169874,2.9787292005587824,10,64,0.8582992789295902,63,18,25,42,55,0.28125,0.390625,0.65625,0.859375,2,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.3024153266167695,7.050337427860031,0.11016152231031298,14.466612529809563,0.22604082077827442,3.066684426570872,0.047916944165169874,2.9787292005587824,10,64,0.8582992789295902,63,18,25,42,55,0.28125,0.390625,0.65625,0.859375,5,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.614536462012423,8.61202317234116,0.13456286206783064,17.276439863440032,0.2699443728662505,3.4603404060301557,0.05406781884422118,4.354036886698406,10,64,0.21101369234721157,63,21,29,45,56,0.328125,0.453125,0.703125,0.875,10,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,2.5295867357667836,8.045644864123197,0.12571320100192496,16.7668124314479,0.26198144424137343,3.284008828796689,0.05131263794994827,2.7610313959038284,10,64,0.8158450000006959,63,21,30,45,57,0.328125,0.46875,0.703125,0.890625,25,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,2.4456719361859296,8.066316996864856,0.12603620307601338,16.941489977839616,0.264710780903744,3.2803369047625246,0.05125526413691445,4.402985248951129,10,64,0.1855217721593373,63,21,30,46,57,0.328125,0.46875,0.71875,0.890625,50,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,2.4251122483160956,8.018652299412057,0.1252914421783134,17.07318982345541,0.2667685909914908,3.2461877769561758,0.050721684014940246,4.425720468952811,10,64,0.17941428974343043,63,21,30,46,57,0.328125,0.46875,0.71875,0.890625,100,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,2.352516396239803,7.690811521995453,0.12016893003117896,16.654058899095066,0.2602196702983604,3.151314771850794,0.04923929331016866,2.7011553331164566,10,64,0.8174393606957178,63,21,30,46,57,0.328125,0.46875,0.71875,0.890625,250,timm:wide_resnet50_2.tv_in1k
