layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,172.54184549431395,3.5416009168664653,0.05533751432603852,6.030714508583706,0.09422991419662041,2.042890458027287,0.03192016340667636,6.249398390187245,10,64,0.9269818645423016,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],1600.0,True,0.09375,0.140625,0.28125,0.453125,1.0,6400.0,40.692326693898785,2.458370634860745,0.03841204116969914,2.697869483924501,0.04215421068632033,1.8406560792103608,0.028760251237661887,8.600991863026255,10.0,64.0,0.7485497766522327,53.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.3434230564542538,7.709221273080453,0.12045658239188207,16.64666237263848,0.26010409957247627,3.154575675052795,0.04929024492269992,4.29317760008168,10,64,0.18925099721497696,63,21,30,46,57,0.328125,0.46875,0.71875,0.890625,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.40649635797464706,3.1288887854628697,0.04888888727285734,4.1647392451133705,0.06507405070489641,2.132632788942716,0.03332238732722994,4.600670248911777,10.0,64.0,0.916962720727338,63.0,3.0,5.0,11.0,26.0,0.046875,0.078125,0.171875,0.40625,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,3.737180421942204,4.431479790282059,0.034620935861578585,6.737091234038434,0.05263352526592527,2.884768023488978,0.02253725018350764,14.509555248335332,10,128,0.5141529532548597,89,7,10,17,33,0.0546875,0.078125,0.1328125,0.2578125,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],800.0,True,0.109375,0.15625,0.265625,0.515625,0.5,6400.0,0.7377247262213948,2.6491250032338387,0.020696289087764365,3.5181714230611454,0.0274857142426652,2.1345908545531778,0.0166764910511967,11.319751656960731,10.0,128.0,0.672077582557554,90.0,3.0,5.0,9.0,15.0,0.0234375,0.0390625,0.0703125,0.1171875,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,0.6811430147238794,6.099746626026165,0.04765427051582941,14.288020441598654,0.11162515969998948,2.8791988995568145,0.022493741402787613,4.64923325663981,10,128,0.23420715855569074,120,22,35,69,100,0.171875,0.2734375,0.5390625,0.78125,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.12720451445810754,2.86581681782073,0.022389193889224453,4.704824928538884,0.036756444754210034,1.9462039380307834,0.015204718265865495,6.39646259210706,10.0,128.0,0.2676989046782622,120.0,5.0,8.0,23.0,62.0,0.0390625,0.0625,0.1796875,0.484375,50.0,True
layer1.0.conv2,conv,4,128,1,False,128.0,0,56.0,56.0,102400,2.528763856227564,5.5115887756672,0.0430592873099,10.125965256373417,0.07910910356541732,2.7034667938191292,0.021120834326711947,6.585601970525885,10,128,0.3013508074340391,112,11,16,30,61,0.0859375,0.125,0.234375,0.4765625,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],800.0,True,0.0859375,0.125,0.234375,0.4765625,1.0,6400.0,0.4395454251224513,2.1663257043716926,0.01692441956540385,3.330333546811771,0.02601823083446696,1.5547907201841047,0.012146802501438318,11.088570055823045,10.0,128.0,0.32107626974897896,112.0,3.0,6.0,10.0,21.0,0.0234375,0.046875,0.078125,0.1640625,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,1.0785593671651719,6.379567606538026,0.049840371926078327,16.327190417386895,0.12755617513583511,2.717854880242537,0.02123324125189482,6.833045199795661,10,128,0.2177657668818468,112,22,31,65,99,0.171875,0.2421875,0.5078125,0.7734375,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.18666556739703297,2.256595311162146,0.017629650868454267,4.179399415783065,0.032651557935805195,1.5542204886524578,0.012142347567597326,8.729544488160228,10.0,128.0,0.2281868664877833,112.0,6.0,9.0,23.0,60.0,0.046875,0.0703125,0.1796875,0.46875,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,1.830684500226036,1.7839017780737907,0.006968366320600745,3.493147747210339,0.013645108387540386,1.3435418341968848,0.005248210289831581,15.22082012059596,10,256,0.5020477331533668,158,6,11,19,31,0.0234375,0.04296875,0.07421875,0.12109375,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],400.0,True,0.046875,0.0859375,0.1484375,0.2421875,0.5,6400.0,0.44626982090159706,1.1834858207121333,0.0046229914871567706,1.545677781477482,0.006037803833896414,1.089058407378294,0.004254134403821461,13.11705322977689,10.0,256.0,0.47790519173061774,155.0,1.0,2.0,8.0,17.0,0.00390625,0.0078125,0.03125,0.06640625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,8.400457776671177,4.143258730543567,0.01618460441618581,6.981751676767128,0.027272467487371593,2.3300418030065546,0.009101725792994354,18.030941780482145,10,256,0.5609444186539104,130,7,10,20,37,0.02734375,0.0390625,0.078125,0.14453125,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],400.0,True,0.109375,0.15625,0.3125,0.578125,0.25,6400.0,2.251850059702276,3.520485954396074,0.013751898259359664,4.610362227587874,0.018009227451515133,2.2377275639360317,0.008741123296625124,16.601047288223736,10.0,256.0,0.5775180527487838,132.0,4.0,5.0,9.0,17.0,0.015625,0.01953125,0.03515625,0.06640625,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,3.807919277778618,23.76944716003162,0.09284940296887352,41.86232150691138,0.16352469338637257,10.064844161627684,0.03931579750635814,8.633790741643717,10,256,0.2543986640397069,204,44,69,135,186,0.171875,0.26953125,0.52734375,0.7265625,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6261469196086901,7.155931591386431,0.027952857778853247,12.021819787066496,0.0469602335432285,3.751957781692239,0.014656085084735308,9.404245749990196,10.0,256.0,0.27208237655573,204.0,11.0,18.0,45.0,110.0,0.04296875,0.0703125,0.17578125,0.4296875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,3.812757762339951,23.78946124566375,0.09292758299087403,41.870650917766426,0.1635572301475251,10.038571316477658,0.03921316920499085,8.009763024731832,10,256,0.2189555009838814,204,44,69,135,186,0.171875,0.26953125,0.52734375,0.7265625,timm:wide_resnet50_2.tv_in1k,timm/wide_resnet50_2.tv_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6261469196086901,7.155931591386431,0.027952857778853247,12.021819787066496,0.0469602335432285,3.751957781692239,0.014656085084735308,9.404245749990196,10.0,256.0,0.27208237655573,204.0,11.0,18.0,45.0,110.0,0.04296875,0.0703125,0.17578125,0.4296875,25.0,False
