layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.058233628767576,1.7911543998796158,0.027986787498118997,3.1524170505954134,0.049256516415553335,1.356580388492711,0.02119656857019861,3.7694724774954267,10,64,0.9212763794147129,64,4,7,20,39,0.0625,0.109375,0.3125,0.609375,1,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.058233628767576,1.7911543998796158,0.027986787498118997,3.1524170505954134,0.049256516415553335,1.356580388492711,0.02119656857019861,3.7694724774954267,10,64,0.9212763794147129,64,4,7,20,39,0.0625,0.109375,0.3125,0.609375,2,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.058233628767576,1.7911543998796158,0.027986787498118997,3.1524170505954134,0.049256516415553335,1.356580388492711,0.02119656857019861,3.7694724774954267,10,64,0.9212763794147129,64,4,7,20,39,0.0625,0.109375,0.3125,0.609375,5,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,7.702393662040977,1.7689520062507396,0.027639875097667806,3.219431081120878,0.05030361064251372,1.3435519729915089,0.020992999577992326,3.5510315408069957,10,64,0.9098365729399862,64,4,8,22,42,0.0625,0.125,0.34375,0.65625,10,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,7.7846889908612145,1.6732664162823931,0.026144787754412393,2.9804124081126395,0.04656894387675999,1.303568959772592,0.02036826499644675,3.4417848356944267,10,64,0.9120674358959903,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,25,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,7.399731364853004,1.701975498457074,0.026593367163391782,3.0731189396933662,0.04801748343270885,1.3148088606961377,0.02054388844837715,3.3967540566474343,10,64,0.9114368309948033,64,4,7,22,43,0.0625,0.109375,0.34375,0.671875,50,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,7.415773790633624,1.6991485913256206,0.02654919673946282,3.0660168513306325,0.04790651330204113,1.313726325035832,0.020526973828684875,3.3598878641330763,10,64,0.9084801024522892,64,4,7,22,43,0.0625,0.109375,0.34375,0.671875,100,resnet50_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,7.355646882019866,1.6777097877359144,0.026214215433373662,3.0000207443215716,0.04687532413002456,1.3049273073448642,0.020389489177263503,3.3570316998555456,10,64,0.9114565295759107,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,250,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.5754522283483166,2.413775752923218,0.037715246139425285,5.093930947890178,0.07959267106078403,1.591332964442441,0.02486457756941314,2.192593659019704,10,64,0.972004343922182,64,7,14,36,58,0.109375,0.21875,0.5625,0.90625,1,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.5754522283483166,2.413775752923218,0.037715246139425285,5.093930947890178,0.07959267106078403,1.591332964442441,0.02486457756941314,2.192593659019704,10,64,0.972004343922182,64,7,14,36,58,0.109375,0.21875,0.5625,0.90625,2,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,512,2.5754522283483166,2.413775752923218,0.037715246139425285,5.093930947890178,0.07959267106078403,1.591332964442441,0.02486457756941314,2.192593659019704,10,64,0.972004343922182,64,7,14,36,58,0.109375,0.21875,0.5625,0.90625,5,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.758609101271521,2.4110631922263988,0.03767286237853748,5.288021113138886,0.0826253298927951,1.5868234781144204,0.02479411684553782,1.9043861989486464,10,64,0.9828341032941412,64,8,16,41,60,0.125,0.25,0.640625,0.9375,10,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.707660807130313,2.4377412693946594,0.03808970733429155,5.364276696633912,0.08381682338490487,1.5986113957370323,0.02497830305839113,1.8212506496738232,10,64,0.9853675980646244,64,8,17,42,61,0.125,0.265625,0.65625,0.953125,25,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,3584,2.539272465743342,2.511075696559717,0.03923555775874558,5.599180469317112,0.08748719483307987,1.625677688956679,0.02540121388994811,1.7784873537400299,10,64,0.9881504683273814,64,9,17,43,61,0.140625,0.265625,0.671875,0.953125,50,resnet50_random
relu,act,1,64,1,False,,0,112.0,112.0,6656,2.5171669801798218,2.5165930642783603,0.03932176662934938,5.601036502523274,0.08751619535192616,1.629532763192138,0.025461449424877155,1.7565497742554688,10,64,0.9889409434505059,64,9,18,44,61,0.140625,0.28125,0.6875,0.953125,100,resnet50_random
