layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,7.321300081032465,1.7057932962984295,0.02665302025466296,3.0484788391195567,0.047632481861243074,1.3170021585029938,0.02057815872660928,3.3457922618535494,10,64,0.9149568628735878,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.671875,1.0,6400.0,1.9058002935582716,1.4514799250933779,0.02267937382958403,1.7834950596755563,0.027867110307430568,1.223618091372487,0.01911903267769511,6.610327755077888,10.0,64.0,0.9828255740261411,53.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,2.460445734734714,2.5765657757779374,0.04025884024653027,5.727374857285073,0.08949023214507927,1.6513104935986718,0.025801726462479246,1.7596566550664723,10,64,0.9903177284539962,64,9,18,44,61,0.140625,0.28125,0.6875,0.953125,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6118725211634288,2.0904438808667862,0.032663185638543535,3.063138136638286,0.04786153338497322,1.5020236610075894,0.023469119703243585,3.3866458350136455,10.0,64.0,0.9869686545891472,64.0,3.0,4.0,7.0,13.0,0.046875,0.0625,0.109375,0.203125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,8.192568919868602,2.413309010092108,0.03770795328268919,4.582298647555153,0.07159841636804927,1.602284553174049,0.025035696143344516,3.783756195087661,10,64,0.7254256990441315,64,5,10,27,46,0.078125,0.15625,0.421875,0.71875,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.078125,0.15625,0.421875,0.71875,1.0,6400.0,2.0681572703642175,2.176929119873617,0.03401451749802527,3.0999752044675954,0.04843711256980618,1.5489477450015068,0.024202308515648543,4.773436001160278,10.0,64.0,0.8234284845643456,64.0,3.0,4.0,7.0,17.0,0.046875,0.0625,0.109375,0.265625,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,3.824305418894151,2.710772014541073,0.04235581272720427,5.089475938537753,0.07952306153965238,1.7467933761544088,0.027293646502412637,3.4777901971653984,10,64,0.5724734887150993,64,6,12,34,51,0.09375,0.1875,0.53125,0.796875,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9653190120123332,2.4216826615067197,0.037838791586042496,3.359489534950887,0.05249202398360761,1.7025110635058283,0.026601735367278567,4.678358154499831,10.0,64.0,0.6687470099456552,64.0,3.0,4.0,8.0,24.0,0.046875,0.0625,0.125,0.375,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,7.358111321628003,3.444720806564444,0.053823762602569436,7.678443364680364,0.11997567757313068,1.9820166685821066,0.030969010446595415,1.7011582090216628,10,64,0.9920252327115863,64,12,22,48,62,0.1875,0.34375,0.75,0.96875,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.1875,0.34375,0.75,0.96875,1.0,6400.0,1.7655286140654425,2.4601216782791795,0.03843940122311218,3.3843404403628763,0.05288031938066994,1.7218496201002391,0.026903900314066236,4.2551443964179905,10.0,64.0,0.9381993612721465,64.0,3.0,4.0,8.0,21.0,0.046875,0.0625,0.125,0.328125,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,2.6672140501188473,3.1759916005311286,0.049624868758298885,7.305891428909848,0.11415455357671637,1.8622415147296414,0.029097523667650647,2.8104864966412957,10,64,0.7033553808505661,64,12,22,41,55,0.1875,0.34375,0.640625,0.859375,resnet50_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6275098221114573,2.272088284745205,0.035501379449143826,3.2590913802293846,0.050923302816084134,1.6095002670490808,0.025148441672641887,3.8553543210812147,10.0,64.0,0.8093900353633875,64.0,3.0,4.0,9.0,28.0,0.046875,0.0625,0.140625,0.4375,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,5.61039425338808,3.009140203109665,0.011754453918397129,6.812895550310269,0.026612873243399487,1.7990022719992913,0.007027352624997232,9.91631178972789,10,256,0.8479765731584039,158,11,19,38,53,0.04296875,0.07421875,0.1484375,0.20703125,resnet50_random,random_init(seed=3),imagenet_val[6400],400.0,True,0.171875,0.296875,0.59375,0.828125,0.25,6400.0,1.3165110754138551,2.1716850030328336,0.008483144543097006,3.156355977917932,0.012329515538741922,1.5491860941683788,0.00605150818034523,8.829882202163216,10.0,256.0,0.888688885509458,159.0,3.0,4.0,9.0,26.0,0.01171875,0.015625,0.03515625,0.1015625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,6.972204960642843,2.5955418924477756,0.010138835517374123,5.267325697740633,0.020575491006799347,1.6682268169748193,0.006516511003807888,9.611240673925755,10,256,0.8156839810422091,159,6,13,39,59,0.0234375,0.05078125,0.15234375,0.23046875,resnet50_random,random_init(seed=3),imagenet_val[6400],400.0,True,0.09375,0.203125,0.609375,0.921875,0.25,6400.0,1.764672902863092,2.3449275808714884,0.009159873362779252,3.4167691263876265,0.013346754399951666,1.616188395992674,0.006313235921846383,8.473631744798526,10.0,256.0,0.8664267782841606,159.0,4.0,4.0,7.0,22.0,0.015625,0.015625,0.02734375,0.0859375,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,4.70546791085941,3.421563103504521,0.013365480873064535,9.276807488445725,0.03623752925174111,1.9444430547089286,0.0075954806824567525,2.6578749997998625,10,256,0.26214441798736354,254,18,40,124,210,0.0703125,0.15625,0.484375,0.8203125,resnet50_random,random_init(seed=3),imagenet_val[6400],400.0,True,,,,,,6400.0,1.121743799190255,2.5766800281687647,0.010065156360034237,3.890033483323536,0.015195443294232563,1.739185681275931,0.006793694067484105,3.137366861897364,10.0,256.0,0.7132178787654124,255.0,4.0,5.0,12.0,55.0,0.015625,0.01953125,0.046875,0.21484375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,4.686708751953885,3.4322955933486448,0.013407404661518144,9.319343990708616,0.03640368746370553,1.9482091862032234,0.007610192133606341,2.6511834661441256,10,256,0.2620283105855853,254,18,41,125,210,0.0703125,0.16015625,0.48828125,0.8203125,resnet50_random,random_init(seed=3),imagenet_val[6400],400.0,True,,,,,,6400.0,1.121743799190255,2.5766800281687647,0.010065156360034237,3.890033483323536,0.015195443294232563,1.739185681275931,0.006793694067484105,3.137366861897364,10.0,256.0,0.7132178787654124,255.0,4.0,5.0,12.0,55.0,0.015625,0.01953125,0.046875,0.21484375,25.0,False
