layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,180.09919119534695,4.640203246047493,0.07250317571949208,6.913665745437145,0.10802602727245539,2.813017212857149,0.043953393950892955,7.8239954891894445,10,64,0.5291459319820367,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,196.95783806461253,5.027748312554474,0.07855856738366365,7.568829069880655,0.11826295421688524,2.8451801777023897,0.04445594027659984,6.359907403828355,10,64,0.9131789809007137,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,191.56873015012425,4.9579673555022135,0.07746823992972209,7.442488362754127,0.11628888066803324,2.79033235899378,0.04359894310927781,6.26917724986678,10,64,0.9133308100030739,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,182.90186881795995,4.989412991048702,0.07795957798513597,7.525585484854607,0.11758727320085323,2.7548330300634105,0.04304426609474079,7.416272598018331,10,64,0.5330650151555012,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,176.93999639709105,4.850933176359073,0.07579583088061051,7.417095512791542,0.11589211738736785,2.6853367746069803,0.04195838710323407,7.43566907172651,10,64,0.5207088008362435,63,7,10,20,31,0.109375,0.15625,0.3125,0.484375,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,175.71165872613184,4.783535517578401,0.07474274246216252,7.277589247135478,0.11371233198649185,2.6631895675161483,0.04161233699243982,7.406169786802061,10,64,0.5220559423156588,63,7,10,19,31,0.109375,0.15625,0.296875,0.484375,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8323193585569384,7.635155770702892,0.11929930891723269,14.369289775624374,0.22452015274413084,3.619961082317661,0.056561891911213455,3.0566243975661793,10,64,0.8611192638452652,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8323193585569384,7.635155770702892,0.11929930891723269,14.369289775624374,0.22452015274413084,3.619961082317661,0.056561891911213455,3.0566243975661793,10,64,0.8611192638452652,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,2,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,512,2.8323193585569384,7.635155770702892,0.11929930891723269,14.369289775624374,0.22452015274413084,3.619961082317661,0.056561891911213455,3.0566243975661793,10,64,0.8611192638452652,63,17,24,41,55,0.265625,0.375,0.640625,0.859375,5,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,3.170830231074565,9.496985787301048,0.14839040292657887,17.482285472938873,0.2731607105146699,4.014647378430942,0.06272886528798347,4.457752052425158,10,64,0.20224172199733892,63,20,28,44,56,0.3125,0.4375,0.6875,0.875,10,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,3.050838472574528,9.165592847794873,0.14321238824679489,17.2870982576547,0.2701109102758547,3.8504640341200895,0.0601635005331264,2.7526262578704013,10,64,0.8595441544402536,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,25,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,3584,2.9185811745328247,9.22425344137167,0.14412896002143236,17.530157018134492,0.27390870340835144,3.8124960471465292,0.05957025073666452,2.720065692436557,10,64,0.8558680835715257,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,50,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,6656,2.8845684806377863,9.116913379997852,0.14245177156246644,17.532458465308924,0.27394466352045194,3.7562562178850176,0.0586915034044534,4.20728702141487,10,64,0.2016563764098629,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,100,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,16384,2.794517217619765,8.822125698368177,0.13784571403700277,17.20619378583888,0.2688467779037325,3.643417902722251,0.05692840473003517,2.7008498547967936,10,64,0.8524408723027395,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,250,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,3.5874749508389354,4.457227171052646,0.0696441745476976,7.1913648940935975,0.11236507647021246,2.502565712545033,0.03910258925851614,11.375384330100479,10,64,0.4085453506656096,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,1,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,3.5874749508389354,4.457227171052646,0.0696441745476976,7.1913648940935975,0.11236507647021246,2.502565712545033,0.03910258925851614,11.375384330100479,10,64,0.4085453506656096,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,2,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,3.5874749508389354,4.457227171052646,0.0696441745476976,7.1913648940935975,0.11236507647021246,2.502565712545033,0.03910258925851614,11.375384330100479,10,64,0.4085453506656096,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,5,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,4.016575347875147,4.20028789850817,0.06562949841419016,7.090237227339926,0.11078495667718634,2.343200114417602,0.03661250178777503,10.15107739157394,10,64,0.39985898714442325,59,8,11,18,31,0.125,0.171875,0.28125,0.484375,10,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,4.071822397030928,4.331732937989386,0.06768332715608416,7.194358720781614,0.11241185501221272,2.4171303142497984,0.0377676611601531,10.090432597220635,10,64,0.3993114625649957,59,8,11,18,32,0.125,0.171875,0.28125,0.5,25,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,4.064708808167418,4.392874052789874,0.06863865707484178,7.28214665550007,0.1137835414921886,2.426678482039492,0.037916851281867066,11.21941207848078,10,64,0.40144138972952415,59,8,11,18,32,0.125,0.171875,0.28125,0.5,50,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,3.985415750950038,4.472935357192871,0.06988961495613862,7.328339079700632,0.11450529812032237,2.4777421334840257,0.0387147208356879,11.163582216700412,10,64,0.4036128645325554,59,8,11,18,32,0.125,0.171875,0.28125,0.5,100,resnet50
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,3.755387846841722,4.444042239569501,0.06943815999327345,7.268612778030103,0.11357207465672035,2.490652002507048,0.03891643753917263,12.08381333534788,10,64,0.4167522983065143,59,8,11,18,32,0.125,0.171875,0.28125,0.5,250,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,0.5945873157852083,5.1755874537422795,0.08086855396472312,11.106803725237674,0.17354380820683865,2.713537794319137,0.04239902803623652,5.923072079537312,10,64,0.17044631801563326,59,16,25,42,55,0.25,0.390625,0.65625,0.859375,1,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,0.5945873157852083,5.1755874537422795,0.08086855396472312,11.106803725237674,0.17354380820683865,2.713537794319137,0.04239902803623652,5.923072079537312,10,64,0.17044631801563326,59,16,25,42,55,0.25,0.390625,0.65625,0.859375,2,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,512,0.5945873157852083,5.1755874537422795,0.08086855396472312,11.106803725237674,0.17354380820683865,2.713537794319137,0.04239902803623652,5.923072079537312,10,64,0.17044631801563326,59,16,25,42,55,0.25,0.390625,0.65625,0.859375,5,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,1024,0.6412827877812048,5.443274093199125,0.08505115770623632,11.664846180833848,0.18226322157552888,2.871492904331121,0.044867076630173766,5.834482444616139,10,64,0.16090379241544206,59,17,26,44,56,0.265625,0.40625,0.6875,0.875,10,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,2048,0.6392516894132061,5.179897550615651,0.08093589922836955,11.291423763907495,0.17642849631105462,2.729689307834273,0.04265139543491052,8.63224101206942,10,64,0.20918788703471913,59,17,26,44,56,0.265625,0.40625,0.6875,0.875,25,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,3584,0.6148774830888839,5.338123167540187,0.08340817449281542,11.617256252639594,0.18151962894749366,2.8030830274927383,0.043798172304574036,7.275350417783398,10,64,0.18276107766581995,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,50,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,6656,0.6240125054050725,5.3607326805523,0.08376144813362969,11.698102069941227,0.18278284484283167,2.7839440331373075,0.04349912551777043,8.709317687431597,10,64,0.205908525243631,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,100,resnet50
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,16384,0.6103217326880487,5.401643616970189,0.0844006815151592,11.77418347897576,0.18397161685899624,2.807756758069035,0.04387119934482867,5.608432009744503,10,64,0.1600652338777453,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,250,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,2.0245468467553387,5.110090423578249,0.07984516286841015,9.154625873481368,0.14304102927314638,2.6127326279210874,0.04082394731126699,7.738575859338151,10,64,0.32344916994981054,61,11,15,24,44,0.171875,0.234375,0.375,0.6875,1,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,2.0245468467553387,5.110090423578249,0.07984516286841015,9.154625873481368,0.14304102927314638,2.6127326279210874,0.04082394731126699,7.738575859338151,10,64,0.32344916994981054,61,11,15,24,44,0.171875,0.234375,0.375,0.6875,2,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,2.0245468467553387,5.110090423578249,0.07984516286841015,9.154625873481368,0.14304102927314638,2.6127326279210874,0.04082394731126699,7.738575859338151,10,64,0.32344916994981054,61,11,15,24,44,0.171875,0.234375,0.375,0.6875,5,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,1024,2.1247151560645356,5.2928809810714395,0.08270126532924124,9.514874790330898,0.1486699185989203,2.668621994509097,0.041697218664204644,7.651022758908252,10,64,0.31762627797894516,61,11,15,25,45,0.171875,0.234375,0.390625,0.703125,10,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,2048,2.141962546954802,4.900118334077657,0.07656434896996339,9.14397067941015,0.1428745418657836,2.496348609848794,0.039005447028887405,7.627321057571488,10,64,0.31659271947276346,61,11,15,25,45,0.171875,0.234375,0.390625,0.703125,25,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,3584,2.0844896084187825,5.087060510831167,0.07948532048173698,9.393378870864296,0.14677154485725463,2.5674077434888143,0.04011574599201272,7.611527594615659,10,64,0.31561234875585875,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,50,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,6656,2.1070952231685265,5.063787112333843,0.0791216736302163,9.415776751558523,0.14712151174310192,2.54689161500254,0.03979518148441469,7.616257394990985,10,64,0.31594622256232463,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,100,resnet50
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,16384,2.081971083696396,4.9165085373520885,0.07682044589612638,9.237971394650952,0.14434330304142112,2.488366753010067,0.038880730515782294,7.620912625833821,10,64,0.31642557654879844,61,11,15,25,45,0.171875,0.234375,0.390625,0.703125,250,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,0.9082867874091385,5.55514711640103,0.0867991736937661,12.611398820145874,0.19705310656477928,2.555021182547798,0.03992220597730935,2.9304751154764372,10,64,0.9587577720214469,60,17,23,39,55,0.265625,0.359375,0.609375,0.859375,1,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,0.9082867874091385,5.55514711640103,0.0867991736937661,12.611398820145874,0.19705310656477928,2.555021182547798,0.03992220597730935,2.9304751154764372,10,64,0.9587577720214469,60,17,23,39,55,0.265625,0.359375,0.609375,0.859375,2,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,512,0.9082867874091385,5.55514711640103,0.0867991736937661,12.611398820145874,0.19705310656477928,2.555021182547798,0.03992220597730935,2.9304751154764372,10,64,0.9587577720214469,60,17,23,39,55,0.265625,0.359375,0.609375,0.859375,5,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,1024,0.9559426305731737,5.796800441815665,0.09057500690336977,12.916440356462102,0.20181938056972035,2.6600725035792863,0.04156363286842635,7.630896204092962,10,64,0.14104597606210523,60,17,23,41,55,0.265625,0.359375,0.640625,0.859375,10,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,2048,0.9631078047379467,5.2854770410411245,0.08258557876626757,12.285840427969697,0.19196625668702652,2.4897610753676696,0.03890251680261984,6.113546798121861,10,64,0.19031013799854613,60,17,24,41,55,0.265625,0.375,0.640625,0.859375,25,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,3584,0.9376374857427461,5.692294679541127,0.08894210436783011,12.967675085961686,0.20261992321815134,2.6115886881020978,0.04080607325159528,7.24562292171377,10,64,0.1434172489664748,60,17,24,41,56,0.265625,0.375,0.640625,0.875,50,resnet50
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,6656,0.9463504478145575,5.806223305702674,0.09072223915160428,13.234251231172284,0.20678517548706693,2.638833011881638,0.04123176581065059,4.469755678237316,10,64,0.1882900595244159,60,18,24,42,56,0.28125,0.375,0.65625,0.875,100,resnet50
