layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,177.45312050205717,4.763731647056712,0.07443330698526113,7.199640502192203,0.11249438284675317,2.688133265946923,0.04200208228042067,7.348913156517719,10,64,0.5387325099609868,63,6,10,19,31,0.09375,0.15625,0.296875,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.09375,0.15625,0.296875,0.484375,1.0,6400.0,42.95068320194224,2.74563729818291,0.042900582784107966,2.8683478502404545,0.0448179351600071,2.197429946853951,0.03433484291959298,8.836894320536699,10.0,64.0,0.7912907410280028,51.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,2.789668820412821,8.83498548979968,0.13804664827812,17.13005882205042,0.2676571690945378,3.666013306733054,0.05728145791770397,2.706129138477526,10,64,0.8497470459551938,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.4985578964560842,3.2792149810199,0.05123773407843594,4.130003510091763,0.0645313048451838,2.45019646813043,0.03828431981453797,4.0894252835498275,10.0,64.0,0.9539625493512861,63.0,3.0,5.0,11.0,27.0,0.046875,0.078125,0.171875,0.421875,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,3.8032852510634525,4.431172191374333,0.06923706549022396,7.2583099666110025,0.11341109322829691,2.4781581786783664,0.038721221541849475,11.211668237232255,10,64,0.3988391958325367,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.125,0.171875,0.28125,0.5,1.0,6400.0,0.7281527778683711,2.479309231800658,0.03873920674688528,3.5684279973079547,0.05575668745793679,1.76634879368265,0.027599199901291407,11.474143903119348,10.0,64.0,0.4551605790568175,59.0,4.0,5.0,10.0,16.0,0.0625,0.078125,0.15625,0.25,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,0.6023310074280779,5.453499116391181,0.0852109236936122,11.867793660246921,0.18543427594135814,2.8283236911733103,0.04419255767458297,7.296152095366228,10,64,0.17854153849342413,59,18,28,45,56,0.28125,0.4375,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.12201663752319693,2.9232239910205333,0.04567537485969583,4.637233396481312,0.0724567718200205,2.075175825018099,0.032424622265907796,6.612158544384772,10.0,64.0,0.2211694892012871,59.0,5.0,9.0,20.0,42.0,0.078125,0.140625,0.3125,0.65625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,2.057596028478546,4.9642241565543666,0.07756600244616198,9.292493040066832,0.14519520375104425,2.5073523845174455,0.039177381008085085,7.614698333948054,10,64,0.3160363668836348,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.171875,0.234375,0.390625,0.71875,1.0,6400.0,0.41204202667936424,2.3064656201233,0.03603852531442656,3.4070218582353013,0.053234716534926584,1.6500915811308252,0.025782680955169144,9.433840300036154,10.0,64.0,0.4328861978610572,61.0,4.0,5.0,10.0,19.0,0.0625,0.078125,0.15625,0.296875,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,0.9355087165682329,5.624244111019758,0.08787881423468372,12.967324972965262,0.20261445270258222,2.5762783482443155,0.04025434919131743,5.6793300010166945,10,64,0.11361415748637149,60,18,24,42,56,0.28125,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.18488787514627755,2.439606312852472,0.03811884863831987,4.0493425535743075,0.06327097739959855,1.6825859084488497,0.026290404819513277,4.427595519872746,10.0,64.0,0.37655907465121785,60.0,5.0,8.0,18.0,40.0,0.078125,0.125,0.28125,0.625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,1.5541320027765972,1.786498892344966,0.006978511298222524,3.4652833630932744,0.013536263137083103,1.3448133049633408,0.00525317697251305,11.914027395616975,10,256,0.746179129820248,142,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.09375,0.15625,0.28125,0.453125,0.25,6400.0,0.40154053299978276,1.3139404026709676,0.005132579697933467,1.7945040930337681,0.007009781613413157,1.1515876786425678,0.004498389369697531,10.846863187558974,10.0,256.0,0.7424485357234305,141.0,2.0,3.0,7.0,16.0,0.0078125,0.01171875,0.02734375,0.0625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10.53701727366078,5.147106306928532,0.02010588401143958,8.109150494571228,0.03167636911941886,3.0267007382208044,0.011823049758675017,11.954118687227282,10,256,0.7294957477331867,145,8,11,23,41,0.03125,0.04296875,0.08984375,0.16015625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.125,0.171875,0.359375,0.640625,0.25,6400.0,2.754765083818785,4.125117683304537,0.016113740950408347,5.08858526848713,0.019877286205027853,2.8320015731709742,0.011062506145199118,11.28982102412687,10.0,256.0,0.7239653338483079,147.0,4.0,5.0,10.0,19.0,0.015625,0.01953125,0.0390625,0.07421875,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,4.274466822799419,23.29358831184538,0.09099057934314601,42.41632087161764,0.16568875340475642,9.13722023146839,0.0356922665291734,4.63767065366604,10,256,0.19330292170327257,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.7044048443968344,8.31988305243447,0.03249954317357215,13.539852941409713,0.05289005055238169,4.411371126367466,0.017231918462372913,5.681767272363596,10.0,256.0,0.26290904277707383,230.0,13.0,20.0,50.0,126.0,0.05078125,0.078125,0.1953125,0.4921875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,4.277290428057207,23.262118707160038,0.0908676511998439,42.39071251204941,0.165588720750193,9.119756541117948,0.03562404898874198,4.255598986059999,10,256,0.18725094698792688,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.7044048443968344,8.31988305243447,0.03249954317357215,13.539852941409713,0.05289005055238169,4.411371126367466,0.017231918462372913,5.681767272363596,10.0,256.0,0.26290904277707383,230.0,13.0,20.0,50.0,126.0,0.05078125,0.078125,0.1953125,0.4921875,25.0,False
