layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2165.3674063267295,1.4589151533991764,0.022795549271862132,2.312486424445309,0.03613260038195795,1.2123309709039725,0.01894267142037457,5.820596702361803,10,64,0.9299011721401597,64,3,5,11,23,0.046875,0.078125,0.171875,0.359375,1,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2165.3674063267295,1.4589151533991764,0.022795549271862132,2.312486424445309,0.03613260038195795,1.2123309709039725,0.01894267142037457,5.820596702361803,10,64,0.9299011721401597,64,3,5,11,23,0.046875,0.078125,0.171875,0.359375,2,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2165.3674063267295,1.4589151533991764,0.022795549271862132,2.312486424445309,0.03613260038195795,1.2123309709039725,0.01894267142037457,5.820596702361803,10,64,0.9299011721401597,64,3,5,11,23,0.046875,0.078125,0.171875,0.359375,5,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2325.702958947549,1.488789919030519,0.02326234248485186,2.4228823170329377,0.03785753620363965,1.2247405859379965,0.019136571655281195,5.647934659023224,10,64,0.9240038448581424,64,4,5,12,25,0.0625,0.078125,0.1875,0.390625,10,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,2365.108296213269,1.4530003244862602,0.022703130070097815,2.3260366643203145,0.036344322880004915,1.2093208352014395,0.018895638050022492,5.573963338350931,10,64,0.9248814222618141,64,4,5,12,24,0.0625,0.078125,0.1875,0.375,25,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,2285.434540845492,1.4509892610002268,0.022671707203128545,2.324594232618415,0.036321784884662735,1.2084067255427042,0.018881355086604754,5.530043493083675,10,64,0.9233023882375695,64,4,5,12,24,0.0625,0.078125,0.1875,0.375,50,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,2268.1454438134965,1.4268617530003365,0.022294714890630257,2.2650942473582183,0.03539209761497216,1.1979266422969046,0.018717603785889134,5.518230159544048,10,64,0.9217917005073952,64,3,5,12,24,0.046875,0.078125,0.1875,0.375,100,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,2266.720813091573,1.4175350043844868,0.022148984443507606,2.233639635148404,0.03490061929919381,1.193923072270126,0.018655048004220718,5.504960269236649,10,64,0.920755163145767,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,250,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,288.3433299297922,1.2437033069462546,0.01943286417103523,1.8669004307492463,0.029170319230456973,1.1159021629916117,0.017435971296743933,3.301425175159999,10,64,0.8687269062763329,64,2,5,17,41,0.03125,0.078125,0.265625,0.640625,1,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,288.3433299297922,1.2437033069462546,0.01943286417103523,1.8669004307492463,0.029170319230456973,1.1159021629916117,0.017435971296743933,3.301425175159999,10,64,0.8687269062763329,64,2,5,17,41,0.03125,0.078125,0.265625,0.640625,2,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,288.3433299297922,1.2437033069462546,0.01943286417103523,1.8669004307492463,0.029170319230456973,1.1159021629916117,0.017435971296743933,3.301425175159999,10,64,0.8687269062763329,64,2,5,17,41,0.03125,0.078125,0.265625,0.640625,5,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,295.59957042139837,1.3070810436192895,0.020423141306551398,2.093349417365961,0.03270858464634314,1.144405965729077,0.01788134321451683,3.1280001535700297,10,64,0.8492614800251528,64,2,7,21,45,0.03125,0.109375,0.328125,0.703125,10,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,302.5198127513302,1.2913123692651454,0.020176755769767896,2.0263823504577116,0.031662224225901744,1.1375460709076752,0.017774157357932426,2.8056894306857822,10,64,0.9179047543751999,64,2,6,21,46,0.03125,0.09375,0.328125,0.71875,25,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,292.3076566151803,1.2938017769957928,0.020215652765559262,2.0311007268013888,0.0317359488562717,1.1387317525814982,0.01779268363408591,2.719784396774162,10,64,0.9277481528464353,64,2,6,21,47,0.03125,0.09375,0.328125,0.734375,50,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,290.9859727947919,1.284317615408528,0.02006746274075825,2.0090800477222204,0.03139187574565969,1.1343905560648861,0.017724852438513846,2.649627151444941,10,64,0.9330967236774736,64,2,6,21,47,0.03125,0.09375,0.328125,0.734375,100,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,289.2042073853142,1.2732150001937785,0.01989398437802779,1.96856003131282,0.030758750489262812,1.129419067696516,0.01764717293275806,2.6605084236777095,10,64,0.9368395234034692,64,2,6,20,46,0.03125,0.09375,0.3125,0.71875,250,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1396.9005217799397,2.8126022995858446,0.04394691093102882,4.874302002568242,0.07616096879012878,1.7956223175829706,0.028056598712233916,19.6831989283122,10,64,0.40874719974372464,52,6,9,16,28,0.09375,0.140625,0.25,0.4375,1,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1396.9005217799397,2.8126022995858446,0.04394691093102882,4.874302002568242,0.07616096879012878,1.7956223175829706,0.028056598712233916,19.6831989283122,10,64,0.40874719974372464,52,6,9,16,28,0.09375,0.140625,0.25,0.4375,2,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1396.9005217799397,2.8126022995858446,0.04394691093102882,4.874302002568242,0.07616096879012878,1.7956223175829706,0.028056598712233916,19.6831989283122,10,64,0.40874719974372464,52,6,9,16,28,0.09375,0.140625,0.25,0.4375,5,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1511.8771891529896,2.9295728564912715,0.04577457588267612,5.102916229845836,0.07973306609134119,1.8582682572195994,0.02903544151905624,16.320275827889123,10,64,0.39909776278254805,52,7,10,17,29,0.109375,0.15625,0.265625,0.453125,10,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,1528.8159455790974,2.9065630133433267,0.04541504708348948,5.053634246193099,0.07896303509676718,1.8531859011741398,0.028956029705845935,16.277531086271246,10,64,0.39757047222632047,52,7,9,17,29,0.109375,0.140625,0.265625,0.453125,25,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,1473.7401801538867,2.93910426414179,0.04592350412721547,5.113663657725319,0.07990099465195812,1.8702707616302212,0.029222980650472206,18.931087606692543,10,64,0.37281705545341626,52,7,10,18,29,0.109375,0.15625,0.28125,0.453125,50,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,1458.738698001867,2.837397052555366,0.044334328946177594,4.9555308492831776,0.07743016952004965,1.8250170575119067,0.028515891523623542,17.445698227308853,10,64,0.415618793755949,52,7,10,18,30,0.109375,0.15625,0.28125,0.46875,100,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,1430.9048040926502,2.7389367132484557,0.04279588614450712,4.782198312876924,0.07472184863870193,1.7783232914551,0.027786301428985936,18.12507712961079,10,64,0.4384782619893074,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,250,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,84.40848533281375,1.522625195984487,0.02379101868725761,2.4020367371269282,0.037531824017608253,1.243965993031495,0.01943696864111711,21.817870792830202,10,64,0.314793511631971,51,3,4,16,38,0.046875,0.0625,0.25,0.59375,1,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,84.40848533281375,1.522625195984487,0.02379101868725761,2.4020367371269282,0.037531824017608253,1.243965993031495,0.01943696864111711,21.817870792830202,10,64,0.314793511631971,51,3,4,16,38,0.046875,0.0625,0.25,0.59375,2,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,84.40848533281375,1.522625195984487,0.02379101868725761,2.4020367371269282,0.037531824017608253,1.243965993031495,0.01943696864111711,21.817870792830202,10,64,0.314793511631971,51,3,4,16,38,0.046875,0.0625,0.25,0.59375,5,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,87.35894566848926,1.5324933287074984,0.023945208261054663,2.4226022811541466,0.03785316064303354,1.2491486994675374,0.01951794842918027,17.129483064087818,10,64,0.24857604906857755,51,3,5,17,39,0.046875,0.078125,0.265625,0.609375,10,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,90.2375488629315,1.4749926157413034,0.023046759620957865,2.283414433775567,0.035678350527743236,1.2236148541030019,0.019118982095359404,16.774289839966006,10,64,0.24154423431691052,51,2,4,17,39,0.03125,0.0625,0.265625,0.609375,25,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,3584,85.09590801916295,1.4749496697417652,0.02304608858971508,2.285350241013145,0.035708597515830394,1.2236956295840402,0.01912024421225063,15.025448598729975,10,64,0.25811913000766706,51,2,4,17,40,0.03125,0.0625,0.265625,0.625,50,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,6656,86.12183325246447,1.4617370192903298,0.022839640926411404,2.2551003839530415,0.03523594349926627,1.217730951128742,0.019027046111386593,15.111340725354857,10,64,0.2584355489469916,51,2,4,17,40,0.03125,0.0625,0.265625,0.625,100,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,16384,83.7533636793784,1.4762795811283453,0.023066868455130396,2.2882949071552603,0.03575460792430094,1.2243654426713135,0.019130710041739274,16.446864612410113,10,64,0.2853149915203952,51,2,4,17,40,0.03125,0.0625,0.265625,0.625,250,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,3281.062866449823,2.151820446042016,0.0336221944694065,4.353834055149178,0.0680286571117059,1.4874055844828087,0.023240712257543886,34.515489396093116,10,64,0.5480406020455831,44,7,11,21,34,0.109375,0.171875,0.328125,0.53125,1,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,3281.062866449823,2.151820446042016,0.0336221944694065,4.353834055149178,0.0680286571117059,1.4874055844828087,0.023240712257543886,34.515489396093116,10,64,0.5480406020455831,44,7,11,21,34,0.109375,0.171875,0.328125,0.53125,2,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,3281.062866449823,2.151820446042016,0.0336221944694065,4.353834055149178,0.0680286571117059,1.4874055844828087,0.023240712257543886,34.515489396093116,10,64,0.5480406020455831,44,7,11,21,34,0.109375,0.171875,0.328125,0.53125,5,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,1024,3413.6183251414923,2.218108687871147,0.034657948247986674,4.618927390695616,0.072170740479619,1.5103382358283435,0.023599034934817867,34.4691096012441,10,64,0.5468560761389567,44,8,12,23,34,0.125,0.1875,0.359375,0.53125,10,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,2048,3502.9679190426077,2.0805278995560026,0.03250824843056254,4.315547286527958,0.06743042635199935,1.4578788071884274,0.02277935636231918,34.688886118358475,10,64,0.5630281692564374,44,7,12,23,34,0.109375,0.1875,0.359375,0.53125,25,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,3584,3348.0706988419447,2.097341186896582,0.03277095604525909,4.376209490537658,0.0683782732896509,1.4637927203059102,0.022871761254779847,34.13087046806917,10,64,0.5123041823319385,44,7,12,23,35,0.109375,0.1875,0.359375,0.546875,50,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,6656,3365.826127063907,2.0772612881483687,0.03245720762731826,4.323379516236684,0.06755280494119818,1.456190280618594,0.02275297313466553,34.54159933072049,10,64,0.5470273003695127,44,7,12,23,34,0.109375,0.1875,0.359375,0.53125,100,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,16384,3340.6038679039007,2.018554498971762,0.03153991404643378,4.171786388928325,0.06518416232700508,1.4338809237529604,0.022404389433640006,34.45395639297105,10,64,0.5465974584580247,44,7,12,22,34,0.109375,0.1875,0.34375,0.53125,250,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,169.30197077380072,1.0941511154024268,0.01709611117816292,1.366795469198834,0.02135617920623178,1.04609367991387,0.01634521374865422,25.956128857448878,10,64,0.4340832493141955,42,1,1,13,29,0.015625,0.015625,0.203125,0.453125,1,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,169.30197077380072,1.0941511154024268,0.01709611117816292,1.366795469198834,0.02135617920623178,1.04609367991387,0.01634521374865422,25.956128857448878,10,64,0.4340832493141955,42,1,1,13,29,0.015625,0.015625,0.203125,0.453125,2,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,169.30197077380072,1.0941511154024268,0.01709611117816292,1.366795469198834,0.02135617920623178,1.04609367991387,0.01634521374865422,25.956128857448878,10,64,0.4340832493141955,42,1,1,13,29,0.015625,0.015625,0.203125,0.453125,5,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,1024,176.43661667015985,1.1017051740302009,0.01721414334422189,1.3948680576686292,0.02179481340107233,1.049710906383511,0.01640173291224236,28.059876782446068,10,64,0.2892642965300979,42,1,1,14,30,0.015625,0.015625,0.21875,0.46875,10,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,2048,185.19475607102072,1.0905171665553361,0.017039330727427127,1.3550343581595767,0.021172411846243386,1.0443477996069428,0.01631793436885848,38.48452021639815,10,64,0.42799146950425504,42,1,1,13,30,0.015625,0.015625,0.203125,0.46875,25,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,3584,173.5382966711387,1.0967437011394596,0.017136620330304057,1.3779239496851232,0.02153006171383005,1.0473348889107013,0.016364607639229707,29.282208651902195,10,64,0.35433576723197013,42,1,1,14,30,0.015625,0.015625,0.21875,0.46875,50,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,6656,173.3601838583428,1.0989045063515832,0.017170382911743488,1.386144370358638,0.02165850578685372,1.048369340687823,0.016380770948247234,42.73532545118107,10,64,0.44454820228278114,42,1,1,14,30,0.015625,0.015625,0.21875,0.46875,100,timm:resnet50.a1_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,16384,176.71253310882477,1.0934056690907674,0.01708446357954324,1.3661634886120022,0.021346304509562535,1.0457343396277752,0.016339599056683987,30.506664408114432,10,64,0.3616802509337296,42,1,1,14,30,0.015625,0.015625,0.21875,0.46875,250,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,13655.030574346689,1.0139709844513103,0.003960824158012931,1.062153296813219,0.004149036315676637,1.0069635074528138,0.003933451200987554,15.658068879933465,10,256,0.46211541488936936,123,1,1,1,14,0.00390625,0.00390625,0.00390625,0.0546875,1,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,13655.030574346689,1.0139709844513103,0.003960824158012931,1.062153296813219,0.004149036315676637,1.0069635074528138,0.003933451200987554,15.658068879933465,10,256,0.46211541488936936,123,1,1,1,14,0.00390625,0.00390625,0.00390625,0.0546875,2,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,1536,15282.627202721018,1.01456211003682,0.003963133242331328,1.064934132498645,0.004159898955072832,1.007257060086794,0.003934597890964039,15.707991132009376,10,256,0.4623852373770293,123,1,1,1,15,0.00390625,0.00390625,0.00390625,0.05859375,5,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,2560,14733.81531583513,1.0151530272199074,0.003965441512577763,1.0672161182376068,0.004168812961865651,1.0075506160827732,0.003935744594073333,15.849167390015397,10,256,0.47857506973305164,123,1,1,1,15,0.00390625,0.00390625,0.00390625,0.05859375,10,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,6656,14509.572373413284,1.0157257247255012,0.003967678612208989,1.0696854722880633,0.004178458876125247,1.0078348982421688,0.003936855071258472,15.58902728179753,10,256,0.4844996262265514,122,1,1,1,15,0.00390625,0.00390625,0.00390625,0.05859375,25,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,12800,14446.52252177119,1.0157162481610933,0.003967641594379271,1.0695836757693071,0.004178061233473856,1.0078302113371496,0.0039368367630357405,15.979469306118022,10,256,0.5145543060380133,122,1,1,1,15,0.00390625,0.00390625,0.00390625,0.05859375,50,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,25600,14236.70741403716,1.0160350260559754,0.003968886820531154,1.070872185044613,0.00418309447283052,1.0079884586664642,0.003937454916665876,16.15672446418653,10,256,0.4971652067809894,124,1,1,1,16,0.00390625,0.00390625,0.00390625,0.0625,100,timm:resnet50.a1_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,64000,14110.004766807426,1.015969875228339,0.003968632325110699,1.0706526732211614,0.004182237004770162,1.0079560918911061,0.003937328483949633,16.314015986293285,10,256,0.5213177714911021,122,1,1,1,16,0.00390625,0.00390625,0.00390625,0.0625,250,timm:resnet50.a1_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,11855.612842619605,1.3059378283205942,0.005101319641877321,1.8651977962976432,0.0072859288917876686,1.1466592978554433,0.004479137882247825,14.964547808055903,10,256,0.47191783789096964,136,2,3,11,31,0.0078125,0.01171875,0.04296875,0.12109375,1,timm:resnet50.a1_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,11855.612842619605,1.3059378283205942,0.005101319641877321,1.8651977962976432,0.0072859288917876686,1.1466592978554433,0.004479137882247825,14.964547808055903,10,256,0.47191783789096964,136,2,3,11,31,0.0078125,0.01171875,0.04296875,0.12109375,2,timm:resnet50.a1_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,1536,13598.163923074955,1.358828010086329,0.005307921914399723,1.9975167342136129,0.007802799743021925,1.1711212826685025,0.004574692510423838,14.570449628574396,10,256,0.49387123608432093,135,2,3,13,34,0.0078125,0.01171875,0.05078125,0.1328125,5,timm:resnet50.a1_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,2560,12849.662868977204,1.3834182955079368,0.005403977716827878,2.066098481656638,0.008070697193971242,1.182154615862073,0.004617791468211223,15.915934842124676,10,256,0.49641225490386875,135,2,4,13,35,0.0078125,0.015625,0.05078125,0.13671875,10,timm:resnet50.a1_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,6656,12693.902638004825,1.391770245119191,0.0054366025199968394,2.077856394696678,0.008116626541783899,1.1861414332881353,0.004633364973781778,16.44080458601381,10,256,0.5047923025125914,135,2,4,13,35,0.0078125,0.015625,0.05078125,0.13671875,25,timm:resnet50.a1_in1k
