layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,2275.0263487430016,1.4184695701589347,0.022163587033733355,2.2318455571821616,0.034872586830971275,1.1943822210147925,0.018662222203356133,5.494671836863767,10,64,0.9215173926350047,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,0.046875,0.078125,0.171875,0.375,1.0,6400.0,557.700449485016,1.2451655777670994,0.019455712152610927,1.5143896977382751,0.02366233902716055,1.1199119924546899,0.01749862488210453,8.312341082748816,10.0,64.0,0.9865368464204164,53.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,287.2256104567829,1.2718471069159478,0.019872611045561685,1.9682660900629854,0.030754157657234146,1.128742902077785,0.01763660784496539,2.7067574170513113,10,64,0.9257142384525411,64,2,6,20,46,0.03125,0.09375,0.3125,0.71875,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,71.8114646372729,1.166754041912188,0.018230531904877938,1.396938663336036,0.02182716661462556,1.082153292800621,0.016908645200009703,4.877469368612954,10.0,64.0,0.9198537123677607,64.0,1.0,2.0,3.0,7.0,0.015625,0.03125,0.046875,0.109375,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,1442.4875773882395,2.7957049352278704,0.043682889612935476,4.858772385420248,0.07591831852219137,1.8059328576848286,0.028217700901325447,19.539151516904727,10,64,0.3994752520911522,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,0.09375,0.140625,0.265625,0.453125,1.0,6400.0,353.7263214917948,2.1714017093919713,0.03392815170924955,2.9445350206780416,0.0460083596980944,1.5714534449044526,0.024553960076632072,18.7674101043598,10.0,64.0,0.46424459626443737,51.0,3.0,3.0,6.0,14.0,0.046875,0.046875,0.09375,0.21875,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,82.28697860752929,1.4881613962212092,0.023252521815956394,2.3183157048458205,0.036223682888215945,1.2295333210249548,0.01921145814101492,11.792522773243437,10,64,0.19662120296719288,51,2,4,17,40,0.03125,0.0625,0.265625,0.625,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,22.32769703770276,1.3923750762613578,0.021755860566583716,1.860900301445072,0.02907656721007925,1.1886867349467989,0.018573230233543733,16.548273876953182,10.0,64.0,0.2578636972570415,51.0,2.0,3.0,5.0,15.0,0.03125,0.046875,0.078125,0.234375,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,3306.0905497189447,2.0419998162929613,0.03190624712957752,4.227957102536291,0.06606182972712955,1.4428902015799274,0.022545159399686366,34.486736175829016,10,64,0.5469294502015289,44,7,12,22,34,0.109375,0.1875,0.34375,0.53125,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,0.109375,0.1875,0.34375,0.53125,1.0,6400.0,801.507087623092,1.4401608176080691,0.02250251277512608,2.0022436195633926,0.03128505655567801,1.2111849394204401,0.018924764678444377,35.38767184308005,10.0,64.0,0.5651025266100748,44.0,2.0,3.0,7.0,14.0,0.03125,0.046875,0.109375,0.21875,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,174.52107253150726,1.0939044131923985,0.017092256456131227,1.3680496546738115,0.021375775854278304,1.045973145840717,0.016343330403761205,43.134916478176926,10,64,0.4261314976949241,42,1,1,14,30,0.015625,0.015625,0.21875,0.46875,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,47.52818628845901,1.0290614032589895,0.01607908442592171,1.1060980166095846,0.01728278150952476,1.0144523242913004,0.01585081756705157,42.008976131883976,10.0,64.0,0.5024987995795277,40.0,1.0,1.0,2.0,9.0,0.015625,0.015625,0.03125,0.140625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,14082.11612238462,1.0160784322176466,0.003969056375850182,1.0710685361812682,0.004183861469458079,1.0080099898002608,0.003937539022657269,17.16096644953877,10,256,0.5132681297589528,121,1,1,1,16,0.00390625,0.00390625,0.00390625,0.0625,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],400.0,True,0.015625,0.015625,0.015625,0.25,0.25,6400.0,3948.520220676549,1.005947892692867,0.003929483955831512,1.0255416139979623,0.00400602192967954,1.0029707272389623,0.0039178544032771965,15.368473018616989,10.0,256.0,0.4642009400788931,123.0,1.0,1.0,1.0,3.0,0.00390625,0.00390625,0.00390625,0.01171875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,12185.677407009867,1.3763593466210315,0.0053764036977384045,2.0457516833477136,0.007991217513077006,1.1790347286455756,0.00460560440877178,17.336956577751337,10,256,0.5317664839871228,136,2,4,13,35,0.0078125,0.015625,0.05078125,0.13671875,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],400.0,True,0.03125,0.0625,0.203125,0.546875,0.25,6400.0,3261.0132990768266,1.2712628816916394,0.004965870631607966,1.6558404120723635,0.00646812660965767,1.1321597830071073,0.004422499152371513,15.80879216473648,10.0,256.0,0.49866544705557936,135.0,2.0,2.0,6.0,11.0,0.0078125,0.0078125,0.0234375,0.04296875,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,45.373887541129484,24.430621574954927,0.09543211552716768,48.317402165959955,0.18873985221078107,8.084395689583435,0.03157967066243529,9.462678185153589,10,256,0.1952617281048703,206,57,87,147,185,0.22265625,0.33984375,0.57421875,0.72265625,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,6.623749881039332,8.252350454511973,0.032235743962937394,13.886082056103874,0.054242508031655756,4.158548253301199,0.01624432911445781,11.15268533328767,10.0,256.0,0.24115886428482292,206.0,13.0,21.0,55.0,125.0,0.05078125,0.08203125,0.21484375,0.48828125,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,45.49469815728712,24.455941773411734,0.09553102255238959,48.34708731737811,0.18885580983350825,8.106397403514967,0.03166561485748034,9.245962787972564,10,256,0.18956091810629483,206,57,87,147,185,0.22265625,0.33984375,0.57421875,0.72265625,timm:resnet50.a1_in1k,timm/resnet50.a1_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,6.623749881039332,8.252350454511973,0.032235743962937394,13.886082056103874,0.054242508031655756,4.158548253301199,0.01624432911445781,11.15268533328767,10.0,256.0,0.24115886428482292,206.0,13.0,21.0,55.0,125.0,0.05078125,0.08203125,0.21484375,0.48828125,25.0,False
