layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,76.2211720490876,2.999377649231311,0.04686527576923923,5.891787901166122,0.09205918595572066,1.8015307380365566,0.028148917781821197,6.387420223993295,10,64,0.920123666088979,64,8,11,20,32,0.125,0.171875,0.3125,0.5,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,76.2211720490876,2.999377649231311,0.04686527576923923,5.891787901166122,0.09205918595572066,1.8015307380365566,0.028148917781821197,6.387420223993295,10,64,0.920123666088979,64,8,11,20,32,0.125,0.171875,0.3125,0.5,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,76.2211720490876,2.999377649231311,0.04686527576923923,5.891787901166122,0.09205918595572066,1.8015307380365566,0.028148917781821197,6.387420223993295,10,64,0.920123666088979,64,8,11,20,32,0.125,0.171875,0.3125,0.5,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,84.1696429646885,3.205900324691537,0.050092192573305265,6.551207431047813,0.10236261611012208,1.8611582195481984,0.0290805971804406,6.2233568565434725,10,64,0.920365178125493,64,9,12,22,33,0.140625,0.1875,0.34375,0.515625,10,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,83.35900544070505,2.9910054005570785,0.04673445938370435,6.157620991960278,0.09621282799937934,1.7859723871507198,0.027905818549229997,6.1553299258616665,10,64,0.9219835610313731,64,9,12,22,33,0.140625,0.1875,0.34375,0.515625,25,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,80.40843316241678,2.979300333737765,0.046551567714652575,6.169093042779398,0.0963920787934281,1.7808583475077533,0.027825911679808645,6.119837661822105,10,64,0.9218505920494967,64,9,12,22,33,0.140625,0.1875,0.34375,0.515625,50,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,79.0670538062206,2.8807889212324853,0.04501232689425758,6.0079904740765055,0.0938748511574454,1.746192107742655,0.027284251683478984,6.0880292747315545,10,64,0.9197066165104915,64,9,12,22,33,0.140625,0.1875,0.34375,0.515625,100,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,78.2013140609978,2.8046322050257158,0.04382237820352681,5.823574456798118,0.0909933508874706,1.720512782652441,0.02688301222894439,6.085944435497286,10,64,0.9194368419815068,64,8,12,22,33,0.125,0.1875,0.34375,0.515625,250,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,111.00958198203962,3.6808197095689086,0.0575128079620142,9.267135475176245,0.14479899179962882,1.978883418803559,0.030920053418805608,3.1353503094265047,10,64,0.8499964835598881,64,14,22,39,56,0.21875,0.34375,0.609375,0.875,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,111.00958198203962,3.6808197095689086,0.0575128079620142,9.267135475176245,0.14479899179962882,1.978883418803559,0.030920053418805608,3.1353503094265047,10,64,0.8499964835598881,64,14,22,39,56,0.21875,0.34375,0.609375,0.875,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,111.00958198203962,3.6808197095689086,0.0575128079620142,9.267135475176245,0.14479899179962882,1.978883418803559,0.030920053418805608,3.1353503094265047,10,64,0.8499964835598881,64,14,22,39,56,0.21875,0.34375,0.609375,0.875,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,123.56433951381835,4.46871954384978,0.06982374287265282,11.6446778354755,0.1819480911793047,2.1952019552627697,0.03430003055098078,2.865757974571692,10,64,0.8408988218696776,64,17,25,43,59,0.265625,0.390625,0.671875,0.921875,10,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,121.41890877155194,4.1222515179326935,0.06441017996769834,11.03400694102115,0.17240635845345548,2.0937576408172154,0.03271496313776899,2.7946670202189363,10,64,0.8365567957617499,64,17,26,43,59,0.265625,0.40625,0.671875,0.921875,25,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,116.210599027328,4.052753959120617,0.06332428061125964,10.938520223855097,0.17091437849773589,2.0732329045435827,0.03239426413349348,2.7311114413401567,10,64,0.8316300807313559,64,18,26,44,60,0.28125,0.40625,0.6875,0.9375,50,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,114.69038154801726,3.9627494896750197,0.06191796077617218,10.80579553905816,0.16884055529778375,2.046517812408365,0.031976840818880706,2.676505479255686,10,64,0.8332959991955625,64,18,26,45,60,0.28125,0.40625,0.703125,0.9375,100,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,112.27489947728111,3.8323053355637935,0.05987977086818427,10.513333528821958,0.1642708363878431,2.008161846462347,0.031377528850974175,2.6932939106215623,10,64,0.8307236536253031,64,18,26,44,60,0.28125,0.40625,0.6875,0.9375,250,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,59.502168252276796,3.076868442948093,0.048076069421063954,5.6856934397156005,0.08883895999555626,1.8738163046987046,0.02927837976091726,6.079544787524658,10,64,0.8347049143621355,64,7,10,19,33,0.109375,0.15625,0.296875,0.515625,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
