layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,78.50085959263802,2.8049997506538555,0.04382812110396649,5.795593032867428,0.09055614113855356,1.7216699650402165,0.026901093203753383,6.074929320936113,10,64,0.9192548245045665,64,8,12,22,33,0.125,0.1875,0.34375,0.515625,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.125,0.1875,0.34375,0.515625,1.0,6400.0,15.54516127860182,1.6460043736885484,0.025718818338883568,2.039709004282013,0.031870453191906456,1.3173513180153116,0.020583614343989243,8.786330679996786,10.0,64.0,0.9814198506870183,55.0,2.0,3.0,3.0,3.0,0.03125,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,112.02191645198627,3.8465164458732617,0.060101819466769714,10.505624137610083,0.16415037715015754,2.013210231773044,0.03145640987145381,2.6874227251745983,10,64,0.8305575457848983,64,18,26,44,60,0.28125,0.40625,0.6875,0.9375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,19.009466230135878,1.71163164222654,0.02674424440978969,2.516879796575323,0.03932624682148942,1.3318509865934214,0.02081017166552221,4.622435513092156,10.0,64.0,0.9080435990281763,64.0,3.0,4.0,8.0,20.0,0.046875,0.0625,0.125,0.3125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,63.63615035942595,3.2099921599747194,0.05015612749960499,5.874021117413507,0.09178157995958605,1.9378985850302477,0.03027966539109762,5.732850520619634,10,64,0.8382008284338529,64,7,10,20,35,0.109375,0.15625,0.3125,0.546875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.109375,0.15625,0.3125,0.546875,1.0,6400.0,13.38458391529976,1.9272298829751622,0.03011296692148691,2.684864724727917,0.0419510113238737,1.460940423347501,0.022827194114804703,7.177395098364919,10.0,64.0,0.8401096497017584,64.0,2.0,4.0,8.0,19.0,0.03125,0.0625,0.125,0.296875,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,37.92847322373356,4.721653841557628,0.07377584127433794,11.795589911263173,0.18430609236348708,2.3057566906211036,0.03602744829095474,2.5127188112820336,10,64,0.8112490904101184,64,18,27,47,59,0.28125,0.421875,0.734375,0.921875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,6.864338671347359,2.155711419862701,0.033682990935354706,3.744090902646226,0.05850142035384728,1.5161576580491045,0.023689963407017258,3.1123580412888083,10.0,64.0,0.9411436285355999,64.0,4.0,7.0,18.0,43.0,0.0625,0.109375,0.28125,0.671875,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,89.61106873612366,4.944866491107861,0.07726353892356033,9.995741614799083,0.15618346273123568,2.4929667322241422,0.03895260519100222,3.095869306283401,10,64,0.9687655920668307,63,13,19,35,54,0.203125,0.296875,0.546875,0.84375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.203125,0.296875,0.546875,0.84375,1.0,6400.0,13.077296773068204,1.5528325927478355,0.02426300926168493,2.243891392326497,0.03506080300510152,1.26698070645517,0.01979657353836203,6.437102075236722,10.0,64.0,0.3313388165830753,63.0,2.0,4.0,10.0,23.0,0.03125,0.0625,0.15625,0.359375,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,54.19103273633682,1.9588256857393163,0.030606651339676817,4.949411873814545,0.07733456052835226,1.4046836534603178,0.021948182085317465,3.7505553860435863,10,64,0.13727222824324847,63,14,23,45,60,0.21875,0.359375,0.703125,0.9375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,11.712646462477702,1.1576392166666298,0.01808811276041609,1.5063109742680643,0.023536108972938504,1.076721655015778,0.016823775859621533,3.4463724510945095,10.0,64.0,0.9749043248481435,63.0,1.0,2.0,10.0,27.0,0.015625,0.03125,0.15625,0.421875,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,106.3993483733353,1.140441114399301,0.004454848103122269,1.5295367447312145,0.005974752909106307,1.0681088785837551,0.0041723003069677935,15.334816754167827,10,256,0.4414973972456089,139,1,3,15,35,0.00390625,0.01171875,0.05859375,0.13671875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],400.0,True,0.015625,0.046875,0.234375,0.546875,0.25,6400.0,28.672453211993375,1.033959101673262,0.00403890274091118,1.112722721052247,0.00434657312911034,1.0169120620784948,0.00397231274249412,14.738033995830822,10.0,256.0,0.3879545138862709,138.0,1.0,1.0,2.0,9.0,0.00390625,0.00390625,0.0078125,0.03515625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,417.123509747407,1.5965094430632056,0.006236365011965647,2.8085129499260826,0.01097075371064876,1.2727412569419108,0.004971645534929339,16.927669562738384,10,256,0.43881147332566517,138,4,8,21,42,0.015625,0.03125,0.08203125,0.1640625,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],400.0,True,0.0625,0.125,0.328125,0.65625,0.25,6400.0,108.11264895030178,1.393484224753732,0.005443297752944266,1.96797094344488,0.0076873864978315625,1.1882478914373167,0.004641593325927018,15.583318473288557,10.0,256.0,0.3931463949748909,141.0,2.0,3.0,7.0,17.0,0.0078125,0.01171875,0.02734375,0.06640625,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,113.63862310892885,33.453473726912186,0.13067763174575073,60.53429044297692,0.23646207204287858,11.372876059187531,0.04442529710620129,8.302048706089593,10,256,0.1451710935507814,218,68,101,164,203,0.265625,0.39453125,0.640625,0.79296875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,12.03178165944147,8.758634448798505,0.03421341581561916,15.657119196538876,0.06116062186147998,3.9563866302173314,0.01545463527428645,8.540508564498078,10.0,256.0,0.1626122854834211,218.0,15.0,26.0,63.0,142.0,0.05859375,0.1015625,0.24609375,0.5546875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,113.48166148155609,33.407864598554475,0.13049947108810342,60.51815260252531,0.2363990336036145,11.348949172307153,0.044331832704324815,7.22999406409533,10,256,0.1401584864449048,218,68,101,164,203,0.265625,0.39453125,0.640625,0.79296875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,12.03178165944147,8.758634448798505,0.03421341581561916,15.657119196538876,0.06116062186147998,3.9563866302173314,0.01545463527428645,8.540508564498078,10.0,256.0,0.1626122854834211,218.0,15.0,26.0,63.0,142.0,0.05859375,0.1015625,0.24609375,0.5546875,25.0,False
