layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.77665312556138,2.502621538633461,0.03910346154114783,4.81932546727598,0.07530196042618718,1.6236108504840914,0.025368919538813928,6.324866416274179,10,64,0.9138191677250216,64,6,10,18,30,0.09375,0.15625,0.28125,0.46875,1,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.77665312556138,2.502621538633461,0.03910346154114783,4.81932546727598,0.07530196042618718,1.6236108504840914,0.025368919538813928,6.324866416274179,10,64,0.9138191677250216,64,6,10,18,30,0.09375,0.15625,0.28125,0.46875,2,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,171.77665312556138,2.502621538633461,0.03910346154114783,4.81932546727598,0.07530196042618718,1.6236108504840914,0.025368919538813928,6.324866416274179,10,64,0.9138191677250216,64,6,10,18,30,0.09375,0.15625,0.28125,0.46875,5,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,187.49760065603115,2.612240683661651,0.0408162606822133,5.229912511073566,0.08171738298552447,1.6562714519499677,0.025879241436718246,6.157963317645955,10,64,0.9109752529452858,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,10,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,186.40426997929933,2.4723445494784433,0.038630383585600676,4.937367653698054,0.0771463695890321,1.6055104121999206,0.02508610019062376,6.099679797561056,10,64,0.9117417876389735,64,7,10,19,32,0.109375,0.15625,0.296875,0.5,25,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,179.6960019194133,2.463237989607005,0.038488093587609455,4.9375070767157645,0.07714854807368382,1.601515269425611,0.02502367608477517,6.036522841036228,10,64,0.9113174186487901,64,7,10,20,32,0.109375,0.15625,0.3125,0.5,50,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,176.66458954588077,2.3871719853386972,0.037299562270917144,4.800409271881384,0.07500639487314663,1.5733871543165274,0.02458417428619574,6.004641057514035,10,64,0.9099141356393311,64,7,10,20,32,0.109375,0.15625,0.3125,0.5,100,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,175.69151722257038,2.3451367578986613,0.03664276184216658,4.675672045024449,0.07305737570350701,1.5587973113404952,0.024356207989695237,5.993078482197379,10,64,0.9082825480007344,64,7,10,19,32,0.109375,0.15625,0.296875,0.5,250,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,74.85449009538864,2.49851967281445,0.03903936988772578,6.0928688696836675,0.0952010760888073,1.6006248204810107,0.025009762820015793,2.8850970385825336,10,64,0.9177383774939374,64,11,18,36,55,0.171875,0.28125,0.5625,0.859375,1,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,74.85449009538864,2.49851967281445,0.03903936988772578,6.0928688696836675,0.0952010760888073,1.6006248204810107,0.025009762820015793,2.8850970385825336,10,64,0.9177383774939374,64,11,18,36,55,0.171875,0.28125,0.5625,0.859375,2,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,74.85449009538864,2.49851967281445,0.03903936988772578,6.0928688696836675,0.0952010760888073,1.6006248204810107,0.025009762820015793,2.8850970385825336,10,64,0.9177383774939374,64,11,18,36,55,0.171875,0.28125,0.5625,0.859375,5,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,80.69398862481502,2.8663911097147974,0.04478736108929371,7.480130322108298,0.11687703628294216,1.7186723802680863,0.02685425594168885,2.7491308819723423,10,64,0.9060207827290606,64,14,21,40,57,0.21875,0.328125,0.625,0.890625,10,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,79.86828709033058,2.677244673106759,0.04183194801729311,7.018729669394149,0.10966765108428358,1.656082649890003,0.025876291404531297,2.6904910541668383,10,64,0.9038084724873396,64,14,21,41,57,0.21875,0.328125,0.640625,0.890625,25,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,76.80884189114397,2.6575375334011277,0.04152402395939262,6.9867211957322475,0.10916751868331637,1.6495567232514328,0.025774323800803637,2.6621263522896643,10,64,0.8989719873893482,64,14,21,41,57,0.21875,0.328125,0.640625,0.890625,50,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,76.18901054854683,2.6245974890610753,0.0410093357665793,6.922027215106906,0.10815667523604541,1.6384075604835346,0.02560011813255523,2.6071831971906536,10,64,0.9006620051087744,64,14,22,42,58,0.21875,0.34375,0.65625,0.90625,100,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,74.99520619613227,2.5581343308234064,0.039970848919115724,6.710091014153202,0.10484517209614379,1.6163199141758906,0.02525499865899829,2.5916660965034857,10,64,0.9023658573710068,64,14,21,42,58,0.21875,0.328125,0.65625,0.90625,250,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,72.62311506924561,2.7737361415306285,0.04333962721141607,4.97937330922615,0.0778027079566586,1.7545129321576631,0.027414264564963486,6.487790223830845,10,64,0.9026178741078928,64,7,9,15,26,0.109375,0.140625,0.234375,0.40625,1,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,72.62311506924561,2.7737361415306285,0.04333962721141607,4.97937330922615,0.0778027079566586,1.7545129321576631,0.027414264564963486,6.487790223830845,10,64,0.9026178741078928,64,7,9,15,26,0.109375,0.140625,0.234375,0.40625,2,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,72.62311506924561,2.7737361415306285,0.04333962721141607,4.97937330922615,0.0778027079566586,1.7545129321576631,0.027414264564963486,6.487790223830845,10,64,0.9026178741078928,64,7,9,15,26,0.109375,0.140625,0.234375,0.40625,5,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,82.12277653072118,3.13811740125235,0.049033084394567966,5.518472010494746,0.0862261251639804,1.9057938361998243,0.029778028690622255,6.390069088251749,10,64,0.903883265175298,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,10,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,82.99540645712236,3.0929728875647737,0.04832770136819959,5.4924592856666425,0.08581967633854129,1.8876238464678194,0.02949412260105968,6.3715124515328165,10,64,0.9075368790866303,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,25,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,80.1035466570016,3.146116289903324,0.04915806702973944,5.563702210110885,0.08693284703298258,1.910868024127149,0.029857312876986702,6.347749122354786,10,64,0.9059383812628866,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,50,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,78.89707506899164,2.993259791950747,0.04676968424923042,5.333551620106235,0.08333674406415992,1.8505635931162783,0.028915056142441848,6.326915620878442,10,64,0.9051828188019141,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,100,timm:resnet50.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,77.4021601082308,2.878311782103779,0.04497362159537155,5.144287019971032,0.08037948468704738,1.8013966621978699,0.028146822846841717,6.331356951372396,10,64,0.9028068972663504,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,250,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,30.53357756814379,2.9645970457857667,0.046321828840402604,6.943403780023193,0.10849068406286239,1.7687534139619177,0.027636772093154963,2.7746840992179687,10,64,0.9639991379999104,64,11,18,36,56,0.171875,0.28125,0.5625,0.875,1,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,30.53357756814379,2.9645970457857667,0.046321828840402604,6.943403780023193,0.10849068406286239,1.7687534139619177,0.027636772093154963,2.7746840992179687,10,64,0.9639991379999104,64,11,18,36,56,0.171875,0.28125,0.5625,0.875,2,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,30.53357756814379,2.9645970457857667,0.046321828840402604,6.943403780023193,0.10849068406286239,1.7687534139619177,0.027636772093154963,2.7746840992179687,10,64,0.9639991379999104,64,11,18,36,56,0.171875,0.28125,0.5625,0.875,5,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,32.61940822721534,3.126283018399885,0.048848172162498205,7.342095189049395,0.1147202373288968,1.8260404713103315,0.02853188236422393,2.6521848999859694,10,64,0.9625063582720981,64,12,19,38,57,0.1875,0.296875,0.59375,0.890625,10,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,32.80900226705276,2.8163262025274505,0.044005096914491414,6.669720196890642,0.10421437807641629,1.7194291857112032,0.02686608102673755,2.580657086673559,10,64,0.9615241306468099,64,11,18,38,57,0.171875,0.28125,0.59375,0.890625,25,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,3584,31.070623220553077,2.831028841694966,0.044234825651483844,6.719715603938266,0.10499555631153541,1.7246299386885524,0.02694734279200863,2.545808878692803,10,64,0.9619892648924341,64,11,19,39,58,0.171875,0.296875,0.609375,0.90625,50,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,6656,31.150187961364445,2.740864550173101,0.042826008596454704,6.525421947207601,0.10195971792511876,1.6928515248082132,0.02645080507512833,2.5071939551069375,10,64,0.9657430230975503,64,11,19,39,58,0.171875,0.296875,0.609375,0.90625,100,timm:resnet50.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,16384,30.469794319863148,2.7681728974002944,0.0432527015218796,6.574071949093424,0.10271987420458475,1.7028346813963877,0.026606791896818558,2.484074785276308,10,64,0.9680039532122011,64,11,19,39,58,0.171875,0.296875,0.609375,0.90625,250,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,175.75866040791558,3.1008509823549226,0.048450796599295666,5.51643727381457,0.08619433240335266,1.917566570785148,0.029961977668517936,4.526392251795507,10,64,0.9656232082527779,64,7,12,21,37,0.109375,0.1875,0.328125,0.578125,1,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,175.75866040791558,3.1008509823549226,0.048450796599295666,5.51643727381457,0.08619433240335266,1.917566570785148,0.029961977668517936,4.526392251795507,10,64,0.9656232082527779,64,7,12,21,37,0.109375,0.1875,0.328125,0.578125,2,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,175.75866040791558,3.1008509823549226,0.048450796599295666,5.51643727381457,0.08619433240335266,1.917566570785148,0.029961977668517936,4.526392251795507,10,64,0.9656232082527779,64,7,12,21,37,0.109375,0.1875,0.328125,0.578125,5,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,1024,179.2725398504891,3.161663037410056,0.04940098495953212,6.002001660819107,0.09378127595029855,1.9057215566915702,0.029776899323305784,4.490911175267796,10,64,0.9695922238348209,64,9,13,22,39,0.140625,0.203125,0.34375,0.609375,10,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,2048,180.9085101563213,2.9459524223737823,0.04603050659959035,5.73809185575143,0.0896576852461161,1.8100481553032577,0.0282820024266134,4.441477684493126,10,64,0.9695156280097434,64,9,13,22,39,0.140625,0.203125,0.34375,0.609375,25,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,3584,174.92655317626802,2.9994734877294538,0.046866773245772715,5.778911422282796,0.09029549097316869,1.8361376389869888,0.0286896506091717,4.42959031360612,10,64,0.9681934927319504,64,9,13,22,39,0.140625,0.203125,0.34375,0.609375,50,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,6656,174.38921316710906,2.9435711978372514,0.04599329996620705,5.693850822503882,0.08896641910162316,1.8115987033560128,0.0283062297399377,4.428175686421501,10,64,0.968980421647474,64,9,13,22,39,0.140625,0.203125,0.34375,0.609375,100,timm:resnet50.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,16384,172.86986000967386,2.8678535314893963,0.044810211429521817,5.542696739433241,0.08660463655364439,1.782134632757223,0.02784585363683161,4.423946409556685,10,64,0.9691350371440072,64,8,13,22,39,0.125,0.203125,0.34375,0.609375,250,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,39.82810411434584,1.6395676768933127,0.02561824495145801,3.4350044415629757,0.053671944399421495,1.2834984679762564,0.020054663562129007,2.9677520486340847,10,64,0.9370566412892062,64,9,15,31,53,0.140625,0.234375,0.484375,0.828125,1,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,39.82810411434584,1.6395676768933127,0.02561824495145801,3.4350044415629757,0.053671944399421495,1.2834984679762564,0.020054663562129007,2.9677520486340847,10,64,0.9370566412892062,64,9,15,31,53,0.140625,0.234375,0.484375,0.828125,2,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,512,39.82810411434584,1.6395676768933127,0.02561824495145801,3.4350044415629757,0.053671944399421495,1.2834984679762564,0.020054663562129007,2.9677520486340847,10,64,0.9370566412892062,64,9,15,31,53,0.140625,0.234375,0.484375,0.828125,5,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,1024,41.762414112664345,1.6970479901301496,0.026516374845783588,3.6898378547960653,0.05765371648118852,1.3061493809708882,0.020408584077670128,2.8408518442085753,10,64,0.934320516093629,64,10,17,34,55,0.15625,0.265625,0.53125,0.859375,10,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,2048,42.952182302425484,1.6040455201954582,0.025063211253054034,3.350746869023666,0.05235541982849478,1.2690480644662734,0.01982887600728552,2.7554762067672662,10,64,0.934484952701174,64,9,16,33,55,0.140625,0.25,0.515625,0.859375,25,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,3584,40.81625189197534,1.661684290765841,0.025963817043216264,3.572415314789924,0.05581898929359256,1.292106372721243,0.02018916207376942,2.7495498079445886,10,64,0.9336141963685299,64,10,17,34,56,0.15625,0.265625,0.53125,0.875,50,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,6656,40.898559403635986,1.6674878274354137,0.02605449730367834,3.600488722917323,0.05625763629558317,1.2943681590647822,0.020224502485387222,2.749742595370615,10,64,0.9311084769384321,64,10,17,34,56,0.15625,0.265625,0.53125,0.875,100,timm:resnet50.gluon_in1k
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,16384,41.40822596882523,1.629387966541433,0.02545918697720989,3.452570094261354,0.053946407722833656,1.2792111673452518,0.01998767448976956,2.73574528563189,10,64,0.930556882094019,64,9,16,34,55,0.140625,0.25,0.53125,0.859375,250,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,180.68924090348065,1.0728799192595797,0.004190937184607733,1.2746637810081,0.004979155394562891,1.0358670600217892,0.004046355703210114,9.080372351799594,10,256,0.404997991482117,153,1,1,9,20,0.00390625,0.00390625,0.03515625,0.078125,1,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,512,180.68924090348065,1.0728799192595797,0.004190937184607733,1.2746637810081,0.004979155394562891,1.0358670600217892,0.004046355703210114,9.080372351799594,10,256,0.404997991482117,153,1,1,9,20,0.00390625,0.00390625,0.03515625,0.078125,2,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,1536,200.86048966610235,1.072237960613595,0.0041884295336468555,1.2758312111319978,0.0049837156684843665,1.0355487562815975,0.00404511232922499,9.022792915265054,10,256,0.424808267292315,150,1,1,9,21,0.00390625,0.00390625,0.03515625,0.08203125,5,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,2560,194.04984246465324,1.0754101017071123,0.004200820709793407,1.286872413835658,0.005026845366545539,1.0370850814478332,0.004051113599405598,9.43400503163592,10,256,0.5417400665846924,152,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,10,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,6656,190.8032837530568,1.0781077541210857,0.004211358414535491,1.2969629421296918,0.0050662614926941085,1.0383876574146444,0.004056201786775955,8.976985520791704,10,256,0.6390497451257913,152,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,25,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,12800,190.41152274483434,1.077900216994739,0.004210547722635699,1.2958578547886732,0.005061944745268255,1.0382882602098582,0.004055813516444759,9.945232985824035,10,256,0.4736212392445577,150,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,50,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,25600,187.70755365529487,1.0800205640325433,0.004218830328252122,1.3031960995329046,0.005090609763800409,1.0393132389791024,0.004059817339762119,9.44385017759978,10,256,0.6154862534175147,151,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,100,timm:resnet50.gluon_in1k
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,64000,185.81890947890565,1.0792327138125715,0.004215752788330357,1.3005079483278528,0.005080109173155675,1.0389328268560567,0.0040583313549064715,9.171997722115877,10,256,0.7310548900693334,150,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,250,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,509.0639157554227,1.3520244429534225,0.005281345480286807,2.0624409109441615,0.00805640980837563,1.1664596975741524,0.004556483193649033,9.386840339729329,10,256,0.4914155997402684,151,2,5,15,30,0.0078125,0.01953125,0.05859375,0.1171875,1,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,512,509.0639157554227,1.3520244429534225,0.005281345480286807,2.0624409109441615,0.00805640980837563,1.1664596975741524,0.004556483193649033,9.386840339729329,10,256,0.4914155997402684,151,2,5,15,30,0.0078125,0.01953125,0.05859375,0.1171875,2,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,1536,586.5757246472109,1.412881637893698,0.0055190688980222575,2.2310486072172426,0.008715033621942354,1.1937627839344969,0.004663135874744128,9.817376511712391,10,256,0.5061800106716883,152,2,5,17,32,0.0078125,0.01953125,0.06640625,0.125,5,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,2560,555.9100800188202,1.4441371612885652,0.005641160786283458,2.3182995348460667,0.009055857557992448,1.2075172885998477,0.004716864408593155,10.165479252385923,10,256,0.5203000801737936,151,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,10,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,6656,548.6288468194355,1.4506254652397255,0.005666505723592678,2.3293521220075206,0.009099031726591877,1.2104401653713281,0.004728281895981751,10.462440149264093,10,256,0.5070699287035054,151,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,25,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,12800,534.0297341125054,1.4487162152549173,0.005659047715839521,2.3264319305747105,0.009087624728807463,1.2095770081444215,0.004724910188064146,9.525808430819355,10,256,0.7138405665455705,150,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,50,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,25600,529.5416985792689,1.4421353179702114,0.005633341085821138,2.3136178643635317,0.009037569782670046,1.2066142738616412,0.004713337007272036,9.981318994254801,10,256,0.7130372662127487,151,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,100,timm:resnet50.gluon_in1k
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,64000,524.6237535956278,1.437015447921132,0.0056133415934419215,2.2990349936776466,0.008980605444053307,1.2043767234300522,0.004704596575898641,10.310377790786681,10,256,0.682702136141996,150,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,250,timm:resnet50.gluon_in1k
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,512,53.63034077142567,23.497315082734403,0.09178638704193126,41.460243156869545,0.16195407483152166,8.547583199252053,0.03338899687207833,6.518461506849394,10,256,0.196454045066625,236,41,64,118,180,0.16015625,0.25,0.4609375,0.703125,1,timm:resnet50.gluon_in1k
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,512,53.63034077142567,23.497315082734403,0.09178638704193126,41.460243156869545,0.16195407483152166,8.547583199252053,0.03338899687207833,6.518461506849394,10,256,0.196454045066625,236,41,64,118,180,0.16015625,0.25,0.4609375,0.703125,2,timm:resnet50.gluon_in1k
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,1536,57.75686150161696,24.85290647919461,0.09708166593435394,46.29283626065106,0.1808313916431682,8.235825914381925,0.032171194978054395,4.704816431075897,10,256,0.19128611802974493,238,49,76,139,196,0.19140625,0.296875,0.54296875,0.765625,5,timm:resnet50.gluon_in1k
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,2560,58.04368305024552,25.443676323805523,0.09938936063986532,47.151333775775306,0.1841848975616223,8.5726910238599,0.03348707431195273,5.012591695754618,10,256,0.19266509282798516,238,50,78,143,199,0.1953125,0.3046875,0.55859375,0.77734375,10,timm:resnet50.gluon_in1k
