layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,176.2051990406702,2.3511057201379693,0.03673602687715577,4.6694696347791815,0.07296046304342471,1.5615704415638683,0.02439953814943544,5.984056539878136,10,64,0.9073320213548677,64,7,10,19,32,0.109375,0.15625,0.296875,0.5,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,0.109375,0.15625,0.296875,0.5,1.0,6400.0,39.730543717282984,1.6823537467266454,0.026286777292603834,2.0856523123394632,0.03258831738030411,1.3334163419135618,0.020834630342399404,8.78691797246766,10.0,64.0,0.9817527332228847,53.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,74.71713802670037,2.5687664465832305,0.04013697572786298,6.7120065999368235,0.10487510312401287,1.6203060324451568,0.025317281756955575,2.5730099083196287,10,64,0.9018478901704001,64,14,21,42,58,0.21875,0.328125,0.65625,0.90625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,14.44979103098036,1.415544820671945,0.02211788782299914,1.9991753545037902,0.031237114914121723,1.1971289236675136,0.0187051394323049,4.335771433836186,10.0,64.0,0.9303319567323688,64.0,2.0,3.0,7.0,20.0,0.03125,0.046875,0.109375,0.3125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,77.69104529618446,2.921044297166009,0.04564131714321889,5.218905321685073,0.08154539565132926,1.819595689322254,0.02843118264566022,6.339385747382804,10,64,0.9007581282455855,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,0.109375,0.15625,0.25,0.421875,1.0,6400.0,19.93161354936954,2.45409002219932,0.038345156596864376,3.437122300301999,0.05370503594221873,1.6689541979434228,0.02607740934286598,7.392349477259512,10.0,64.0,0.8548647755110438,64.0,4.0,4.0,6.0,13.0,0.0625,0.0625,0.09375,0.203125,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,30.038453647668142,2.797083195877095,0.04370442493557961,6.648614554456245,0.10388460241337882,1.712518912541475,0.026758108008460547,2.4835442014512616,10,64,0.9676979632736924,64,11,19,39,58,0.171875,0.296875,0.609375,0.90625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,7.473607696054529,2.201249069529901,0.034394516711404706,3.539244652972261,0.05530069770269158,1.5343486744707928,0.023974198038606138,3.0173612666444933,10.0,64.0,0.9767363470967816,64.0,4.0,5.0,13.0,36.0,0.0625,0.078125,0.203125,0.5625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,170.60634099331162,2.893183113272022,0.045205986144875344,5.581982827250215,0.08721848167578461,1.7928209324296303,0.028012827069212973,4.41485994135545,10,64,0.9692585789226785,64,8,13,22,39,0.125,0.203125,0.34375,0.609375,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,0.125,0.203125,0.34375,0.609375,1.0,6400.0,30.399861165668053,1.210270744900113,0.018910480389064267,1.6153017330023751,0.02523908957816211,1.1014471706220552,0.017210112040969613,5.58629203589778,10.0,64.0,0.9668113159402129,64.0,1.0,3.0,7.0,16.0,0.015625,0.046875,0.109375,0.25,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,40.922201827598805,1.6374069810441718,0.025584484078815185,3.484834349659721,0.05445053671343314,1.28240937208507,0.02003764643882922,2.7433026059586787,10,64,0.9301409245181591,64,9,16,34,56,0.140625,0.25,0.53125,0.875,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,9.663420806737484,1.1033728630170057,0.017240200984640713,1.3548968208173335,0.021170262825270836,1.050626295907821,0.016416035873559703,3.2249814876049765,10.0,64.0,0.941906303581324,64.0,1.0,1.0,6.0,25.0,0.015625,0.015625,0.09375,0.390625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,185.5227852867691,1.079555584338427,0.0042170140013219806,1.3016453176408083,0.005084552022034407,1.0390887377301707,0.0040589403817584795,10.350599468241192,10,256,0.4940830645569607,150,1,1,10,22,0.00390625,0.00390625,0.0390625,0.0859375,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],400.0,True,0.015625,0.015625,0.15625,0.34375,0.25,6400.0,51.813308398312685,1.010844596113566,0.003948611703568617,1.0447511843349653,0.004081059313808458,1.0054110418472941,0.003927386882215993,9.484055893934412,10.0,256.0,0.44557133456950704,149.0,1.0,1.0,1.0,5.0,0.00390625,0.00390625,0.00390625,0.01953125,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,526.9696984840054,1.4358240578013193,0.005608687725786403,2.2964570767978825,0.008970535456241728,1.2038375358368152,0.004702490374362559,11.180569458112398,10,256,0.5549616215111901,150,2,6,17,33,0.0078125,0.0234375,0.06640625,0.12890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],400.0,True,0.03125,0.09375,0.265625,0.515625,0.25,6400.0,138.60722523764994,1.2684900074540366,0.0049550390916173305,1.6903567705366673,0.006602956134908857,1.1301636249885558,0.004414701660111546,9.87582504008307,10.0,256.0,0.6324226866669801,150.0,2.0,2.0,7.0,13.0,0.0078125,0.0078125,0.02734375,0.05078125,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,56.88680605075249,25.920202540147503,0.10125079117245118,48.69118756683426,0.19019995143294632,8.691769773540631,0.03395222567789309,4.759158631321477,10,256,0.1880690350135953,239,53,83,149,202,0.20703125,0.32421875,0.58203125,0.7890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,6.280587998923388,6.904304906888071,0.026969941042531528,13.556662727669027,0.052955713779957135,3.1156288132412406,0.012170425051723596,4.91348217058963,10.0,256.0,0.2366092803578399,239.0,13.0,23.0,60.0,136.0,0.05078125,0.08984375,0.234375,0.53125,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,56.94473111758319,25.88710197922718,0.10112149210635617,48.65096503841773,0.19004283218131926,8.700411123812039,0.033985980952390776,4.615242211037446,10,256,0.18302295586178763,239,53,83,149,202,0.20703125,0.32421875,0.58203125,0.7890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,6.280587998923388,6.904304906888071,0.026969941042531528,13.556662727669027,0.052955713779957135,3.1156288132412406,0.012170425051723596,4.91348217058963,10.0,256.0,0.2366092803578399,239.0,13.0,23.0,60.0,136.0,0.05078125,0.08984375,0.234375,0.53125,25.0,False
