layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,581.0378351827425,2.956614771762528,0.0461971058087895,5.704199467599956,0.08912811668124931,1.7888803136070075,0.027951254900109492,6.118709487663302,10,64,0.924599784252436,64,7,11,19,32,0.109375,0.171875,0.296875,0.5,1,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,581.0378351827425,2.956614771762528,0.0461971058087895,5.704199467599956,0.08912811668124931,1.7888803136070075,0.027951254900109492,6.118709487663302,10,64,0.924599784252436,64,7,11,19,32,0.109375,0.171875,0.296875,0.5,2,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,581.0378351827425,2.956614771762528,0.0461971058087895,5.704199467599956,0.08912811668124931,1.7888803136070075,0.027951254900109492,6.118709487663302,10,64,0.924599784252436,64,7,11,19,32,0.109375,0.171875,0.296875,0.5,5,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,643.0596563235538,3.163656795401896,0.049432137428154624,6.272329236879499,0.09800514432624217,1.852279451863975,0.028941866435374608,5.947416779324949,10,64,0.9225693349263855,64,8,12,20,34,0.125,0.1875,0.3125,0.53125,10,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,635.3365657445665,2.978134971121278,0.04653335892376997,5.927959861316567,0.09262437283307136,1.7870161709972752,0.027922127671832424,5.885831131822487,10,64,0.9230113075636532,64,8,11,20,33,0.125,0.171875,0.3125,0.515625,25,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,613.400436361849,2.971248011709166,0.04642575018295572,5.936646671657697,0.09276010424465152,1.7839822133367933,0.027874722083387395,5.834108655369901,10,64,0.9215778941460429,64,8,11,20,34,0.125,0.171875,0.3125,0.53125,50,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,599.7721547779897,2.8615734464962657,0.04471208510150415,5.77139078853389,0.09017798107084203,1.7444218741604405,0.027256591783756882,5.814205871020715,10,64,0.9210918113550668,64,8,11,20,34,0.125,0.171875,0.3125,0.53125,100,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,595.3139586987716,2.8042071176987005,0.043815736214042195,5.618796578432463,0.08779369653800724,1.7254824404801832,0.026960663132502862,5.802449560475974,10,64,0.9203109599149517,64,7,11,20,34,0.109375,0.171875,0.3125,0.53125,250,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,331.8161451186686,2.745005443236195,0.04289071005056555,6.883524982196753,0.10755507784682426,1.683523514298521,0.02630505491091439,2.6854048340013668,10,64,0.8957869458209101,64,12,20,39,57,0.1875,0.3125,0.609375,0.890625,1,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,331.8161451186686,2.745005443236195,0.04289071005056555,6.883524982196753,0.10755507784682426,1.683523514298521,0.02630505491091439,2.6854048340013668,10,64,0.8957869458209101,64,12,20,39,57,0.1875,0.3125,0.609375,0.890625,2,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,331.8161451186686,2.745005443236195,0.04289071005056555,6.883524982196753,0.10755507784682426,1.683523514298521,0.02630505491091439,2.6854048340013668,10,64,0.8957869458209101,64,12,20,39,57,0.1875,0.3125,0.609375,0.890625,5,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,363.7568758497905,3.2426208062852844,0.05066595009820757,8.64835711483326,0.1351305799192697,1.8379416642602875,0.028717838504066992,2.456977835450686,10,64,0.8752904071388492,64,15,24,45,59,0.234375,0.375,0.703125,0.921875,10,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,359.83222581999786,3.036041833257281,0.047438153644645015,8.075711840549438,0.12618299750858497,1.774578628155357,0.027727791064927454,2.3259940486670514,10,64,0.865804903994479,64,15,24,45,60,0.234375,0.375,0.703125,0.9375,25,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,347.68304801039426,3.0377942216725877,0.04746553471363418,8.089805031048522,0.12640320361013316,1.7757731004330344,0.027746454694266162,2.272260593406269,10,64,0.8632448358247384,64,15,24,46,60,0.234375,0.375,0.71875,0.9375,50,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,344.6067348515206,3.0018032021026695,0.04690317503285421,8.05218522717764,0.12581539417465062,1.7630721021697058,0.027548001596401653,2.2228131144618217,10,64,0.8556240163063469,64,15,24,47,60,0.234375,0.375,0.734375,0.9375,100,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,337.9525226064845,2.9098897736446188,0.04546702771319717,7.775189476865622,0.12148733557602534,1.7338877903470684,0.027091996724172944,2.2178691665875374,10,64,0.855748147975521,64,15,24,47,60,0.234375,0.375,0.734375,0.9375,250,timm:resnet50.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,2044.2319444358793,3.2378516335104797,0.050591431773601245,5.663406753795972,0.08849073052806206,2.022489957129605,0.03160140558015008,5.766222238741346,10,64,0.8742626806199716,63,7,11,20,34,0.109375,0.171875,0.3125,0.53125,1,timm:resnet50.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,2044.2319444358793,3.2378516335104797,0.050591431773601245,5.663406753795972,0.08849073052806206,2.022489957129605,0.03160140558015008,5.766222238741346,10,64,0.8742626806199716,63,7,11,20,34,0.109375,0.171875,0.3125,0.53125,2,timm:resnet50.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,2044.2319444358793,3.2378516335104797,0.050591431773601245,5.663406753795972,0.08849073052806206,2.022489957129605,0.03160140558015008,5.766222238741346,10,64,0.8742626806199716,63,7,11,20,34,0.109375,0.171875,0.3125,0.53125,5,timm:resnet50.tv2_in1k
