layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,595.9056408189531,2.7987321197838244,0.043730189371622256,5.585488494235114,0.08727325772242366,1.7243871804576627,0.02694354969465098,5.793654896499141,10,64,0.9198056074113506,64,7,11,20,34,0.109375,0.171875,0.3125,0.53125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,0.109375,0.171875,0.3125,0.53125,1.0,6400.0,125.13892271807175,1.8009803731201868,0.02814031833000292,2.210920525801661,0.034545633215650955,1.3927691296509235,0.02176201765079568,8.312422023718838,10.0,64.0,0.9862795051223112,56.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,335.8201487069568,2.91093007027118,0.04548328234798719,7.787033202939791,0.12167239379593424,1.7337745539178744,0.027090227404966787,2.216088710356274,10,64,0.8549169471146427,64,15,24,47,60,0.234375,0.375,0.734375,0.9375,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,66.22812020414018,1.6605510758979005,0.025946110560904696,2.3194953470556907,0.03624211479774517,1.3150894602689749,0.020548272816702733,4.650602283109339,10.0,64.0,0.9545415646432415,64.0,3.0,3.0,7.0,18.0,0.046875,0.046875,0.109375,0.28125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,2149.8505692692934,3.2888251862936686,0.05138789353583857,5.754586436043752,0.08991541306318362,2.0798556849093206,0.032497745076708134,5.8613073961356585,10,64,0.8109651948977957,64,8,11,21,36,0.125,0.171875,0.328125,0.5625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,0.125,0.171875,0.328125,0.5625,1.0,6400.0,525.2569938472103,2.5246826674147296,0.03944816667835515,3.5091901773386374,0.05483109652091621,1.8041769682289457,0.028190265128577276,6.831080657789377,10.0,64.0,0.8466340978546968,64.0,3.0,5.0,8.0,16.0,0.046875,0.078125,0.125,0.25,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,66.31256669716622,4.7304242778133245,0.0739128793408332,12.371510867807185,0.19330485730948727,2.325285038223982,0.036332578722249716,2.0113936472476333,10,64,0.91041692174216,64,21,31,51,62,0.328125,0.484375,0.796875,0.96875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,14.946476366521882,2.9797411992999225,0.04655845623906129,5.12357958517247,0.08005593101831984,1.8730523719868621,0.02926644331229472,3.044395010358763,10.0,64.0,0.9763681495101785,64.0,6.0,8.0,20.0,45.0,0.09375,0.125,0.3125,0.703125,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,1279.4716059438333,3.1639922536218505,0.049437378962841415,7.173936687592251,0.11209276074362892,1.8418583902855632,0.028779037348211925,3.1531416380253052,10,64,0.9318988475232654,64,11,18,34,52,0.171875,0.28125,0.53125,0.8125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,0.171875,0.28125,0.53125,0.8125,1.0,6400.0,267.95232672599195,1.7531610478660435,0.02739314137290693,2.8787436057124496,0.044980368839257025,1.340140621966028,0.020939697218219186,5.300893743308278,10.0,64.0,0.9569596230551689,64.0,4.0,5.0,11.0,23.0,0.0625,0.078125,0.171875,0.359375,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,127.2484185951573,1.536015100267993,0.02400023594168739,3.241454106563847,0.05064772041506011,1.240854441734514,0.01938835065210178,2.3064289809870124,10,64,0.809534385725714,64,9,20,41,57,0.140625,0.3125,0.640625,0.890625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,31.958551351912696,1.1975703488710674,0.018712036701110428,1.64857279653875,0.02575894994591797,1.0951743729305354,0.017112099577039616,3.2497333370920023,10.0,64.0,0.9698072399154738,64.0,1.0,3.0,12.0,33.0,0.015625,0.046875,0.1875,0.515625,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,2514.1726636423623,1.060214946496006,0.0041414646347500235,1.2458364176439825,0.0048665485064218065,1.0296991066359489,0.004022262135296675,9.334900077029383,10,256,0.684196055823526,155,1,1,10,32,0.00390625,0.00390625,0.0390625,0.125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],400.0,True,0.015625,0.015625,0.15625,0.5,0.25,6400.0,702.7383496882002,1.020189676225512,0.003985115922755906,1.0815738705771936,0.004224897931942162,1.0100526618215933,0.003945518210240599,8.515535323400051,10.0,256.0,0.6713097697951809,155.0,1.0,1.0,1.0,11.0,0.00390625,0.00390625,0.00390625,0.04296875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10754.060670477153,1.4037277914800579,0.005483311685468976,2.311824973123997,0.009030566301265613,1.188395200200748,0.004642168750784172,9.848723921972914,10,256,0.7096013045238051,155,2,7,22,42,0.0078125,0.02734375,0.0859375,0.1640625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],400.0,True,0.03125,0.109375,0.34375,0.65625,0.25,6400.0,2885.8375620077477,1.281926004282951,0.005007523454230277,1.7486609909236068,0.006830706995795339,1.1353623365794054,0.0044350091272633025,9.388165354727626,10.0,256.0,0.6291560197341362,156.0,2.0,3.0,7.0,16.0,0.0078125,0.01171875,0.02734375,0.0625,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,169.20943598645832,32.42316969575306,0.1266530066240354,62.926700434640445,0.24580742357281424,12.225395555347548,0.04775545138807636,2.5621848959663978,10,256,0.19291549144876907,249,75,113,188,235,0.29296875,0.44140625,0.734375,0.91796875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,21.791402062145746,9.423914906667239,0.0368121676041689,16.84411317286276,0.06579731708149515,4.5440161013056315,0.017750062895725123,3.909915131103657,10.0,256.0,0.30107540597734395,249.0,16.0,28.0,68.0,150.0,0.0625,0.109375,0.265625,0.5859375,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,169.43159826850075,32.35066253494723,0.12636977552713763,62.85145567654256,0.24551349873649436,12.216972451223427,0.04772254863759151,2.376091584930661,10,256,0.21837484686478525,249,75,113,188,235,0.29296875,0.44140625,0.734375,0.91796875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,21.791402062145746,9.423914906667239,0.0368121676041689,16.84411317286276,0.06579731708149515,4.5440161013056315,0.017750062895725123,3.909915131103657,10.0,256.0,0.30107540597734395,249.0,16.0,28.0,68.0,150.0,0.0625,0.109375,0.265625,0.5859375,25.0,False
layer1.1.conv1,conv,10,64,1,False,64.0,0,56.0,56.0,102400,246.47987099376346,11.23390903455979,0.17552982866499672,17.534164165138552,0.2739713150802899,6.57563582176861,0.10274430971513453,2.9964859041249694,10,64,0.9509820707573905,63,18,25,40,57,0.28125,0.390625,0.625,0.890625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,0.28125,0.390625,0.625,0.890625,1.0,6400.0,19.80242279065202,5.166720636216032,0.0807300099408755,8.684439092994584,0.13569436082804037,2.7161971959391207,0.04244058118654876,3.534903108883559,10.0,64.0,0.9674036516132882,63.0,9.0,14.0,26.0,47.0,0.140625,0.21875,0.40625,0.734375,100.0,True
layer1.1.act1,act,11,64,1,False,,0,56.0,56.0,102400,63.750872421302766,22.46764423998583,0.3510569412497786,33.03744784696135,0.5162101226087711,11.409167999816171,0.17826824999712768,1.8611978807666518,10,64,0.6061483651369397,63,34,44,57,61,0.53125,0.6875,0.890625,0.953125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,5.429059260198483,7.726965438164925,0.12073383497132695,12.485454303477072,0.19508522349182925,4.06261408403366,0.06347834506302594,3.0856573043600153,10.0,64.0,0.7502817675604356,63.0,12.0,19.0,37.0,55.0,0.1875,0.296875,0.578125,0.859375,100.0,True
layer1.1.conv2,conv,12,64,1,False,64.0,0,56.0,56.0,102400,402.26547064964143,27.762681228139737,0.4337918941896834,37.63693276967155,0.588077074526118,10.684231171655721,0.16694111205712064,2.0493176410133183,10,64,0.8983794669810691,64,34,41,56,63,0.53125,0.640625,0.875,0.984375,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,0.53125,0.640625,0.875,0.984375,1.0,6400.0,17.980059721927766,5.916024950186464,0.0924378898466635,9.048018167226095,0.14137528386290774,3.2526772050720894,0.050823081329251396,4.084519730296914,10.0,64.0,0.9694142934655728,64.0,8.0,12.0,23.0,41.0,0.125,0.1875,0.359375,0.640625,100.0,True
layer1.1.act2,act,13,64,1,False,,0,56.0,56.0,102400,84.61661463008807,37.97107999781995,0.5932981249659367,46.54070273846907,0.7271984802885793,17.49088599986657,0.27329509374791516,1.5838494813461677,10,64,0.767543404976516,64,41,50,59,62,0.640625,0.78125,0.921875,0.96875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,3.2963712515234236,6.767812952951743,0.10574707738987098,11.201845433063333,0.17502883489161458,3.433664128844102,0.05365100201318909,2.930972956774789,10.0,64.0,0.9771537099980291,64.0,11.0,17.0,34.0,55.0,0.171875,0.265625,0.53125,0.859375,100.0,True
