layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,8,11,19,31
layer1.0.conv1,64,64.0,14,19,36,56
layer1.0.conv2,64,64.0,18,27,46,60
layer1.1.conv1,64,64.0,26,34,51,62
layer1.1.conv2,64,64.0,31,40,55,63
layer2.0.conv1,128,128.0,43,58,90,119
layer2.0.conv2,128,128.0,57,76,110,126
layer2.0.downsample.0,128,64.0,21,28,44,59
layer2.1.conv1,128,128.0,59,79,111,126
layer2.1.conv2,128,128.0,65,85,114,127
layer3.0.conv1,256,256.0,71,102,173,237
layer3.0.conv2,256,256.0,98,137,210,249
layer3.0.downsample.0,256,128.0,50,69,101,123
layer3.1.conv1,256,256.0,100,141,213,250
layer3.1.conv2,256,256.0,111,152,218,250
layer4.0.conv1,512,512.0,131,195,346,476
layer4.0.conv2,512,512.0,226,315,449,504
layer4.0.downsample.0,512,256.0,70,107,183,240
layer4.1.conv1,512,512.0,214,300,438,502
layer4.1.conv2,512,512.0,200,250,359,474
