layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,2,4,10,23
layer1.0.conv1,64,64.0,5,8,16,30
layer1.0.conv2,64,64.0,7,13,27,44
layer1.0.conv3,256,64.0,1,1,4,22
layer1.0.downsample.0,256,64.0,2,5,18,37
layer1.1.conv1,64,64.0,11,16,29,50
layer1.1.conv2,64,64.0,19,27,43,55
layer1.1.conv3,256,64.0,16,22,35,49
layer1.2.conv1,64,64.0,17,23,40,58
layer1.2.conv2,64,64.0,28,37,53,63
layer1.2.conv3,256,64.0,21,29,46,60
layer2.0.conv1,128,128.0,23,33,63,102
layer2.0.conv2,128,128.0,49,65,100,123
layer2.0.conv3,512,128.0,39,54,88,119
layer2.0.downsample.0,512,256.0,29,44,88,166
layer2.1.conv1,128,128.0,25,35,62,101
layer2.1.conv2,128,128.0,36,51,87,118
layer2.1.conv3,512,128.0,37,51,84,114
layer2.2.conv1,128,128.0,32,46,83,117
layer2.2.conv2,128,128.0,41,58,95,122
layer2.2.conv3,512,128.0,42,56,87,110
layer2.3.conv1,128,128.0,41,58,93,121
layer2.3.conv2,128,128.0,52,70,105,125
layer2.3.conv3,512,128.0,52,70,101,120
layer3.0.conv1,256,256.0,60,86,153,225
layer3.0.conv2,256,256.0,89,121,191,245
layer3.0.conv3,1024,256.0,72,95,159,230
layer3.0.downsample.0,1024,512.0,76,117,245,409
layer3.1.conv1,256,256.0,43,63,120,205
layer3.1.conv2,256,256.0,65,94,170,236
layer3.1.conv3,1024,256.0,70,103,172,223
layer3.2.conv1,256,256.0,49,74,143,222
layer3.2.conv2,256,256.0,78,113,190,242
layer3.2.conv3,1024,256.0,80,114,182,228
layer3.3.conv1,256,256.0,59,88,165,235
layer3.3.conv2,256,256.0,86,126,204,247
layer3.3.conv3,1024,256.0,89,125,194,236
layer3.4.conv1,256,256.0,87,123,197,244
layer3.4.conv2,256,256.0,97,138,211,248
layer3.4.conv3,1024,256.0,89,125,196,238
layer3.5.conv1,256,256.0,98,137,208,247
layer3.5.conv2,256,256.0,107,148,217,250
layer3.5.conv3,1024,256.0,90,127,199,242
layer4.0.conv1,512,512.0,145,215,365,479
layer4.0.conv2,512,512.0,160,232,397,495
layer4.0.conv3,2048,512.0,165,238,397,493
layer4.0.downsample.0,2048,1024.0,285,426,724,951
layer4.1.conv1,512,512.0,179,258,410,496
layer4.1.conv2,512,512.0,169,249,409,497
layer4.1.conv3,2048,512.0,208,290,420,489
layer4.2.conv1,512,512.0,229,316,443,501
layer4.2.conv2,512,512.0,174,247,397,494
layer4.2.conv3,2048,512.0,137,211,363,476
