layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,8,12,22,33
layer1.0.conv1,64,64.0,8,10,20,35
layer1.0.conv2,64,64.0,13,19,35,54
layer1.0.conv3,256,64.0,1,3,15,35
layer1.0.downsample.0,256,64.0,4,8,22,42
layer1.1.conv1,64,64.0,18,24,40,57
layer1.1.conv2,64,64.0,29,37,51,61
layer1.1.conv3,256,64.0,24,32,48,60
layer1.2.conv1,64,64.0,16,22,40,58
layer1.2.conv2,64,64.0,30,39,54,63
layer1.2.conv3,256,64.0,26,33,50,61
layer2.0.conv1,128,128.0,31,44,76,110
layer2.0.conv2,128,128.0,58,75,105,125
layer2.0.conv3,512,128.0,47,62,94,120
layer2.0.downsample.0,512,256.0,41,63,123,202
layer2.1.conv1,128,128.0,27,39,70,110
layer2.1.conv2,128,128.0,46,61,98,123
layer2.1.conv3,512,128.0,49,65,97,121
layer2.2.conv1,128,128.0,38,54,91,120
layer2.2.conv2,128,128.0,59,76,107,125
layer2.2.conv3,512,128.0,57,76,107,125
layer2.3.conv1,128,128.0,48,66,101,123
layer2.3.conv2,128,128.0,59,77,109,126
layer2.3.conv3,512,128.0,55,74,106,125
layer3.0.conv1,256,256.0,65,96,168,233
layer3.0.conv2,256,256.0,96,130,198,246
layer3.0.conv3,1024,256.0,75,105,178,240
layer3.0.downsample.0,1024,512.0,88,145,294,447
layer3.1.conv1,256,256.0,55,83,155,228
layer3.1.conv2,256,256.0,96,133,206,249
layer3.1.conv3,1024,256.0,78,117,194,243
layer3.2.conv1,256,256.0,57,86,161,231
layer3.2.conv2,256,256.0,99,139,213,250
layer3.2.conv3,1024,256.0,94,131,203,245
layer3.3.conv1,256,256.0,78,115,193,245
layer3.3.conv2,256,256.0,99,142,214,250
layer3.3.conv3,1024,256.0,101,141,212,249
layer3.4.conv1,256,256.0,97,139,211,250
layer3.4.conv2,256,256.0,104,146,217,251
layer3.4.conv3,1024,256.0,86,129,205,248
layer3.5.conv1,256,256.0,91,135,212,250
layer3.5.conv2,256,256.0,97,138,211,250
layer3.5.conv3,1024,256.0,98,138,209,248
layer4.0.conv1,512,512.0,138,216,372,482
layer4.0.conv2,512,512.0,170,240,389,491
layer4.0.conv3,2048,512.0,228,308,439,502
layer4.0.downsample.0,2048,1024.0,334,486,774,970
layer4.1.conv1,512,512.0,168,252,408,495
layer4.1.conv2,512,512.0,199,284,429,501
layer4.1.conv3,2048,512.0,289,361,459,499
layer4.2.conv1,512,512.0,217,304,440,502
layer4.2.conv2,512,512.0,214,295,432,501
layer4.2.conv3,2048,512.0,283,356,461,505
