layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,7,11,20,34
layer1.0.conv1,64,64.0,8,11,21,36
layer1.0.conv2,64,64.0,11,18,34,52
layer1.0.conv3,256,64.0,1,1,10,32
layer1.0.downsample.0,256,64.0,2,7,22,42
layer1.1.conv1,64,64.0,18,25,40,57
layer1.1.conv2,64,64.0,34,41,55,63
layer1.1.conv3,256,64.0,29,35,49,61
layer1.2.conv1,64,64.0,23,30,46,60
layer1.2.conv2,64,64.0,32,40,55,63
layer1.2.conv3,256,64.0,29,37,52,61
layer2.0.conv1,128,128.0,38,51,82,115
layer2.0.conv2,128,128.0,57,73,103,124
layer2.0.conv3,512,128.0,51,66,97,121
layer2.0.downsample.0,512,256.0,38,61,124,206
layer2.1.conv1,128,128.0,26,40,74,111
layer2.1.conv2,128,128.0,43,61,97,123
layer2.1.conv3,512,128.0,42,59,94,120
layer2.2.conv1,128,128.0,42,59,93,120
layer2.2.conv2,128,128.0,49,66,102,124
layer2.2.conv3,512,128.0,53,69,99,119
layer2.3.conv1,128,128.0,43,60,95,121
layer2.3.conv2,128,128.0,60,78,110,126
layer2.3.conv3,512,128.0,53,70,102,122
layer3.0.conv1,256,256.0,59,86,155,226
layer3.0.conv2,256,256.0,97,128,191,244
layer3.0.conv3,1024,256.0,88,114,178,237
layer3.0.downsample.0,1024,512.0,98,149,291,442
layer3.1.conv1,256,256.0,69,96,162,232
layer3.1.conv2,256,256.0,96,129,199,247
layer3.1.conv3,1024,256.0,98,132,198,240
layer3.2.conv1,256,256.0,60,91,166,235
layer3.2.conv2,256,256.0,99,138,210,250
layer3.2.conv3,1024,256.0,96,131,196,240
layer3.3.conv1,256,256.0,91,127,197,244
layer3.3.conv2,256,256.0,110,150,218,251
layer3.3.conv3,1024,256.0,101,138,206,245
layer3.4.conv1,256,256.0,84,122,197,245
layer3.4.conv2,256,256.0,98,139,213,250
layer3.4.conv3,1024,256.0,99,134,200,242
layer3.5.conv1,256,256.0,103,144,213,250
layer3.5.conv2,256,256.0,102,141,212,250
layer3.5.conv3,1024,256.0,100,138,207,248
layer4.0.conv1,512,512.0,146,220,372,481
layer4.0.conv2,512,512.0,189,255,396,493
layer4.0.conv3,2048,512.0,235,312,441,502
layer4.0.downsample.0,2048,1024.0,353,501,778,966
layer4.1.conv1,512,512.0,211,293,428,495
layer4.1.conv2,512,512.0,190,267,413,497
layer4.1.conv3,2048,512.0,254,330,440,492
layer4.2.conv1,512,512.0,141,244,405,488
layer4.2.conv2,512,512.0,175,247,386,488
layer4.2.conv3,2048,512.0,154,238,386,481
