layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
features.0,64,27.0,5,5,6,8
features.3,64,64.0,11,14,24,41
features.7,128,128.0,22,30,51,83
features.10,128,128.0,38,51,82,114
features.14,256,256.0,57,80,143,214
features.17,256,256.0,75,108,185,242
features.20,256,256.0,88,124,199,247
features.24,512,512.0,126,185,334,470
features.27,512,512.0,158,235,391,488
features.30,512,512.0,172,255,408,491
features.34,512,512.0,188,270,419,498
features.37,512,512.0,168,250,403,494
features.40,512,512.0,155,229,382,487
