layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,16,1,False,16,0,32.0,32.0,160000,10.51280073113038,4.684026131053602,0.2927516331908501,5.72942226478375,0.3580888915489844,3.1682466633160176,0.1980154164572511,,10,16,,16,5,6,9,11,0.3125,0.375,0.5625,0.6875,10000.0,16.0,10000.0,1.9086881147594479,2.403495511852294,0.15021846949076836,2.7288999226375084,0.17055624516484427,1.7945596347931658,0.11215997717457286,,10.0,16.0,,16.0,3.0,3.0,3.0,5.0,0.1875,0.1875,0.1875,0.3125,625.0,100,92.56
layers.0.conv1,conv,1,16,1,False,16,0,32.0,32.0,160000,1.084267550711776,7.022081705978672,0.438880106623667,9.050972943939678,0.5656858089962299,4.604197138491158,0.2877623211556974,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,10000.0,16.0,10000.0,0.15305305196520785,2.0336483791486892,0.12710302369679308,2.7198822526310455,0.16999264078944035,1.523869490462563,0.09524184315391018,,10.0,16.0,,16.0,3.0,3.0,7.0,12.0,0.1875,0.1875,0.4375,0.75,625.0,100,92.56
layers.0.conv2,conv,2,16,1,False,16,0,32.0,32.0,160000,1.32901945660433,6.978612110072086,0.43616325687950536,9.240672872682735,0.5775420545426709,3.6631008689169136,0.2289438043073071,,10,16,,16,8,11,14,16,0.5,0.6875,0.875,1.0,10000.0,16.0,10000.0,0.09680727864903615,2.1201381873658187,0.13250863671036367,3.1882877897409974,0.19926798685881233,1.5124096194730796,0.09452560121706748,,10.0,16.0,,16.0,3.0,5.0,8.0,12.0,0.1875,0.3125,0.5,0.75,625.0,100,92.56
layers.1.conv1,conv,3,16,1,False,16,0,32.0,32.0,160000,6.594432986978637,5.899354286820687,0.36870964292629294,8.250379834061718,0.5156487396288574,3.0610112630526847,0.1913132039407928,,10,16,,16,8,10,13,16,0.5,0.625,0.8125,1.0,10000.0,16.0,10000.0,0.05399289918844642,3.9286211129118644,0.24553881955699153,5.629600979591701,0.3518500612244813,2.440924312064388,0.15255776950402425,,10.0,16.0,,16.0,6.0,7.0,11.0,14.0,0.375,0.4375,0.6875,0.875,625.0,100,92.56
layers.1.conv2,conv,4,16,1,False,16,0,32.0,32.0,160000,1.4611098430596932,6.150854110607227,0.3844283819129517,8.827351717863234,0.5517094823664521,3.1464741606807953,0.1966546350425497,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,10000.0,16.0,10000.0,0.12357832569223573,2.275120160679735,0.14219501004248344,3.39143398167581,0.21196462385473813,1.5826114702069656,0.09891321688793535,,10.0,16.0,,16.0,4.0,5.0,7.0,11.0,0.25,0.3125,0.4375,0.6875,625.0,100,92.56
layers.2.conv1,conv,5,16,1,False,16,0,32.0,32.0,160000,4.794288747443142,6.036913630220653,0.3773071018887908,9.048963021346935,0.5655601888341835,2.9665013456248452,0.18540633410155283,,10,16,,16,9,12,15,16,0.5625,0.75,0.9375,1.0,10000.0,16.0,10000.0,0.07826708415263836,3.1468316766656352,0.1966769797916022,4.784217817343519,0.29901361358396994,1.957685649012851,0.12235535306330318,,10.0,16.0,,16.0,5.0,7.0,10.0,14.0,0.3125,0.4375,0.625,0.875,625.0,100,92.56
layers.2.conv2,conv,6,16,1,False,16,0,32.0,32.0,160000,0.44783441187726103,6.545210074153011,0.4090756296345632,9.192781153526203,0.5745488220953877,3.444605761448642,0.21528786009054013,,10,16,,16,9,12,15,16,0.5625,0.75,0.9375,1.0,10000.0,16.0,10000.0,0.014547822366840778,2.599469899282993,0.16246686870518706,3.9705274187305326,0.2481579636706583,1.7118078735729267,0.10698799209830792,,10.0,16.0,,16.0,4.0,6.0,9.0,13.0,0.25,0.375,0.5625,0.8125,625.0,100,92.56
layers.3.conv1,conv,7,32,1,False,32,0,16.0,16.0,160000,8.638041348977719,9.222390224003066,0.2881996945000958,13.30070230947972,0.41564694717124123,4.898089789484962,0.15306530592140508,3.7220182339522836,10,32,0.9285230613240335,32,13,16,24,30,0.40625,0.5,0.75,0.9375,5000.0,32.0,10000.0,1.107608766887695,4.161874066398223,0.13005856457494447,6.122899029209323,0.19134059466279135,2.3485616576179966,0.0733925518005624,6.779481926571163,10.0,32.0,0.9835511754172307,32.0,6.0,8.0,11.0,15.0,0.1875,0.25,0.34375,0.46875,312.5,100,92.56
layers.3.conv2,conv,8,32,1,False,32,0,16.0,16.0,160000,2.3318168792322362,14.009649601350668,0.4378015500422084,18.87159893126867,0.589737466602146,7.057381701336544,0.220543178166767,2.277564146937563,10,32,0.9626672432678138,32,18,22,29,32,0.5625,0.6875,0.90625,1.0,5000.0,32.0,10000.0,0.2637111752309561,4.4750141145102855,0.13984419107844642,7.025565726700115,0.21954892895937858,2.4673930906538852,0.07710603408293391,4.37011098189871,10.0,32.0,0.9756524830582393,32.0,7.0,9.0,15.0,26.0,0.21875,0.28125,0.46875,0.8125,312.5,100,92.56
layers.4.conv1,conv,9,32,1,False,32,0,16.0,16.0,160000,8.531547395593623,14.372556815885297,0.4491424004964155,19.58540079673276,0.6120437748978987,7.107090590352165,0.22209658094850515,1.9708457313834296,10,32,0.9422162995870075,32,19,23,30,32,0.59375,0.71875,0.9375,1.0,5000.0,32.0,10000.0,0.4387847035750511,5.666367976993437,0.17707399928104492,8.017266391175989,0.25053957472424965,3.3383200269989923,0.10432250084371851,3.7560728240068384,10.0,32.0,0.9711273877735043,32.0,7.0,10.0,18.0,28.0,0.21875,0.3125,0.5625,0.875,312.5,100,92.56
layers.4.conv2,conv,10,32,1,False,32,0,16.0,16.0,160000,0.5014012555018974,16.845419091638306,0.526419346613697,22.173826635585566,0.692932082362049,7.717296175427394,0.24116550548210605,1.551085524719448,10,32,0.9667418444283524,32,21,26,31,32,0.65625,0.8125,0.96875,1.0,5000.0,32.0,10000.0,0.028122001086687692,5.9453209549912,0.185791279843475,9.079532803536503,0.28373540011051573,3.4771784251835793,0.10866182578698685,4.091792909810858,10.0,32.0,0.9616547155869783,32.0,9.0,12.0,20.0,28.0,0.28125,0.375,0.625,0.875,312.5,100,92.56
layers.5.conv1,conv,11,32,1,False,32,0,16.0,16.0,160000,9.478000837195715,14.304457493616743,0.4470142966755232,19.759087890079037,0.6174714965649699,5.850958733670679,0.18284246042720873,2.176288986406646,10,32,0.9756066355356809,32,18,23,30,32,0.5625,0.71875,0.9375,1.0,5000.0,32.0,10000.0,0.49977741769604955,5.198139971032578,0.16244187409476807,7.907614017478426,0.24711293804620083,2.756814181188425,0.08615044316213828,3.881827619344535,10.0,32.0,0.958645200308901,32.0,7.0,10.0,18.0,27.0,0.21875,0.3125,0.5625,0.84375,312.5,100,92.56
layers.5.conv2,conv,12,32,1,False,32,0,16.0,16.0,160000,0.4271076431096192,16.0188260460641,0.5005883139395031,21.5065892114616,0.672080912858175,6.819997952969223,0.21312493603028823,1.7757179787078559,10,32,0.9419181438813908,32,21,25,30,32,0.65625,0.78125,0.9375,1.0,5000.0,32.0,10000.0,0.02689989880925821,5.775115559293184,0.180472361227912,9.395555760930083,0.2936111175290651,2.8824558927300377,0.09007674664781368,3.997276108797555,10.0,32.0,0.9397189725324299,32.0,9.0,13.0,21.0,28.0,0.28125,0.40625,0.65625,0.875,312.5,100,92.56
layers.6.conv1,conv,13,64,1,False,64,0,8.0,8.0,160000,19.98986156790881,19.703660605410192,0.30786969695953426,27.605547844689493,0.43133668507327333,9.533370187305673,0.14895890917665114,2.6295226295218397,10,64,0.9493838030246438,64,25,33,49,61,0.390625,0.515625,0.765625,0.953125,2500.0,64.0,10000.0,2.1390695853733583,7.905466052798278,0.1235229070749731,11.564901216437443,0.18070158150683505,4.1297317048603235,0.06452705788844255,4.3410757158837106,10.0,64.0,0.9846926946150996,64.0,10.0,14.0,24.0,40.0,0.15625,0.21875,0.375,0.625,156.25,100,92.56
layers.6.conv2,conv,14,64,1,False,64,0,8.0,8.0,160000,2.857780352188712,28.72881523736048,0.4488877380837575,39.41689950174873,0.6158890547148239,11.911518430829206,0.18611747548170635,1.6506780958797527,10,64,0.951474430571491,64,37,46,59,64,0.578125,0.71875,0.921875,1.0,2500.0,64.0,10000.0,0.2491439565748344,9.296321557791982,0.14525502434049972,15.482181828441721,0.2419090910694019,4.346432519110647,0.06791300811110386,3.150242230954294,10.0,64.0,0.9601001494332055,64.0,16.0,22.0,38.0,56.0,0.25,0.34375,0.59375,0.875,156.25,100,92.56
layers.7.conv1,conv,15,64,1,False,64,0,8.0,8.0,160000,19.63534284105294,29.913528416410657,0.4673988815064165,40.412538530531826,0.6314459145395598,11.576908494731438,0.1808891952301787,1.6337143427259548,10,64,0.9511264656714951,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,2500.0,64.0,10000.0,1.4211777421509475,9.012545837204549,0.14082102870632107,15.027242598360653,0.2348006655993852,4.59735415907881,0.0718336587356064,2.9028156371071994,10.0,64.0,0.9702609089565948,64.0,15.0,22.0,40.0,58.0,0.234375,0.34375,0.625,0.90625,156.25,100,92.56
layers.7.conv2,conv,16,64,1,False,64,0,8.0,8.0,160000,0.8024173524541939,27.075603794877605,0.4230563092949626,38.82184230640336,0.6065912860375525,10.012844703373872,0.15645069849021676,1.506196632057628,10,64,0.9569844076913162,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,2500.0,64.0,10000.0,0.06929852871481518,10.575271655531443,0.1652386196176788,17.69187147933312,0.27643549186458,4.709280604757416,0.07358250944933463,3.0984408353270125,10.0,64.0,0.9275354006408342,64.0,18.0,26.0,41.0,57.0,0.28125,0.40625,0.640625,0.890625,156.25,100,92.56
layers.8.conv1,conv,17,64,1,False,64,0,8.0,8.0,160000,17.650622317671047,22.76355840750511,0.3556806001172673,35.80123409202834,0.5593942826879428,7.739556156938503,0.12093056495216412,1.6391285416869241,10,64,0.9428314692136829,64,36,45,58,64,0.5625,0.703125,0.90625,1.0,2500.0,64.0,10000.0,2.0344709014203644,8.479275043943204,0.13248867256161256,15.033598839379119,0.23489998186529873,3.8088097380417087,0.0595126521569017,3.2956613352125776,10.0,64.0,0.955049882456247,64.0,16.0,23.0,37.0,55.0,0.25,0.359375,0.578125,0.859375,156.25,100,92.56
layers.8.conv2,conv,18,64,1,False,64,0,8.0,8.0,160000,0.5194074062224104,9.411547597791715,0.14705543121549555,10.828079457053407,0.1691887415164595,6.984791325938266,0.10913736446778541,2.5429915083300085,10,64,0.9653774025052251,64,9,9,21,49,0.140625,0.140625,0.328125,0.765625,2500.0,64.0,10000.0,0.2561965287483536,8.24184023667122,0.1287787536979878,9.070750742734925,0.1417304803552332,5.410143233312633,0.08453348802050989,4.368851760331426,10.0,64.0,0.9363651685574726,64.0,8.0,9.0,10.0,24.0,0.125,0.140625,0.15625,0.375,156.25,100,92.56
fc,linear,19,10,1,False,10,0,,,10000,233.9134960682952,5.392123651221555,0.5392123651221554,6.867571913624799,0.6867571913624799,2.928122766423874,0.2928122766423874,,10,10,,9,7,8,9,9,0.7,0.8,0.9,0.9,1000.0,,,,,,,,,,,,,,,,,,,,,,,,100,92.56
