layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,16,1,False,16,0,32.0,32.0,160000,3.3600154662340462,1.7918133816196204,0.11198833635122628,2.8085163357712175,0.1755322709857011,1.3592868503572888,0.08495542814733055,,10,16,,16,3,5,8,12,0.1875,0.3125,0.5,0.75,10000.0,16.0,10000.0,0.8986301507197298,1.352448354460368,0.084528022153773,1.6838689893183736,0.10524181183239835,1.1719544794829009,0.0732471549676813,,10.0,16.0,,16.0,2.0,3.0,3.0,4.0,0.125,0.1875,0.1875,0.25,625.0,0,9.68
layers.0.conv1,conv,1,16,1,False,16,0,32.0,32.0,160000,0.46959061848832884,2.1340357354752433,0.1333772334672027,3.9727726694855843,0.24829829184284902,1.4834813198859234,0.09271758249287021,,10,16,,16,6,9,14,16,0.375,0.5625,0.875,1.0,10000.0,16.0,10000.0,0.12768070662559536,1.4310282577840834,0.08943926611150521,1.982424392796702,0.12390152454979388,1.2040157237040008,0.07525098273150005,,10.0,16.0,,16.0,3.0,3.0,5.0,8.0,0.1875,0.1875,0.3125,0.5,625.0,0,9.68
layers.0.conv2,conv,2,16,1,False,16,0,32.0,32.0,160000,0.09165248970628424,1.795733209564136,0.1122333255977585,3.0754047242252684,0.19221279526407928,1.3557201600386288,0.0847325100024143,,10,16,,16,4,7,13,16,0.25,0.4375,0.8125,1.0,10000.0,16.0,10000.0,0.025049454529407666,1.1433215050573922,0.07145759406608701,1.3823431945790674,0.08639644966119171,1.0702209690701883,0.06688881056688677,,10.0,16.0,,16.0,1.0,2.0,4.0,7.0,0.0625,0.125,0.25,0.4375,625.0,0,9.68
layers.1.conv1,conv,3,16,1,False,16,0,32.0,32.0,160000,0.3384124835297668,2.973346464724916,0.18583415404530726,5.28597723573309,0.3303735772333181,1.816307314053039,0.11351920712831494,,10,16,,16,7,10,14,16,0.4375,0.625,0.875,1.0,10000.0,16.0,10000.0,0.08568951803805522,1.8261662000851615,0.1141353875053226,2.550778213428725,0.15942363833929532,1.390584296502762,0.08691151853142262,,10.0,16.0,,16.0,3.0,4.0,5.0,9.0,0.1875,0.25,0.3125,0.5625,625.0,0,9.68
layers.1.conv2,conv,4,16,1,False,16,0,32.0,32.0,160000,0.045070031002313764,3.8091804939779768,0.23807378087362355,6.333033291597438,0.3958145807248399,2.220861443143648,0.138803840196478,,10,16,,16,8,11,15,16,0.5,0.6875,0.9375,1.0,10000.0,16.0,10000.0,0.01102919636625797,2.30700676840229,0.14418792302514313,2.8865431710539493,0.18040894819087183,1.7005940186920276,0.10628712616825173,,10.0,16.0,,16.0,3.0,3.0,5.0,10.0,0.1875,0.1875,0.3125,0.625,625.0,0,9.68
layers.2.conv1,conv,5,16,1,False,16,0,32.0,32.0,160000,0.3371202132051283,2.823423022041163,0.1764639388775727,5.131103560131465,0.3206939725082166,1.7486654423615606,0.10929159014759754,,10,16,,16,7,10,14,16,0.4375,0.625,0.875,1.0,10000.0,16.0,10000.0,0.08021386937359895,1.5702352926960967,0.09813970579350605,2.158071505875587,0.13487946911722418,1.273192025566368,0.079574501597898,,10.0,16.0,,16.0,2.0,3.0,5.0,9.0,0.125,0.1875,0.3125,0.5625,625.0,0,9.68
layers.2.conv2,conv,6,16,1,False,16,0,32.0,32.0,160000,0.06579068735119885,2.426707722026512,0.151669232626657,4.43002917325679,0.27687682332854935,1.6039053664664014,0.10024408540415009,,10,16,,16,7,10,14,16,0.4375,0.625,0.875,1.0,10000.0,16.0,10000.0,0.017444707498246673,1.4473998544819224,0.09046249090512015,1.89465306594642,0.11841581662165125,1.22037520050883,0.07627345003180187,,10.0,16.0,,16.0,2.0,2.0,5.0,9.0,0.125,0.125,0.3125,0.5625,625.0,0,9.68
layers.3.conv1,conv,7,32,1,False,32,0,16.0,16.0,160000,0.6094501754627354,4.513637060844356,0.14105115815138614,8.675255634610055,0.2711017385815642,2.3501447818046928,0.07344202443139665,2.4220184802668867,10,32,0.9722382261892246,32,11,16,26,31,0.34375,0.5,0.8125,0.96875,5000.0,32.0,10000.0,0.13986151145554804,2.1702583704012124,0.06782057407503789,3.1303859527184925,0.09782456102245289,1.5380950644287406,0.04806547076339814,3.9102574277583444,10.0,32.0,0.9676753003748533,32.0,4.0,4.0,6.0,16.0,0.125,0.125,0.1875,0.5,312.5,0,9.68
layers.3.conv2,conv,8,32,1,False,32,0,16.0,16.0,160000,0.08938584771466239,5.860988948435907,0.18315590463862208,12.031394562199141,0.37598108006872316,2.6681732245595255,0.08338041326748517,1.650055984101281,10,32,0.9734359311698491,32,16,22,29,32,0.5,0.6875,0.90625,1.0,5000.0,32.0,10000.0,0.018220608589643215,1.9733114427591012,0.06166598258622191,2.9553018623123384,0.09235318319726057,1.4518455925987594,0.04537017476871123,3.7422977114539013,10.0,32.0,0.9752470061891891,32.0,3.0,4.0,8.0,19.0,0.09375,0.125,0.25,0.59375,312.5,0,9.68
layers.4.conv1,conv,9,32,1,False,32,0,16.0,16.0,160000,0.3876402751097571,4.744934488268022,0.1482792027583757,9.5789947794157,0.2993435868567406,2.3712635026741142,0.07410198445856607,1.9443272405000058,10,32,0.9676744983565139,32,12,18,28,32,0.375,0.5625,0.875,1.0,5000.0,32.0,10000.0,0.08671849878693375,1.7289447208885944,0.054029522527768575,2.5113415642788826,0.07847942388371508,1.3441020892695756,0.04200319028967424,4.335083730666158,10.0,32.0,0.9814416718959031,32.0,3.0,4.0,7.0,15.0,0.09375,0.125,0.21875,0.46875,312.5,0,9.68
