arm,seed,corruption,severity,acc
full,0,gaussian_noise,1,79.94
full,0,gaussian_noise,2,54.56
full,0,gaussian_noise,3,32.17
full,0,gaussian_noise,4,24.66
full,0,gaussian_noise,5,19.75
full,1,gaussian_noise,1,78.69
full,1,gaussian_noise,2,55.84
full,1,gaussian_noise,3,35.69
full,1,gaussian_noise,4,28.56
full,1,gaussian_noise,5,23.52
full,2,gaussian_noise,1,77.58
full,2,gaussian_noise,2,52.53
full,2,gaussian_noise,3,31.18
full,2,gaussian_noise,4,24.47
full,2,gaussian_noise,5,20.32
ruler,0,gaussian_noise,1,79.42
ruler,0,gaussian_noise,2,56.78
ruler,0,gaussian_noise,3,35.95
ruler,0,gaussian_noise,4,28.43
ruler,0,gaussian_noise,5,23.53
ruler,1,gaussian_noise,1,80.93
ruler,1,gaussian_noise,2,61.08
ruler,1,gaussian_noise,3,40.98
ruler,1,gaussian_noise,4,33.72
ruler,1,gaussian_noise,5,28.23
ruler,2,gaussian_noise,1,78.84
ruler,2,gaussian_noise,2,57.8
ruler,2,gaussian_noise,3,38.99
ruler,2,gaussian_noise,4,32.38
ruler,2,gaussian_noise,5,27.47
ruler_act,0,gaussian_noise,1,78.79
ruler_act,0,gaussian_noise,2,56.16
ruler_act,0,gaussian_noise,3,36.42
ruler_act,0,gaussian_noise,4,29.41
ruler_act,0,gaussian_noise,5,25.26
ruler_act,1,gaussian_noise,1,80.87
ruler_act,1,gaussian_noise,2,61.26
ruler_act,1,gaussian_noise,3,40.53
ruler_act,1,gaussian_noise,4,31.91
ruler_act,1,gaussian_noise,5,25.8
ruler_act,2,gaussian_noise,1,77.88
ruler_act,2,gaussian_noise,2,54.91
ruler_act,2,gaussian_noise,3,35.12
ruler_act,2,gaussian_noise,4,28.1
ruler_act,2,gaussian_noise,5,23.02
uniform,0,gaussian_noise,1,77.99
uniform,0,gaussian_noise,2,55.79
uniform,0,gaussian_noise,3,35.91
uniform,0,gaussian_noise,4,29.1
uniform,0,gaussian_noise,5,23.92
uniform,1,gaussian_noise,1,76.61
uniform,1,gaussian_noise,2,50.97
uniform,1,gaussian_noise,3,29.6
uniform,1,gaussian_noise,4,22.8
uniform,1,gaussian_noise,5,18.88
uniform,2,gaussian_noise,1,75.56
uniform,2,gaussian_noise,2,51.71
uniform,2,gaussian_noise,3,31.27
uniform,2,gaussian_noise,4,24.65
uniform,2,gaussian_noise,5,19.84
ruler95,0,gaussian_noise,1,78.97
ruler95,0,gaussian_noise,2,60.34
ruler95,0,gaussian_noise,3,42.38
ruler95,0,gaussian_noise,4,35.27
ruler95,0,gaussian_noise,5,29.99
ruler95,1,gaussian_noise,1,77.38
ruler95,1,gaussian_noise,2,56.88
ruler95,1,gaussian_noise,3,38.86
ruler95,1,gaussian_noise,4,31.4
ruler95,1,gaussian_noise,5,26.39
ruler95,2,gaussian_noise,1,76.02
ruler95,2,gaussian_noise,2,55.97
ruler95,2,gaussian_noise,3,37.89
ruler95,2,gaussian_noise,4,30.96
ruler95,2,gaussian_noise,5,26.5
full,0,shot_noise,1,86.95
full,0,shot_noise,2,76.76
full,0,shot_noise,3,49.52
full,0,shot_noise,4,38.89
full,0,shot_noise,5,25.96
full,1,shot_noise,1,86.42
full,1,shot_noise,2,76.21
full,1,shot_noise,3,51.61
full,1,shot_noise,4,42.07
full,1,shot_noise,5,30.25
full,2,shot_noise,1,85.84
full,2,shot_noise,2,74.32
full,2,shot_noise,3,47.02
full,2,shot_noise,4,37.51
full,2,shot_noise,5,26.12
ruler,0,shot_noise,1,86.53
ruler,0,shot_noise,2,77.56
ruler,0,shot_noise,3,52.49
ruler,0,shot_noise,4,43.24
ruler,0,shot_noise,5,30.75
ruler,1,shot_noise,1,87.18
ruler,1,shot_noise,2,78.83
ruler,1,shot_noise,3,56.55
ruler,1,shot_noise,4,47.13
ruler,1,shot_noise,5,35.51
ruler,2,shot_noise,1,85.89
ruler,2,shot_noise,2,76.47
ruler,2,shot_noise,3,54.28
ruler,2,shot_noise,4,45.97
ruler,2,shot_noise,5,34.67
ruler_act,0,shot_noise,1,86.03
ruler_act,0,shot_noise,2,76.07
ruler_act,0,shot_noise,3,51.15
ruler_act,0,shot_noise,4,42.0
ruler_act,0,shot_noise,5,31.67
ruler_act,1,shot_noise,1,86.68
ruler_act,1,shot_noise,2,79.18
ruler_act,1,shot_noise,3,58.17
ruler_act,1,shot_noise,4,48.59
ruler_act,1,shot_noise,5,35.04
ruler_act,2,shot_noise,1,85.38
ruler_act,2,shot_noise,2,75.06
ruler_act,2,shot_noise,3,50.85
ruler_act,2,shot_noise,4,40.92
ruler_act,2,shot_noise,5,29.48
uniform,0,shot_noise,1,85.21
uniform,0,shot_noise,2,74.61
uniform,0,shot_noise,3,50.93
uniform,0,shot_noise,4,42.21
uniform,0,shot_noise,5,31.28
uniform,1,shot_noise,1,85.21
uniform,1,shot_noise,2,73.29
uniform,1,shot_noise,3,45.97
uniform,1,shot_noise,4,36.62
uniform,1,shot_noise,5,24.93
uniform,2,shot_noise,1,83.65
uniform,2,shot_noise,2,72.9
uniform,2,shot_noise,3,47.26
uniform,2,shot_noise,4,37.59
uniform,2,shot_noise,5,25.8
ruler95,0,shot_noise,1,84.71
ruler95,0,shot_noise,2,76.75
ruler95,0,shot_noise,3,54.41
ruler95,0,shot_noise,4,46.0
ruler95,0,shot_noise,5,35.24
ruler95,1,shot_noise,1,84.35
ruler95,1,shot_noise,2,74.52
ruler95,1,shot_noise,3,51.64
ruler95,1,shot_noise,4,43.26
ruler95,1,shot_noise,5,32.36
ruler95,2,shot_noise,1,82.85
ruler95,2,shot_noise,2,73.65
ruler95,2,shot_noise,3,51.0
ruler95,2,shot_noise,4,43.54
ruler95,2,shot_noise,5,33.34
full,0,impulse_noise,1,76.83
full,0,impulse_noise,2,62.55
full,0,impulse_noise,3,51.96
full,0,impulse_noise,4,33.7
full,0,impulse_noise,5,19.77
full,1,impulse_noise,1,78.6
