arm,seed,layer_index,layer,C,cka_vs_full_s0,n_images
full,1,0,features.2,64,0.9796398923866984,6400
full,1,1,features.5,64,0.9715716715906245,6400
full,1,2,features.9,128,0.977644988832307,6400
full,1,3,features.12,128,0.9472938429775375,6400
full,1,4,features.16,256,0.9385446599198227,6400
full,1,5,features.19,256,0.909056726453573,6400
full,1,6,features.22,256,0.8681033183626922,6400
full,1,7,features.26,512,0.8965164326491776,6400
full,1,8,features.29,512,0.9072295353267762,6400
full,1,9,features.32,512,0.846531477797754,6400
full,1,10,features.36,512,0.823479601309311,6400
full,1,11,features.39,512,0.8576557738156501,6400
full,1,12,features.42,512,0.93601133285893,6400
full,2,0,features.2,64,0.9870156895247097,6400
full,2,1,features.5,64,0.9769993217255765,6400
full,2,2,features.9,128,0.967579946775051,6400
full,2,3,features.12,128,0.9422132742151018,6400
full,2,4,features.16,256,0.9368725179545551,6400
full,2,5,features.19,256,0.9020151465635169,6400
full,2,6,features.22,256,0.8578550613827226,6400
full,2,7,features.26,512,0.8963947734592635,6400
full,2,8,features.29,512,0.9001299549328136,6400
full,2,9,features.32,512,0.8536540085546337,6400
full,2,10,features.36,512,0.8369700884275648,6400
full,2,11,features.39,512,0.8663611324007825,6400
full,2,12,features.42,512,0.9345095048510615,6400
ruler,0,0,features.2,14,0.9438489428346023,6400
ruler,0,1,features.5,47,0.9629162845801872,6400
ruler,0,2,features.9,107,0.9662864825421359,6400
ruler,0,3,features.12,121,0.940893697315045,6400
ruler,0,4,features.16,238,0.9289708059060552,6400
ruler,0,5,features.19,247,0.9018534205215114,6400
ruler,0,6,features.22,249,0.8659312180933071,6400
ruler,0,7,features.26,456,0.8898938776249725,6400
ruler,0,8,features.29,376,0.9019916663622832,6400
ruler,0,9,features.32,261,0.8471507165981859,6400
ruler,0,10,features.36,40,0.7666396841514226,6400
ruler,0,11,features.39,40,0.7660147279516614,6400
ruler,0,12,features.42,40,0.927200453797287,6400
ruler,1,0,features.2,14,0.9408203119124358,6400
ruler,1,1,features.5,47,0.9454577308268913,6400
ruler,1,2,features.9,107,0.9596898028329398,6400
ruler,1,3,features.12,121,0.9383594673918922,6400
ruler,1,4,features.16,238,0.9358507095565811,6400
ruler,1,5,features.19,247,0.9010840037089932,6400
ruler,1,6,features.22,249,0.8705634009645227,6400
ruler,1,7,features.26,456,0.8871025824452565,6400
ruler,1,8,features.29,376,0.9033578920415346,6400
ruler,1,9,features.32,261,0.8320602635405442,6400
ruler,1,10,features.36,40,0.741052863290932,6400
ruler,1,11,features.39,40,0.7696931230417938,6400
ruler,1,12,features.42,40,0.9279066241824361,6400
ruler,2,0,features.2,14,0.9331518591815097,6400
ruler,2,1,features.5,47,0.9472975529259473,6400
ruler,2,2,features.9,107,0.9634041810869193,6400
ruler,2,3,features.12,121,0.9296659029550594,6400
ruler,2,4,features.16,238,0.9273873937115024,6400
ruler,2,5,features.19,247,0.9062967036989599,6400
ruler,2,6,features.22,249,0.8649023909160096,6400
ruler,2,7,features.26,456,0.8911683526885267,6400
ruler,2,8,features.29,376,0.8978061947962042,6400
ruler,2,9,features.32,261,0.8302465222809934,6400
ruler,2,10,features.36,40,0.7468785504241461,6400
ruler,2,11,features.39,40,0.7586113248700261,6400
ruler,2,12,features.42,40,0.9242102863218216,6400
ruler_act,0,0,features.2,47,0.9799516038264734,6400
ruler_act,0,1,features.5,64,0.9672620912037184,6400
ruler_act,0,2,features.9,127,0.9621666140716953,6400
ruler_act,0,3,features.12,128,0.9386381746988476,6400
ruler_act,0,4,features.16,255,0.9384642771570171,6400
ruler_act,0,5,features.19,255,0.9049553070038973,6400
ruler_act,0,6,features.22,254,0.873172850515146,6400
ruler_act,0,7,features.26,504,0.8965243933237274,6400
ruler_act,0,8,features.29,486,0.9119241000452488,6400
ruler_act,0,9,features.32,469,0.8567471442021507,6400
ruler_act,0,10,features.36,347,0.8204414323262886,6400
ruler_act,0,11,features.39,285,0.8563620259698561,6400
ruler_act,0,12,features.42,168,0.9381482319913295,6400
ruler_act,1,0,features.2,47,0.9799189200981401,6400
ruler_act,1,1,features.5,64,0.9735589546137452,6400
ruler_act,1,2,features.9,127,0.9746717554150577,6400
ruler_act,1,3,features.12,128,0.9387982715453539,6400
ruler_act,1,4,features.16,255,0.9381153728567821,6400
ruler_act,1,5,features.19,255,0.9111648913990074,6400
ruler_act,1,6,features.22,254,0.8733850732677442,6400
ruler_act,1,7,features.26,504,0.8923898771165495,6400
ruler_act,1,8,features.29,486,0.8968472247252138,6400
ruler_act,1,9,features.32,469,0.844400305542868,6400
ruler_act,1,10,features.36,347,0.8343911121246758,6400
ruler_act,1,11,features.39,285,0.8507085988352697,6400
ruler_act,1,12,features.42,168,0.9362424756828438,6400
ruler_act,2,0,features.2,47,0.990149405570204,6400
ruler_act,2,1,features.5,64,0.955140096205588,6400
ruler_act,2,2,features.9,127,0.9692110946996344,6400
ruler_act,2,3,features.12,128,0.9493009717464893,6400
ruler_act,2,4,features.16,255,0.9355498427383085,6400
ruler_act,2,5,features.19,255,0.9083366217005336,6400
ruler_act,2,6,features.22,254,0.8694929390107622,6400
ruler_act,2,7,features.26,504,0.8952827218517383,6400
ruler_act,2,8,features.29,486,0.9023797350174676,6400
ruler_act,2,9,features.32,469,0.8379553402249256,6400
ruler_act,2,10,features.36,347,0.8221963001931903,6400
ruler_act,2,11,features.39,285,0.8465671981665424,6400
ruler_act,2,12,features.42,168,0.9340960369588011,6400
uniform,0,0,features.2,37,0.9485317913997892,6400
uniform,0,1,features.5,37,0.9419069860395924,6400
uniform,0,2,features.9,75,0.9604079533177108,6400
uniform,0,3,features.12,75,0.9326127857014365,6400
uniform,0,4,features.16,149,0.9278175518912881,6400
uniform,0,5,features.19,149,0.9010270962373473,6400
uniform,0,6,features.22,149,0.8538804229849544,6400
uniform,0,7,features.26,298,0.8740345919519779,6400
uniform,0,8,features.29,298,0.8868451546741339,6400
uniform,0,9,features.32,298,0.8303672409879674,6400
uniform,0,10,features.36,298,0.8174338627605394,6400
uniform,0,11,features.39,298,0.8233476411818698,6400
uniform,0,12,features.42,298,0.92408378113875,6400
uniform,1,0,features.2,37,0.954710002523628,6400
uniform,1,1,features.5,37,0.9419250278557916,6400
uniform,1,2,features.9,75,0.960100277227873,6400
uniform,1,3,features.12,75,0.9236474225738673,6400
uniform,1,4,features.16,149,0.9211830980358564,6400
uniform,1,5,features.19,149,0.8998224100850972,6400
uniform,1,6,features.22,149,0.8412765325707808,6400
uniform,1,7,features.26,298,0.8737255080410922,6400
uniform,1,8,features.29,298,0.8857428111351714,6400
uniform,1,9,features.32,298,0.8330930356940885,6400
uniform,1,10,features.36,298,0.8063004407418479,6400
uniform,1,11,features.39,298,0.8287215017399662,6400
uniform,1,12,features.42,298,0.9198518312348657,6400
uniform,2,0,features.2,37,0.9695306144004465,6400
uniform,2,1,features.5,37,0.9790065729119758,6400
uniform,2,2,features.9,75,0.9596657034044301,6400
uniform,2,3,features.12,75,0.9276612479671708,6400
uniform,2,4,features.16,149,0.9387786189976789,6400
uniform,2,5,features.19,149,0.9069980533404893,6400
uniform,2,6,features.22,149,0.8430733928613013,6400
uniform,2,7,features.26,298,0.8744127393102947,6400
uniform,2,8,features.29,298,0.8880024222822133,6400
uniform,2,9,features.32,298,0.8323793342561221,6400
uniform,2,10,features.36,298,0.8079398514819518,6400
uniform,2,11,features.39,298,0.8122939084881176,6400
uniform,2,12,features.42,298,0.9221766380488058,6400
ruler95,0,0,features.2,9,0.8186214353524769,6400
ruler95,0,1,features.5,19,0.8169008322817958,6400
ruler95,0,2,features.9,39,0.9484518314093905,6400
ruler95,0,3,features.12,51,0.9018374169539214,6400
ruler95,0,4,features.16,97,0.9083468179371129,6400
ruler95,0,5,features.19,116,0.8720931884167351,6400
ruler95,0,6,features.22,131,0.8364877605326725,6400
ruler95,0,7,features.26,140,0.8524274078606604,6400
ruler95,0,8,features.29,74,0.8640964094439343,6400
ruler95,0,9,features.32,55,0.7216056362757166,6400
ruler95,0,10,features.36,25,0.5973473299828925,6400
ruler95,0,11,features.39,29,0.68713931183584,6400
ruler95,0,12,features.42,35,0.8726419650772078,6400
ruler95,1,0,features.2,9,0.8520585428363794,6400
ruler95,1,1,features.5,19,0.9028501893635237,6400
ruler95,1,2,features.9,39,0.9321336648594741,6400
ruler95,1,3,features.12,51,0.9102666200440905,6400
ruler95,1,4,features.16,97,0.9159424568255968,6400
ruler95,1,5,features.19,116,0.8801444580166338,6400
ruler95,1,6,features.22,131,0.8230174945761475,6400
ruler95,1,7,features.26,140,0.8447831830262774,6400
ruler95,1,8,features.29,74,0.85273867798876,6400
ruler95,1,9,features.32,55,0.7143085702963924,6400
ruler95,1,10,features.36,25,0.570086326278088,6400
ruler95,1,11,features.39,29,0.611599550866226,6400
ruler95,1,12,features.42,35,0.8737174560429838,6400
ruler95,2,0,features.2,9,0.8844952439434691,6400
ruler95,2,1,features.5,19,0.892986303037346,6400
ruler95,2,2,features.9,39,0.9281050153405382,6400
ruler95,2,3,features.12,51,0.9034916086780002,6400
ruler95,2,4,features.16,97,0.9093490766511574,6400
ruler95,2,5,features.19,116,0.8727221137400536,6400
ruler95,2,6,features.22,131,0.8293398271822507,6400
ruler95,2,7,features.26,140,0.8491033690332188,6400
ruler95,2,8,features.29,74,0.8608619977848313,6400
ruler95,2,9,features.32,55,0.7570045015508753,6400
ruler95,2,10,features.36,25,0.5790357904917267,6400
ruler95,2,11,features.39,29,0.6477808278661754,6400
ruler95,2,12,features.42,35,0.8762252385678428,6400
