test_acc,C,train_acc,arm,seed,dataset,feature,dim,n_train,n_test
22.73,1.0,32.11,full,0,cifar100,features.42,512,50000,10000
76.8875,0.1,80.36,full,0,stl10,features.42,512,5000,8000
41.8139213275968,100.0,46.297282170987074,full,0,svhn,features.42,512,73257,26032
22.52,1.0,32.048,full,1,cifar100,features.42,512,50000,10000
77.375,0.01,78.18,full,1,stl10,features.42,512,5000,8000
41.671788567916416,10.0,45.870019247307425,full,1,svhn,features.42,512,73257,26032
23.14,1.0,32.318000000000005,full,2,cifar100,features.42,512,50000,10000
77.2875,0.1,80.84,full,2,stl10,features.42,512,5000,8000
40.47326367547633,100.0,44.858511814570626,full,2,svhn,features.42,512,73257,26032
17.82,100.0,19.156000000000002,ruler,0,cifar100,features.42,40,50000,10000
76.3375,10.0,78.84,ruler,0,stl10,features.42,40,5000,8000
31.65719114935464,10.0,32.25903326644553,ruler,0,svhn,features.42,40,73257,26032
18.23,100.0,18.736,ruler,1,cifar100,features.42,40,50000,10000
76.9,0.1,77.25999999999999,ruler,1,stl10,features.42,40,5000,8000
31.952980946527347,1.0,32.972958215597146,ruler,1,svhn,features.42,40,73257,26032
17.91,1.0,18.732,ruler,2,cifar100,features.42,40,50000,10000
76.5125,0.1,77.3,ruler,2,stl10,features.42,40,5000,8000
31.7839582052858,10.0,33.03575084974815,ruler,2,svhn,features.42,40,73257,26032
20.75,1.0,24.456,ruler_act,0,cifar100,features.42,168,50000,10000
77.2375,0.1,80.06,ruler_act,0,stl10,features.42,168,5000,8000
38.34511370620775,100.0,40.34836261381165,ruler_act,0,svhn,features.42,168,73257,26032
21.740000000000002,1.0,25.874000000000002,ruler_act,1,cifar100,features.42,168,50000,10000
77.2375,0.1,79.47999999999999,ruler_act,1,stl10,features.42,168,5000,8000
39.07498463429625,100.0,40.54356580258542,ruler_act,1,svhn,features.42,168,73257,26032
21.57,10.0,26.172,ruler_act,2,cifar100,features.42,168,50000,10000
77.1375,0.1,79.3,ruler_act,2,stl10,features.42,168,5000,8000
39.55132145052244,10.0,41.35987004654845,ruler_act,2,svhn,features.42,168,73257,26032
22.62,1.0,28.542,uniform,0,cifar100,features.42,298,50000,10000
76.275,0.1,79.08,uniform,0,stl10,features.42,298,5000,8000
41.468192993239086,10.0,44.20601444230585,uniform,0,svhn,features.42,298,73257,26032
22.66,1.0,28.733999999999998,uniform,1,cifar100,features.42,298,50000,10000
76.1875,0.01,77.48,uniform,1,stl10,features.42,298,5000,8000
43.7039028887523,100.0,46.08842840957178,uniform,1,svhn,features.42,298,73257,26032
22.16,1.0,28.43,uniform,2,cifar100,features.42,298,50000,10000
75.875,0.1,79.08,uniform,2,stl10,features.42,298,5000,8000
40.803626306084816,10.0,42.267633127209685,uniform,2,svhn,features.42,298,73257,26032
17.49,1.0,18.29,ruler95,0,cifar100,features.42,35,50000,10000
74.52499999999999,1.0,75.86,ruler95,0,stl10,features.42,35,5000,8000
31.661032575291948,1.0,31.98602181361508,ruler95,0,svhn,features.42,35,73257,26032
17.48,1.0,18.536,ruler95,1,cifar100,features.42,35,50000,10000
74.47500000000001,1.0,75.52,ruler95,1,stl10,features.42,35,5000,8000
30.831284572833432,0.1,31.43044350710512,ruler95,1,svhn,features.42,35,73257,26032
17.66,1.0,18.486,ruler95,2,cifar100,features.42,35,50000,10000
74.08749999999999,0.1,75.33999999999999,ruler95,2,stl10,features.42,35,5000,8000
29.91702519975415,10.0,30.764295562198836,ruler95,2,svhn,features.42,35,73257,26032
