layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,0,112,112,1024,179.1372105715352,4.632510349715056,0.07238297421429775,7.347847253303086,0.11481011333286072,2.5088156759406903,0.039200244936573286,12.274799073416215,10,64,0.41568691605865205,56,7,10,19,30,0.109375,0.15625,0.296875,0.46875,1,resnet18
conv1,conv,0,64,1,False,0,112,112,1024,179.1372105715352,4.632510349715056,0.07238297421429775,7.347847253303086,0.11481011333286072,2.5088156759406903,0.039200244936573286,12.274799073416215,10,64,0.41568691605865205,56,7,10,19,30,0.109375,0.15625,0.296875,0.46875,2,resnet18
conv1,conv,0,64,1,False,0,112,112,1024,179.1372105715352,4.632510349715056,0.07238297421429775,7.347847253303086,0.11481011333286072,2.5088156759406903,0.039200244936573286,12.274799073416215,10,64,0.41568691605865205,56,7,10,19,30,0.109375,0.15625,0.296875,0.46875,5,resnet18
conv1,conv,0,64,1,False,0,112,112,1024,179.1372105715352,4.632510349715056,0.07238297421429775,7.347847253303086,0.11481011333286072,2.5088156759406903,0.039200244936573286,12.274799073416215,10,64,0.41568691605865205,56,7,10,19,30,0.109375,0.15625,0.296875,0.46875,10,resnet18
conv1,conv,0,64,1,False,0,112,112,2048,193.06159516185042,4.66911877439619,0.07295498084994047,7.392138660370307,0.11550216656828605,2.529756869613688,0.039527451087713876,13.554677588337865,10,64,0.4221616098148623,56,7,10,19,31,0.109375,0.15625,0.296875,0.484375,25,resnet18
conv1,conv,0,64,1,False,0,112,112,4096,193.44934133108515,4.659942164666107,0.07281159632290791,7.388811290784486,0.11545017641850759,2.526286285761671,0.03947322321502611,13.272452297851212,10,64,0.4291401432495744,56,7,10,19,31,0.109375,0.15625,0.296875,0.484375,50,resnet18
conv1,conv,0,64,1,False,0,112,112,7168,199.85961092283037,4.968089753893565,0.07762640240458696,7.711489508934878,0.12049202357710746,2.6736270866094562,0.041775423228272754,12.265996186316581,10,64,0.41487386373189894,56,7,10,19,31,0.109375,0.15625,0.296875,0.484375,100,resnet18
conv1,conv,0,64,1,False,0,112,112,16384,204.75388917533724,4.981646729933865,0.07783823015521664,7.804537239599472,0.12194589436874174,2.6606644488356044,0.04157288201305632,12.422655021325651,10,64,0.4078160960180618,56,7,11,19,31,0.109375,0.171875,0.296875,0.484375,250,resnet18
relu,act,1,64,1,False,0,112,112,1024,2.502652267556736,7.340772905883199,0.11469957665442498,14.46873948325,0.22607405442578124,3.176565111033215,0.04963382985989399,12.245061804230485,10,64,0.29706861722521705,56,17,24,38,50,0.265625,0.375,0.59375,0.78125,1,resnet18
relu,act,1,64,1,False,0,112,112,1024,2.502652267556736,7.340772905883199,0.11469957665442498,14.46873948325,0.22607405442578124,3.176565111033215,0.04963382985989399,12.245061804230485,10,64,0.29706861722521705,56,17,24,38,50,0.265625,0.375,0.59375,0.78125,2,resnet18
relu,act,1,64,1,False,0,112,112,1024,2.502652267556736,7.340772905883199,0.11469957665442498,14.46873948325,0.22607405442578124,3.176565111033215,0.04963382985989399,12.245061804230485,10,64,0.29706861722521705,56,17,24,38,50,0.265625,0.375,0.59375,0.78125,5,resnet18
relu,act,1,64,1,False,0,112,112,1024,2.502652267556736,7.340772905883199,0.11469957665442498,14.46873948325,0.22607405442578124,3.176565111033215,0.04963382985989399,12.245061804230485,10,64,0.29706861722521705,56,17,24,38,50,0.265625,0.375,0.59375,0.78125,10,resnet18
relu,act,1,64,1,False,0,112,112,2048,2.605736031153595,7.001928594743077,0.10940513429286058,14.281073162026823,0.2231417681566691,3.0441864548262383,0.04756541335665997,11.964333003146615,10,64,0.29715613157584553,56,18,24,39,50,0.28125,0.375,0.609375,0.78125,25,resnet18
