layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
conv1,conv,0,64,1,False,0,112,112,800000,197.7087658463872,4.910840206065951,0.0767318782197804,7.772450689045342,0.1214445420163334,2.6221998018124903,0.0409718719033201,13.558221779856051,10,64,0.4191731273116847,56,7,11,19,31,0.109375,0.171875,0.296875,0.484375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,35.812754676407835,2.5165110260090677,0.0393204847813916,2.7365685757563574,0.042758883996193,1.911008415495715,0.0298595064921205,13.712273751310832,10,64,0.6127825064734715,47,3,3,3,3,0.046875,0.046875,0.046875,0.046875,781.25,True,64.0,0.109375,0.171875,0.296875,0.484375,1.0
relu,act,1,64,1,False,0,112,112,800000,2.6519759701092624,7.671087343424898,0.119860739741014,15.471475214350662,0.2417418002242291,3.211636715438565,0.0501818236787275,9.493731648701496,10,64,0.2462244756918337,56,19,26,39,51,0.296875,0.40625,0.609375,0.796875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.4716270203664295,3.3153557434192105,0.0518024334909251,4.2397535979711245,0.0662461499682988,2.3646390251316376,0.0369474847676818,10.061565057046266,10,64,0.308422868024186,56,3,5,11,26,0.046875,0.078125,0.171875,0.40625,781.25,True,,,,,,
layer1.0.conv1,conv,2,64,1,False,0,56,56,800000,36.43308953734146,6.291075178718184,0.0982980496674716,12.054229457477891,0.188347335273092,2.8800051585707425,0.0450000806026678,3.064213154487061,10,64,0.9724744369460456,64,14,19,36,56,0.21875,0.296875,0.5625,0.875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,5.464936082428065,2.673539157292677,0.041774049332698,4.566027066365492,0.0713441729119608,1.7029277904915925,0.0266082467264311,5.385561797951635,10,64,0.9853223150502772,64,6,7,11,20,0.09375,0.109375,0.171875,0.3125,781.25,True,64.0,0.21875,0.296875,0.5625,0.875,1.0
layer1.0.relu,act,3,64,1,False,0,56,56,800000,1.0647456110397204,19.36941839591956,0.302647162436243,31.95368277179576,0.4992762933093088,7.271127570702796,0.1136113682922311,1.700276696342778,10,64,0.9693308244146046,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.1245154275565169,5.469959125121953,0.0854681113300305,10.028184369526516,0.1566903807738518,2.914356221432843,0.0455368159598881,2.7322059175567244,10,64,0.9785775927079022,64,11,18,36,57,0.171875,0.28125,0.5625,0.890625,781.25,True,,,,,,
layer1.0.conv2,conv,4,64,1,False,0,56,56,800000,6.201795496295721,7.296158868061689,0.1140024823134639,15.187505235363808,0.2373047693025595,3.1120443158177453,0.0486256924346522,2.475227145672958,10,64,0.9652300386675712,64,18,27,46,60,0.28125,0.421875,0.71875,0.9375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.9292023358761246,2.512479816885312,0.0392574971388329,4.516952163452204,0.0705773775539406,1.6665323700099417,0.0260395682814053,5.085692580787393,10,64,0.9483118110285284,64,6,9,18,32,0.09375,0.140625,0.28125,0.5,781.25,True,64.0,0.28125,0.421875,0.71875,0.9375,1.0
layer1.0.relu,act,5,64,1,False,1,56,56,800000,6.523381873923304,23.68526834409005,0.3700823178764071,33.940767716723315,0.5303244955738018,10.316742651909014,0.1611991039360783,1.81471546531329,10,64,0.9462573210658836,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.7459529055713545,7.406690536374984,0.1157295396308591,11.04999319481677,0.172656143669012,4.504579007305267,0.0703840469891448,2.9283719989857904,10,64,0.9907456184377202,64,10,15,31,55,0.15625,0.234375,0.484375,0.859375,781.25,True,,,,,,
layer1.1.conv1,conv,6,64,1,False,0,56,56,800000,29.97880052738827,16.744347441670033,0.2616304287760942,26.713436637533118,0.4173974474614549,6.462781233604015,0.1009809567750627,2.386433066100314,10,64,0.9511551257998015,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,2.5442481224273217,4.144559548801417,0.0647587429500221,7.0816958940221335,0.1106514983440958,2.242129818375219,0.0350332784121127,4.468282649128502,10,64,0.9630838433785788,64,8,10,18,35,0.125,0.15625,0.28125,0.546875,781.25,True,64.0,0.40625,0.53125,0.796875,0.96875,1.0
layer1.1.relu,act,7,64,1,False,0,56,56,800000,1.3085998661702098,33.33390157111192,0.5208422120486237,45.12596923758103,0.7050932693372035,13.15605053541954,0.2055632896159303,1.152816775795726,10,64,0.9560707506303971,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.0663329991552255,9.20133372641665,0.1437708394752601,15.185600246871878,0.2372750038573731,4.128608682907544,0.0645095106704303,2.433143696414777,10,64,0.9897943840148702,64,14,22,44,60,0.21875,0.34375,0.6875,0.9375,781.25,True,,,,,,
layer1.1.conv2,conv,8,64,1,False,0,56,56,800000,3.5941978884547194,24.01235447384385,0.3751930386538101,33.8651185832242,0.5291424778628782,9.74641094878788,0.1522876710748106,2.103508649818553,10,64,0.9449831545870442,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.2594104520005016,5.425326409492475,0.0847707251483199,8.527665646862625,0.1332447757322285,3.065360934003872,0.0478962645938104,4.132247106818393,10,64,0.9185956786931916,64,8,12,25,42,0.125,0.1875,0.390625,0.65625,781.25,True,64.0,0.484375,0.625,0.859375,0.984375,1.0
layer1.1.relu,act,9,64,1,False,1,56,56,800000,12.597479181518946,32.16816455047925,0.5026275711012382,42.42487926285395,0.662888738482093,15.709737267669537,0.2454646448073365,1.4731174869503263,10,64,0.9413747768794132,64,40,49,60,64,0.625,0.765625,0.9375,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.5746162796563825,10.078903271056973,0.1574828636102652,16.46422009566983,0.2572534389948411,4.403363268219328,0.068802551065927,2.462816837259672,10,64,0.9909473933844264,64,15,24,45,61,0.234375,0.375,0.703125,0.953125,781.25,True,,,,,,
