layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,163.65619861532204,4.353048568043959,0.06801638387568686,6.607991216777139,0.10324986276214279,2.549272203599155,0.0398323781812368,6.164975936404516,10,64,0.9107959920557853,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,1,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,163.65619861532204,4.353048568043959,0.06801638387568686,6.607991216777139,0.10324986276214279,2.549272203599155,0.0398323781812368,6.164975936404516,10,64,0.9107959920557853,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,2,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,163.65619861532204,4.353048568043959,0.06801638387568686,6.607991216777139,0.10324986276214279,2.549272203599155,0.0398323781812368,6.164975936404516,10,64,0.9107959920557853,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,5,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,163.65619861532204,4.353048568043959,0.06801638387568686,6.607991216777139,0.10324986276214279,2.549272203599155,0.0398323781812368,6.164975936404516,10,64,0.9107959920557853,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,10,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,178.20010276084292,4.269256415688124,0.06670713149512694,6.460586962821828,0.10094667129409106,2.5835793040082744,0.04036842662512929,7.389757250061685,10,64,0.5286551251039039,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,25,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,177.11183726130471,4.423865523599366,0.06912289880624009,6.679853969600733,0.10437271827501145,2.622499069120117,0.04097654795500183,6.206140412699064,10,64,0.9121319867312904,63,6,9,18,30,0.09375,0.140625,0.28125,0.46875,50,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,182.9670381308137,4.5672695114890836,0.07136358611701693,6.820327269359434,0.10656761358374116,2.6930111360897895,0.04207829900140296,7.46733435500036,10,64,0.5051179673465266,63,6,9,19,30,0.09375,0.140625,0.296875,0.46875,100,resnet50
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,182.26021736894813,4.718894325788644,0.07373272384044756,7.081403227622082,0.11064692543159503,2.700892114559544,0.04220143928999288,7.354669916106154,10,64,0.5368792375682676,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,250,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.6597198654596177,8.329885182459849,0.13015445597593514,15.88466264005131,0.24819785375080172,3.5810322777929104,0.055953629340514226,2.875531144598904,10,64,0.8686869075890955,63,18,27,43,56,0.28125,0.421875,0.671875,0.875,1,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.6597198654596177,8.329885182459849,0.13015445597593514,15.88466264005131,0.24819785375080172,3.5810322777929104,0.055953629340514226,2.875531144598904,10,64,0.8686869075890955,63,18,27,43,56,0.28125,0.421875,0.671875,0.875,2,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.6597198654596177,8.329885182459849,0.13015445597593514,15.88466264005131,0.24819785375080172,3.5810322777929104,0.055953629340514226,2.875531144598904,10,64,0.8686869075890955,63,18,27,43,56,0.28125,0.421875,0.671875,0.875,5,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,1024,2.6597198654596177,8.329885182459849,0.13015445597593514,15.88466264005131,0.24819785375080172,3.5810322777929104,0.055953629340514226,2.875531144598904,10,64,0.8686869075890955,63,18,27,43,56,0.28125,0.421875,0.671875,0.875,10,resnet50
relu,act,1,64,1,False,,0,112.0,112.0,2048,2.790422412591135,8.261616908913009,0.12908776420176576,16.140874584255748,0.25220116537899606,3.5499811915951085,0.05546845611867357,4.302073242768804,10,64,0.21056811459239455,63,19,28,44,57,0.296875,0.4375,0.6875,0.890625,25,resnet50
