layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,0,112,112,800000,176.02326448242943,4.694514443092647,0.07335178817332261,7.132075101531051,0.11143867346142267,2.6550431451185834,0.041485049142477866,7.408295722216289,10,64,0.5215882249161758,63,6,10,19,31,0.09375,0.15625,0.296875,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,42.609342415872774,2.701306673138442,0.04220791676778816,2.8384781284151916,0.04435122075648737,2.1704326583689078,0.033913010287014184,8.294753150228734,10,64,0.9826540232763145,53,3,3,3,3,0.046875,0.046875,0.046875,0.046875,781.25,True
relu,act,1,64,1,False,0,112,112,800000,2.7750049955484886,8.766346297894835,0.1369741609046068,17.0762547615366,0.26681648064900937,3.6395485161406365,0.056867945564697445,2.7094031648956975,10,64,0.8486793243617698,63,21,29,45,57,0.328125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.49347210673811015,3.2427330124776694,0.050667703319963585,4.112829822205129,0.06426296597195515,2.426272086670739,0.0379105013542303,5.233158917681338,10,64,0.3746206569632121,63,3,5,11,27,0.046875,0.078125,0.171875,0.421875,781.25,True
layer1.0.conv1,conv,2,64,1,False,0,56,56,800000,3.7910929281008627,4.446269324447174,0.0694729581944871,7.254665477282537,0.11335414808253964,2.49012722191594,0.03890823784243656,11.350667368000813,10,64,0.3921616364072198,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.7245459135132325,2.4726903430794267,0.03863578661061604,3.550143917635195,0.055470998713049925,1.767018603359559,0.02760966567749311,11.440939468352425,10,64,0.45435131842639065,59,4,5,10,16,0.0625,0.078125,0.15625,0.25,781.25,True
layer1.0.relu,act,3,64,1,False,0,56,56,800000,0.5993755186608659,5.433274247989847,0.08489491012484136,11.825349945551162,0.1847710928992369,2.8249529244841716,0.04413988944506518,7.248334785466848,10,64,0.17979520780102387,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.12201684339973548,2.901987937099301,0.04534356151717658,4.606715930782515,0.0719799364184768,2.0560741149884474,0.03212615804669449,7.856202668233257,10,64,0.23993303743256456,59,5,9,20,43,0.078125,0.140625,0.3125,0.671875,781.25,True
layer1.0.conv2,conv,4,64,1,False,0,56,56,800000,2.063580620088522,4.950099089680771,0.07734529827626205,9.277436423492977,0.14495994411707777,2.5016664295515247,0.039088537961742574,7.6130978688368485,10,64,0.31584195550082905,61,11,15,25,46,0.171875,0.234375,0.390625,0.71875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.4120892013848784,2.2850221792520418,0.03570347155081315,3.3755620641813144,0.05274315725283304,1.6392231463273128,0.025612861661364263,9.42200241421543,10,64,0.43275975373002407,61,4,5,10,19,0.0625,0.078125,0.15625,0.296875,781.25,True
layer1.0.relu,act,5,64,1,False,1,56,56,800000,0.9360083872112223,5.602511269573267,0.08753923858708229,12.92874952987678,0.2020117114043247,2.569824239828503,0.04015350374732036,2.7210788341346377,10,64,0.954173047043036,60,17,24,42,56,0.265625,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.18505926118442753,2.418567161827245,0.0377901119035507,4.0136947366290645,0.06271398025982913,1.672764761279189,0.026136949394987327,6.213570198162255,10,64,0.2396913533780688,60,5,8,18,40,0.078125,0.125,0.28125,0.625,781.25,True
layer1.0.conv3,conv,6,256,1,False,0,56,56,800000,1.5620306638056625,1.7737489848099792,0.006928706971913981,3.4281356117690116,0.013391154733472702,1.3397926161349072,0.005233564906776981,12.991420953980342,10,256,0.7929109004489068,141,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.4033502124681507,1.3084678594588557,0.005111202576011155,1.7820125171140626,0.006960986394976807,1.1490462797372936,0.004488462030223803,11.952930523290505,10,256,0.7522713724783738,135,2,2,7,16,0.0078125,0.0078125,0.02734375,0.0625,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,0,56,56,800000,10.468556211690064,5.100324912288514,0.019923144188627007,8.065183164428285,0.03150462173604799,2.9985929417908452,0.01171325367887049,13.3083902254133,10,256,0.7524206797891076,143,8,11,23,40,0.03125,0.04296875,0.08984375,0.15625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,2.719973213248197,4.074288490179302,0.015915189414762897,5.058134929873059,0.019758339569816638,2.7821072290992155,0.01086760636366881,11.66148334019801,10,256,0.7520703637206119,144,4,5,10,20,0.015625,0.01953125,0.0390625,0.078125,195.3125,True
layer1.0.relu,act,8,256,1,False,2,56,56,800000,4.255975085365362,23.19146665254073,0.09059166661148722,42.30648034635526,0.16525968885295023,9.089542541759847,0.035506025553749404,5.575268635505352,10,256,0.1857763054590974,231,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,0.6963792704483227,8.310030410684819,0.032461056291737574,13.574027561585678,0.053023545162444057,4.419097365966306,0.017262099085805883,5.9465153615424144,10,256,0.26541118474215775,230,13,20,51,129,0.05078125,0.078125,0.19921875,0.50390625,195.3125,True
layer1.1.conv1,conv,9,64,1,False,0,56,56,800000,1.6630520463565346,7.054564245229921,0.11022756633171751,11.01768314844989,0.17215129919452954,3.5697489137493976,0.05577732677733434,8.564611042875367,10,64,0.31065153363340947,60,10,15,28,45,0.15625,0.234375,0.4375,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,50000,0.20724737435310422,2.7612934332734804,0.04314520989489813,4.922641783011744,0.0769162778595585,1.7460175351221714,0.027281523986283928,9.073487742606314,10,64,0.3420561250455816,60,6,8,17,33,0.09375,0.125,0.265625,0.515625,781.25,True
