layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
conv1,conv,0,64,1,False,0,112,112,1024,7.774005822771807,1.6547258217142486,0.0258550909642851,2.759593130834177,0.043118642669284,1.301006156967371,0.0203282212026151,3.3230309270007696,10,64,0.916008631893426,64,3,5,18,40,0.046875,0.078125,0.28125,0.625,1,resnet50_random,64.0,0.046875,0.078125,0.28125,0.625,1.0
conv1,conv,0,64,1,False,0,112,112,1024,7.774005822771807,1.6547258217142486,0.0258550909642851,2.759593130834177,0.043118642669284,1.301006156967371,0.0203282212026151,3.3230309270007696,10,64,0.916008631893426,64,3,5,18,40,0.046875,0.078125,0.28125,0.625,2,resnet50_random,64.0,0.046875,0.078125,0.28125,0.625,1.0
conv1,conv,0,64,1,False,0,112,112,1024,7.774005822771807,1.6547258217142486,0.0258550909642851,2.759593130834177,0.043118642669284,1.301006156967371,0.0203282212026151,3.3230309270007696,10,64,0.916008631893426,64,3,5,18,40,0.046875,0.078125,0.28125,0.625,5,resnet50_random,64.0,0.046875,0.078125,0.28125,0.625,1.0
conv1,conv,0,64,1,False,0,112,112,1024,7.774005822771807,1.6547258217142486,0.0258550909642851,2.759593130834177,0.043118642669284,1.301006156967371,0.0203282212026151,3.3230309270007696,10,64,0.916008631893426,64,3,5,18,40,0.046875,0.078125,0.28125,0.625,10,resnet50_random,64.0,0.046875,0.078125,0.28125,0.625,1.0
conv1,conv,0,64,1,False,0,112,112,2048,8.40738892801792,1.6715822798210855,0.0261184731222044,2.8036746924871605,0.0438074170701118,1.3083232789565815,0.0204425512336965,3.31730021916822,10,64,0.9253784609930182,64,3,6,18,41,0.046875,0.09375,0.28125,0.640625,25,resnet50_random,64.0,0.046875,0.09375,0.28125,0.640625,1.0
conv1,conv,0,64,1,False,0,112,112,4096,8.196875302076835,1.6716543581900327,0.0261195993467192,2.8189590345391897,0.0440462349146748,1.3078189161855092,0.0204346705653985,3.2968250498321185,10,64,0.9254986224252651,64,3,6,18,41,0.046875,0.09375,0.28125,0.640625,50,resnet50_random,64.0,0.046875,0.09375,0.28125,0.640625,1.0
conv1,conv,0,64,1,False,0,112,112,7168,8.11420028373126,1.723078915675313,0.0269231080574267,2.9510050699933896,0.0461094542186467,1.3294537021107615,0.0207727140954806,3.257713445189261,10,64,0.9247359961799996,64,4,6,19,42,0.0625,0.09375,0.296875,0.65625,100,resnet50_random,64.0,0.0625,0.09375,0.296875,0.65625,1.0
conv1,conv,0,64,1,False,0,112,112,16384,8.233767328513885,1.6914850409811208,0.02642945376533,2.913559659254954,0.0455243696758586,1.3145822382564616,0.0205403474727572,3.2878440210642226,10,64,0.9246824264005018,64,4,6,19,42,0.0625,0.09375,0.296875,0.65625,250,resnet50_random,64.0,0.0625,0.09375,0.296875,0.65625,1.0
relu,act,1,64,1,False,0,112,112,1024,2.7787946573333886,2.379971222819673,0.0371870503565573,4.954968736961249,0.0774213865150195,1.584066864175691,0.0247510447527451,1.9048046287792617,10,64,0.9847681079467124,64,7,14,39,59,0.109375,0.21875,0.609375,0.921875,1,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,1024,2.7787946573333886,2.379971222819673,0.0371870503565573,4.954968736961249,0.0774213865150195,1.584066864175691,0.0247510447527451,1.9048046287792617,10,64,0.9847681079467124,64,7,14,39,59,0.109375,0.21875,0.609375,0.921875,2,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,1024,2.7787946573333886,2.379971222819673,0.0371870503565573,4.954968736961249,0.0774213865150195,1.584066864175691,0.0247510447527451,1.9048046287792617,10,64,0.9847681079467124,64,7,14,39,59,0.109375,0.21875,0.609375,0.921875,5,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,1024,2.7787946573333886,2.379971222819673,0.0371870503565573,4.954968736961249,0.0774213865150195,1.584066864175691,0.0247510447527451,1.9048046287792617,10,64,0.9847681079467124,64,7,14,39,59,0.109375,0.21875,0.609375,0.921875,10,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,2048,2.9321588753909484,2.5333922888219367,0.0395842545128427,5.127921921488809,0.0801237800232626,1.6519012262575794,0.0258109566602746,1.8201000499380344,10,64,0.9885329982993568,64,7,14,40,60,0.109375,0.21875,0.625,0.9375,25,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,4096,2.8137768556951297,2.575006574712312,0.0402344777298798,5.27923847348598,0.0824881011482184,1.6673013680979047,0.0260515838765297,1.774154179740193,10,64,0.9894378956570534,64,7,15,41,60,0.109375,0.234375,0.640625,0.9375,50,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,7168,2.8290508478228014,2.6696202027469256,0.0417128156679207,5.510461562462242,0.0861009619134725,1.7023667109482117,0.0265994798585658,1.7480695265222017,10,64,0.9916025521867377,64,7,16,42,61,0.109375,0.25,0.65625,0.953125,100,resnet50_random,,,,,,
relu,act,1,64,1,False,0,112,112,16384,2.807377297157435,2.693111233332717,0.0420798630208237,5.639321324464414,0.0881143956947564,1.7096295006756894,0.0267129609480576,1.7342589175691958,10,64,0.9930407968269688,64,8,16,43,61,0.125,0.25,0.671875,0.953125,250,resnet50_random,,,,,,
layer1.0.conv1,conv,2,64,1,False,0,56,56,1024,6.538813856689812,2.112227547454872,0.0330035554289823,4.122151439221565,0.0644086162378369,1.4780263562855542,0.0230941618169617,3.8377705537196216,10,64,0.727459322912255,64,6,9,26,45,0.09375,0.140625,0.40625,0.703125,1,resnet50_random,64.0,0.09375,0.140625,0.40625,0.703125,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,1024,6.538813856689812,2.112227547454872,0.0330035554289823,4.122151439221565,0.0644086162378369,1.4780263562855542,0.0230941618169617,3.8377705537196216,10,64,0.727459322912255,64,6,9,26,45,0.09375,0.140625,0.40625,0.703125,2,resnet50_random,64.0,0.09375,0.140625,0.40625,0.703125,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,1024,6.538813856689812,2.112227547454872,0.0330035554289823,4.122151439221565,0.0644086162378369,1.4780263562855542,0.0230941618169617,3.8377705537196216,10,64,0.727459322912255,64,6,9,26,45,0.09375,0.140625,0.40625,0.703125,5,resnet50_random,64.0,0.09375,0.140625,0.40625,0.703125,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,1024,6.538813856689812,2.112227547454872,0.0330035554289823,4.122151439221565,0.0644086162378369,1.4780263562855542,0.0230941618169617,3.8377705537196216,10,64,0.727459322912255,64,6,9,26,45,0.09375,0.140625,0.40625,0.703125,10,resnet50_random,64.0,0.09375,0.140625,0.40625,0.703125,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,2048,7.178936667783438,2.1704086963795857,0.033912635880931,4.245647555467038,0.0663382430541724,1.5012206617827393,0.0234565728403553,3.7981223074630655,10,64,0.7244454588510131,64,6,10,27,45,0.09375,0.15625,0.421875,0.703125,25,resnet50_random,64.0,0.09375,0.15625,0.421875,0.703125,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,4096,6.90319209351718,2.2349579860431645,0.0349212185319244,4.400053961126327,0.0687508431425988,1.526183826345138,0.0238466222866427,3.766754479027651,10,64,0.7258548970517931,64,6,10,27,46,0.09375,0.15625,0.421875,0.71875,50,resnet50_random,64.0,0.09375,0.15625,0.421875,0.71875,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,7168,6.970595513084238,2.318913290509213,0.0362330201642064,4.612863182631052,0.0720759872286102,1.5574516907559308,0.0243351826680614,3.73402096009838,10,64,0.721852405258995,64,6,10,28,46,0.09375,0.15625,0.4375,0.71875,100,resnet50_random,64.0,0.09375,0.15625,0.4375,0.71875,1.0
layer1.0.conv1,conv,2,64,1,False,0,56,56,16384,7.01492500976875,2.33729588336506,0.036520248177579,4.67769412320275,0.0730889706750429,1.5636555543273365,0.0244321180363646,3.714712095190729,10,64,0.7187548229826006,64,6,11,29,46,0.09375,0.171875,0.453125,0.71875,250,resnet50_random,64.0,0.09375,0.171875,0.453125,0.71875,1.0
layer1.0.relu,act,3,64,1,False,0,56,56,1024,3.219930942895642,2.0302381950840034,0.0317224717981875,4.137257668599003,0.0646446510718594,1.444853793803527,0.0225758405281801,2.8035337453612565,10,64,0.5916047257449468,64,6,11,33,53,0.09375,0.171875,0.515625,0.828125,1,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,1024,3.219930942895642,2.0302381950840034,0.0317224717981875,4.137257668599003,0.0646446510718594,1.444853793803527,0.0225758405281801,2.8035337453612565,10,64,0.5916047257449468,64,6,11,33,53,0.09375,0.171875,0.515625,0.828125,2,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,1024,3.219930942895642,2.0302381950840034,0.0317224717981875,4.137257668599003,0.0646446510718594,1.444853793803527,0.0225758405281801,2.8035337453612565,10,64,0.5916047257449468,64,6,11,33,53,0.09375,0.171875,0.515625,0.828125,5,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,1024,3.219930942895642,2.0302381950840034,0.0317224717981875,4.137257668599003,0.0646446510718594,1.444853793803527,0.0225758405281801,2.8035337453612565,10,64,0.5916047257449468,64,6,11,33,53,0.09375,0.171875,0.515625,0.828125,10,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,2048,3.434375892774089,2.1280107845205327,0.0332501685081333,4.35386979710846,0.0680292155798196,1.4841012820940551,0.0231890825327196,2.7989726337806613,10,64,0.5623458010892429,64,6,12,34,53,0.09375,0.1875,0.53125,0.828125,25,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,4096,3.311864589607332,2.2090375968595883,0.034516212450931,4.570064122018128,0.0714072519065332,1.516365333637706,0.0236932083380891,2.754895746159016,10,64,0.5255411450718432,64,7,13,35,54,0.109375,0.203125,0.546875,0.84375,50,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,7168,3.3147326151680896,2.333034420705572,0.0364536628235245,4.902894337167641,0.0766077240182444,1.5628551863521092,0.0244196122867517,2.713114490123113,10,64,0.4952913108479363,64,7,14,36,55,0.109375,0.21875,0.5625,0.859375,100,resnet50_random,,,,,,
layer1.0.relu,act,3,64,1,False,0,56,56,16384,3.2797288761907244,2.3787122788281607,0.03716737935669,5.022220171497865,0.0784721901796541,1.581091614326945,0.0247045564738585,2.711668160927574,10,64,0.5080060688557013,64,7,14,37,55,0.109375,0.21875,0.578125,0.859375,250,resnet50_random,,,,,,
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,4.899454689212328,3.118720780230091,0.0487300121910951,7.840592575914322,0.1225092589986612,1.8145440974320488,0.0283522515223757,1.7726431063104393,10,64,0.9840407778405098,64,14,24,48,62,0.21875,0.375,0.75,0.96875,1,resnet50_random,64.0,0.21875,0.375,0.75,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,4.899454689212328,3.118720780230091,0.0487300121910951,7.840592575914322,0.1225092589986612,1.8145440974320488,0.0283522515223757,1.7726431063104393,10,64,0.9840407778405098,64,14,24,48,62,0.21875,0.375,0.75,0.96875,2,resnet50_random,64.0,0.21875,0.375,0.75,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,4.899454689212328,3.118720780230091,0.0487300121910951,7.840592575914322,0.1225092589986612,1.8145440974320488,0.0283522515223757,1.7726431063104393,10,64,0.9840407778405098,64,14,24,48,62,0.21875,0.375,0.75,0.96875,5,resnet50_random,64.0,0.21875,0.375,0.75,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,4.899454689212328,3.118720780230091,0.0487300121910951,7.840592575914322,0.1225092589986612,1.8145440974320488,0.0283522515223757,1.7726431063104393,10,64,0.9840407778405098,64,14,24,48,62,0.21875,0.375,0.75,0.96875,10,resnet50_random,64.0,0.21875,0.375,0.75,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,2048,5.192846386556444,3.402307461356357,0.053161054083693,8.520993353508683,0.1331405211485731,1.908217007054343,0.0298158907352241,1.6931787836442345,10,64,0.9865505218632016,64,14,26,50,62,0.21875,0.40625,0.78125,0.96875,25,resnet50_random,64.0,0.21875,0.40625,0.78125,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,4096,5.007345035508227,3.4581733668360664,0.0540339588568135,8.668605495539978,0.1354469608678121,1.9285794230600328,0.030134053485313,1.6649355490836515,10,64,0.9878952769577024,64,15,26,50,62,0.234375,0.40625,0.78125,0.96875,50,resnet50_random,64.0,0.234375,0.40625,0.78125,0.96875,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,7168,5.047856442413597,3.719866807032783,0.0581229188598872,9.280225050848877,0.1450035164195137,2.0124758988057154,0.0314449359188393,1.631155941738014,10,64,0.9898446141849384,64,15,27,51,63,0.234375,0.421875,0.796875,0.984375,100,resnet50_random,64.0,0.234375,0.421875,0.796875,0.984375,1.0
layer1.0.conv2,conv,4,64,1,False,0,56,56,16384,5.100188361089775,3.881725476422618,0.0606519605691034,9.699704098611708,0.1515578765408079,2.0636709743714285,0.0322448589745535,1.6075255469206045,10,64,0.9912200682296012,64,16,28,52,63,0.25,0.4375,0.8125,0.984375,250,resnet50_random,64.0,0.25,0.4375,0.8125,0.984375,1.0
layer1.0.relu,act,5,64,1,False,1,56,56,1024,1.938756704905807,3.525538149200409,0.0550865335812563,8.680130024279219,0.1356270316293628,1.953865935461294,0.0305291552415827,2.6222744431566616,10,64,0.7315601285765092,64,15,25,44,56,0.234375,0.390625,0.6875,0.875,1,resnet50_random,,,,,,
layer1.0.relu,act,5,64,1,False,1,56,56,1024,1.938756704905807,3.525538149200409,0.0550865335812563,8.680130024279219,0.1356270316293628,1.953865935461294,0.0305291552415827,2.6222744431566616,10,64,0.7315601285765092,64,15,25,44,56,0.234375,0.390625,0.6875,0.875,2,resnet50_random,,,,,,
