layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,0,112,112,800000,8.162024553240695,1.6594380670368079,0.025928719797450123,2.8608239510113775,0.044700374234552774,1.3002640837844877,0.02031662630913262,3.273493241628686,10,64,0.9238752049774003,64,4,6,20,42,0.0625,0.09375,0.3125,0.65625,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,2.2269045818498316,1.519888619421081,0.02374825967845439,1.844836542895359,0.028825570982739985,1.2617572199871365,0.019714956562299008,6.823661015891829,10,64,0.9904946004870647,56,2,2,3,3,0.03125,0.03125,0.046875,0.046875,781.25,True
relu,act,1,64,1,False,0,112,112,800000,2.759712242990152,2.6831706248087626,0.041924541012636915,5.627820413968087,0.08793469396825136,1.7059697760278874,0.02665577775043574,1.7254447280524008,10,64,0.9940902785372001,64,8,16,43,61,0.125,0.25,0.671875,0.953125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.7213039052133754,2.2874286118590996,0.03574107206029843,3.23125225855636,0.05048831653994312,1.6008564323563328,0.0250133817555677,3.3758749677722713,10,64,0.9886014322988089,64,3,4,7,13,0.046875,0.0625,0.109375,0.203125,781.25,True
layer1.0.conv1,conv,2,64,1,False,0,56,56,800000,7.018992002092192,2.303995864419187,0.035999935381549795,4.59436279960745,0.0717869187438664,1.5511916595469517,0.02423736968042112,3.6966243751791716,10,64,0.7153472068184559,64,6,10,29,46,0.09375,0.15625,0.453125,0.71875,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.7801869502421797,2.1324721664582214,0.03331987760090971,3.175252753024847,0.04961332426601323,1.516126120648729,0.023689470635136392,4.642782008417462,10,64,0.8186963173918138,64,3,5,7,19,0.046875,0.078125,0.109375,0.296875,781.25,True
layer1.0.relu,act,3,64,1,False,0,56,56,800000,3.2293839111187537,2.4100379914080676,0.03765684361575106,5.090952007093696,0.079546125110839,1.5936701425179662,0.024901095976843222,2.605000270084251,10,64,0.586080334750823,64,7,15,37,55,0.109375,0.234375,0.578125,0.859375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.7886864942397649,2.14215071823047,0.0334711049723511,3.278169825763415,0.05122140352755336,1.5230286357522758,0.02379732243362931,3.512960977724039,10,64,0.7063753090664564,64,3,5,9,29,0.046875,0.078125,0.140625,0.453125,781.25,True
layer1.0.conv2,conv,4,64,1,False,0,56,56,800000,5.008957894076685,3.899126800858005,0.06092385626340633,9.727219374499123,0.1519878027265488,2.071212545537144,0.032362696024017874,1.5890362489034682,10,64,0.9912702683020048,64,16,28,52,63,0.25,0.4375,0.8125,0.984375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.1159535260883386,2.536072053431653,0.03962612583486958,3.848940248234468,0.06013969137866356,1.6944519604677157,0.02647581188230806,4.038659258492298,10,64,0.9456370190124059,64,4,5,10,26,0.0625,0.078125,0.15625,0.40625,781.25,True
layer1.0.relu,act,5,64,1,False,1,56,56,800000,2.025444689114636,4.4107900398408475,0.06891859437251324,10.781321206883726,0.16845814385755822,2.2409396239496266,0.035014681624212916,2.432268989458096,10,64,0.7189758279334043,64,18,29,47,57,0.28125,0.453125,0.734375,0.890625,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.4368102519583426,2.6947972494834462,0.04210620702317885,4.214555691780504,0.06585243268407037,1.7721565747870769,0.027689946481048076,3.787983797794074,10,64,0.8201066740539994,64,4,6,13,35,0.0625,0.09375,0.203125,0.546875,781.25,True
layer1.0.conv3,conv,6,256,1,False,0,56,56,800000,4.52717935012463,3.5116331876484184,0.013717317139251634,8.692692825927365,0.03395583135127877,1.9491549645035715,0.007613886580092076,11.51342882377764,10,256,0.8189462987914948,155,15,25,44,56,0.05859375,0.09765625,0.171875,0.21875,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,0.9909153493978053,2.280460551885743,0.008908049030803684,3.629805989386376,0.014178929646040532,1.58124885065534,0.006176753322872422,9.856376158619264,10,256,0.8727801118953946,158,4,6,12,32,0.015625,0.0234375,0.046875,0.125,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,0,56,56,800000,7.547880970679765,2.5371847815887976,0.00991087805308124,5.032141347045959,0.01965680213689828,1.65131524561084,0.006450450178167344,10.884888194147255,10,256,0.8044500655092199,159,6,13,39,59,0.0234375,0.05078125,0.15234375,0.23046875,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,2.0244258109033573,2.404428524045888,0.00939229892205425,3.4223270954479026,0.01336846521659337,1.653304642321197,0.006458221259067176,9.25182201567994,10,256,0.8537131584489812,158,3,4,7,22,0.01171875,0.015625,0.02734375,0.0859375,195.3125,True
layer1.0.relu,act,8,256,1,False,2,56,56,800000,4.265041949757296,4.035790846069785,0.0157648079924601,10.867276802705721,0.04245030001056922,2.1695481595742865,0.008474797498337057,2.2644712168989796,10,256,0.7323281236923176,256,21,46,128,208,0.08203125,0.1796875,0.5,0.8125,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,1.0294076226530968,2.9627984673135686,0.011573431512943627,4.400903958213911,0.01719103108677309,1.9454847201321126,0.007599549688016065,3.1242679419289257,10,256,0.8122261822321344,256,4,6,14,60,0.015625,0.0234375,0.0546875,0.234375,195.3125,True
layer1.1.conv1,conv,9,64,1,False,0,56,56,800000,9.168316201122657,3.5784400177490845,0.055913125277329445,7.927730233487629,0.1238707848982442,2.0226880895629775,0.031604501399421524,1.8770039021290479,10,64,0.9654368285755349,64,12,23,45,61,0.1875,0.359375,0.703125,0.953125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,2.254917484624198,2.7584067709811704,0.04310010579658079,4.0475272136753455,0.06324261271367727,1.8359945679798142,0.028687415124684597,2.96680661144387,10,64,0.9935525155810128,64,4,5,11,33,0.0625,0.078125,0.171875,0.515625,781.25,True
layer1.1.relu,act,10,64,1,False,0,56,56,800000,3.684196650111199,3.306780209599108,0.051668440774986064,7.381045637406854,0.11532883808448209,1.9257148934069632,0.0300892952094838,3.1489255493614374,10,64,0.68890052163353,64,12,22,40,54,0.1875,0.34375,0.625,0.84375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.8872444872679472,2.5093848130554464,0.03920913770399135,3.7299858262610543,0.058281028535328974,1.7210155487380105,0.026890867949031415,4.160329276662607,10,64,0.7740621834839997,64,3,5,12,33,0.046875,0.078125,0.1875,0.515625,781.25,True
layer1.1.conv2,conv,11,64,1,False,0,56,56,800000,7.722016296034999,3.780416590942934,0.05906900923348334,8.890312508595715,0.13891113294680804,2.1164597282297684,0.03306968325359013,1.3487636117352992,10,64,0.9750807105823274,64,17,31,53,63,0.265625,0.484375,0.828125,0.984375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.8604823224474167,2.5446887016657933,0.03976076096352802,3.502899144370235,0.05473279913078492,1.7951011140646496,0.02804845490726015,4.377368016163791,10,64,0.9358344845916783,64,3,4,10,26,0.046875,0.0625,0.15625,0.40625,781.25,True
layer1.1.relu,act,12,64,1,False,1,56,56,800000,2.6239759838575716,4.115068332583968,0.0642979426966245,9.279916164580229,0.14499869007156607,2.238712151765697,0.034979877371339015,4.110736881715211,10,64,0.548445845046537,64,16,26,41,52,0.25,0.40625,0.640625,0.8125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.620221575879677,2.622198706843621,0.04097185479443158,3.6228428505983192,0.05660691954059874,1.8703571888363422,0.029224331075567846,5.675070809480875,10,64,0.6440013325963967,64,3,4,12,30,0.046875,0.0625,0.1875,0.46875,781.25,True
layer1.1.conv3,conv,13,256,1,False,0,56,56,800000,5.547163244878226,3.8969705740666947,0.015222541304948026,8.505646117395422,0.03322518014607587,2.1726317104262005,0.008486842618852346,11.273863585640079,10,256,0.8476835458381144,159,14,23,39,51,0.0546875,0.08984375,0.15234375,0.19921875,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,1.3280766571364027,2.5289961657055473,0.009878891272287294,3.4589578190113555,0.013511553980513107,1.8249154368573948,0.007128575925224198,9.644837669007334,10,256,0.8907772904344535,158,3,4,11,28,0.01171875,0.015625,0.04296875,0.109375,195.3125,True
layer1.1.relu,act,14,256,1,False,2,56,56,800000,6.3762630576862795,4.216659875300859,0.01647132763789398,11.93058572241916,0.04660385047819984,2.2338178524953634,0.008725850986310013,2.242158764107462,10,256,0.7083347727885108,256,25,52,137,213,0.09765625,0.203125,0.53515625,0.83203125,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,1.574140816372148,2.6649547489264815,0.010409979487994069,3.9967220761391657,0.015612195609918616,1.8084946222708793,0.007064432118245622,3.15336981012095,10,256,0.7973628836459186,256,4,5,14,60,0.015625,0.01953125,0.0546875,0.234375,195.3125,True
layer1.2.conv1,conv,15,64,1,False,0,56,56,800000,13.490444161504993,3.885249334437068,0.06070702085057919,8.834606452011466,0.13804072581267915,2.1508110348026537,0.033606422418791464,1.9067707060113537,10,64,0.9526008064231891,64,15,25,47,61,0.234375,0.390625,0.734375,0.953125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,3.4060173504346656,2.6193220059177507,0.040926906342464854,3.8028350378186384,0.059419297465916225,1.800487810222668,0.028132622034729188,3.060630276503156,10,64,0.9885097505822026,64,4,5,12,34,0.0625,0.078125,0.1875,0.53125,781.25,True
layer1.2.relu,act,16,64,1,False,0,56,56,800000,7.29709887542655,2.7667419013293704,0.04323034220827141,6.204652410850598,0.0969476939195406,1.7195800935579022,0.026868438961842222,4.809487603955209,10,64,0.5892705247298329,64,11,19,35,47,0.171875,0.296875,0.546875,0.734375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.9159387854104382,2.0247095395433385,0.031636086555364665,3.0407964079225143,0.047512443873789285,1.482481030918801,0.023163766108106266,6.242262016958766,10,64,0.6396130981583035,64,3,4,11,28,0.046875,0.0625,0.171875,0.4375,781.25,True
layer1.2.conv2,conv,17,64,1,False,0,56,56,800000,15.209057236622785,3.287641548134475,0.05136939918960117,8.058023509435204,0.12590661733492506,1.9045322124061632,0.0297583158188463,1.4669496937166449,10,64,0.977797862081256,64,16,29,52,63,0.25,0.453125,0.8125,0.984375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,3.7256747264935752,2.0354230574081704,0.03180348527200266,2.973054757070071,0.04645398057921986,1.501828956184846,0.023466077440388217,4.681533089754733,10,64,0.9507652732882078,64,3,4,9,24,0.046875,0.0625,0.140625,0.375,781.25,True
layer1.2.relu,act,18,64,1,False,1,56,56,800000,8.712965772856807,2.7605884582092517,0.04313419465951956,6.366217835300085,0.09947215367656383,1.7167335145758198,0.026823961165247184,4.296178480492004,10,64,0.6449938926628496,64,12,21,37,48,0.1875,0.328125,0.578125,0.75,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,2.2059657130517047,1.8247110911498134,0.028511110799215835,2.6673869925214073,0.04167792175814699,1.3973938897958158,0.021834279528059622,5.966816008244092,10,64,0.7591329394028307,64,3,4,9,23,0.046875,0.0625,0.140625,0.359375,781.25,True
layer1.2.conv3,conv,19,256,1,False,0,56,56,800000,19.199852903209525,2.487101473080605,0.009715240129221113,5.500241820380457,0.02148531961086116,1.6195020123136867,0.006326179735600339,11.05226052978365,10,256,0.8633177827708606,156,10,18,34,47,0.0390625,0.0703125,0.1328125,0.18359375,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,5.008253212525797,1.7189954721658431,0.006714826063147825,2.47063065462029,0.009650900994610507,1.3480029295194498,0.005265636443435351,9.175873480047857,10,256,0.9188508569278486,159,2,4,8,21,0.0078125,0.015625,0.03125,0.08203125,195.3125,True
layer1.2.relu,act,20,256,1,False,2,56,56,800000,17.005702442722733,2.6795559705720895,0.010467015510047225,7.2284698505187315,0.028236210353588795,1.6802016291124569,0.006563287613720535,3.1648001369332794,10,256,0.40823692345196594,255,15,33,103,188,0.05859375,0.12890625,0.40234375,0.734375,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,4.460207973902344,1.7834587464922143,0.006966635728485212,2.699111377558169,0.010543403818586598,1.3706992796627002,0.005354294061182423,3.962676136897875,10,256,0.6736100861273155,254,3,4,10,41,0.01171875,0.015625,0.0390625,0.16015625,195.3125,True
layer2.0.conv1,conv,21,128,1,False,0,56,56,800000,31.693439339956694,3.040370259686546,0.02375289265380114,7.538116193089454,0.05889153275851136,1.8161041401184632,0.014188313594675494,2.38399397114667,10,128,0.9388071009028719,128,14,26,63,105,0.109375,0.203125,0.4921875,0.8203125,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,8.070132553191222,1.9219478689203764,0.01501521772594044,2.8823664810773635,0.022518488133416902,1.4413080231701965,0.01126021893101716,3.300648055243197,10,128,0.9754238755352097,128,3,5,10,35,0.0234375,0.0390625,0.078125,0.2734375,390.625,True
layer2.0.relu,act,22,128,1,False,0,56,56,800000,18.002484893934565,2.5620467180215525,0.02001598998454338,6.294933179920097,0.04917916546812576,1.6373227893789946,0.012791584292023395,4.700623360710888,10,128,0.40171528490570263,125,12,23,57,89,0.09375,0.1796875,0.4453125,0.6953125,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,4.676651846811423,1.7244018622104818,0.013471889548519389,2.5898669294536925,0.020233335386356972,1.3427343626711414,0.010490112208368292,6.1415320957822415,10,128,0.5166808680724045,125,3,4,10,34,0.0234375,0.03125,0.078125,0.265625,390.625,True
layer2.0.conv2,conv,23,128,1,False,0,28,28,800000,37.242854648263126,2.821024363796172,0.022039252842157592,8.147933777759432,0.06365573263874556,1.7135205938464737,0.013386879639425576,1.4535734505322178,10,128,0.9781344818778457,128,20,43,94,123,0.15625,0.3359375,0.734375,0.9609375,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,8.84614107558612,1.643637333704673,0.012840916669567758,2.4872378512917237,0.01943154571321659,1.3032722899809497,0.01018181476547617,3.0015322161446325,10,128,0.9886543610633364,128,2,4,10,36,0.015625,0.03125,0.078125,0.28125,390.625,True
layer2.0.relu,act,24,128,1,False,1,28,28,800000,15.35427378289242,2.648748415090811,0.02069334699289696,7.2211448212794425,0.056415193916245644,1.6537072067351715,0.012919587552618527,4.505782733446034,10,128,0.6183905626220736,126,17,32,61,83,0.1328125,0.25,0.4765625,0.6484375,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,3.6541780314252263,1.5530991289262823,0.01213358694473658,2.3151193381503905,0.018086869829299926,1.2616723804821102,0.009856815472516486,5.608651536319785,10,128,0.6697842876785429,127,2,4,9,36,0.015625,0.03125,0.0703125,0.28125,390.625,True
layer2.0.conv3,conv,25,512,1,False,0,28,28,800000,28.563930786744315,2.8133197248248174,0.0054947650875484715,7.722183598340892,0.015082389840509554,1.7085439786045338,0.00333699995821198,9.229670499405675,10,512,0.8617119227468655,309,17,31,59,82,0.033203125,0.060546875,0.115234375,0.16015625,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,6.70610259923803,1.6040291439310699,0.003132869421740371,2.422271936588748,0.004730999876149899,1.284192601372507,0.0025081886745556775,7.416383490740028,10,512,0.914781861426374,314,2,4,10,36,0.00390625,0.0078125,0.01953125,0.0703125,97.65625,True
layer2.0.downsample.0,conv,26,512,1,False,0,28,28,800000,35.39016493154514,2.4440692768962986,0.004773572806438083,6.369878933762724,0.01244116979250532,1.5938964782971652,0.0031130790591741508,7.357713189780112,10,512,0.6663300216542838,378,13,29,87,170,0.025390625,0.056640625,0.169921875,0.33203125,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,9.43872270125535,1.7064883149651722,0.003332984990166352,2.5953117920200337,0.005068968343789128,1.3324639423496978,0.0026024686374017535,6.276824358519181,10,512,0.7816548404313916,378,3,4,10,42,0.005859375,0.0078125,0.01953125,0.08203125,97.65625,True
layer2.0.relu,act,27,512,1,False,2,28,28,800000,29.489941842300876,2.509647180963048,0.004901654650318453,7.76920159443468,0.015174221864130234,1.6062670617088795,0.003137240354900155,3.9125934017502075,10,512,0.3248005540739821,494,22,50,164,329,0.04296875,0.09765625,0.3203125,0.642578125,resnet50_random,random_init,imagenet_val[50000],1562.5,True,50000,7.506318319434497,1.5903716269917254,0.0031061945839682137,2.429503959075046,0.004745124920068449,1.2781380455814126,0.0024963633702761966,4.705983329041708,10,512,0.4262062044547301,490,2,4,11,58,0.00390625,0.0078125,0.021484375,0.11328125,97.65625,True
layer2.1.conv1,conv,28,128,1,False,0,28,28,800000,60.25572326603144,2.5062858774091383,0.019580358417258893,6.835871582468589,0.05340524673803585,1.607734556758913,0.012560426224679008,1.9556099206913693,10,128,0.9604330450182288,128,16,32,75,116,0.125,0.25,0.5859375,0.90625,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,15.070610443580318,1.6224595104281798,0.012675464925220155,2.4729828669391263,0.019320178647961924,1.2924951251675652,0.010097618165371603,2.738339028901885,10,128,0.9897606804330448,128,3,4,10,42,0.0234375,0.03125,0.078125,0.328125,390.625,True
layer2.1.relu,act,29,128,1,False,0,28,28,800000,27.02215254941494,2.5229858865403108,0.019710827238596178,6.533427475659661,0.0510424021535911,1.6175455628702196,0.01263707470992359,5.585787574681848,10,128,0.5312759112245304,125,14,28,59,82,0.109375,0.21875,0.4609375,0.640625,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,6.805548620806717,1.6247372405275888,0.012693259691621788,2.4410057102735436,0.01907035711151206,1.2953851804926333,0.010120196722598698,6.625073518599725,10,128,0.6057661107637525,125,2,4,10,38,0.015625,0.03125,0.078125,0.296875,390.625,True
layer2.1.conv2,conv,30,128,1,False,0,28,28,800000,57.85668248667169,3.995323353548263,0.031213463699595805,11.683992870020711,0.09128119429703681,2.1016234029791008,0.016418932835774225,1.315039259859922,10,128,0.9755292432536422,128,28,55,102,125,0.21875,0.4296875,0.796875,0.9765625,resnet50_random,random_init,imagenet_val[50000],6250.0,True,50000,12.083534442857625,1.8017123225080216,0.014075877519593919,2.696134542544392,0.02106355111362806,1.3830742221179955,0.01080526736029684,3.6864334131599708,10,128,0.9506340365162373,128,3,4,10,37,0.0234375,0.03125,0.078125,0.2890625,390.625,True
