layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,14.457522902025032,4.281362298434697,0.06689628591304214,5.428333607182135,0.08481771261222086,2.62290121794167,0.0409828315303386,18.512357138954716,10,64,0.9451140771937889,38,5,6,9,12,0.078125,0.09375,0.140625,0.1875,2500.0,64.0,10000.0,3.316043687912894,2.3623083436705463,0.036911067869852286,2.6852605901728737,0.04195719672145115,1.7506118794609091,0.027353310616576705,13.397332723555168,10.0,64.0,0.8833216386807509,35.0,3.0,3.0,3.0,5.0,0.046875,0.046875,0.046875,0.078125,156.25,80,92.44
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,2.5693686437253214,7.850805519457797,0.12266883624152808,11.256292272650615,0.17587956676016586,4.537770324654419,0.0709026613227253,5.43960286740505,10,64,0.9562882903438374,64,11,14,23,36,0.171875,0.21875,0.359375,0.5625,2500.0,64.0,10000.0,0.5278056986048876,2.9726280905609497,0.04644731391501484,3.7119314362267444,0.05799892869104288,2.0723029985578827,0.03237973435246692,6.94867981246108,10.0,64.0,0.980038647198985,64.0,3.0,4.0,7.0,14.0,0.046875,0.0625,0.109375,0.21875,156.25,80,92.44
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,1.3164453290598144,10.995883296208623,0.17181067650325973,14.933222522746627,0.23333160191791605,5.59377452839505,0.08740272700617266,4.297601850187238,10,64,0.9790528341663024,64,13,16,27,46,0.203125,0.25,0.421875,0.71875,2500.0,64.0,10000.0,0.15186370266375857,2.2925942502055454,0.03582178515946165,3.48328168988924,0.05442627640451937,1.591238615222818,0.02486310336285653,5.398760978399237,10.0,64.0,0.9684693572260837,64.0,4.0,5.0,10.0,21.0,0.0625,0.078125,0.15625,0.328125,156.25,80,92.44
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,2.198750708959157,12.056240644093958,0.1883787600639681,18.257514840475892,0.2852736693824358,5.863738726589411,0.09162091760295955,2.727079804955848,10,64,0.9564581294303042,64,17,25,44,59,0.265625,0.390625,0.6875,0.921875,2500.0,64.0,10000.0,0.21544158031858565,4.2656717445742816,0.06665112100897315,6.599017544679065,0.1031096491356104,2.505664726089242,0.039151011345144406,3.4052048015611724,10.0,64.0,0.9611193436956044,64.0,6.0,9.0,22.0,44.0,0.09375,0.140625,0.34375,0.6875,156.25,80,92.44
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,3.988009987527008,10.409160595165748,0.1626431342994648,15.294486124010788,0.23897634568766857,4.792415308213296,0.07488148919083275,4.1291956282933056,10,64,0.9712857851021821,64,14,19,29,48,0.21875,0.296875,0.453125,0.75,2500.0,64.0,10000.0,0.20069649026936306,3.791051328294282,0.059235177004598155,5.613378027545803,0.08770903168040317,2.2719535367163077,0.03549927401119231,5.569876692124534,10.0,64.0,0.9689366810422437,64.0,5.0,7.0,15.0,26.0,0.078125,0.109375,0.234375,0.40625,156.25,80,92.44
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,0.6290317012844234,11.55070768751345,0.18047980761739765,16.893704786861832,0.26396413729471613,5.5350312800320545,0.08648486375050085,3.507104954222231,10,64,0.970777306842752,64,15,21,35,54,0.234375,0.328125,0.546875,0.84375,2500.0,64.0,10000.0,0.026703328856642887,2.8110076528051287,0.043921994575080135,4.544807007206758,0.0710126094876056,1.8123549130042667,0.028318045515691666,4.871468489367114,10.0,64.0,0.9704040612240242,64.0,5.0,7.0,14.0,28.0,0.078125,0.109375,0.21875,0.4375,156.25,80,92.44
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,3.5755286178905945,12.810561125618085,0.20016501758778257,21.567452323403785,0.33699144255318414,5.06004880996713,0.0790632626557364,2.313858808900804,10,64,0.9663667880900962,64,22,32,50,62,0.34375,0.5,0.78125,0.96875,2500.0,64.0,10000.0,0.19786259928259445,5.171857510247185,0.08081027359761227,8.61584267774622,0.1346225418397847,2.7495382429054356,0.04296153504539743,3.134134060518984,10.0,64.0,0.965916530072735,64.0,8.0,14.0,28.0,51.0,0.125,0.21875,0.4375,0.796875,156.25,80,92.44
layer1.2.conv1,conv,7,64,1,False,64.0,0,32.0,32.0,160000,5.00035645485206,9.472212677362108,0.14800332308378294,14.702374013499602,0.22972459396093128,4.769125049371049,0.07451757889642265,3.6770038501364395,10,64,0.9673827588591427,64,14,19,33,52,0.21875,0.296875,0.515625,0.8125,2500.0,64.0,10000.0,0.12634181557706992,4.170016248557808,0.06515650388371574,6.581180161600359,0.1028309400250056,2.338630181037961,0.03654109657871814,4.92466890774018,10.0,64.0,0.9677170141905805,64.0,7.0,9.0,16.0,30.0,0.109375,0.140625,0.25,0.46875,156.25,80,92.44
layer1.2.conv2,conv,8,64,1,False,64.0,0,32.0,32.0,160000,0.3016590072053975,10.736444685421846,0.16775694820971634,16.166712015280204,0.2526048752387532,6.0631908444723,0.09473735694487968,3.125044425500058,10,64,0.9675198945150414,64,15,21,38,56,0.234375,0.328125,0.59375,0.875,2500.0,64.0,10000.0,0.009293167550221993,3.071733086221188,0.04799582947220606,4.699255360584234,0.07342586500912866,1.96414978854583,0.030689840446028595,4.452097749405166,10.0,64.0,0.9755537820581925,64.0,5.0,7.0,13.0,27.0,0.078125,0.109375,0.203125,0.421875,156.25,80,92.44
layer1.2,block,9,64,1,False,,0,32.0,32.0,160000,4.763063412319557,12.728784435001016,0.19888725679689087,23.190840260809264,0.36235687907514474,4.721863261020862,0.07377911345345096,1.989621303494565,10,64,0.9887717579508787,64,25,36,54,63,0.390625,0.5625,0.84375,0.984375,2500.0,64.0,10000.0,0.20550485434386712,6.047710960208766,0.09449548375326197,9.91641303798247,0.1549439537184761,3.1010906755475447,0.048454541805430386,2.8741806519190423,10.0,64.0,0.9908028888203868,64.0,10.0,15.0,31.0,55.0,0.15625,0.234375,0.484375,0.859375,156.25,80,92.44
layer1.3.conv1,conv,10,64,1,False,64.0,0,32.0,32.0,160000,6.285116904409521,9.156652512091497,0.14307269550142965,14.375996821971835,0.22462495034330993,4.4245829547097495,0.06913410866733984,3.5790200363354,10,64,0.9626426544939782,64,14,20,33,52,0.21875,0.3125,0.515625,0.8125,2500.0,64.0,10000.0,0.2212946039545254,2.084732891049326,0.03257395142264572,3.50874704553402,0.054824172586469065,1.4855691956727692,0.02321201868238702,4.740141080016913,10.0,64.0,0.9746584749278177,64.0,4.0,7.0,13.0,26.0,0.0625,0.109375,0.203125,0.40625,156.25,80,92.44
layer1.3.conv2,conv,11,64,1,False,64.0,0,32.0,32.0,160000,0.1661614488654211,11.953079323093037,0.1867668644233287,17.72980999856104,0.27702828122751627,6.2309897750184495,0.09735921523466327,3.0343733701674815,10,64,0.9635627936880174,64,16,23,40,57,0.25,0.359375,0.625,0.890625,2500.0,64.0,10000.0,0.0048677642531508875,3.2653400068774783,0.0510209376074606,4.5123966548251895,0.07050619773164359,2.248864258876957,0.03513850404495245,4.503641230739756,10.0,64.0,0.9689040139223353,64.0,4.0,6.0,12.0,27.0,0.0625,0.09375,0.1875,0.421875,156.25,80,92.44
