layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,19.41114468197753,1.7591894227252791,0.027487334730082486,2.830263110565096,0.04422286110257963,1.3435477362476316,0.020992933378869243,14.815199646506322,10,64,0.875379062401763,46,4,5,9,17,0.0625,0.078125,0.140625,0.265625,2500.0,64.0,10000.0,5.3570843297401,1.408571611785824,0.0220089314341535,1.7233054390013285,0.026926647484395758,1.203596330229384,0.018806192659834124,8.679948347000566,10.0,64.0,0.9474104280363522,43.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,10.0
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,11.089635963534517,3.7828184484623173,0.05910653825722371,8.887986784279299,0.13887479350436405,2.043244557188998,0.031925696206078095,2.060955396754412,10,64,0.9893181999852942,64,13,22,45,61,0.203125,0.34375,0.703125,0.953125,2500.0,64.0,10000.0,2.656847656236659,2.0550815194555834,0.03211064874149349,3.0284937650827124,0.04732021507941738,1.4850480200731542,0.023203875313643034,3.9411638174307213,10.0,64.0,0.9787685924898157,64.0,3.0,4.0,7.0,18.0,0.046875,0.0625,0.109375,0.28125,156.25,0,10.0
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,8.082713555717824,4.769603380497425,0.07452505282027226,11.983153086151987,0.1872367669711248,2.357296789595212,0.03683276233742519,1.5974844851517533,10,64,0.9865884139177048,64,21,33,54,63,0.328125,0.515625,0.84375,0.984375,2500.0,64.0,10000.0,1.8254973035614994,2.2832731156323236,0.035676142431755056,3.36413450549703,0.05256460164839109,1.6103692259154954,0.025162019154929615,3.8182019594365593,10.0,64.0,0.9591551561809145,64.0,3.0,5.0,10.0,27.0,0.046875,0.078125,0.15625,0.421875,156.25,0,10.0
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,9.614158587868335,3.7754196770849737,0.058990932454452714,8.714205373937002,0.13615945896776566,2.1321052800802924,0.03331414500125457,1.770489195893601,10,64,0.9160734964704492,64,15,27,50,61,0.234375,0.421875,0.78125,0.953125,2500.0,64.0,10000.0,2.460442743620295,2.3463190344740052,0.03666123491365633,3.3327539564844377,0.05207428057006934,1.6629681686745212,0.025983877635539394,2.859151643123485,10.0,64.0,0.9867662741795209,64.0,3.0,4.0,9.0,29.0,0.046875,0.0625,0.140625,0.453125,156.25,0,10.0
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,19.099593834928832,4.380798721296089,0.06844998002025139,10.388570334069785,0.1623214114698404,2.324605020376202,0.03632195344337816,1.535917873014885,10,64,0.9882228186818663,64,18,31,53,63,0.28125,0.484375,0.828125,0.984375,2500.0,64.0,10000.0,4.431727637169632,2.3646294860873156,0.036947335720114306,3.3524492312216685,0.05238201923783857,1.676213882888596,0.026190841920134312,3.7689912694932244,10.0,64.0,0.9604137385730339,64.0,3.0,5.0,9.0,25.0,0.046875,0.078125,0.140625,0.390625,156.25,0,10.0
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,14.452772500767837,5.1501194069068825,0.08047061573292004,12.488277570494633,0.19512933703897864,2.5322051793241207,0.039565705926939386,1.481610620192603,10,64,0.9795587826275703,64,22,34,55,63,0.34375,0.53125,0.859375,0.984375,2500.0,64.0,10000.0,3.0947864021310494,2.2714760271682044,0.035491812924503194,3.258752523850755,0.05091800818516805,1.6267304086021035,0.025417662634407867,4.054125903600311,10.0,64.0,0.9605345687697556,64.0,3.0,4.0,10.0,26.0,0.046875,0.0625,0.15625,0.40625,156.25,0,10.0
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,16.757025746599727,3.883777251904261,0.060684019561004075,9.577614330759362,0.14965022391811503,2.119621972688387,0.03311909332325605,2.0297621464492863,10,64,0.7428864624186706,64,19,30,49,60,0.296875,0.46875,0.765625,0.9375,2500.0,64.0,10000.0,4.091207426820236,1.964904366121426,0.030701630720647282,2.865234626166063,0.044769291033844735,1.4670045942719878,0.02292194678549981,3.000734950855652,10.0,64.0,0.9157727378616826,64.0,3.0,4.0,10.0,31.0,0.046875,0.0625,0.15625,0.484375,156.25,0,10.0
layer1.2.conv1,conv,7,64,1,False,64.0,0,32.0,32.0,160000,37.2198545221457,3.5590480652371763,0.05561012601933088,9.001715034781824,0.140651797418466,1.9901937104506728,0.031096776725791763,1.4854455884328293,10,64,0.9835295153314414,64,18,31,53,63,0.28125,0.484375,0.828125,0.984375,2500.0,64.0,10000.0,8.611815351185673,1.7064003557747416,0.026662505558980337,2.4649982243776614,0.03851559725590096,1.3410268798254321,0.020953544997272377,3.7736770284757113,10.0,64.0,0.9545645779184773,64.0,2.0,4.0,8.0,25.0,0.03125,0.0625,0.125,0.390625,156.25,0,10.0
layer1.2.conv2,conv,8,64,1,False,64.0,0,32.0,32.0,160000,29.55887354106561,4.301359639681856,0.067208744370029,10.396830524618808,0.16245047694716888,2.247002190278186,0.03510940922309665,1.5135598269106882,10,64,0.980734619810777,64,19,31,53,63,0.296875,0.484375,0.828125,0.984375,2500.0,64.0,10000.0,6.280684602631509,1.8366671434186934,0.028697924115917085,2.62671100829233,0.04104235950456766,1.4085668177788966,0.02200885652779526,4.259931353319624,10.0,64.0,0.9581530063730258,64.0,2.0,4.0,9.0,23.0,0.03125,0.0625,0.140625,0.359375,156.25,0,10.0
layer1.2,block,9,64,1,False,,0,32.0,32.0,160000,37.175741224576406,3.384931717348411,0.05288955808356892,8.121065217782656,0.126891644027854,1.9638982761599437,0.03068591056499912,1.866246016368285,10,64,0.7569518018730064,64,16,29,50,60,0.25,0.453125,0.78125,0.9375,2500.0,64.0,10000.0,9.124593765934911,1.8094187793298389,0.028272168427028732,2.506013339803967,0.039156458434436985,1.4073843697555173,0.021990380777429958,3.0404260612170897,10.0,64.0,0.9277066602921461,64.0,2.0,3.0,8.0,28.0,0.03125,0.046875,0.125,0.4375,156.25,0,10.0
