layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,18.95383484520544,1.8605366629959976,0.0290708853593124,2.98211843625329,0.0465956005664576,1.388227817966999,0.0216910596557343,15.00881679298845,10,64,0.8767318052881907,46,4,5,10,17,0.0625,0.078125,0.15625,0.265625,2500.0,64.0,10000.0,5.3721371333607975,1.5393246391909063,0.0240519474873579,1.834383538539009,0.028662242789672,1.2787143376407062,0.019979911525636,8.769012121641238,10.0,64.0,0.942696521461005,43.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,10.0
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,14.013588080231663,2.8553827017982045,0.0446153547155969,5.31403414126485,0.0830317834572632,1.7845869787539392,0.0278841715430303,4.604905608060566,10,64,0.7569635246350518,64,6,11,23,42,0.09375,0.171875,0.359375,0.65625,2500.0,64.0,10000.0,3.7954016747799786,2.1319412871551933,0.0333115826117998,2.945978199520709,0.046030909367511,1.5376417150551376,0.0240256517977365,5.352222837891999,10.0,64.0,0.7855233939252944,64.0,3.0,3.0,6.0,15.0,0.046875,0.046875,0.09375,0.234375,156.25,0,10.0
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,12.378612647075784,3.680869380795414,0.0575135840749283,7.963162119464781,0.1244244081166372,2.091791029191863,0.0326842348311228,1.8712429006173323,10,64,0.9825557519286852,64,12,22,46,61,0.1875,0.34375,0.71875,0.953125,2500.0,64.0,10000.0,3.011084146260208,2.103267365218955,0.0328635525815461,2.953256952296428,0.0461446398796316,1.5396213210469598,0.0240565831413587,3.887132445906277,10.0,64.0,0.9754489559774384,64.0,3.0,4.0,8.0,21.0,0.046875,0.0625,0.125,0.328125,156.25,0,10.0
layer1.0.conv3,conv,3,256,1,False,64.0,0,32.0,32.0,160000,10.807065124477958,4.227246459403087,0.0165126814820433,8.475032835241617,0.0331055970126625,2.3843077029813853,0.009313701964771,10.54343375592926,10,256,0.8366723387623423,158,12,21,39,54,0.046875,0.08203125,0.15234375,0.2109375,625.0,256.0,10000.0,2.515491270907193,2.3280480215232844,0.0090939375840753,3.187610989832494,0.0124516054290331,1.689499855858398,0.0065996088119468,8.706828428280105,10.0,256.0,0.8907914622673475,160.0,3.0,4.0,9.0,25.0,0.01171875,0.015625,0.03515625,0.09765625,39.0625,0,10.0
layer1.0.downsample.0,conv,4,256,1,False,64.0,0,32.0,32.0,160000,11.946980643000892,3.204057687606137,0.0125158503422114,6.434354111170444,0.0251341957467595,1.8942335884960757,0.0073993499550627,10.220441703311812,10,256,0.8361772133683805,158,8,13,31,55,0.03125,0.05078125,0.12109375,0.21484375,625.0,256.0,10000.0,3.1670011171364987,2.2285150895559243,0.0087051370685778,3.197348243994335,0.0124896415781028,1.57253682364522,0.0061427219673641,8.293868415735163,10.0,256.0,0.888862582098066,159.0,3.0,4.0,7.0,17.0,0.01171875,0.015625,0.02734375,0.06640625,39.0625,0,10.0
layer1.0,block,5,256,1,False,,0,32.0,32.0,160000,8.794903558103643,4.374046244771798,0.0170861181436398,10.437265499840452,0.0407705683587517,2.4312490247162137,0.0094970665027977,2.216243872158631,10,256,0.7745866248401571,256,17,35,115,211,0.06640625,0.13671875,0.44921875,0.82421875,625.0,256.0,10000.0,2.1488003624702188,2.5395438417075358,0.00992009313167,3.582251690823604,0.0139931706672797,1.7852203833262976,0.0069735171223683,2.928712709925311,10.0,256.0,0.8437305429349297,256.0,3.0,4.0,10.0,44.0,0.01171875,0.015625,0.0390625,0.171875,39.0625,0,10.0
layer1.1.conv1,conv,6,64,1,False,64.0,0,32.0,32.0,160000,19.39918279801024,4.213079768884617,0.0658293713888221,8.09822482587769,0.1265347629043389,2.752206268926324,0.0430032229519738,2.0799711748419765,10,64,0.9714754807460092,64,11,20,42,60,0.171875,0.3125,0.65625,0.9375,2500.0,64.0,10000.0,4.833561224334677,2.664626704589263,0.0416347922592072,3.5180250567055635,0.0549691415110244,2.014230414040946,0.0314723502193897,3.040924013933471,10.0,64.0,0.9873683652021962,64.0,3.0,4.0,9.0,28.0,0.046875,0.0625,0.140625,0.4375,156.25,0,10.0
layer1.1.conv2,conv,7,64,1,False,64.0,0,32.0,32.0,160000,17.623479352432376,6.0116056988793165,0.0939313390449893,12.349984599924472,0.1929685093738198,3.2849585030262456,0.051327476609785,1.6686753385771007,10,64,0.9850506307470656,64,17,29,52,63,0.265625,0.453125,0.8125,0.984375,2500.0,64.0,10000.0,3.862801101503373,2.7582878289037884,0.0430982473266216,3.6642083392544498,0.0572532553008507,2.0156835353194347,0.0314950552393661,4.013997985354334,10.0,64.0,0.9548741213792344,64.0,3.0,4.0,9.0,25.0,0.046875,0.0625,0.140625,0.390625,156.25,0,10.0
layer1.1.conv3,conv,8,256,1,False,64.0,0,32.0,32.0,160000,14.08066253920644,5.625989935715478,0.0219765231863885,11.516024341735545,0.0449844700849044,2.930523713274124,0.011447358254977,10.768001877850995,10,256,0.8412578969202664,159,16,26,42,53,0.0625,0.1015625,0.1640625,0.20703125,625.0,256.0,10000.0,3.163854008640129,2.5998279975991023,0.0101555781156214,3.590275450214416,0.0140245134774,1.8319646761693105,0.0071561120162863,8.864109674997723,10.0,256.0,0.89465967575414,161.0,3.0,4.0,10.0,28.0,0.01171875,0.015625,0.0390625,0.109375,39.0625,0,10.0
layer1.1,block,9,256,1,False,,0,32.0,32.0,160000,15.238852230229694,4.805604099166931,0.0187718910123708,12.319434361025014,0.0481227904727539,2.600545676808358,0.0101583815500326,2.121785327659801,10,256,0.789055556186818,256,22,45,130,219,0.0859375,0.17578125,0.5078125,0.85546875,625.0,256.0,10000.0,3.7233677600967,2.448460390188819,0.009564298399175,3.49604015697375,0.0136564068631787,1.7387012114007645,0.0067918016070342,2.799077006736474,10.0,256.0,0.8655049903867972,256.0,3.0,4.0,11.0,51.0,0.01171875,0.015625,0.04296875,0.19921875,39.0625,0,10.0
