layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0.0,conv,0,32,1,False,27.0,0,32.0,32.0,160000,17.364276122601666,3.4258136690260983,0.10705667715706557,4.696724902849922,0.14677265321406005,2.0830633543666432,0.0650957298239576,25.90597136956199,10,32,0.9510845824909798,25,5,5,8,12,0.15625,0.15625,0.25,0.375,5000.0,32.0,10000.0,4.456479445014823,2.538545208715112,0.07932953777234725,2.7671999626693986,0.0864749988334187,1.9467426513372452,0.06083570785428891,22.682158876067806,10.0,32.0,0.9540522278440364,21.0,3.0,3.0,3.0,4.0,0.09375,0.09375,0.09375,0.125,312.5,70,83.39
features.1.conv.0.0,conv,1,32,32,True,32.0,0,32.0,32.0,160000,0.4439269801004031,7.417199514968931,0.23178748484277908,9.27928380203074,0.2899776188134606,4.715684892978246,0.14736515290557017,59.04579310667682,10,32,0.7231676620685914,19,8,10,13,16,0.25,0.3125,0.40625,0.5,5000.0,32.0,10000.0,0.06116153346069622,2.689112785620183,0.08403477455063071,3.321554383043797,0.10379857447011866,2.0056433322799285,0.06267635413374777,56.753305136552704,10.0,32.0,0.7394353063266763,19.0,3.0,4.0,6.0,10.0,0.09375,0.125,0.1875,0.3125,312.5,70,83.39
features.1.conv.1,conv,2,16,1,False,16.0,0,32.0,32.0,160000,0.9456449880233805,5.187198091490331,0.3241998807181457,6.297971170051659,0.3936231981282287,3.146182747884509,0.19663642174278181,,10,16,,16,6,7,9,10,0.375,0.4375,0.5625,0.625,10000.0,16.0,10000.0,0.13412997457108658,2.7583424084623016,0.17239640052889385,3.2613453215657264,0.2038340825978579,2.082420439926409,0.13015127749540056,,10.0,16.0,,16.0,3.0,3.0,6.0,8.0,0.1875,0.1875,0.375,0.5,625.0,70,83.39
features.1,block,3,16,1,False,,0,32.0,32.0,160000,1.8506312034703063,5.421595311494139,0.3388497069683837,6.585892431575462,0.41161827697346637,3.247333219053547,0.2029583261908467,,10,16,,16,6,7,9,10,0.375,0.4375,0.5625,0.625,10000.0,16.0,10000.0,0.24915756207300732,2.847369000743912,0.1779605625464945,3.416917973068517,0.21355737331678232,2.0793753138488347,0.12996095711555217,,10.0,16.0,,16.0,3.0,4.0,6.0,9.0,0.1875,0.25,0.375,0.5625,625.0,70,83.39
features.2.conv.0.0,conv,4,96,1,False,16.0,0,32.0,32.0,160000,4.3082696204565645,4.537617855109389,0.04726685265738947,5.454384878010579,0.05681650914594353,2.8429173178468576,0.029613722060904766,7.5241028201479745,10,96,0.8012120167919762,51,5,6,7,9,0.052083333333333336,0.0625,0.07291666666666667,0.09375,1666.6666666666667,96.0,10000.0,0.5402417648208644,2.7562077638966134,0.028710497540589724,3.2001113164463764,0.033334492879649756,2.119525110277245,0.022078386565387968,6.333837766540326,10.0,96.0,0.7519747039775414,53.0,3.0,3.0,5.0,8.0,0.03125,0.03125,0.052083333333333336,0.08333333333333333,104.16666666666667,70,83.39
features.2.conv.1.0,conv,5,96,96,True,96.0,0,32.0,32.0,160000,0.4562165093528149,11.125691762837038,0.11589262252955247,18.513652869949617,0.19285055072864185,4.931439035829131,0.051369156623220114,10.801129551997397,10,96,0.24813028598543907,82,18,26,47,70,0.1875,0.2708333333333333,0.4895833333333333,0.7291666666666666,1666.6666666666667,96.0,10000.0,0.02495826777240652,3.4839579314018767,0.036291228452102885,5.0274346610226655,0.05236911105231943,2.2510973160415593,0.02344893037543291,9.62353189094016,10.0,96.0,0.3492841485455075,82.0,5.0,7.0,14.0,31.0,0.052083333333333336,0.07291666666666667,0.14583333333333334,0.3229166666666667,104.16666666666667,70,83.39
features.2.conv.2,conv,6,24,1,False,24.0,0,32.0,32.0,160000,1.6620638231608384,4.289334914064895,0.1787222880860373,7.406887872589568,0.30862032802456535,2.2664752741462775,0.09443646975609489,6.180492914586217,10,24,0.929598730486913,24,8,11,16,20,0.3333333333333333,0.4583333333333333,0.6666666666666666,0.8333333333333334,6666.666666666667,24.0,10000.0,0.0782906909443512,3.799473658394341,0.15831140243309755,5.286034993939449,0.22025145808081037,2.382060634355258,0.09925252643146909,6.303383381288579,10.0,24.0,0.9266367932983869,24.0,5.0,7.0,11.0,17.0,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.7083333333333334,416.6666666666667,70,83.39
features.2,block,7,24,1,False,,0,32.0,32.0,160000,3.0541236857736322,4.855338050364801,0.20230575209853338,7.938322114735791,0.3307634214473246,2.480069752898809,0.10333623970411704,8.857829045725094,10,24,0.6642792791397398,24,8,11,15,20,0.3333333333333333,0.4583333333333333,0.625,0.8333333333333334,6666.666666666667,24.0,10000.0,0.13823325701352615,4.014599653877687,0.16727498557823695,5.5538893100780395,0.23141205458658498,2.467267715701972,0.10280282148758217,8.996957575722178,10.0,24.0,0.6753218548892892,24.0,5.0,7.0,11.0,17.0,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.7083333333333334,416.6666666666667,70,83.39
features.3.conv.0.0,conv,8,144,1,False,24.0,0,32.0,32.0,160000,4.814718468779911,2.497662524205858,0.01734487864031846,4.092491037866688,0.028420076651852002,1.647464150358934,0.011440723266381486,11.966744806021373,10,144,0.9022050474564186,69,5,7,10,14,0.034722222222222224,0.04861111111111111,0.06944444444444445,0.09722222222222222,1111.111111111111,144.0,10000.0,0.1200429044215955,3.6181839288782762,0.025126277283876917,4.682824498906097,0.03251961457573679,2.4593606561613788,0.01707889344556513,11.493197413626907,10.0,144.0,0.9031894797781311,69.0,4.0,6.0,9.0,13.0,0.027777777777777776,0.041666666666666664,0.0625,0.09027777777777778,69.44444444444444,70,83.39
features.3.conv.1.0,conv,9,144,144,True,144.0,0,32.0,32.0,160000,0.2455027041803817,12.445792220852649,0.08642911264481007,20.425265064760158,0.14184211850527886,6.786899967241399,0.047131249772509716,12.497212372294973,10,144,0.31875082695989865,116,20,31,58,88,0.1388888888888889,0.2152777777777778,0.4027777777777778,0.6111111111111112,1111.111111111111,144.0,10000.0,0.0015176112027180631,4.746475346505516,0.03296163435073275,6.6975633614870596,0.04651085667699347,3.0324997225299994,0.021059025850902774,12.208965511157436,10.0,144.0,0.3500126464191673,115.0,6.0,8.0,21.0,47.0,0.041666666666666664,0.05555555555555555,0.14583333333333334,0.3263888888888889,69.44444444444444,70,83.39
