layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,24.533984061854195,2.33422971878008,0.03647233935593875,3.941073300364979,0.061579270318202796,1.5722345024601754,0.02456616410094024,15.058100061908704,10,64,0.9012618258914677,47,5,7,10,16,0.078125,0.109375,0.15625,0.25,2500.0,64.0,10000.0,5.99491876010572,1.5244181656694191,0.023819033838584674,1.9006729134306732,0.02969801427235427,1.2588985050473227,0.019670289141364417,8.943296962599083,10.0,64.0,0.9530891974291061,44.0,2.0,3.0,3.0,5.0,0.03125,0.046875,0.046875,0.078125,156.25,7,80.0
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,41.56179228089739,8.456957931343677,0.13213996767724495,14.582984859410358,0.22785913842828684,3.815077671162394,0.05961058861191241,2.6422370542730165,10,64,0.991760279140007,64,15,22,41,60,0.234375,0.34375,0.640625,0.9375,2500.0,64.0,10000.0,6.592176486940541,3.331913901586569,0.05206115471229014,4.398638143115944,0.06872872098618663,2.1814134708294737,0.034084585481710526,4.291763107724694,10.0,64.0,0.9880343745761688,64.0,4.0,5.0,9.0,20.0,0.0625,0.078125,0.140625,0.3125,156.25,7,80.0
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,31.968981762204947,10.390715933547293,0.16235493646167645,18.009570048246708,0.2813995320038548,4.835743987915971,0.07555849981118705,1.9535027361602106,10,64,0.9971549974283782,64,19,30,52,63,0.296875,0.46875,0.8125,0.984375,2500.0,64.0,10000.0,3.8062284916423326,3.2564879302726584,0.05088262391051029,4.588818256521451,0.07170028525814767,2.1052779862907514,0.03289496853579299,3.9088623929089006,10.0,64.0,0.9721586129532575,64.0,4.0,5.0,13.0,31.0,0.0625,0.078125,0.203125,0.484375,156.25,7,80.0
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,25.696410100904792,13.44965454705801,0.2101508522977814,23.46834175187376,0.3666928398730275,5.611285191165348,0.08767633111195856,1.6984681189389204,10,64,0.9960269109660006,64,27,39,57,64,0.421875,0.609375,0.890625,1.0,2500.0,64.0,10000.0,2.992399435435471,3.6905797016147996,0.057665307837731244,5.602100087997074,0.08753281387495428,2.2864718440827905,0.0357261225637936,2.745819896557311,10.0,64.0,0.9946151188780562,64.0,5.0,8.0,21.0,48.0,0.078125,0.125,0.328125,0.75,156.25,7,80.0
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,80.02341203722276,10.341742419185607,0.1615897252997751,18.35483998267108,0.28679437472923563,4.456318674697288,0.06962997929214512,2.036075994736742,10,64,0.9973202593277901,64,20,30,52,63,0.3125,0.46875,0.8125,0.984375,2500.0,64.0,10000.0,6.69030297746896,3.3991021575727207,0.05311097121207376,4.827671938418319,0.07543237403778623,2.1577365756744706,0.033714633994913604,3.7260681509826155,10.0,64.0,0.9698955488204782,64.0,4.0,6.0,15.0,34.0,0.0625,0.09375,0.234375,0.53125,156.25,7,80.0
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,31.394789382133247,13.130383757077034,0.20516224620432866,22.409900741576035,0.35015469908712554,5.688480908936799,0.08888251420213748,1.7559353959339727,10,64,0.996012371392879,64,24,37,56,63,0.375,0.578125,0.875,0.984375,2500.0,64.0,10000.0,2.2951807602777476,3.4798265438367353,0.05437228974744899,5.139480300837912,0.08030437970059237,2.243363078353865,0.03505254809927914,3.7027805611399485,10.0,64.0,0.9596845606555612,64.0,5.0,7.0,16.0,37.0,0.078125,0.109375,0.25,0.578125,156.25,7,80.0
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,49.24560498308008,15.328442948808961,0.23950692107514002,26.263545678649454,0.4103679012288977,6.768120720431695,0.10575188625674524,1.5557226700699154,10,64,0.9973328910061176,64,30,42,58,64,0.46875,0.65625,0.90625,1.0,2500.0,64.0,10000.0,3.5461190866972068,4.648473046663739,0.07263239135412092,7.057242944809524,0.11026942101264882,2.791801425706903,0.04362189727667036,2.6713250869298735,10.0,64.0,0.9953567461020765,64.0,6.0,11.0,25.0,52.0,0.09375,0.171875,0.390625,0.8125,156.25,7,80.0
layer1.2.conv1,conv,7,64,1,False,64.0,0,32.0,32.0,160000,125.92999837977473,14.419771622196446,0.22530893159681947,23.19937444600575,0.3624902257188398,6.995301070585555,0.10930157922789929,1.9082670368840917,10,64,0.9967023852542822,64,24,35,55,63,0.375,0.546875,0.859375,0.984375,2500.0,64.0,10000.0,6.3052050339162635,4.420754360669358,0.06907428688545872,6.430822950993111,0.10048160860926736,2.6472719133421347,0.041363623645970855,3.7014957145693543,10.0,64.0,0.9739191853253645,64.0,5.0,8.0,19.0,39.0,0.078125,0.125,0.296875,0.609375,156.25,7,80.0
layer1.2.conv2,conv,8,64,1,False,64.0,0,32.0,32.0,160000,28.030047907720302,16.7530418995373,0.26176627968027033,27.206233127690794,0.42509739262016866,7.72487004579739,0.12070109446558422,1.5988321398854135,10,64,0.9978098892481071,64,30,42,58,64,0.46875,0.65625,0.90625,1.0,2500.0,64.0,10000.0,1.4921471004098579,4.440816366551812,0.06938775572737206,6.397772367158786,0.09996519323685603,2.73196034400061,0.042686880375009534,3.5153003209243012,10.0,64.0,0.9645460931977519,64.0,5.0,8.0,19.0,41.0,0.078125,0.125,0.296875,0.640625,156.25,7,80.0
layer1.2,block,9,64,1,False,,0,32.0,32.0,160000,82.76100592881043,15.878022094089221,0.24809409522014408,27.0924618077063,0.42331971574541094,6.945019439353478,0.1085159287398981,1.4675725681529455,10,64,0.9986407579485124,64,31,44,59,64,0.484375,0.6875,0.921875,1.0,2500.0,64.0,10000.0,5.194179565792881,4.7017438324745875,0.07346474738241543,7.147637563757513,0.11168183693371114,2.788620619274934,0.04357219717617084,2.599674681096473,10.0,64.0,0.9953482286958595,64.0,6.0,10.0,25.0,53.0,0.09375,0.15625,0.390625,0.828125,156.25,7,80.0
