layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,22.130665390246108,1.9038562495874896,0.029747753899804524,3.1565040620444798,0.049320375969444996,1.4008663004474804,0.02188853594449188,15.005623866170934,10,64,0.8849783022044149,47,4,6,10,16,0.0625,0.09375,0.15625,0.25,2500.0,64.0,10000.0,5.686763359141688,1.376469071650269,0.021507329244535453,1.7068132282319766,0.026668956691124634,1.1851293747330582,0.018517646480204035,8.505150932829801,10.0,64.0,0.9499904331595982,45.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,3,65.63
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,63.610591572500695,4.088149045205587,0.0638773288313373,9.19594316728951,0.1436866119888986,2.1462975630170464,0.03353589942214135,2.283870851360979,10,64,0.9870268099448355,64,13,20,42,60,0.203125,0.3125,0.65625,0.9375,2500.0,64.0,10000.0,12.66752765389499,1.9485258607448335,0.030445716574138023,2.902162316997613,0.045346286203087706,1.4364067528485254,0.02244385551325821,4.1390358981062665,10.0,64.0,0.9858056729918742,64.0,3.0,4.0,8.0,17.0,0.046875,0.0625,0.125,0.265625,156.25,3,65.63
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,49.36126136030545,7.4782601430598685,0.11684781473531045,15.538733909415315,0.2427927173346143,3.2646970213476965,0.05101089095855776,1.8332039101294921,10,64,0.9907632628243812,64,20,31,52,63,0.3125,0.484375,0.8125,0.984375,2500.0,64.0,10000.0,7.890367221761114,2.61330743450541,0.040832928664147033,3.8647546537049773,0.06038679146414027,1.7715569019006319,0.027680576592197373,4.002394786585517,10.0,64.0,0.9740612101015375,64.0,3.0,5.0,13.0,29.0,0.046875,0.078125,0.203125,0.453125,156.25,3,65.63
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,33.624489977423664,10.191483416960908,0.1592419283900142,20.34934321853134,0.3179584877895522,4.076856352407271,0.0637008805063636,1.5677236484783144,10,64,0.9897537900759688,64,26,39,56,64,0.40625,0.609375,0.875,1.0,2500.0,64.0,10000.0,4.735882100818868,2.8686871762476844,0.04482323712887007,4.80741697355025,0.07511589021172266,1.838273680959562,0.028723026264993155,2.838385829619447,10.0,64.0,0.9967326356253292,64.0,5.0,8.0,20.0,46.0,0.078125,0.125,0.3125,0.71875,156.25,3,65.63
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,97.59143365495336,9.2611205540062,0.14470500865634686,18.352942772364443,0.2867647308181944,3.828331060294455,0.05981767281710086,1.7791674687821468,10,64,0.9933885759510758,64,22,34,54,63,0.34375,0.53125,0.84375,0.984375,2500.0,64.0,10000.0,13.08831873836171,2.7236295149116305,0.04255671117049423,4.174777121978043,0.06523089253090693,1.798539180588396,0.028102174696693686,3.821427518905084,10.0,64.0,0.9713686433685512,64.0,4.0,6.0,14.0,33.0,0.0625,0.09375,0.21875,0.515625,156.25,3,65.63
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,47.203286894500394,10.35438668706088,0.16178729198532624,21.040693804893888,0.328760840701467,4.004088349309594,0.0625638804579624,1.5631816488495798,10,64,0.9934216429374709,64,27,39,57,64,0.421875,0.609375,0.890625,1.0,2500.0,64.0,10000.0,6.040952310710036,2.640662299097399,0.04126034842339686,4.20144802712411,0.06564762542381422,1.7534119364626122,0.027397061507228315,3.8008590698125215,10.0,64.0,0.9598260758212735,64.0,4.0,7.0,15.0,35.0,0.0625,0.109375,0.234375,0.546875,156.25,3,65.63
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,60.44288691388489,12.415722837110318,0.1939956693298487,23.897227922934633,0.37339418629585364,4.918079153858419,0.0768449867790378,1.3988072959261733,10,64,0.9962161004390283,64,31,43,59,64,0.484375,0.671875,0.921875,1.0,2500.0,64.0,10000.0,7.109547881700009,3.1938899131135567,0.049904529892399324,5.454911097881223,0.08523298590439411,1.9635303228506005,0.030680161294540632,2.6726923745687357,10.0,64.0,0.9970374748514349,64.0,6.0,9.0,22.0,50.0,0.09375,0.140625,0.34375,0.78125,156.25,3,65.63
layer1.2.conv1,conv,7,64,1,False,64.0,0,32.0,32.0,160000,162.09275868316354,8.315465622400588,0.12992915035000918,18.22902237452112,0.2848284746018925,3.3747724289141012,0.05273081920178283,1.609376141815117,10,64,0.9923348615298472,64,25,37,56,63,0.390625,0.578125,0.875,0.984375,2500.0,64.0,10000.0,21.34597876876822,2.3762288119366586,0.03712857518651029,3.845957068120242,0.060093079189378784,1.6202791469758993,0.025316861671498426,3.797317402115285,10.0,64.0,0.9642382977816301,64.0,4.0,6.0,14.0,34.0,0.0625,0.09375,0.21875,0.53125,156.25,3,65.63
layer1.2.conv2,conv,8,64,1,False,64.0,0,32.0,32.0,160000,49.17252699534562,6.713897260007705,0.1049046446876204,17.052369570095447,0.26644327453274136,2.8300791620170584,0.04421998690651654,1.4379994450774882,10,64,0.9910136837044681,64,27,40,57,64,0.421875,0.625,0.890625,1.0,2500.0,64.0,10000.0,8.245457642265576,1.7311970872631517,0.027049954488486745,2.802477760432075,0.043788715006751175,1.3342195728849446,0.02084718082632726,3.6450233290740686,10.0,64.0,0.9496627960822036,64.0,3.0,5.0,13.0,32.0,0.046875,0.078125,0.203125,0.5,156.25,3,65.63
layer1.2,block,9,64,1,False,,0,32.0,32.0,160000,90.02252511829928,11.904027112645771,0.18600042363509017,23.87041009866878,0.3729751577916997,4.544628211932186,0.0710098158114404,1.3693159155158021,10,64,0.9957778413005173,64,31,44,59,64,0.484375,0.6875,0.921875,1.0,2500.0,64.0,10000.0,11.163140064569012,2.5443145169231483,0.03975491432692419,4.634430005232696,0.07241296883176088,1.659647965749222,0.025931999464831594,2.6086229057614805,10.0,64.0,0.9952406611028721,64.0,6.0,8.0,22.0,50.0,0.09375,0.125,0.34375,0.78125,156.25,3,65.63
