layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,23.620314290012868,1.4523316611300947,0.02269268220515773,2.12444464301858,0.033194447547165315,1.2118432648035535,0.018935051012555524,13.748894321182833,10,64,0.9136291532466471,47,3,4,7,12,0.046875,0.0625,0.109375,0.1875,2500.0,64.0,10000.0,6.523881385081112,1.1523561244694764,0.01800556444483557,1.3406243827355822,0.02094725598024347,1.0755827351501779,0.01680598023672153,8.133087048176153,10.0,64.0,0.9584825400079513,45.0,1.0,2.0,3.0,3.0,0.015625,0.03125,0.046875,0.046875,156.25,1,57.79
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,57.12684137306514,4.46871448924685,0.06982366389448204,9.853919799729667,0.15396749687077604,2.2688222500169415,0.03545034765651471,2.4261732400216474,10,64,0.9866537322832009,64,13,20,41,60,0.203125,0.3125,0.640625,0.9375,2500.0,64.0,10000.0,11.451265246504367,1.814283635185038,0.02834818179976622,2.71712056464757,0.04245500882261828,1.3753818733843464,0.021490341771630412,4.315582239157251,10.0,64.0,0.9850966045834757,64.0,3.0,4.0,8.0,17.0,0.046875,0.0625,0.125,0.265625,156.25,1,57.79
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,82.91656782472984,8.286102568197608,0.06473517631404381,20.119671349868984,0.15718493242085144,3.3686316039015125,0.026317434405480566,1.847682685640202,10,128,0.9918419321805985,128,28,48,94,123,0.21875,0.375,0.734375,0.9609375,1250.0,128.0,10000.0,15.436434569308537,2.586229645295464,0.020204919103870813,4.229484340278673,0.03304284640842713,1.6965540990259198,0.013254328898639998,3.655307593816466,10.0,128.0,0.9632091043390429,128.0,4.0,6.0,14.0,42.0,0.03125,0.046875,0.109375,0.328125,78.125,1,57.79
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,94.70892950625873,12.930456312441258,0.10101918994094733,32.787192068201435,0.2561499380328237,4.402275966410866,0.034392780987584894,1.424378825137999,10,128,0.9949139501110087,128,50,75,113,127,0.390625,0.5859375,0.8828125,0.9921875,1250.0,128.0,10000.0,16.68566282224148,3.4135407961255164,0.026668287469730597,5.778420723961368,0.045143911905948186,2.039100996432109,0.015930476534625853,2.9754351440067337,10.0,128.0,0.9674633378549687,128.0,6.0,8.0,23.0,68.0,0.046875,0.0625,0.1796875,0.53125,78.125,1,57.79
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,175.31309554604186,19.131625199551994,0.07473291093574998,45.18054952251032,0.17648652157230593,7.602120437561593,0.029695782959224974,1.4390361535733411,10,256,0.9921020302104209,256,72,125,212,250,0.28125,0.48828125,0.828125,0.9765625,625.0,256.0,10000.0,31.80906952254441,4.766641244862724,0.018619692362745015,7.909433993348002,0.030896226536515633,2.818753701491131,0.01101075664644973,2.640592937447149,10.0,256.0,0.9569421302208114,256.0,7.0,12.0,46.0,133.0,0.02734375,0.046875,0.1796875,0.51953125,39.0625,1,57.79
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,204.12240930537553,27.636683561175726,0.10795579516084268,65.14509330264116,0.254473020713442,9.113525525018026,0.035599709082101666,1.239044514574451,10,256,0.9957282841876856,256,107,161,230,253,0.41796875,0.62890625,0.8984375,0.98828125,625.0,256.0,10000.0,34.61235802585418,5.396132586920093,0.021078642917656612,9.810705321741445,0.03832306766305252,2.9086076342187153,0.011361748571166857,2.2331605062252677,10.0,256.0,0.9680674501912585,256.0,9.0,18.0,74.0,180.0,0.03515625,0.0703125,0.2890625,0.703125,39.0625,1,57.79
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,199.69767259552998,35.41316900889031,0.13833269144097776,81.37824624807607,0.31788377440654714,11.714431977692376,0.045759499912860845,1.1404700893801842,10,256,0.9945710918622956,256,128,177,236,254,0.5,0.69140625,0.921875,0.9921875,625.0,256.0,10000.0,30.30252674715062,5.877975580565105,0.02296084211158244,11.506389662483391,0.04494683461907575,3.0270095303530646,0.011824255977941659,2.2123447090705293,10.0,256.0,0.9596661497300619,256.0,12.0,26.0,92.0,192.0,0.046875,0.1015625,0.359375,0.75,39.0625,1,57.79
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,416.17054193795883,13.273150717942348,0.02592412249598115,44.98278307637816,0.0878569981960511,6.105271372886445,0.011924358150168839,1.2095151173573468,10,512,0.9873655249686617,512,128,243,423,500,0.25,0.474609375,0.826171875,0.9765625,312.5,512.0,10000.0,62.45904816715541,5.845441478735903,0.01141687788815606,13.513868335798168,0.026394274093355798,3.003154111961671,0.0058655353749251385,1.9359819320393554,10.0,512.0,0.9467202375455914,512.0,18.0,55.0,200.0,402.0,0.03515625,0.107421875,0.390625,0.78515625,19.53125,1,57.79
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,421.57295429805913,18.110598508839814,0.03537226271257776,57.822330041426326,0.1129342383621608,7.559126233090571,0.014763918424005021,1.1156090879662,10,512,0.9927503533969914,512,158,279,445,504,0.30859375,0.544921875,0.869140625,0.984375,312.5,512.0,10000.0,56.91549197732768,5.469728574052927,0.010683063621197123,13.719649290010622,0.026796190019551996,2.7985285120146988,0.0054658760000287085,1.6938184004262988,10.0,512.0,0.9605272320222037,512.0,22.0,68.0,244.0,440.0,0.04296875,0.1328125,0.4765625,0.859375,19.53125,1,57.79
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,413.4257480932296,21.089872218004118,0.04119115667578929,63.69149087333023,0.12439744311197311,8.322478297108855,0.016254840424040733,1.12547976865743,10,512,0.9914169830623667,512,162,283,447,505,0.31640625,0.552734375,0.873046875,0.986328125,312.5,512.0,10000.0,49.65152647773484,5.120163249808928,0.010000318847283063,13.304661385961875,0.025985666769456787,2.606108717062949,0.005090056088013572,1.66295501850338,10.0,512.0,0.9568548058975219,512.0,22.0,71.0,250.0,443.0,0.04296875,0.138671875,0.48828125,0.865234375,19.53125,1,57.79
