layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,5.657107862321784,1.677757440245259,0.026214960003832173,2.7018372125306724,0.04221620644579176,1.3076305742863636,0.020431727723224432,15.094841747457926,10,64,0.8756193549283222,45,4,5,9,17,0.0625,0.078125,0.140625,0.265625,2500.0,64.0,10000.0,1.5493261616961707,1.349642633828914,0.02108816615357678,1.638845048655127,0.025606953885236358,1.174355291046847,0.018349301422606986,8.639828544182961,10.0,64.0,0.9447180198549507,44.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,11.94
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,4.21650440332532,2.7138941132740286,0.0424045955199067,6.199881145986133,0.09687314290603333,1.6934439414830584,0.026460061585672788,2.0097183492901207,10,64,0.9874887677252683,64,10,18,42,60,0.15625,0.28125,0.65625,0.9375,2500.0,64.0,10000.0,1.0579502774720326,1.8230566269902553,0.02848525979672274,2.573887372088151,0.04021699018887736,1.3878782001091436,0.02168559687670537,3.886352606850517,10.0,64.0,0.9841276561039366,64.0,3.0,3.0,6.0,15.0,0.046875,0.046875,0.09375,0.234375,156.25,0,11.94
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,3.1581153793961834,7.217943226861401,0.056390181459854694,17.851750509219414,0.13946680085327667,3.19658543422695,0.02497332370489805,1.6411848307644983,10,128,0.9880327902956819,128,28,51,98,124,0.21875,0.3984375,0.765625,0.96875,1250.0,128.0,10000.0,0.6708713265901209,2.7261844040094836,0.02129831565632409,3.7857777832113215,0.02957638893133845,1.9054801422003231,0.014886563610940024,3.51636734900183,10.0,128.0,0.9580235072768108,128.0,3.0,5.0,12.0,42.0,0.0234375,0.0390625,0.09375,0.328125,78.125,0,11.94
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,2.5140851434495595,10.76859853677807,0.08412967606857867,27.374144610465052,0.21386050476925822,4.274765510785575,0.033396605553012305,1.3716300689573908,10,128,0.9909808653399462,128,46,72,111,126,0.359375,0.5625,0.8671875,0.984375,1250.0,128.0,10000.0,0.4652032297454508,2.915595524649709,0.022778090036325853,4.2169205431391354,0.032944691743274496,2.0329054836731517,0.015882074091196498,2.9347115280770195,10.0,128.0,0.9683658773572583,128.0,3.0,6.0,18.0,58.0,0.0234375,0.046875,0.140625,0.453125,78.125,0,11.94
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,2.670048867907537,11.665632037596968,0.045568875146863155,33.588335208348745,0.13120443440761229,4.931732280387009,0.019264579220261754,1.3120631437965016,10,256,0.9826851153729576,256,73,127,212,250,0.28515625,0.49609375,0.828125,0.9765625,625.0,256.0,10000.0,0.4947572079973553,2.9513536326863448,0.011528725127681034,4.676844254586355,0.018268922869477948,2.111064666479052,0.008246346353433798,2.5686911300951594,10.0,256.0,0.953551882749602,256.0,4.0,8.0,40.0,124.0,0.015625,0.03125,0.15625,0.484375,39.0625,0,11.94
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,2.3893420272009127,10.707585282420204,0.041826505009453924,35.40462550821262,0.13829931839145554,4.060215251549964,0.015860215826367048,1.190001427349387,10,256,0.9887548387645804,256,88,143,222,252,0.34375,0.55859375,0.8671875,0.984375,625.0,256.0,10000.0,0.345946106340574,2.8374471696053183,0.011083778006270775,4.877621954345424,0.01905321075916181,1.938218688269362,0.007571166751052195,2.2578668781836373,10.0,256.0,0.9660375610048693,256.0,5.0,10.0,51.0,155.0,0.01953125,0.0390625,0.19921875,0.60546875,39.0625,0,11.94
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,1.9323285894904716,10.191987504147402,0.03981245118807579,35.24968039588202,0.13769406404641413,4.051937543459748,0.01582788102913964,1.1414431876198392,10,256,0.9846138805485392,256,95,149,224,252,0.37109375,0.58203125,0.875,0.984375,625.0,256.0,10000.0,0.22408528141812448,2.7966604076839388,0.010924454717515386,5.097394623199918,0.01991169774687468,1.8734499926468573,0.007318164033776786,2.268917812905439,10.0,256.0,0.9624501940290575,256.0,5.0,12.0,59.0,161.0,0.01953125,0.046875,0.23046875,0.62890625,39.0625,0,11.94
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,2.2983612963883786,7.097846948276079,0.013862982320851716,21.51185428454515,0.04201534039950225,4.2634852393598335,0.008327119608124675,1.1311141119958699,10,512,0.9707380475937619,512,78,193,394,495,0.15234375,0.376953125,0.76953125,0.966796875,312.5,512.0,10000.0,0.22072502518789047,2.8986946377629605,0.005661512964380782,7.446347725543972,0.01454364790145307,1.8143589085867013,0.003543669743333401,1.8915823840326806,10.0,512.0,0.9416522189363082,512.0,14.0,49.0,189.0,397.0,0.02734375,0.095703125,0.369140625,0.775390625,19.53125,0,11.94
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,2.0916059359923347,7.147093834509358,0.01395916764552609,20.52034209626187,0.040078793156761466,4.302612551877684,0.008403540140386101,1.0553710349897278,10,512,0.983283863475125,512,68,189,403,498,0.1328125,0.369140625,0.787109375,0.97265625,312.5,512.0,10000.0,0.15099220668384833,2.6390325579909395,0.005154360464826054,7.420564733535424,0.014493290495186375,1.6832118555505884,0.003287523155372243,1.7228107160494008,10.0,512.0,0.9555742727601568,512.0,16.0,57.0,220.0,428.0,0.03125,0.111328125,0.4296875,0.8359375,19.53125,0,11.94
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,1.666182461205649,7.614798406148119,0.014872653137008045,21.233213071157607,0.0414711192796047,4.495678113855172,0.008780621316123383,1.0495526863389566,10,512,0.9782612277059272,512,64,185,402,498,0.125,0.361328125,0.78515625,0.97265625,312.5,512.0,10000.0,0.10280809925197079,2.348100613132622,0.0045861340100246525,6.872673498590682,0.013423190426934926,1.562237412796347,0.003051244946867865,1.7244188466145816,10.0,512.0,0.9508248103307975,512.0,18.0,62.0,225.0,429.0,0.03515625,0.12109375,0.439453125,0.837890625,19.53125,0,11.94
