layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,20.23480403004883,4.118430651847764,0.06435047893512132,6.003676134821558,0.09380743960658684,2.375157788907202,0.03711184045167503,16.100848004996788,10,64,0.9553611188563694,44,6,8,12,15,0.09375,0.125,0.1875,0.234375,2500.0,64.0,10000.0,4.29588586394146,2.0254209263393035,0.03164720197405162,2.401215263622847,0.03751898849410699,1.5472939690549208,0.024176468266483137,10.296560419634623,10.0,64.0,0.967454064024881,42.0,2.0,3.0,3.0,6.0,0.03125,0.046875,0.046875,0.09375,156.25,60,84.43
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,18.265146605134923,12.130921750059194,0.1895456523446749,18.080935994465385,0.28251462491352164,5.762643693971063,0.09004130771829785,3.550055643929606,10,64,0.9634016407974643,64,17,22,36,55,0.265625,0.34375,0.5625,0.859375,2500.0,64.0,10000.0,1.304902959473694,2.998494243630878,0.04685147255673247,4.096462905842449,0.06400723290378826,1.9480246602664435,0.03043788531666318,4.820253951087282,10.0,64.0,0.9630875946136208,64.0,4.0,4.0,9.0,21.0,0.0625,0.0625,0.140625,0.328125,156.25,60,84.43
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,28.538090035844025,17.88430738630382,0.1397211514554986,32.62083136425671,0.25485024503325554,6.101144255011032,0.04766518949227369,2.4228133555703613,10,128,0.9593099308300894,128,34,49,85,118,0.265625,0.3828125,0.6640625,0.921875,1250.0,128.0,10000.0,3.237343176703679,5.190965047300653,0.04055441443203635,7.663981097224024,0.05987485232206269,3.023615924021813,0.023621999406420412,3.853861232658114,10.0,128.0,0.9668013649857385,128.0,7.0,9.0,18.0,48.0,0.0546875,0.0703125,0.140625,0.375,78.125,60,84.43
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,17.360684624383467,26.284913364681703,0.2053508856615758,42.146436043494155,0.3292690315897981,11.06399946756212,0.08643749584032906,2.0826083492021232,10,128,0.9799598734116008,128,41,59,100,124,0.3203125,0.4609375,0.78125,0.96875,1250.0,128.0,10000.0,1.34560979656198,6.941289127665324,0.05422882130988534,10.181412720999901,0.07954228688281173,3.940668450030017,0.030786472265859507,3.1452273688430457,10.0,128.0,0.9759464263241227,128.0,8.0,12.0,31.0,74.0,0.0625,0.09375,0.2421875,0.578125,78.125,60,84.43
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,29.210858618313807,31.581061321530516,0.12336352078722858,64.92674809581236,0.253620109749267,8.70329696061337,0.03399725375239598,1.8674227668624237,10,256,0.9700419738143032,256,75,112,194,246,0.29296875,0.4375,0.7578125,0.9609375,625.0,256.0,10000.0,3.194155958773112,7.9470513254780535,0.031043169240148646,13.744630874488672,0.05368996435347138,4.271859531228797,0.01668695129386249,2.85135757482722,10.0,256.0,0.958284879726187,256.0,13.0,23.0,67.0,153.0,0.05078125,0.08984375,0.26171875,0.59765625,39.0625,60,84.43
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,13.918616230174951,32.73954502421566,0.12788884775084242,68.62679523483936,0.26807341888609126,9.001884743279053,0.0351636122784338,1.7267554698652448,10,256,0.9793356084633951,256,81,122,206,249,0.31640625,0.4765625,0.8046875,0.97265625,625.0,256.0,10000.0,1.4951308079612051,7.214711258161389,0.028182465852192924,14.270278507873797,0.05574327542138202,3.287854677139777,0.012843182332577254,2.4579799183785838,10.0,256.0,0.9769573731784087,256.0,15.0,27.0,82.0,184.0,0.05859375,0.10546875,0.3203125,0.71875,39.0625,60,84.43
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,10.007778453037789,43.038926370041054,0.16812080613297287,80.63071095542303,0.3149637146696212,13.76351267609162,0.05376372139098289,1.6545381921855398,10,256,0.9796607823946425,256,91,134,214,251,0.35546875,0.5234375,0.8359375,0.98046875,625.0,256.0,10000.0,0.9525097506901338,8.362039971740236,0.0326642186396103,16.910133077288698,0.06605520733315898,3.7815561794630446,0.014771703826027518,2.4813293787507638,10.0,256.0,0.9774758639706276,256.0,19.0,34.0,92.0,192.0,0.07421875,0.1328125,0.359375,0.75,39.0625,60,84.43
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,17.50901899674405,46.118512188362544,0.0900752191178956,103.41962934564869,0.2019914635657201,11.551978839395094,0.022562458670693543,1.8238784713240035,10,512,0.9717201050698892,512,123,194,368,488,0.240234375,0.37890625,0.71875,0.953125,312.5,512.0,10000.0,3.3480383257150104,10.905474134622795,0.021299754169185146,23.096713037428547,0.04511076765122763,4.728148106947687,0.009234664271382202,2.3652727569735554,10.0,512.0,0.9691148534724833,512.0,26.0,48.0,162.0,359.0,0.05078125,0.09375,0.31640625,0.701171875,19.53125,60,84.43
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,5.920655700891604,38.36577831893901,0.07493316077917775,86.49522606476305,0.16893598840774032,9.914487517855482,0.01936423343331149,1.9668263048894423,10,512,0.9768211344030049,512,100,158,332,480,0.1953125,0.30859375,0.6484375,0.9375,312.5,512.0,10000.0,1.336669182030652,9.752019133010153,0.019046912369160455,18.65175129557958,0.036429201749178866,4.229807653764109,0.008261343073758025,2.3414549471072346,10.0,512.0,0.9887913338473031,512.0,19.0,31.0,109.0,330.0,0.037109375,0.060546875,0.212890625,0.64453125,19.53125,60,84.43
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,4.398575809376562,37.52216783138956,0.07328548404568273,77.69013819481599,0.15173855116174997,11.040896280775826,0.021564250548390285,2.219810450602983,10,512,0.9719997540031909,512,84,128,274,457,0.1640625,0.25,0.53515625,0.892578125,312.5,512.0,10000.0,0.7687252779500131,8.907500734731757,0.017397462372522963,15.005606293669048,0.02930782479232236,4.441111951275913,0.008674046779835768,2.5218481061936604,10.0,512.0,0.9931192233590205,512.0,14.0,22.0,68.0,250.0,0.02734375,0.04296875,0.1328125,0.48828125,19.53125,60,84.43
features.34,conv,10,512,1,False,512.0,0,2.0,2.0,40000,8.350050272531691,23.243245100697305,0.04539696308729942,32.52200017816606,0.06351953159798059,8.916146970259284,0.017414349551287664,2.9204055255643304,10,512,0.9603105937239884,512,30,35,42,153,0.05859375,0.068359375,0.08203125,0.298828125,78.125,512.0,10000.0,2.485548653273852,5.413770685228398,0.010573770869586715,8.279991609380065,0.01617185861207044,2.713351490905586,0.005299514630674972,2.454814622658154,10.0,512.0,0.9936260784675635,512.0,8.0,10.0,17.0,72.0,0.015625,0.01953125,0.033203125,0.140625,19.53125,60,84.43
features.37,conv,11,512,1,False,512.0,0,2.0,2.0,40000,2.402882471084722,29.93352545379812,0.05846391690194945,35.225388708593265,0.06879958732147122,14.861343522096233,0.029026061566594204,3.588992598795061,10,512,0.9596129574129568,512,31,35,39,67,0.060546875,0.068359375,0.076171875,0.130859375,78.125,512.0,10000.0,0.5785751374841432,7.592812512664617,0.01482971193879808,8.979690536007537,0.01753845807813972,4.170046840258653,0.008144622734880182,2.819572546406623,10.0,512.0,0.9896784564254919,512.0,8.0,9.0,10.0,33.0,0.015625,0.017578125,0.01953125,0.064453125,19.53125,60,84.43
features.40,conv,12,512,1,False,512.0,0,2.0,2.0,40000,2.628062310665723,22.379927201502678,0.04371079531543492,30.781130449721953,0.06011939540961319,9.23438409782592,0.01803590644106625,4.098088885948755,10,512,0.9767523930268911,512,30,34,39,66,0.05859375,0.06640625,0.076171875,0.12890625,78.125,512.0,10000.0,0.5443884409824561,7.96273602687385,0.015552218802487989,8.958437371440162,0.017496947991094067,5.085486223946983,0.009932590281146451,3.042791836187763,10.0,512.0,0.9864056136791608,512.0,8.0,9.0,10.0,24.0,0.015625,0.017578125,0.01953125,0.046875,19.53125,60,84.43
classifier,linear,13,10,1,False,,0,,,10000,74.20697143417061,5.221629822160869,0.5221629822160869,6.680719177587113,0.6680719177587113,2.868430655086303,0.2868430655086303,,10,10,,10,7,8,9,9,0.7,0.8,0.9,0.9,1000.0,,,,,,,,,,,,,,,,,,,,,,,,60,84.43
