layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,15.58089099659356,4.042972709994617,0.06317144859366589,5.93867194590535,0.09279174915477109,2.322224232946694,0.03628475363979209,15.299074998927239,10,64,0.9039040591234588,45,6,8,11,15,0.09375,0.125,0.171875,0.234375,2500.0,64.0,10000.0,3.2009341455979934,2.0481301885064354,0.03200203419541305,2.4277923707634943,0.0379342557931796,1.556629535480624,0.02432233649188475,9.178554195767337,10.0,64.0,0.9540019242978133,45.0,2.0,3.0,3.0,6.0,0.03125,0.046875,0.046875,0.09375,156.25,10,80.96
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,48.057249716228654,11.564145978186486,0.18068978090916385,17.35633694762313,0.2711927648066114,5.360582398177338,0.08375909997152091,3.3950649705472777,10,64,0.9810554643235635,64,16,21,36,56,0.25,0.328125,0.5625,0.875,2500.0,64.0,10000.0,4.599416838261573,3.215612238606986,0.050243941228234154,4.186475007595085,0.0654136719936732,2.137259462091016,0.033394679095172124,4.529167129058722,10.0,64.0,0.9855820282986976,64.0,4.0,4.0,9.0,20.0,0.0625,0.0625,0.140625,0.3125,156.25,10,80.96
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,49.91931659054222,16.709527273014697,0.13054318182042732,29.996436624308913,0.23434716112741338,6.012485732683414,0.046972544786589174,2.3701682400203157,10,128,0.9858978603663259,128,30,44,85,120,0.234375,0.34375,0.6640625,0.9375,1250.0,128.0,10000.0,6.3373992919591355,4.774670159271801,0.03730211061931094,7.1663572500958495,0.055987166016373824,2.7980524191539726,0.02185978452464041,3.8744162481460562,10.0,128.0,0.970833744456716,128.0,7.0,9.0,16.0,44.0,0.0546875,0.0703125,0.125,0.34375,78.125,10,80.96
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,62.74277714524713,23.41863722788934,0.18295810334288548,38.854806813492026,0.30355317823040645,8.553678372372552,0.06682561228416056,2.0886724351801793,10,128,0.9901655350513288,128,38,56,99,124,0.296875,0.4375,0.7734375,0.96875,1250.0,128.0,10000.0,5.977788686765555,4.894523023478335,0.038238461120924494,8.699629939649048,0.06796585890350819,2.4900807354204764,0.01945375574547247,3.293690301995444,10.0,128.0,0.9847354872143194,128.0,9.0,12.0,27.0,68.0,0.0703125,0.09375,0.2109375,0.53125,78.125,10,80.96
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,149.43420031247936,28.59170220418199,0.11168633673508589,51.73007285336613,0.20207059708346145,9.83530563539403,0.03841916263825793,2.062975194408436,10,256,0.9912965400887969,256,52,82,174,243,0.203125,0.3203125,0.6796875,0.94921875,625.0,256.0,10000.0,17.05808387690696,7.489560188547024,0.029256094486511813,12.36756986423985,0.04831081978218692,3.619607809552945,0.014139093006066191,2.9742953601129183,10.0,256.0,0.9661790429649785,256.0,11.0,17.0,50.0,132.0,0.04296875,0.06640625,0.1953125,0.515625,39.0625,10,80.96
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,144.08268674482426,35.740157324512836,0.13960998954887827,63.97186332951313,0.24989009113091065,14.032576394607489,0.0548147515414355,1.7963252680058472,10,256,0.9933888233409548,256,67,108,203,249,0.26171875,0.421875,0.79296875,0.97265625,625.0,256.0,10000.0,15.4224250609211,8.033678933633531,0.03138155833450598,14.510310633848885,0.05668090091347221,3.6855012485402847,0.014396489252110487,2.5177204928815793,10.0,256.0,0.9840699217414008,256.0,14.0,23.0,70.0,175.0,0.0546875,0.08984375,0.2734375,0.68359375,39.0625,10,80.96
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,146.4916227129897,38.94972026026716,0.1521473447666686,67.92768061383246,0.26534250239778306,16.24312549423295,0.06344970896184746,1.7582137217432114,10,256,0.9945465568986265,256,70,115,208,250,0.2734375,0.44921875,0.8125,0.9765625,625.0,256.0,10000.0,14.432961191368989,7.6468836633229325,0.029870639309855205,15.317876036255825,0.05983545326662432,3.3318922321240394,0.013015204031734529,2.486179770825099,10.0,256.0,0.9821592581918798,256.0,16.0,27.0,80.0,184.0,0.0625,0.10546875,0.3125,0.71875,39.0625,10,80.96
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,257.1616056580986,32.293538769491896,0.06307331790916386,68.64399173331573,0.13407029635413228,12.02348843444996,0.02348337584853508,1.7507792686187602,10,512,0.9967025085134412,512,78,145,360,491,0.15234375,0.283203125,0.703125,0.958984375,312.5,512.0,10000.0,46.046496552191954,7.126342543801283,0.013918637780861881,15.308925756955626,0.029900245619053956,3.2460611495411067,0.006339963182697474,2.198408299524728,10.0,512.0,0.9696048909614294,512.0,16.0,32.0,143.0,350.0,0.03125,0.0625,0.279296875,0.68359375,19.53125,10,80.96
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,222.0675049534423,33.64166891561625,0.06570638460081299,74.86673293569825,0.14622408776503565,10.352679391689383,0.020220076936893327,1.5926859542312937,10,512,0.9958625390646254,512,92,182,397,497,0.1796875,0.35546875,0.775390625,0.970703125,312.5,512.0,10000.0,45.42242115424698,6.503856879598877,0.012702845467966557,13.465914899080417,0.02630061503726644,3.056489664819476,0.005969706376600539,1.93509669637635,10.0,512.0,0.9823823186469155,512.0,14.0,26.0,140.0,380.0,0.02734375,0.05078125,0.2734375,0.7421875,19.53125,10,80.96
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,247.89639957144425,32.07931328846928,0.06265490876654156,68.04720814011367,0.1329047033986595,11.784538709740252,0.02301667716746143,1.640234403292758,10,512,0.9936879060606475,512,77,156,382,495,0.150390625,0.3046875,0.74609375,0.966796875,312.5,512.0,10000.0,50.39502279098805,6.1533324095609485,0.012018227362423728,11.635781481566475,0.022726135706184522,3.0124955091270897,0.005883780291263847,1.9290403950612605,10.0,512.0,0.9808792034341002,512.0,10.0,19.0,114.0,357.0,0.01953125,0.037109375,0.22265625,0.697265625,19.53125,10,80.96
features.34,conv,10,512,1,False,512.0,0,2.0,2.0,40000,406.21214802674723,15.142938327208704,0.0295760514203295,29.976397408188117,0.058547651187867415,6.835543303562342,0.013350670514770199,1.6699670053450264,10,512,0.9479318581905744,512,29,41,254,469,0.056640625,0.080078125,0.49609375,0.916015625,78.125,512.0,10000.0,125.03170557083709,5.847771371455495,0.011421428459874013,10.42442048238121,0.0203601962546508,2.961859467851296,0.005784881773147062,1.5600193547467152,10.0,512.0,0.9795985037081404,512.0,9.0,13.0,136.0,402.0,0.017578125,0.025390625,0.265625,0.78515625,19.53125,10,80.96
features.37,conv,11,512,1,False,512.0,0,2.0,2.0,40000,226.83672664305098,12.67396246678989,0.024753832942949004,23.17268599200148,0.04525915232812789,6.3320744568757155,0.012367332923585382,1.908709947577894,10,512,0.9282705544300999,512,25,33,107,406,0.048828125,0.064453125,0.208984375,0.79296875,78.125,512.0,10000.0,65.26563554019098,4.445490094125897,0.008682597840089642,7.266723890137415,0.014192820097924639,2.4199847556437133,0.0047265327258666275,1.6569259530720284,10.0,512.0,0.9791752860282654,512.0,7.0,9.0,35.0,286.0,0.013671875,0.017578125,0.068359375,0.55859375,19.53125,10,80.96
features.40,conv,12,512,1,False,512.0,0,2.0,2.0,40000,468.56755528511474,6.6363498908934675,0.012961620880651304,11.316849556884979,0.022103221790790974,4.291111260231029,0.008381076680138728,2.228359041023968,10,512,0.9416245141043709,512,14,22,37,195,0.02734375,0.04296875,0.072265625,0.380859375,78.125,512.0,10000.0,111.64398889445644,2.8503397390577927,0.005567069802847251,4.775173605407662,0.00932651094806184,1.7793661299297174,0.0034753244725189794,1.8138088813343898,10.0,512.0,0.9800553842234505,512.0,6.0,8.0,10.0,88.0,0.01171875,0.015625,0.01953125,0.171875,19.53125,10,80.96
